Algorithm Family,Algorithm,NIST Security Level,AES Equivalent,Public Key (bytes),Private Key (bytes),Signature/Ciphertext (bytes),Shared Secret (bytes),KeyGen (cycles relative),Sign/Encaps (cycles relative),Verify/Decaps (cycles relative),Stack RAM (bytes),Optimization Target,FIPS Standard,Use Case Notes
Signature,FN-DSA-512,2,AES-128,897,1281,666,N/A,5x,3x,0.5x,~20000,Small Signature,FIPS 206,"Alternate lattice signature (Falcon-512); tiny signature (~0.65KB) and fast verification (requires floating-point arithmetic)"
Signature,FN-DSA-1024,5,AES-256,1793,2305,1280,N/A,10x,6x,1x,~30000,Small Signature,FIPS 206,"High-security Falcon variant; small signature (~1.25KB) and fast verification"
Signature,SLH-DSA-SHA2-128s,1,AES-128,32,64,7856,N/A,50x,500x,50x,~5000,Small Signature,FIPS 205,"Conservative hash-based; slow signing but small keys"
Signature,SLH-DSA-SHAKE-128s,1,AES-128,32,64,7856,N/A,50x,500x,50x,~5000,Small Signature,FIPS 205,"SHAKE-based hash-based signature; NIST recommends SHAKE variants for long-term security; conservative choice with tiny keys (32B pub)"
Signature,SLH-DSA-SHA2-128f,1,AES-128,32,64,17088,N/A,10x,100x,10x,~5000,Fast Signing,FIPS 205,"Fast signing variant (~5x faster than 128s); trades larger signatures (~17KB) for signing speed; good for high-throughput scenarios"
Signature,SLH-DSA-SHAKE-128f,1,AES-128,32,64,17088,N/A,10x,100x,10x,~5000,Fast Signing,FIPS 205,"SHAKE-based fast signing at Level 1; ~17KB signatures but significantly faster signing than 128s; preferred over SHA2 for long-term use"
Signature,SLH-DSA-SHA2-192s,3,AES-192,48,96,16224,N/A,75x,750x,75x,~5000,Small Signature,FIPS 205,"Level 3 hash-based with small signatures (~16KB); very slow signing but minimal key sizes; suited for firmware signing and archival"
Signature,SLH-DSA-SHAKE-192s,3,AES-192,48,96,16224,N/A,75x,750x,75x,~5000,Small Signature,FIPS 205,"SHAKE-based Level 3 small signature variant; NIST-preferred hash function for longevity; ~16KB signatures with tiny 48B public key"
Signature,SLH-DSA-SHA2-192f,3,AES-192,48,96,35664,N/A,15x,150x,15x,~5000,Fast Signing,FIPS 205,"Level 3 fast signing variant; ~36KB signatures but ~5x faster signing than 192s; useful when signing throughput matters more than bandwidth"
Signature,SLH-DSA-SHAKE-192f,3,AES-192,48,96,35664,N/A,15x,150x,15x,~5000,Fast Signing,FIPS 205,"SHAKE-based Level 3 fast variant; ~36KB signatures with fast signing; NIST-preferred hash for long-term quantum resilience"
Signature,SLH-DSA-SHA2-256s,5,AES-256,64,128,29792,N/A,100x,1000x,100x,~5000,Small Signature,FIPS 205,"Highest security hash-based (Level 5); ~30KB signatures; extremely slow signing but maximum quantum resilience for archival use"
Signature,SLH-DSA-SHAKE-256s,5,AES-256,64,128,29792,N/A,100x,1000x,100x,~5000,Small Signature,FIPS 205,"SHAKE-based Level 5 with smallest signatures at this security level (~30KB); NIST-preferred for maximum long-term quantum resistance"
Signature,SLH-DSA-SHA2-256f,5,AES-256,64,128,49856,N/A,20x,200x,20x,~5000,Fast Signing,FIPS 205,"256-bit fast signing; ~50KB signatures"
Signature,SLH-DSA-SHAKE-256f,5,AES-256,64,128,49856,N/A,20x,200x,20x,~5000,Fast Signing,FIPS 205,"SHAKE-based Level 5 fast variant; ~50KB signatures but ~5x faster signing than 256s; NIST-preferred hash for top-tier security"
Classical KEM,RSA-2048,N/A,~112-bit,270,1190,256,256,Baseline,Baseline Sign,Baseline Verify,~2000,N/A,FIPS 186,"Deprecated 2030; vulnerable to Shor's algorithm"
Classical KEM,RSA-3072,N/A,~128-bit,398,1770,384,384,2x,2.5x Sign,1.5x Verify,~3000,N/A,FIPS 186,"Extended deprecation; still vulnerable to quantum"
Classical KEM,RSA-4096,N/A,~140-bit,526,2350,512,512,4x,7x Sign,3x Verify,~4000,N/A,FIPS 186,"Extended deprecation; highest classical RSA"
Classical KEM,ECDH P-256,N/A,~128-bit,64,32,N/A,32,0.1x,0.2x,0.2x,~500,N/A,FIPS 186,"Compact keys; fast; vulnerable to quantum"
Classical KEM,ECDH P-384,N/A,~192-bit,96,48,N/A,48,0.15x,0.3x,0.3x,~700,N/A,FIPS 186,"192-bit equivalent; vulnerable to quantum"
Classical KEM,ECDH P-521,N/A,~256-bit,132,66,N/A,66,0.2x,0.4x,0.4x,~900,N/A,FIPS 186,"Highest NIST curve; vulnerable to quantum"
Classical KEM,X25519,N/A,~128-bit,32,32,N/A,32,0.05x,0.1x,0.1x,~400,N/A,RFC 7748,"Very fast; compact; vulnerable to quantum"
Classical KEM,X448,N/A,~224-bit,56,56,N/A,56,0.08x,0.15x,0.15x,~600,N/A,RFC 7748,"Higher security curve; vulnerable to quantum"
Classical Sig,ECDSA P-256,N/A,~128-bit,64,32,64,N/A,0.1x,0.3x Sign,0.4x Verify,~500,N/A,FIPS 186,"Fast signing; compact; vulnerable to quantum"
Classical Sig,ECDSA P-384,N/A,~192-bit,96,48,96,N/A,0.15x,0.4x Sign,0.5x Verify,~700,N/A,FIPS 186,"192-bit security; vulnerable to quantum"
Classical Sig,ECDSA P-521,N/A,~256-bit,132,66,132,N/A,0.2x,0.5x Sign,0.6x Verify,~900,N/A,FIPS 186,"Highest NIST curve signature; vulnerable"
Classical Sig,Ed25519,N/A,~128-bit,32,64,64,N/A,0.02x,0.1x Sign,0.1x Verify,~300,N/A,RFC 8032,"Very fast; deterministic; vulnerable to quantum"
Classical Sig,Ed448,N/A,~224-bit,57,114,114,N/A,0.04x,0.15x Sign,0.15x Verify,~500,N/A,RFC 8032,"Higher security EdDSA; vulnerable to quantum"
