id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas
algo-011,algorithm-families,multiple-choice,advanced,full,Which stateful hash-based signature schemes are recommended by NIST SP 800-208 for firmware and software signing?,SLH-DSA and ML-DSA,XMSS and LMS/HSS,FN-DSA and HQC,Ed25519 and ECDSA,b,"NIST SP 800-208 recommends XMSS (eXtended Merkle Signature Scheme, RFC 8391) and LMS/HSS (Leighton-Micali Signature / Hierarchical Signature System) for firmware and software signing. These are stateful schemes that require careful key state management.",/algorithms,researcher|architect
algo-012,algorithm-families,true-false,intermediate,both,True or False: HQC is a lattice-based key encapsulation mechanism.,True,False,,,false,"False. HQC (Hamming Quasi-Cyclic) is a code-based KEM, not lattice-based. It was specifically selected to provide algorithmic diversity from the lattice-based ML-KEM, ensuring a fallback exists if lattice-based approaches are compromised.",/algorithms,researcher|architect
nist-001,nist-standards,multiple-choice,beginner,both,Which FIPS standard defines ML-KEM?,FIPS 203,FIPS 204,FIPS 205,FIPS 206,a,"FIPS 203 defines ML-KEM (Module-Lattice-Based Key Encapsulation Mechanism). FIPS 204 is ML-DSA, FIPS 205 is SLH-DSA, and FIPS 206 (draft) is FN-DSA.",/compliance,researcher|architect
nist-002,nist-standards,multiple-choice,beginner,both,"When were FIPS 203, 204, and 205 published?",January 2023,August 2024,March 2025,January 2026,b,"FIPS 203 (ML-KEM), FIPS 204 (ML-DSA), and FIPS 205 (SLH-DSA) were all published by NIST in August 2024, marking a historic milestone in post-quantum cryptography standardization.",/timeline,researcher|architect
nist-003,nist-standards,multiple-choice,intermediate,both,NIST Security Level 3 is comparable to breaking which symmetric cipher?,AES-128,AES-192,AES-256,3DES,b,"NIST Security Level 3 provides security comparable to breaking AES-192. Level 1 corresponds to AES-128, and Level 5 corresponds to AES-256. Level 3 is the recommended minimum for most general-use applications.",/algorithms,researcher|architect
nist-004,nist-standards,multiple-choice,intermediate,both,"According to NIST IR 8547, by which year will classical public-key algorithms like RSA and ECDSA be deprecated?",2027,2030,2033,2035,b,"NIST IR 8547 establishes a two-phase timeline: RSA, ECDSA, ECDH, EdDSA, DH, and DSA will be deprecated by 2030, and entirely disallowed by 2035.",/compliance,researcher|architect
nist-005,nist-standards,multiple-choice,intermediate,both,What is the current status of FIPS 206 (FN-DSA)?,Published and finalized,"Draft standard, expected finalization in late 2026 or 2027",Withdrawn from consideration,Replaced by a different algorithm,b,"FIPS 206 (FN-DSA, formerly Falcon) is currently in draft status. The initial public draft was released in November 2024 and is expected to be finalized in late 2026 or early 2027. It provides compact signatures valuable for certificates and constrained devices.",/compliance,researcher|architect
nist-006,nist-standards,true-false,beginner,both,True or False: NIST Security Level 5 provides the highest level of post-quantum security defined by NIST.,True,False,,,true,"True. NIST Security Level 5 is the highest, comparable to breaking AES-256. It is typically recommended for government, defense, and scenarios requiring maximum long-term security. Level 3 (AES-192 equivalent) is generally recommended for most applications.",/algorithms,researcher|architect
nist-007,nist-standards,multiple-choice,advanced,full,What does NIST SP 800-227 provide guidance on?,Digital signature algorithm selection,Key Encapsulation Mechanism (KEM) recommendations,Hash function security requirements,Random number generation standards,b,"NIST SP 800-227, published in September 2025, provides recommendations for Key Encapsulation Mechanisms (KEMs), including guidance on ML-KEM parameter selection and hybrid key exchange approaches.",/compliance,researcher|architect
nist-008,nist-standards,multiple-choice,intermediate,both,Which ML-KEM variant does NIST recommend for general-use applications?,ML-KEM-512 (Level 1),ML-KEM-768 (Level 3),ML-KEM-1024 (Level 5),All variants are equally recommended,b,ML-KEM-768 (NIST Security Level 3) is recommended for general-use applications. It provides a balance of security and performance. ML-KEM-1024 (Level 5) is reserved for government/defense use cases requiring the highest security.,/algorithms,researcher|architect
nist-009,nist-standards,multi-select,intermediate,both,Which PQC algorithms were standardized by NIST in the first batch (August 2024)? (Select all that apply),ML-KEM (FIPS 203),ML-DSA (FIPS 204),SLH-DSA (FIPS 205),FN-DSA (FIPS 206),a|b|c,"ML-KEM (FIPS 203), ML-DSA (FIPS 204), and SLH-DSA (FIPS 205) were all published in August 2024. FN-DSA (FIPS 206) remains a draft standard expected for finalization in late 2026 or early 2027.",/timeline,researcher|architect
nist-010,nist-standards,multiple-choice,advanced,full,"According to NIST IR 8547, what is the difference between ""deprecated"" and ""disallowed"" for legacy algorithms?",They mean the same thing — the algorithm cannot be used,Deprecated means discouraged but still permitted; disallowed means prohibited entirely,Deprecated applies to software; disallowed applies to hardware,Deprecated is a warning; disallowed means fines are imposed,b,Deprecated (2030) means the algorithm is strongly discouraged for new deployments but may still be used for legacy compatibility. Disallowed (2035) means the algorithm must not be used under any circumstances in systems subject to NIST guidelines.,/compliance,researcher|architect
migr-001,migration-planning,multiple-choice,beginner,both,What is a Cryptographic Bill of Materials (CBOM)?,A list of cryptographic hardware prices,"An inventory of all cryptographic algorithms, protocols, and keys used in a system",A government mandate for cryptographic compliance,A quantum computer component specification,b,"A CBOM is a comprehensive inventory of cryptographic assets — algorithms, key lengths, certificates, protocols, and libraries — used across an organization. It is the essential first step in PQC migration planning, similar to a Software Bill of Materials (SBOM) for cryptography.",/migrate,researcher|executive|architect
migr-002,migration-planning,multiple-choice,intermediate,both,"In the 7-phase PQC migration framework, what is the recommended first step?",Deploy hybrid certificates to production,Assessment & Inventory — build a CBOM and identify vulnerable algorithms,Purchase quantum-safe HSMs,Notify regulators of migration plans,b,"The first phase is Assessment & Inventory (4-8 weeks): building a Cryptographic Bill of Materials (CBOM), identifying quantum-vulnerable algorithms, assessing HNDL risk for long-lived data, and mapping certificate chains.",/migrate,researcher|executive|architect
migr-003,migration-planning,multiple-choice,intermediate,both,"During PQC migration, which systems should be prioritized first for protection?",Internal development tools,External-facing systems handling long-lived sensitive data,Marketing websites,Employee email (internal only),b,"External-facing systems (TLS endpoints, VPNs) handling data with long confidentiality lifetimes should be prioritized because they are most vulnerable to HNDL attacks. Data intercepted today from these systems could be decrypted by future quantum computers.",/migrate,researcher|executive|architect
migr-004,migration-planning,true-false,beginner,both,True or False: Organizations should wait until a CRQC exists before beginning their PQC migration.,True,False,,,false,"False. Due to HNDL attacks, organizations must begin migration now. Data intercepted today can be stored and decrypted later. Additionally, large-scale migrations take years to complete, so starting early is essential to meet 2030/2035 deprecation deadlines.",/migrate,researcher|executive|architect
migr-005,migration-planning,multiple-choice,intermediate,both,What is the recommended approach for initial PQC deployment in production TLS?,Replace all classical algorithms immediately with PQC-only,"Deploy hybrid key exchange (e.g., X25519 + ML-KEM-768)",Disable TLS until PQC is fully mature,Use quantum key distribution instead,b,Hybrid key exchange (combining classical + PQC algorithms) is the recommended initial approach. It maintains security even if one algorithm is broken and ensures backward compatibility. X25519MLKEM768 is already deployed in major browsers like Chrome and Firefox.,/migrate,researcher|executive|architect
migr-006,migration-planning,multiple-choice,advanced,full,Why is re-encrypting archived data an important part of PQC migration?,To reduce storage costs,To counter HNDL threats against already-stored encrypted data,To improve data compression ratios,To comply with GDPR right-to-be-forgotten,b,Archived data encrypted with quantum-vulnerable algorithms is susceptible to HNDL attacks — adversaries may have already captured copies. Re-encrypting with PQC algorithms ensures this data remains protected even when quantum computers become available.,/migrate,researcher|executive|architect
migr-007,migration-planning,multi-select,intermediate,both,"Which of the following are key activities in the ""Testing & Validation"" phase of PQC migration? (Select all that apply)",Pilot hybrid TLS/SSH with ML-KEM + X25519,Test VPN PQC tunnels with IKEv2,Measure performance impact on production workloads,Submit final compliance reports to regulators,a|b|c,"The Testing & Validation phase (2-4 months) focuses on piloting hybrid TLS/SSH, testing VPN PQC tunnels, validating certificate chain interoperability, and measuring performance impact. Compliance reporting comes later during monitoring and optimization.",/migrate,researcher|executive|architect
migr-008,migration-planning,multiple-choice,beginner,both,Which framework document provides the formal PQC transition timeline with deprecation and disallowment dates?,FIPS 203,NIST IR 8547,RFC 9629,ETSI TR 103 619,b,NIST IR 8547 (Transition to Post-Quantum Cryptography Standards) establishes the formal timeline: classical public-key algorithms deprecated by 2030 and disallowed by 2035.,/compliance,researcher|executive|architect
migr-009,migration-planning,multiple-choice,advanced,full,"What is the estimated duration for the full ""Hybrid Migration & Rollout"" phase in a typical PQC migration?",1-2 weeks,1-2 months,6-12 months,3-5 years,c,"The Hybrid Migration & Rollout phase typically takes 6-12 months. This includes deploying hybrid certificates, migrating code signing to PQC, and rolling out hybrid key exchange to production TLS/SSH systems across the organization.",/migrate,researcher|executive|architect
migr-010,migration-planning,multiple-choice,intermediate,both,What role do HSMs play in PQC migration planning?,HSMs are unnecessary for PQC — software-only solutions are sufficient,HSM firmware must be upgraded to support PQC algorithms before they can generate or store PQC keys,HSMs automatically detect and block quantum attacks,HSMs only store classical keys and cannot support PQC,b,"Hardware Security Modules (HSMs) require firmware upgrades to support PQC key generation, storage, and operations. This is a critical dependency in migration planning, as many HSM vendors are still developing PQC-capable firmware.",/migrate,researcher|executive|architect
comp-001,compliance,multiple-choice,beginner,both,What does CNSA 2.0 stand for?,Certified National Security Architecture,Commercial National Security Algorithm Suite 2.0,Cryptographic NIST Standard Algorithm,Central Network Security Authority,b,"CNSA 2.0 is the NSA's Commercial National Security Algorithm Suite 2.0. It mandates the transition to quantum-resistant algorithms for National Security Systems (NSS), with a phased timeline from 2025 to 2035.",/compliance,researcher|executive
comp-002,compliance,multiple-choice,intermediate,both,By what year does CNSA 2.0 require NSS software/firmware signing and networking equipment to use PQC exclusively?,2025,2027,2030,2035,c,"CNSA 2.0 requires NSS software/firmware signing and networking equipment to use PQC exclusively by 2030. The phased timeline: new software signing by 2025, new networking equipment by 2026, signing/networking fully deployed by 2030, web/cloud/OS/PKI by 2033, and all legacy cryptography disallowed by 2035.",/compliance,researcher|executive
comp-003,compliance,multiple-choice,intermediate,both,"Which country has set the most aggressive PQC transition deadline, prohibiting traditional asymmetric cryptography by 2030?",United States,United Kingdom,Australia,France,c,Australia (ASD) has set a 2030 deadline for prohibiting traditional asymmetric cryptography — 5 years ahead of the US NIST IR 8547 disallowment date of 2035. This makes Australia's timeline one of the most aggressive globally.,/compliance,researcher|executive
comp-004,compliance,multiple-choice,intermediate,both,What is ANSSI's phased approach to PQC transition?,Immediate PQC-only deployment with no transition period,"Phase 1: Optional PQC (2024-2025), Phase 2: Hybrid required (2025-2030), Phase 3: Standalone PQC optional (2030+)",Full transition by 2025 with no hybrid period,ANSSI has not issued any PQC guidance,b,"France's ANSSI (Agence nationale de la sécurité des systèmes d'information) follows a three-phase approach: Phase 1 (2024-2025) where PQC is optional, Phase 2 (2025-2030) requiring hybrid cryptography, and Phase 3 (2030-2035) where standalone PQC becomes optional.",/compliance,researcher|executive
comp-005,compliance,true-false,beginner,both,True or False: PCI DSS 4.0.1 currently mandates the use of PQC algorithms for payment card systems.,True,False,,,false,"False. PCI DSS 4.0.1 requires ""strong cryptography"" but does not yet specifically mandate PQC algorithms. However, as NIST deprecation deadlines approach (2030), PCI DSS is expected to follow NIST guidance.",/compliance,researcher|executive
comp-006,compliance,multiple-choice,advanced,full,What is eIDAS 2.0 and how does it relate to PQC?,A quantum computing standard for European banks,The EU Digital Identity framework mandating digital wallets by 2027+ that will eventually need quantum-safe cryptography,An encryption standard for European military systems,A testing framework for PQC algorithm performance,b,"eIDAS 2.0 is the updated EU regulation for electronic identification and trust services. It mandates European Digital Identity (EUDI) wallets with deployments starting in 2027+. While eIDAS 2.0 does not yet mandate PQC specifically, these wallets will need quantum-safe cryptography to maintain long-term trust as quantum threats materialize. ENISA has identified wallet providers as high-impact entities for early PQC adoption.",/compliance,researcher|executive
comp-007,compliance,multiple-choice,advanced,full,What is FIPS 140-3 and why is it relevant to PQC migration?,It defines PQC algorithm parameters,It is the standard for validating cryptographic modules — PQC implementations need CMVP certification,It mandates quantum key distribution for government systems,It is a deprecated standard replaced by FIPS 203,b,FIPS 140-3 is the government standard for Cryptographic Module Validation Program (CMVP) certification. PQC algorithm implementations (FIPS 203/204/205) must undergo CMVP validation before use in federal systems. This certification process is a key dependency in migration timelines.,/compliance,researcher|executive
comp-008,compliance,multi-select,intermediate,both,Which of the following compliance frameworks have explicit PQC transition requirements or guidance? (Select all that apply),CNSA 2.0 (NSA),ANSSI (France),NIST IR 8547,Common Criteria (ISO/IEC 15408),a|b|c|d,"All four frameworks address PQC transition: CNSA 2.0 mandates PQC for National Security Systems, ANSSI provides phased PQC guidance for France, NIST IR 8547 sets deprecation/disallowment timelines, and Common Criteria is developing emerging PQC protection profiles for international security evaluation.",/compliance,researcher|executive
comp-009,compliance,multiple-choice,intermediate,both,By what year must Canadian federal departments submit initial PQC migration plans to CCCS?,2025,2026,2030,2035,b,"Canada's CCCS requires federal departments to submit initial PQC migration plans by April 2026, with annual progress reporting. New IT procurements must include PQC vendor support clauses. High-priority systems must be migrated by 2031, and all systems fully transitioned by 2035.",/compliance,researcher|executive
comp-010,compliance,multiple-choice,advanced,full,What is the EU Coordinated Implementation Roadmap for PQC?,A binding regulation requiring immediate PQC deployment,A coordinated guidance document targeting high-risk systems secured by 2030 and full transition by 2035,A funding program for quantum computer development,An EU-only alternative to NIST PQC standards,b,"The EU Coordinated Implementation Roadmap (published June 2025) provides guidance for member states to secure high-risk systems by 2030 and complete full PQC transition by 2035, aligned with NIST timelines but adapted for European regulatory contexts.",/compliance,researcher|executive
prot-001,protocol-integration,multiple-choice,beginner,both,Which hybrid key exchange combination is already deployed in major web browsers?,RSA-4096 + ML-KEM-512,X25519 + ML-KEM-768 (X25519MLKEM768),P-521 + FrodoKEM-1344,DH-2048 + HQC-256,b,"X25519MLKEM768 combines classical X25519 (ECDH) with ML-KEM-768 (NIST Level 3) for hybrid key exchange. It is already deployed in Chrome, Firefox, and other major browsers for TLS 1.3 connections.",/algorithms,researcher|developer
prot-002,protocol-integration,multiple-choice,intermediate,both,Which RFC defines the use of multiple key exchanges in IKEv2 (IPsec)?,RFC 8446,RFC 9370,RFC 9629,RFC 8391,b,"RFC 9370 defines support for multiple key exchanges in IKEv2, enabling hybrid PQC key exchange (e.g., ML-KEM combined with classical ECDH) for IPsec VPN tunnels.",/algorithms,researcher|developer
prot-003,protocol-integration,multiple-choice,intermediate,both,Which RFC defines the use of KEMs in Cryptographic Message Syntax (CMS)?,RFC 9370,RFC 9629,RFC 8391,RFC 7748,b,"RFC 9629 defines the use of Key Encapsulation Mechanisms (KEMs) in CMS, enabling PQC key exchange for S/MIME email encryption and other CMS-based applications.",/algorithms,researcher|developer
prot-004,protocol-integration,multiple-choice,intermediate,both,How is PQC being integrated into 5G authentication?,By replacing the entire 5G protocol stack,Through PQC upgrades to 5G-AKA authentication and SUCI subscriber identity protection,5G already uses PQC by default,PQC is not applicable to 5G networks,b,"5G security relies on 3GPP authentication protocols (5G-AKA) and SUCI (Subscriber Concealed Identifier) for subscriber identity protection. These protocols use RSA/ECDSA today and are being upgraded to support PQC algorithms, particularly for protecting the subscriber concealment mechanism.",/learn/5g-security,researcher|developer
prot-005,protocol-integration,true-false,beginner,both,True or False: The Signal messaging protocol has already adopted post-quantum cryptography.,True,False,,,true,"True. Signal upgraded its protocol to include PQXDH (Post-Quantum Extended Diffie-Hellman) using CRYSTALS-Kyber (now standardized as ML-KEM) for quantum-resistant key agreement, making it one of the first major messaging platforms to adopt PQC.",/timeline,researcher|developer
prot-006,protocol-integration,multiple-choice,advanced,full,Which RFC defines the use of ML-DSA signatures in CMS for email and document signing?,RFC 9629,RFC 9882,RFC 9370,RFC 8032,b,RFC 9882 defines the use of ML-DSA (Module-Lattice-Based Digital Signature Algorithm) in Cryptographic Message Syntax (CMS) for S/MIME email signing and other document signature applications.,/algorithms,researcher|developer
prot-007,protocol-integration,multiple-choice,intermediate,both,What is the primary challenge of integrating PQC into TLS compared to classical algorithms?,PQC algorithms are too slow for real-time connections,Larger key and ciphertext sizes increase handshake overhead,TLS does not support algorithm negotiation,PQC requires a completely new protocol version,b,"PQC algorithms generally have larger public keys, ciphertexts, and signatures than classical algorithms. For example, ML-KEM-768 public keys are ~1.2KB vs ~32 bytes for X25519. This increases TLS handshake size and can cause issues with network MTU limits and packet fragmentation.",/learn/tls-basics,researcher|developer
prot-008,protocol-integration,multi-select,advanced,full,Which protocols have published RFCs or drafts for PQC integration? (Select all that apply),IKEv2 / IPsec (RFC 9370),"CMS / S/MIME (RFC 9629, 9882)",DNS (DNSSEC),OpenPGP,a|b|d,"IKEv2 (RFC 9370), CMS/S/MIME (RFC 9629 for KEMs, RFC 9882 for ML-DSA), and OpenPGP all have published or draft specifications for PQC integration. DNSSEC PQC integration remains a significant challenge due to DNS packet size constraints.",/algorithms,researcher|developer
prot-009,protocol-integration,multiple-choice,beginner,both,"Which version of OpenSSL first included full PQC algorithm support (ML-KEM, ML-DSA, SLH-DSA)?",OpenSSL 1.1.1,OpenSSL 3.0,OpenSSL 3.5,OpenSSL 4.0,c,"OpenSSL 3.5, released in April 2025, was the first version with full PQC support including ML-KEM, ML-DSA, SLH-DSA, and the X25519MLKEM768 hybrid key exchange. Earlier versions required external providers (like the OQS provider) for PQC support.",/openssl,researcher|developer
prot-010,protocol-integration,multiple-choice,advanced,full,"In the context of PQC protocol integration, what is a ""composite"" certificate?",A certificate signed by multiple certificate authorities,A certificate containing both classical and PQC public keys and signatures,A certificate that expires and renews automatically,A certificate used exclusively for testing,b,"A composite certificate contains both classical (e.g., RSA/ECDSA) and PQC (e.g., ML-DSA) public keys and signatures. This enables hybrid trust during the transition period — verifiers that support PQC use the quantum-safe signature, while legacy systems fall back to the classical one.",/learn/pki-workshop,researcher|developer
thrt-001,industry-threats,multiple-choice,beginner,both,"Which industry is most vulnerable to HNDL attacks due to lifetime data sensitivity (e.g., genomic data)?",Retail,Healthcare,Entertainment,Hospitality,b,"Healthcare data — especially genomic data, mental health records, and patient histories — has lifetime sensitivity. This makes healthcare particularly vulnerable to HNDL attacks, where encrypted data intercepted today could be decrypted decades later.",/threats,researcher|executive
thrt-002,industry-threats,multiple-choice,intermediate,both,Approximately how many EMV payment cards worldwide use RSA-based offline authentication?,~500 million,~2 billion,~14.7 billion,~50 billion,c,Approximately 14.7 billion EMV cards worldwide use RSA-based offline authentication (RSA-1024 or RSA-2048). Migrating this massive installed base to PQC represents one of the largest cryptographic transitions in history.,/threats,researcher|executive
thrt-003,industry-threats,multiple-choice,intermediate,both,Why are aviation and aerospace systems particularly challenging for PQC migration?,They use quantum computers already,They have 30-40 year service lives with limited crypto-agility,They do not use any cryptography currently,International aviation law prohibits cryptographic changes,b,"Aircraft and avionics systems have extremely long service lives (30-40 years) and are governed by strict certification standards (RTCA DO-326A). Updating cryptographic systems in certified avionics requires extensive re-certification, making rapid migration very difficult.",/threats,researcher|executive
thrt-004,industry-threats,true-false,intermediate,both,True or False: Bitcoin is vulnerable to quantum attacks because it uses ECDSA (secp256k1) for transaction signing.,True,False,,,true,"True. Bitcoin uses ECDSA with the secp256k1 curve for transaction signing. Shor's Algorithm can break ECDSA, potentially allowing quantum attackers to forge transactions. Approximately $718 billion in quantum-vulnerable P2PK addresses exist, including ~1.1 million BTC attributed to Satoshi Nakamoto.",/threats,researcher|executive
