software_name,category_id,category_name,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date
Bouncy Castle Java LTS,CSC-001,Cryptographic Libraries,Yes (ML-DSA composite signatures),"Long-term support release with ML-DSA composite signatures, enabling hybrid quantum-classical signature schemes. Allows organizations to use both traditional (RSA/ECDSA) and post-quantum signatures simultaneously for defense-in-depth.",Mixed/Dual,Bouncy Castle License,2.73.9,2025-09-23,Yes,Critical,Java 8 11 17 21,All industries,https://www.bouncycastle.org/,https://github.com/bcgit/bc-java,Long-term support release with enterprise stability. Includes PQC support and supply chain transparency features.,Trusted Vendor,Verified,2026-02-13
OpenSSL,CSC-001,Cryptographic Libraries,Yes (ML-KEM ML-DSA SLH-DSA in v3.5+),"Full support for NIST-standardized PQC algorithms including ML-KEM (Module-Lattice-Based Key-Encapsulation Mechanism) for key exchange, ML-DSA (Module-Lattice-Based Digital Signature Algorithm) for signatures, and SLH-DSA (Stateless Hash-Based Digital Signature Algorithm). Enables quantum-safe TLS 1.3 connections with hybrid mode support.",Open Source,Apache-2.0,3.6.1,2026-01-27,Yes (FIPS 140-3),Critical,Linux macOS Windows Android OpenVMS,All industries,https://www.openssl.org/,https://github.com/openssl/openssl,Robust commercial-grade TLS/SSL and crypto library. Implements TLS 1.3 DTLS 1.3 and QUIC protocols. Reference implementation for cryptographic operations used by majority of HTTPS websites.,Community/Commercial,Verified,2026-02-13
Google Tink,CSC-001,Cryptographic Libraries,"Yes (ML-DSA SLH-DSA ML-KEM)","Multi-language library (C++, Go, Java) supporting FIPS 204/205 signatures. ML-KEM in progress. Used in Google infrastructure and Cloud KMS.",Open Source,Apache-2.0,1.7.0,2025,Yes (via BoringCrypto),Critical,Cross-platform,All industries,https://developers.google.com/tink,https://github.com/tink-crypto/tink,"Google's multi-language crypto library designed for safe and simple API usage. Integrating full PQC suite.",Community/Commercial,Verified,2026-02-13
Botan,CSC-001,Cryptographic Libraries,"Yes (ML-KEM ML-DSA SLH-DSA McEliece FrodoKEM)","C++ cryptography library with extensive PQC support recommended by BSI. Includes Classic McEliece, FrodoKEM, and all NIST-standardized algorithms (ML-KEM, ML-DSA, SLH-DSA). Botan 2.x reached end-of-life on 2025-01-01.",Open Source,BSD-2,3.10.0,2025-11-06,No,High,Linux Windows macOS BSD,All industries,https://botan.randombit.net/,https://github.com/randombit/botan,"Feature-rich C++ crypto library. BSI project for PQC reference implementations.",Open Source Foundation,Verified,2026-02-13
SafeLogic CryptoComply,CSC-001,Cryptographic Libraries,"Yes (ML-KEM ML-DSA SLH-DSA Hybrid)","FIPS 140-3 validated cryptographic modules. Supports hybrid mode (classical + PQC) and includes CryptoComply PQ TLS for quantum-safe data in transit. Drop-in OpenSSL compatibility. CryptoComply Go v4.0 adds all NIST PQC algorithms (ML-KEM FIPS 203 ML-DSA FIPS 204 SLH-DSA FIPS 205). PQC capabilities rolled out across Core v3.5 Mobile v3.5 Java v4 and Go v4.",Commercial,Commercial,Go v4.0,2026-01,Yes (FIPS 140-3),Critical,Linux Windows macOS Mobile,"Finance, Government, Healthcare, Defense",https://www.safelogic.com/,,"Enterprise cryptographic modules with immediate PQC support and FIPS validation.",Trusted Vendor,Verified,2026-02-13
SAP Cryptographic Library,CSC-001,Cryptographic Libraries,"Yes (ML-KEM ML-DSA)","Version 8.6 introduces quantum-safe TLS 1.3 with hybrid key exchange (X25519MLKEM768). Integrates liboqs implementations of ML-KEM and ML-DSA.",Commercial,Commercial,8.6,2025-12-12,Yes (CommonCryptoLib FIPS 140-2),Critical,SAP Ecosystem,All industries,https://www.sap.com/,,"SAP's proprietary cryptographic library now enabling PQC for SAP applications and secure communications.",Trusted Vendor,Verified,2026-02-13
PQShield PQSDK,CSC-001,Cryptographic Libraries,"Yes (ML-KEM ML-DSA Falcon)","Comprehensive SDK for PQC integration. Features PQCryptoLib-Core (FIPS 140-3 certified) and PQCryptoLib-Soft. Supports mobile, server, and embedded.",Commercial,Commercial,Current,2025,Yes (FIPS 140-3),Critical,Cross-platform Embedded,All industries,https://pqshield.com/,,"High-assurance post-quantum cryptography SDK for enterprise and embedded security.",Trusted Vendor,Verified,2026-02-13
Go stdlib crypto/mlkem,CSC-001,Cryptographic Libraries,"Yes (ML-KEM Hybrid PQC TLS)","Native ML-KEM-768 and ML-KEM-1024 implementation. Go 1.26 enables hybrid post-quantum key exchanges in TLS by default combining classical elliptic-curve cryptography with ML-KEM. Adds crypto/hpke and crypto/mlkem/mlkemtest packages with derandomized encapsulation for known-answer tests. FIPS 203 compliant.",Open Source,BSD-3-Clause,1.26,2026-02-10,Yes (Go FIPS Module),Critical,Cross-platform,All industries,https://pkg.go.dev/crypto/mlkem,https://github.com/golang/go/tree/master/src/crypto/mlkem,Standard library implementation of NIST FIPS 203 key encapsulation. Go 1.26 enables hybrid PQC TLS by default.,Open Source Foundation,Verified,2026-02-13
RustCrypto ml-kem,CSC-001,Cryptographic Libraries,Yes (ML-KEM),"Pure Rust implementation of NIST FIPS 203 ML-KEM. Modular, zero-unsafe code (mostly), and part of the RustCrypto organization.",Open Source,Apache-2.0/MIT,0.3.0,2025-10,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/ml-kem,https://github.com/RustCrypto/KEMs/tree/master/ml-kem,Pure Rust ML-KEM implementation standardizing on FIPS 203.,Open Source Community,Verified,2026-02-13
RustCrypto ml-dsa,CSC-001,Cryptographic Libraries,Yes (ML-DSA),"Pure Rust implementation of NIST FIPS 204 ML-DSA signatures. Provides highly modular and type-safe interface for next-gen digital signatures.",Open Source,Apache-2.0/MIT,0.0.4,2025,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/ml-dsa,https://github.com/RustCrypto/signatures/tree/master/ml-dsa,Pure Rust ML-DSA implementation compliant with FIPS 204.,Open Source Community,Verified,2026-02-13
RustCrypto slh-dsa,CSC-001,Cryptographic Libraries,Yes (SLH-DSA),Pure Rust implementation of NIST FIPS 205 SLH-DSA (SPHINCS+) hash-based signatures. suitable for high-security applications requiring conservative security assumptions.,Open Source,Apache-2.0/MIT,0.1.0,2025,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/slh-dsa,https://github.com/RustCrypto/signatures/tree/master/slh-dsa,Pure Rust SLH-DSA implementation compliant with FIPS 205.,Open Source Community,Verified,2026-02-13
pqcrypto,CSC-001,Cryptographic Libraries,"Yes (ML-KEM ML-DSA SLH-DSA + Pre-Standard)",Rust bindings to PQClean C implementations. Access to a wide range of NIST PQC candidates and standardized algorithms.,Open Source,Apache-2.0/MIT,0.18.1,2024-12,No,Medium,Cross-platform,All industries,https://crates.io/crates/pqcrypto,https://github.com/rustpq/pqcrypto,Rust wrapper around PQClean providing FFI bindings to reference implementations.,Open Source Community,Verified,2026-02-13
liboqs-rust (oqs crate),CSC-001,Cryptographic Libraries,"Yes (All liboqs algorithms)",High-level Rust wrapper for liboqs C library. Provides safe abstractions for NIST PQC algorithms supported by the Open Quantum Safe project.,Open Source,Apache-2.0/MIT,0.11.0,2025-04,No,High,Cross-platform,All industries,https://crates.io/crates/oqs,https://github.com/open-quantum-safe/liboqs-rust,Official Rust bindings for the Open Quantum Safe library.,Open Source Foundation,Verified,2026-02-13
mlkem-native,CSC-001,Cryptographic Libraries,Yes (ML-KEM),Formally verified and optimized C/Assembly implementation of ML-KEM. Part of Linux Foundation PQCA PQ Code Package. Proven memory safety and functional correctness. Reached stable v1.0.0 release.,Open Source,Apache-2.0/MIT/ISC,1.0.0,2025-06-04,No (Formally Verified),Critical,Linux macOS (AArch64 optimized),All industries,https://pqca.org/pq-code-package/,https://github.com/pq-code-package/mlkem-native,High-assurance production-ready ML-KEM implementation formally verified for correctness.,Open Source Foundation,Verified,2026-02-13
leancrypto,CSC-001,Cryptographic Libraries,"Yes (SHA-3 SHAKE Ascon HQC)",Minimal functionality cryptographic library for bare-metal embedded systems. Now includes HQC and SHA-3/SHAKE PQC primitives.,Open Source,GPL-2.0+/BSD/Leancrypto,Current,2025,Yes (CAVP for Hash),High,Embedded Bare-metal Linux,All industries,https://leancrypto.org/,https://github.com/wolfeidau/leancrypto,Lean crypto library optimized for small footprint embedded environments.,Open Source Community,Verified,2026-02-13
Cosmian covercrypt,CSC-001,Cryptographic Libraries,Yes (KEMAC Hybrid),Implementation of ETSI TS 104 015 Quantum-Safe Hybrid Key Exchanges with Hidden Access Policies. Enables attribute-based encryption (ABE) with post-quantum security.,Open Source,Apache-2.0,Current,2025-02,No,High,Cross-platform,Finance Healthcare Defense,https://cosmian.com/,https://github.com/Cosmian/cover_crypt,"Attribute-based encryption with quantum resistance, compliant with ETSI TS 104 015.",Trusted Vendor,Verified,2026-02-13
pqm4,CSC-001,Cryptographic Libraries,"Yes (NIST PQC Suite)","Library for benchmarking and testing PQC on ARM Cortex-M4 microcontrollers. Contains optimized implementations of ML-KEM, ML-DSA, etc.",Open Source,Apache-2.0/MIT/CC0,Current,2025,No,Medium,ARM Cortex-M4,Embedded,https://github.com/mupq/pqm4,https://github.com/mupq/pqm4,Testing and benchmarking framework for PQC on embedded ARM Cortex-M4 devices.,Open Source Community,Verified,2026-02-13
HQC Algorithm,CSC-001,Cryptographic Libraries,Yes (HQC),NIST-selected backup Key Encapsulation Mechanism (March 2025). Code-based cryptography offering an alternative to lattice-based ML-KEM.,Open Source,Apache-2.0 (PQClean),N/A,2025-03,No (NIST Selected),Critical,Cross-platform,All industries,https://pqc-hqc.org/,https://github.com/PQClean/PQClean,Reference implementation of the Hamming Quasi-Cyclic (HQC) KEM.,Open Source Community,Verified,2026-02-13
citadel_pqcrypto,CSC-001,Cryptographic Libraries,"Yes (Kyber NTRU+)",Rust library for Citadel Protocol with multi-layered encryption and anti-replay protection. Features novel 3D matrix ratcheting and scramcryption.,Open Source,Apache-2.0/MIT,Current,2025,No,High,Cross-platform,All industries,https://crates.io/crates/citadel_pqcrypto,https://github.com/citadel-protocol/citadel_pqcrypto,PQC library for Citadel Protocol with built-in anti-replay and ratcheting.,Open Source Community,Verified,2026-02-13
Microsoft SymCrypt,CSC-001,Cryptographic Libraries,"Yes (ML-KEM XMSS LMS)",Core cryptographic library for Windows Azure and Microsoft 365. Now integrated with ML-KEM and XMSS stateful signatures. Undergoing FIPS 140-3 validation for PQC module.,Commercial,Commercial,v103.8.0,2025-01-29,Yes (In Progress),Critical,Windows Linux Azure,All industries,https://github.com/microsoft/SymCrypt,https://github.com/microsoft/SymCrypt,Microsoft's core crypto library powering Windows Azure and O365. Optimized for performance and FIPS compliance.,Trusted Vendor,Verified,2026-02-13
AWS-LC,CSC-001,Cryptographic Libraries,"Yes (ML-KEM ML-DSA)",AWS's open-source crypto library derived from BoringSSL. First to achieve FIPS 140-3 validation for ML-KEM. Powers AWS KMS Secrets Manager and Certificate Manager.,Open Source,Apache-2.0/ISC,v1.67.0,2026-01-22,Yes (FIPS 140-3),Critical,Linux AWS Cloud,All industries,https://github.com/aws/aws-lc,https://github.com/aws/aws-lc,FIPS 140-3 validated crypto library for AWS services. Includes optimized ML-KEM and ML-DSA.,Trusted Vendor,Verified,2026-02-13
Nvidia cuPQC,CSC-001,Cryptographic Libraries,"Yes (ML-KEM ML-DSA Optimized)","GPU-accelerated PQC library for high-throughput workloads. Achieves 143x/99x/84x speedup over CPU for ML-KEM Keygen/Encapsulation/Decapsulation. Integrated with Open Quantum Safe (OQS) project via Linux Foundation PQCA. Essential for AI/ML security and high-performance computing.",Proprietary,Nvidia License,Current,2025,No,Critical,Linux Windows (Nvidia GPUs),AI Data Center,https://developer.nvidia.com/cupqc,,GPU-accelerated PQC SDK. Delivers massive throughput for ML-KEM and ML-DSA on Nvidia hardware. Now integrated with OQS.,Trusted Vendor,Verified,2026-02-13
Cisco IOS XE PQC,CSC-033,Network Security Software,"Yes (Full-Stack PQC NIST Algorithms)","IOS XE 26 delivers industry-first full-stack post-quantum cryptography for enterprise routing and switching. Protects networking devices data in transit and control plane traffic with NIST-approved algorithms. Supports 8000 Series Secure Routers and C9000 Series Smart Switches. Also maintains RFC 8784 PQC PSK for IKEv2/IPsec VPN protection.",Commercial,Commercial,IOS XE 26,2026-02-10,Yes (FIPS 140-2),Critical,Cisco 8000 C9000 ISR ASR CSR,Enterprise Government,https://www.cisco.com/c/en/us/products/ios-nx-os-software/ios-xe/index.html,,"Full-stack quantum-safe networking OS with NIST PQC algorithms for routing switching and VPN.",Trusted Vendor,Verified,2026-02-13
Google ALTS,CSC-005,TLS/SSL Implementation Software,"Yes (NTRU-HRSS+X25519)","Application Layer Transport Security with hybrid post-quantum key exchange (NTRU-HRSS + X25519). Protections Google's internal infrastructure traffic against quantum decryption.",Open Source,Apache-2.0,Current,2022,No,Critical,Google Cloud Internal,All industries,https://cloud.google.com/security/encryption-in-transit,,Google's internal transport security protocol now hardened with hybrid PQC.,Trusted Vendor,Verified,2026-02-13
Apple PQ3 / CoreCrypto,CSC-011,Secure Messaging and Communication,"Yes (ML-KEM ML-DSA Hybrid HPKE)","iMessage protocol (PQ3) achieving Level 3 security with hybrid ML-KEM. CryptoKit framework in iOS 26/macOS 26 provides ML-KEM 768/1024 and ML-DSA-65/ML-DSA-87 APIs for third-party apps via HPKE. Apple services including CloudKit Push Notifications Safari Maps Weather and iCloud Private Relay adopting quantum-secure TLS.",Proprietary,Commercial,iOS 26.3,2026-02-11,Yes (FIPS 140-3 CoreCrypto),Critical,iOS macOS iPadOS watchOS tvOS visionOS,Consumer Enterprise,https://security.apple.com/blog/imessage-pq3/,,First messaging protocol to achieve Level 3 security with separate PQC rekeying. System-wide PQC support in Apple ecosystem via CryptoKit ML-KEM and ML-DSA APIs.,Trusted Vendor,Verified,2026-02-13
Azure Dedicated HSM,CSC-002,Hardware Security Module (HSM) Software,Yes (via Thales),Leverages Thales Luna HSM PQC capabilities. Microsoft Azure offers quantum-safe HSM services for enterprise customers requiring hardware-backed PQC key storage.,Commercial,Commercial (Microsoft),Current,2025,Yes (FIPS 140-2 L3),Critical,Azure Cloud,"Finance, Government, Healthcare, Defense",https://azure.microsoft.com/en-us/products/azure-dedicated-hsm,,Thales Luna HSMs deployed in Azure datacenters for customer-exclusive use.,Trusted Vendor,Verified,2026-02-13
Entrust nShield,CSC-002,Hardware Security Module (HSM) Software,Yes (Hybrid PQC),Hybrid classical/PQC mode support. Enables organizations to run dual-mode cryptographic operations combining RSA/ECC with PQC algorithms for gradual migration in regulated environments.,Commercial,Commercial,13.x,2025,Yes (FIPS 140-2 L3),Critical,Linux Windows,"Finance, Government, Healthcare, Defense",https://www.entrust.com/digital-security/hsm,,Enterprise HSM solution with CodeSafe secure execution environment. Supports hybrid classical/PQC modes.,Trusted Vendor,Verified,2026-02-13
Thales Luna HSM,CSC-002,Hardware Security Module (HSM) Software,"Yes (ML-KEM FIPS 203 ML-DSA FIPS 204)","Production-ready PQC with native ML-KEM (FIPS 203) and ML-DSA (FIPS 204) support integrated into firmware v7.9. Software v7.9.1 adds hybrid KEM (ML-KEM) for NTLS SSH and REST APIs. Firmware v7.9.2 is next FIPS 140-3 Level 3 candidate with PQC. First HSM in industry to receive FIPS 140-3 Level 3 validation. NATO Secret classification achieved.",Commercial,Commercial,7.9.1,2026-02-05,Yes (FIPS 140-3 L3),Critical,Linux Windows,"Finance, Government, Healthcare, Defense",https://cpl.thalesgroup.com/encryption/hardware-security-modules,,Enterprise HSM with production-ready native PQC algorithms. FIPS 140-3 Level 3 validated with ML-KEM and ML-DSA.,Trusted Vendor,Verified,2026-02-13
Utimaco SecurityServer,CSC-002,Hardware Security Module (HSM) Software,Yes (PQC roadmap),PQC roadmap includes support for NIST algorithms. German HSM vendor positioning for post-quantum transition in European markets and critical infrastructure.,Commercial,Commercial,5.x,2025,Yes (FIPS 140-2 L3),Critical,Linux Windows,"Finance, Government, Healthcare, Defense",https://utimaco.com/,,General purpose HSM platform for enterprise cryptographic operations and key management.,Trusted Vendor,Verified,2026-02-13
AWS KMS,CSC-003,Key Management Systems (KMS),Limited (Hybrid),Limited hybrid PQC support in key management operations. AWS is gradually rolling out quantum-safe capabilities across KMS to protect customer encryption keys against future quantum threats.,Commercial,Commercial (AWS),Current,2025,Yes (FIPS 140-2 L2),Critical,AWS Cloud,All industries,https://aws.amazon.com/kms/,,Managed service for creating and controlling encryption keys. Integrates with AWS services.,Trusted Vendor,Verified,2026-02-13
HashiCorp Vault,CSC-003,Key Management Systems (KMS),Yes (SLH-DSA in Transit experimental),Experimental support for SLH-DSA in Transit secrets engine. Enables quantum-resistant encryption-as-a-service for protecting data in transit. Early adoption in enterprise secrets management.,Commercial,BUSL-1.1/Enterprise,1.21.2,2026-01-07,Yes (Enterprise HSM),Critical,Linux Windows macOS Kubernetes,All industries,https://developer.hashicorp.com/vault,https://github.com/hashicorp/vault,Enterprise secrets management encryption-as-a-service and privileged access management. Supports PKI SSH transit encryption.,Trusted Vendor,Verified,2026-02-13
Google Cloud KMS,CSC-003,Key Management Systems (KMS),"Yes (ML-KEM ML-DSA SLH-DSA X-Wing)","KMS-level PQC key types for customer use. Key Encapsulation (GA): ML-KEM-768 ML-KEM-1024 and X-Wing (hybrid ML-KEM-768 + X25519). Digital Signatures (Preview): ML-DSA-65 and SLH-DSA-SHA2-128S. Customers can create manage and use PQC keys directly.",Commercial,Commercial (GCP),Current,2025-10,Yes (FIPS 140-2 L1 software / L3 Cloud HSM),Critical,Google Cloud,All industries,https://cloud.google.com/kms,,Cloud-hosted key management with industry-leading PQC key type support. ML-KEM GA and ML-DSA/SLH-DSA in preview.,Trusted Vendor,Verified,2026-02-16
Azure Key Vault,CSC-003,Key Management Systems (KMS),Planned,"No PQC key types currently exposed through Key Vault API or Managed HSM. Underlying SymCrypt library implements ML-KEM and ML-DSA available via Windows CNG APIs. Microsoft roadmap targets quantum-safe services by 2029.",Commercial,Commercial (Azure),Current,2026-01,Yes (FIPS 140-2 L1 / Managed HSM L3),Critical,Azure Cloud,All industries,https://azure.microsoft.com/en-us/products/key-vault,,Cloud key management. PQC not yet available as key types but underlying SymCrypt library is PQC-capable.,Trusted Vendor,Verified,2026-02-16
Thales CipherTrust Manager,CSC-003,Key Management Systems (KMS),"Limited (ML-KEM TLS / PQC Tech Preview)","Tech preview PQC support in v2.21+. ML-KEM TLS cipher on web interface for HNDL protection. Full PQC key lifecycle via Luna HSM v7.9 integration with native ML-DSA and ML-KEM.",Commercial,Commercial,2.22.0,2025-12-31,Yes (Luna HSM FIPS 140-3 L3 pending),Critical,Linux Virtual Appliance Cloud,"Finance, Government, Healthcare, Defense",https://cpl.thalesgroup.com/encryption/ciphertrust-manager,,Enterprise key management with PQC tech preview. Full PQC key lifecycle through Luna HSM v7.9 integration.,Trusted Vendor,Verified,2026-02-16
Entrust KeyControl,CSC-003,Key Management Systems (KMS),"Yes (ML-KEM ML-DSA SLH-DSA)","Full PQC key management with ML-KEM ML-DSA and SLH-DSA key types. Supports encapsulation decapsulation sign and verify operations. PQ-TLS for KMIP connections. nShield 5 HSM v13.8.0 natively supports PQC with CAVP validation.",Commercial,Commercial,10.4.3,2025,Yes (nShield 5 FIPS 140-3 L3),Critical,Linux Virtual Appliance Cloud,"Finance, Government, Healthcare, Defense",https://www.entrust.com/products/key-management/keycontrol,,Enterprise key management with production PQC key types. Integrated with nShield 5 HSMs for hardware-accelerated quantum-safe key lifecycle.,Trusted Vendor,Verified,2026-02-16
IBM Guardium Key Lifecycle Manager,CSC-003,Key Management Systems (KMS),"Planned (via Guardium Cryptography Manager)","GKLM does not have PQC key types yet. IBM launched Guardium Cryptography Manager (Oct 2025) for PQC migration with posture visibility and remediation workflows. GKLM supports crypto-agility for future PQC adoption.",Commercial,Commercial (IBM),5.1,2025-12-19,Yes (FIPS 140-3 L1 / optional L3 with HSM),Critical,Linux AIX Windows,"Finance, Government, Healthcare",https://www.ibm.com/products/guardium-key-lifecycle-manager,,Enterprise key lifecycle management with KMIP support. PQC migration via companion Guardium Cryptography Manager.,Trusted Vendor,Verified,2026-02-16
Oracle Key Vault,CSC-003,Key Management Systems (KMS),"No (Planned via Oracle ecosystem)","No PQC features in v21.13. Oracle PQC efforts focused on database TLS (ML-KEM in Oracle 26ai) and JDK-level PQC (ML-DSA in JDK 26). Key Vault PQC expected via Oracle ecosystem integration.",Commercial,Commercial (Oracle),21.13,2025-12-19,Yes (Oracle FIPS mode),High,Oracle Linux Oracle Database Appliance,"Finance, Government, Healthcare",https://docs.oracle.com/en/database/oracle/key-vault/,,Oracle database encryption key management. PQC not yet available; expected through broader Oracle platform PQC rollout.,Trusted Vendor,Verified,2026-02-16
