industry,threat_id,threat_description,criticality,crypto_at_risk,pqc_replacement,main_source,source_url,accuracy_pct,related_modules,trusted_source_id,local_file,peer_reviewed,vetting_body,source_url_quality,trusted_source_id_status,data_quality_notes,confidence_score,last_verified,applicable_industries_normalized,status,deprecated_at,deprecated_reason,related_standards
Government & Defense,GOV-002,"CNSA 2.0 compliance deadline pressure: NSA mandates CNSA 2.0 compliance with phased deadlines — software/firmware signing supported and preferred by 2025 (exclusively by 2030), networking equipment supported and preferred by 2026 (exclusively by 2030), NSS acquisitions by January 2027, web browsers/servers/cloud supported and preferred by 2025 (exclusively by 2033), full transition by 2033.",Critical,"Federal PKI, NSS communications, classified systems, defense supply chain","FIPS 140-3 validated PQC modules, CMVP certification acceleration",NSA CNSA 2.0 Guidance,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,90,compliance-strategy|migration-program|pqc-governance,nsa-media,threats/GOV-002.pdf,no,NSA,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Reactivated 2026-05-21: headless-browser snapshot via Playwright (586858 bytes). Editorial 2026-05-21: CNSA 2.0 deadline corrected 2035→2033 — 2035 is not a CNSA 2.0 milestone per audit AERO-002. Re-snapshotted 2026-06-09: fresh Playwright proof (586858 bytes). [2026-07-16 accuracy check] Verified: cited source directly supports this row's core claims.,85,2026-07-16,government;defense,active,,,CNSA-2.0;FIPS-140
Government & Defense,GOV-003,"Federal PQC procurement guidance: CISA January 2026 federal buying guidance pursuant to Executive Order 14306 (June 2025) recommends agencies procure quantum-resistant technology across designated product categories including cloud services, collaboration tools, web browsers/servers, and endpoint security. Note: EO 14306 removed the original procurement mandate but CISA's product categories list strongly encourages PQC-capable acquisitions.",High,"COTS products, federal IT infrastructure, defense systems","NIST FIPS 203/204/205 compliance, ACVP testing, vendor PQC roadmaps",CISA Product Categories for PQC Technologies,https://www.cisa.gov/resources-tools/resources/product-categories-technologies-use-post-quantum-cryptography-standards,90,compliance-strategy|vendor-risk|pqc-governance,cisa,threats/GOV-003.html,no,CISA,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). [2026-07-16 accuracy check] Verified: cited source directly supports this row's core claims.,85,2026-07-16,government;defense,active,,,FIPS-203
Government & Defense,GOV-004,"Federal PKI signature forgery risk: Quantum-enabled impersonation of federal systems and fraudulent certificate issuance affecting government-wide trust infrastructure. The Federal PKI serves as the root of trust for digital identity across federal agencies, and quantum forgery of CA certificates would compromise the entire federal trust hierarchy.",High,"RSA-2048/4096 in Federal PKI, ECDSA P-256/P-384 intermediate certificates","ML-DSA-87, SLH-DSA, hybrid X.509 certificates",Federal PKI Policy Authority,https://www.idmanagement.gov/fpki/,65,pki-workshop|hybrid-crypto|compliance-strategy,fpki,threats/GOV-004.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: source_url replaced (Was CISA generic guidance. FPKI documentation lives at idmanagement.gov.). Salvage 2026-05-21: deep-link substituted (idmanagement.gov FPKI overview (current canonical landing).). Re-snapshotted 2026-06-09: fresh Playwright proof (156643 bytes). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: no quantum/PQC content anywhere in document; crypto_at_risk algorithms not stated in doc.,55,2026-07-16,government;defense,active,,,
Government & Defense,GOV-005,"NSA CNSA 2.0 mandates technology-category migration timelines for National Security System operators, requiring software/firmware signing and web/cloud services to prefer PQC by 2025, networking by 2026, operating systems by 2027, and constrained devices by 2030, with exclusive deadlines between 2030 and 2033. The December 2024 FAQ further requires phasing out non-compliant equipment by December 31, 2030, enforcing mandatory CNSA 2.0 use by December 31, 2031, and achieving full NSS quantum resistance by 2033.",Critical,"All public-key cryptography in NC3 systems, strategic communications encryption","CNSA 2.0 full suite, AES-256, ML-KEM-1024, ML-DSA-87",NSA CNSA 2.0 Cybersecurity Advisory,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,90,pki-workshop|kms-pqc|hsm-pqc|iot-ot-pqc,iso-iec-sc27,threats/GOV-005.pdf,yes,ISO,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Reactivated 2026-05-21: headless-browser snapshot via Playwright (586858 bytes). LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored). Editorial 2026-05-21: GOV-005 deadline corrected 2035→2033 to match CNSA 2.0 official (same correction as AERO-002). Re-snapshotted 2026-06-09: fresh Playwright proof (586858 bytes). [2026-07-16 accuracy check] Verified: cited source directly supports this row's core claims.,85,2026-07-16,government;defense,active,,,CNSA-2.0
Government & Defense,AUS-GOV-001,"Harvest-now-decrypt-later attacks targeting Australian classified data: Foreign state actors actively intercepting and storing encrypted Australian government communications. ASD's Annual Cyber Threat Report 2023-2024 identifies nation-state actors targeting Australian government networks. Classified data encrypted with current RSA/ECDSA is at full Shor's-algorithm risk when CRQCs become available; AES-128 retains 64-bit effective security against Grover's algorithm (weakened, not broken) — AES-256 is the symmetric mitigation.",Critical,"Australian government classified communications, AUSTEO/AGAO data, ASD-protected networks, DSPF-covered systems (RSA/ECDSA primary risk; AES-128 secondary weakening)","ML-KEM-1024 for key encapsulation, ML-DSA-87 for digital signatures per ISM-1917; transition plan required by end of 2026",ASD ACSC Annual Cyber Threat Report 2024–25,https://www.cyber.gov.au/about-us/view-all-content/reports-and-statistics/annual-cyber-threat-report-2024-2025,65,kms-pqc|hsm-pqc|hybrid-crypto|vpn-ssh-pqc|pqc-governance,acsc,threats/AUS-GOV-001.html,yes,ASD,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Reactivated 2026-05-21 via Wayback Machine snapshot (20260315142629, 479545B from http://web.archive.org/web/20260315142629/https://www.cyber.gov.au/about-us/view-all-content/reports-and-statistics/annual-cyber-threat-report-2024-2025). Hand-edit 2026-05-21: dropped redundant Correction sentence — prose already distinguishes Grover (weakening AES-128→64-bit) from Shor (break of RSA/ECDSA) and names AES-256 as mitigation — appended Correction is redundant. [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: No HNDL claim in report; No ISM-1917, ML-KEM/ML-DSA, AUSTEO/AGAO, or end-2026 deadline content.",55,2026-07-16,government;defense,active,,,
Government & Defense,AUS-GOV-002,"The Australian Signals Directorate Information Security Manual mandates AES-256 for data at rest at SECRET and above, while separate controls require RSA-2048 or ECDSA P-384 for signatures and ECDH P-384 for key exchange. These distinct asymmetric algorithms remain vulnerable to quantum attacks, yet the ISM has not yet established deployment timelines for post-quantum cryptography. This regulatory gap leaves Australian government systems exposed during the critical transition period.",High,"Government ICT systems, GovPass digital identity, myGov infrastructure, agency PKI","ML-KEM-1024, ML-DSA-87 per ISM control ISM-1917; LATICE framework (Locate, Assess, Transition, Implement, Communicate, Educate)",ASD Information Security Manual — ISM-1917,https://webarchive.nla.gov.au/awa/20240101000000*/https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/ism/cyber-security-guidelines/guidelines-for-cryptography,95,kms-pqc|hsm-pqc|pqc-governance|hybrid-crypto,acsc,threats/AUS-GOV-002.html,yes,ASD,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored). Resource swap 2026-05-21: NLA web archive snapshot of the cyber.gov.au ISM cryptography page (cyber.gov.au itself blocks all automated access). Reactivated 2026-05-21: Playwright snapshot at alternate source (7690B).,85,2026-07-16,government;defense,deprecated,2026-07-16,Evidence audit 2026-07-16 (UNREADABLE): Trove archive viewer wrapper with no captured content (~26 chars of text),
Healthcare / Pharmaceutical,HLTH-001,HNDL on patient records: Healthcare data has lifetime sensitivity; genomic data and mental health records remain sensitive indefinitely. HIPAA mandates 6+ year retention but records persist 25+ years.,Critical,"RSA, ECDH, ECDSA, TLS","ML-KEM-768/1024, ML-DSA, AES-256",HHS HIPAA Security Rule,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/subpart-C,65,quantum-threats|pqc-risk-management|healthcare-pqc|data-asset-sensitivity,hhs,threats/HLTH-001.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Resource swap 2026-05-21: 45 CFR Part 164 Subpart C — the actual HIPAA Security Rule text. ecfr.gov via Playwright bypasses hhs.gov bot-block. Reactivated 2026-05-21: Playwright snapshot at alternate source (149853B). Re-snapshotted 2026-06-09: fresh Playwright proof (149839 bytes). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: No quantum/HNDL content (regulation text); 25+ year record persistence claim beyond document.,55,2026-07-16,healthcare;pharmaceutical,active,,,
Healthcare / Pharmaceutical,HLTH-002,"Major Thales reports indicate roughly one-third of healthcare organizations experience a data breach annually, yet healthcare records possess multi-decade sensitivity lifetimes that far exceed regulatory retention mandates. While HIPAA requires only six years of compliance documentation and state laws typically mandate seven to ten years for medical records, the underlying data remains medically relevant for decades. Consequently, PHI encrypted today will likely be vulnerable to quantum decryption long before its full sensitivity lifetime expires.",Critical,"EHR databases, medical imaging, patient portals, health information exchanges, cloud encryption","ML-KEM-768/1024, ML-DSA, AES-256-GCM, quantum-safe TLS",Thales 2025 Data Threat Report Healthcare Edition,https://cpl.thalesgroup.com/healthcare-lifesciences-data-threat-report,88,tls-basics|kms-pqc|hsm-pqc|compliance-strategy|healthcare-pqc|database-encryption-pqc|data-asset-sensitivity,thales-research,threats/HLTH-002.html,no,Thales,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended; source_url replaced (Was FDA cybersecurity guidance. Thales Data Threat Report (healthcare) is at cpl.thalesgroup.com.). LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored). Re-snapshotted 2026-06-09: fresh Playwright proof (1054560 bytes). [2026-07-16 re-sourced] Original evidence was the wrong/generic document (deprecated in the same-day accuracy audit); replaced with the real cited source, verified by content, and reactivated.",82,2026-07-16,healthcare;pharmaceutical,active,,,
Healthcare / Pharmaceutical,HLTH-003,FDA premarket cybersecurity guidance: FDA finalized guidance (September 2023) under Section 524B of FD&C Act (Consolidated Appropriations Act 2023). Requires cryptographic risk assessment and Software Bill of Materials for new device submissions. Medical devices with 10-20 year lifecycles deploying now will operate into the CRQC era.,High,"RSA-2048, ECDSA in device firmware, TLS in medical devices, PKI for device authentication","ML-KEM-768, ML-DSA, crypto-agile firmware update mechanisms",FDA Premarket Cybersecurity Guidance 2023,https://www.fda.gov/media/119933/download,65,iot-ot-pqc|code-signing|crypto-agility|healthcare-pqc,fda,threats/HLTH-003.pdf,no,,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: landing page only; no SBOM or crypto-assessment text; no quantum/PQC/CRQC content. | 2026-08-16: Replaced thin landing page with the actual FDA guidance PDF (SBOM/Section 524B content confirmed). Flag: this guidance was updated Feb 2026 (superseding a June 2025 edition, which superseded the original Sept 2023 text named in catalog_title) — content is substantively consistent but the specific '2023' edition is no longer the live document at this URL.",55,2026-08-16,healthcare;pharmaceutical,active,,,
Healthcare / Pharmaceutical,HLTH-004,"The Drug Supply Chain Security Act mandates electronic product identifier verification for prescription drugs, relying on PKI certificates for trading partner authentication. Although full enforcement was originally scheduled for November 2023, the FDA issued guidance deferring these interoperability requirements through subsequent extensions. Consequently, RSA and ECDSA certificates continue to underpin critical supply chain authentication, maintaining a significant quantum vulnerability during this extended compliance transition period.",Critical,"RSA and ECDSA trading-partner certificates, PKI for DSCSA interoperable exchange, TLS in verification transactions","ML-DSA for trading-partner certificates, hybrid PKI during the deferred-enforcement window, PQC-enabled interoperable exchange","FDA — DSCSA Standards for the Interoperable Exchange of Information for Tracing (Guidance for Industry, Sept 2023)",https://www.fda.gov/media/171796/download,60,iot-ot-pqc|code-signing|kms-pqc|hsm-pqc|healthcare-pqc,fda,threats/HLTH-004.pdf,no,FDA,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored). [2026-07-16 re-sourced] Original evidence was the wrong document (deprecated in the same-day accuracy audit); replaced with a real, correctly-attributed, on-topic source — but this document itself does not contain the row's quantum/crypto-specific claims, which remain analytical extrapolation, not directly sourced. Reactivated as PARTIAL, not fully supported. Corrected 2026-08-22: crypto_at_risk and pqc_replacement described MEDICAL DEVICES (""BLE cryptography, TLS in medical IoT, embedded ECC in implantable devices"") while this row's own threat_description is about DSCSA drug-supply-chain PKI. Realigned to what the description itself names — RSA/ECDSA trading-partner certificates for interoperable exchange. Found while checking whether HLTH-004 and HLTH-005 were duplicates; they are not.",55,2026-07-16,healthcare;pharmaceutical,active,,,
Healthcare / Pharmaceutical,HLTH-005,Drug supply chain authentication quantum risk: Drug Supply Chain Security Act (DSCSA) mandates product serialization and verification to prevent counterfeit drug infiltration. EPCIS (Electronic Product Code Information Services) and verification systems rely on digital signatures and TLS. Quantum forgery of verification responses enables counterfeit drug injection into the legitimate supply chain.,High,"EPCIS digital signatures, TLS authentication for verification systems, manufacturer PKI","ML-DSA for supply chain signing, hybrid verification certificates, PQC-enabled EPCIS",FDA Drug Supply Chain Security Act (DSCSA),https://www.fda.gov/regulatory-information/search-fda-guidance-documents/dscsa-standards-interoperable-exchange-information-tracing-certain-human-finished-prescription-drugs,65,code-signing|pki-workshop|healthcare-pqc,fda,threats/HLTH-005.pdf,no,,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: No cryptography, EPCIS, digital-signature, TLS, or quantum content on page. | 2026-08-16: Replaced generic DSCSA overview page with FDA's actual EPCIS interoperability-standards guidance document, which substantiates the row's EPCIS claim that the overview page did not cover. Corrected 2026-08-22: trusted_source_id was ""csa-cloud"" while source_url is fda.gov and main_source names the FDA. Set to fda, matching HLTH-004 which cites the same guidance.",55,2026-08-16,healthcare;pharmaceutical,active,,,
Insurance,INS-001,"Current actuarial models for cyber insurance rely on probabilistic data that excludes quantum computing threat scenarios, leaving Lloyd's of London and major reinsurers unprepared for systemic losses across RSA and ECDSA-dependent policyholders. While the Geneva Association has published research on systemic risks from emerging technologies, the specific integration of quantum risk into pricing models remains an industry observation rather than a standardized practice. This gap highlights the urgent need for post-quantum migration to prevent correlated financial exposure.",High,"RSA/ECDSA protecting policyholder data, TLS for claims processing, database encryption","ML-KEM for key exchange, AES-256-GCM, ML-DSA for document signing",NAIC Insurance Data Security Model Law (MDL-668),https://content.naic.org/sites/default/files/model-law-668.pdf,75,pqc-risk-management|compliance-strategy|kms-pqc|hsm-pqc|data-asset-sensitivity|database-encryption-pqc,cisa,threats/INS-001.pdf,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended. LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored). Re-snapshotted 2026-06-09: fresh Playwright proof (238211 bytes).,60,2026-07-16,insurance,deprecated,2026-07-16,Evidence audit 2026-07-16 (UNSUPPORTED): NAIC MDL-668 (2017) has no quantum/crypto-algorithm content,
Insurance,INS-002,"Life insurance, annuity, and pension contracts face multi-decade quantum exposure when long-lived keys are not rotated, potentially extending risk beyond typical 20-70 year durations. While NAIC Insurance Data Security Model Law #668 addresses cybersecurity programs broadly, it does not mandate specific cryptographic algorithms. Similarly, IAIS Insurance Core Principles establish supervisory frameworks without dictating algorithm choices for member jurisdictions.",High,"Database encryption, policyholder data TLS, claims management systems","PQC-enabled encryption, hybrid TLS 1.3, ML-KEM key management",NAIC Model Law #668 + IAIS Insurance Core Principles,https://www.dfs.ny.gov/industry_guidance/cybersecurity,75,compliance-strategy|tls-basics|kms-pqc|hsm-pqc|data-asset-sensitivity|database-encryption-pqc,nydfs,threats/INS-002.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended. LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored).,60,2026-07-16,insurance,deprecated,2026-07-16,"Evidence audit 2026-07-16 (UNSUPPORTED): Evidence is NY DFS Part 500 resource center, not NAIC Model Law #668 or IAIS ICPs",
Insurance,INS-003,"International reinsurance treaties involve highly confidential financial data exchanged globally, with pricing and exposure information retaining sensitivity for 10 to 30 years. The Geneva Association’s 2023 publication, Quantum Computing and the Financial Sector, identifies quantum computing as an emerging systemic risk for these institutions. This long-term data sensitivity necessitates immediate post-quantum cryptography migration to protect against future decryption threats.",High,"Actuarial model encryption, reinsurance platform crypto, policyholder PII protection","AES-256 with ML-KEM key exchange, ML-DSA for contract signing, crypto-agile platforms",Geneva Association Systemic Cyber Risk Research,https://www.genevaassociation.org/research-topics/cyber,75,pqc-risk-management|pqc-business-case|data-asset-sensitivity,geneva-association,threats/INS-003.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended. LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored). Re-snapshotted 2026-06-09: fresh Playwright proof (106271 bytes).,60,2026-07-16,insurance,deprecated,2026-07-16,"Evidence audit 2026-07-16 (UNSUPPORTED): page is a publications index, zero quantum mentions",
Internet of Things (IoT),IOT-001,"IoT device risk escalation: Forescout 2025 research reports overall average device risk scores increased 15% year-over-year, with significant country-level risk score increases. Billions of constrained devices using ECDSA P-256 and RSA-2048 with limited crypto-agility and no practical firmware update path for PQC migration.",Critical,"ECDSA P-256, RSA-2048, TLS 1.2 in IoT devices, device provisioning certificates","Lightweight PQC (FN-DSA, SLH-DSA), hybrid schemes for constrained devices",Forescout Device Risk Research,https://www.forescout.com/research-labs/,75,iot-ot-pqc|hybrid-crypto|stateful-signatures|crypto-agility,forescout,threats/IOT-001.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,60,2026-07-16,iot,deprecated,2026-07-16,"Evidence audit 2026-07-16 (UNSUPPORTED): evidence is Vedere Labs overview homepage, not the 2025 device-risk report",
Internet of Things (IoT),IOT-002,"Industrial IoT SCADA quantum vulnerability: IEC 62443 governs industrial automation security. OPC UA protocol uses RSA/ECDSA for authentication across manufacturing, energy, and critical infrastructure. IIoT environments with 15-25 year equipment lifecycles and air-gapped networks face complex PQC migration.",Critical,"OPC UA RSA/ECDSA, IEC 62443 authentication, industrial protocol encryption","OPC UA PQC implementation, IEC 62443 quantum update, hybrid industrial protocols",IEC 62443 Industrial Automation Security,https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series-of-standards,65,iot-ot-pqc|vpn-ssh-pqc|network-security-pqc,iec,threats/IOT-002.html,no,,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Re-snapshotted 2026-06-09: fresh Playwright proof (363461 bytes). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: no OPC UA, RSA/ECDSA, quantum, or PQC content; generic standards catalog page. [2026-07-16] Note: local_file evidence is identical to the other of ENERGY-004/IOT-002 — a generic ISA/IEC 62443 catalog page; a sector-specific PQC source is still needed for either row.",55,2026-07-16,iot,active,,,IEC-62443
Internet of Things (IoT),IOT-003,"The IETF SUIT protocol for IoT firmware updates relies on COSE (RFC 9052) with ECDSA signatures, as defined by RFC 9019 for architecture and RFC 9124 for the manifest information model (the SUIT manifest wire format itself is still an IETF draft, draft-ietf-suit-manifest). Since none of these specifications prescribe post-quantum algorithms, the current implementation remains vulnerable to quantum attacks. This gap necessitates migration planning to ensure long-term security for software update integrity.",High,"COSE signatures (ECDSA/EdDSA), CoAP DTLS, firmware signing keys","Lightweight ML-DSA, SLH-DSA for stateless constrained devices or XMSS where state management is feasible, hybrid COSE signatures",IETF SUIT RFC 9019 + RFC 9124,https://www.rfc-editor.org/rfc/rfc9019.txt,65,iot-ot-pqc|code-signing|stateful-signatures|secure-boot-pqc,ietf,threats/IOT-003.html,no,,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Salvage 2026-05-21: deep-link substituted (RFC 9019 (SUIT Architecture) — actual RFC text, not the IETF WG portal.). LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored). Re-snapshotted 2026-06-09: fresh Playwright proof (66686 bytes). Fix 2026-07-09: RFC citation corrected against rfc-editor.org index — RFC 9644 is ""YANG Groupings for SSH Clients and SSH Servers"" (miscitation); SUIT manifest information model is RFC 9124 and the CBOR manifest wire format is not yet an RFC (draft-ietf-suit-manifest); description, main_source and related_standards updated. [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: RFC 9019 does not itself specify COSE or ECDSA; PQC-gap claim rests on absence of PQC mentions.",55,2026-07-16,iot,active,,,RFC-9019;RFC-9052;RFC-9124
Internet of Things (IoT),IOT-004,"Smart city infrastructure quantum vulnerability: Traffic management, public safety cameras, environmental sensors, and municipal IoT systems form interconnected networks with diverse device types and long deployment cycles. ISO/IEC 30182 defines smart community infrastructure framework. City-wide mesh networks and cloud gateways aggregate sensitive data from thousands of endpoints.",High,"City-wide IoT mesh networking, cloud gateway TLS, sensor authentication, municipal PKI","Quantum-safe smart city architecture, hybrid mesh protocols, PQC-enabled gateways",ISO/IEC 30182 Smart City Concept Model,https://www.iso.org/standard/53302.html,75,iot-ot-pqc|kms-pqc|hsm-pqc|network-security-pqc,iso-iec-sc27,threats/IOT-004.html,yes,ISO,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,85,2026-07-16,iot,deprecated,2026-07-16,Evidence audit 2026-07-16 (UNSUPPORTED): ISO catalog abstract page only; no quantum/security content,ISO/IEC-30182;IEC-30182
IT Industry / Software,IT-001,"Linux kernel LTS versions 6.6 and 6.12 remain current, but the primary post-quantum exposure vector for Linux systems lies in userspace crypto libraries rather than the in-kernel crypto API. Distributions relying on older LTS kernels must prioritize upgrading to OpenSSL 3.5+ or GnuTLS, which provide native ML-KEM and ML-DSA support from April 2025. This userspace-focused migration path is critical for securing cryptographic assets against quantum threats without requiring immediate kernel changes.",Critical,"Legacy RSA/ECDSA in crypto libraries, OpenSSL pre-3.5, libsodium, BoringSSL","OpenSSL 3.5+ with PQC, OQS provider, liboqs integration",OpenSSL PQC Integration,https://openssl-library.org/post/2025-04-08-openssl-35-final-release/,65,crypto-agility|tls-basics|crypto-dev-apis|os-pqc,openssl-project,threats/IT-001.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored). Re-snapshotted 2026-06-09: fresh Playwright proof (31821 bytes). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: Linux kernel LTS 6.6/6.12 claims not in document; GnuTLS claim not in document.,55,2026-08-16,it;software,active,,,
IT Industry / Software,IT-002,"The CA/Browser Forum Server Certificate Working Group is actively discussing PQC timeline requirements but has not yet adopted binding ballot language mandating specific PQC algorithms or timelines. Consequently, browser trust stores controlled by Apple, Google, Microsoft, and Mozilla will drive PQC certificate adoption schedules. Certificate Transparency logs provide visibility into CA PQC migration progress as it begins.",Critical,"CA root keys (RSA-4096/ECDSA), intermediate certificates, TLS server certificates, S/MIME","Hybrid X.509 certificates, ML-DSA CA hierarchy, composite certificate standards",CA/Browser Forum PKI Standards,https://cabforum.org/working-groups/server/baseline-requirements/documents/,65,pki-workshop|tls-basics|hybrid-crypto|web-gateway-pqc|os-pqc,cabf,threats/IT-002.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored). Re-snapshotted 2026-06-09: fresh Playwright proof (45184 bytes). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: page is TLS BR version index only; zero PQC/quantum content; 'actively discussing PQC' claim unverifiable from doc.,55,2026-07-16,it;software,active,,,
