reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status
RFC 9708,Use of the HSS/LMS Hash-Based Signature Algorithm in CMS,https://www.rfc-editor.org/rfc/rfc9708.html,2025-01-01,2025-01-01,Standards Track,"Updated HSS/LMS usage in CMS. Obsoletes RFC 8708.",Protocol,"Firmware; Critical Infrastructure","IETF LAMPS","RFC 8554; SP 800-208",International,"Hash-based (stateful)","L1-L5","CMS signatures for firmware","wolfSSL",Medium,New
RFC 9802,Use of HSS and XMSS Hash-Based Signature Algorithms in X.509 PKI,https://www.rfc-editor.org/rfc/rfc9802.html,2025-06-01,2025-06-01,Proposed Standard,"Defines OIDs and certificate structures for stateful hash-based signatures in X.509.",PKI/Certificate,"PKI; Gov; Critical Infrastructure","IETF LAMPS","RFC 8391; RFC 8554; SP 800-208",International,"Hash-based (stateful)","L1-L5","X.509 certificates with HBS","Bouncy Castle",Medium,New
RFC 9810,Certificate Management Protocol (CMP) Updates for KEM,https://www.rfc-editor.org/rfc/rfc9810.html,2025-07-01,2025-07-01,Standards Track,"Adds KEM key transport to CMP. Obsoletes RFC 4210.",Protocol,"PKI; Enterprise CA; IoT","IETF LAMPS","RFC 9629; FIPS 203",International,Lattice-based,"L1,L3,L5","PKI certificate management with PQC",N/A,Medium,New
RFC 9814,Use of SLH-DSA in CMS,https://www.rfc-editor.org/rfc/rfc9814.html,2025-07-19,2025-07-19,Proposed Standard,"Defines SPHINCS+ (SLH-DSA) usage in Cryptographic Message Syntax.",Protocol,"IT; Critical Infrastructure; Archival","IETF LAMPS","FIPS 205; RFC 5652",International,"Hash-based (stateless)","L1,L3,L5","CMS signatures, S/MIME","liboqs",Medium,Validated
RFC 9858,LMS Algorithm Identifiers for Alternative Hash Functions,https://www.rfc-editor.org/rfc/rfc9858.html,2025-04-01,2025-04-01,Standards Track,"Extends RFC 8554 with SHA-3 and SHAKE hash function options for LMS.",Algorithm,"Firmware; IoT","IETF CFRG","RFC 8554",International,"Hash-based (stateful)","L1-L5","Extended LMS options",N/A,Low,New
RFC 9881,Algorithm Identifiers for ML-DSA in X.509 PKI,https://www.rfc-editor.org/rfc/rfc9881.html,2025-10-01,2025-10-01,Proposed Standard,"Defines X.509 OIDs and certificate structures for ML-DSA (Dilithium) signatures.",PKI/Certificate,"Gov; Finance; Web PKI; Identity","IETF LAMPS","FIPS 204; RFC 5280",International,Lattice-based,"L2,L3,L5","PQ signatures in X.509 certificates","OpenSSL 3.5+",High,New
RFC 9882,Use of ML-DSA in CMS,https://www.rfc-editor.org/rfc/rfc9882.html,2025-10-29,2025-10-29,Standards Track,"Defines ML-DSA (Dilithium) usage in CMS for document and message signing.",Protocol,"Email; Messaging; JAR signing; Document Signing","IETF LAMPS","FIPS 204; RFC 5652",International,Lattice-based,"L2,L3,L5","CMS signatures","OpenSSL provider",High,Validated
RFC 9794,Terminology for Post-Quantum Traditional Hybrid Schemes,https://www.rfc-editor.org/rfc/rfc9794.html,2025-06-13,2025-06-13,Informational,"Defines standardized terminology for hybrid PQ/classical cryptographic schemes.",Terminology,"IT; Telecom; PQC implementers","IETF PQUIP","NIST PQC standards",International,N/A,N/A,"Assists protocol design and documentation",N/A,Low,Validated
RFC 9690,Using RSA-KEM in the Cryptographic Message Syntax (CMS),https://www.rfc-editor.org/rfc/rfc9690.html,2025-02-01,2025-02-01,Standards Track,"Updated RSA-KEM for CMS enabling hybrid classical+PQC scenarios. Obsoletes RFC 5990.",Protocol,"Email; Secure Messaging","IETF LAMPS","RFC 5652; RFC 8017",International,Classical+Hybrid,N/A,"Hybrid CMS encryption","OpenSSL",Medium,New
RFC 9370,Multiple Key Exchanges in IKEv2,https://www.rfc-editor.org/rfc/rfc9370.html,2023-05-01,2023-05-01,Standards Track,"Enables multiple key exchanges in single IKEv2 SA for hybrid PQ+classical.",Protocol,"VPN; Enterprise IT","IETF IPSECME","RFC 7296",International,"Hybrid framework",N/A,"IKEv2 PQ hybrid mode","StrongSwan 6.0+",High,New
RFC 8784,Mixing Preshared Keys in IKEv2 for Post-quantum Security,https://www.rfc-editor.org/rfc/rfc8784.html,2020-06-01,2020-06-01,Standards Track,"Adds PPK (Post-quantum Preshared Key) to IKEv2 for quantum resistance.",Protocol,"VPN; Government","IETF IPSECME","RFC 7296",International,PSK-based,N/A,"IKEv2 quantum-resistant mode","StrongSwan; Libreswan",Medium,New
RFC 8778,HSS/LMS Digital Signature for Use with COSE,https://www.rfc-editor.org/rfc/rfc8778.html,2020-04-01,2020-04-01,Standards Track,"HSS/LMS signatures for CBOR Object Signing for IoT devices.",Protocol,"IoT; Embedded","IETF COSE","RFC 8554",International,"Hash-based (stateful)","L1-L5","IoT signing with COSE",N/A,Low,New
RFC 8554,Leighton-Micali Hash-Based Signatures (LMS),https://www.rfc-editor.org/rfc/rfc8554.html,2019-04-01,2019-04-01,Informational,"Stateful hash-based signature scheme LMS. Updated by RFC 9858.",Algorithm,"Firmware; Embedded","IETF CFRG","SP 800-208",International,"Hash-based (stateful)","~128-256 bit","Firmware signing","wolfSSL",Low,Validated
RFC 8391,XMSS: eXtended Merkle Signature Scheme,https://www.rfc-editor.org/rfc/rfc8391.html,2018-05-01,2018-05-01,Informational,"Specifies XMSS and XMSS-MT stateful hash-based signature schemes.",Algorithm,"Firmware; Archival","IETF CFRG","SP 800-208",International,"Hash-based (stateful)","~128-256 bit","Firmware, archival","Bouncy Castle",Low,Validated
draft-ietf-tls-mlkem-04,ML-KEM Key Agreement for TLS 1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-mlkem/,2024-04-01,2025-07-22,Internet-Draft,"Adds standalone ML-KEM key agreement to TLS 1.3.",Protocol,"Web Security; Cloud","IETF TLS WG","FIPS 203; RFC 8446",International,Lattice-based,"L1,L3,L5","TLS 1.3 PQ key exchange","OpenSSL hybrid; BoringSSL",High,Updated
draft-ietf-tls-ecdhe-mlkem-03,Post-quantum Hybrid ECDHE-MLKEM Key Agreement for TLS 1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-ecdhe-mlkem/,2024-06-01,2025-11-22,Internet-Draft,"Hybrid X25519+ML-KEM-768 for TLS 1.3. Codepoint 0x11EC. Deployed in Chrome 131+, Firefox.",Protocol,"Web Security; Browsers","IETF TLS WG","FIPS 203; RFC 8446",International,"Lattice+ECDH","L3","TLS hybrid handshake (production)","Chrome; Firefox; Cloudflare",Critical,New
draft-ietf-tls-hybrid-design-16,Hybrid Key Exchange in TLS 1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-hybrid-design/,2019-03-04,2025-09-07,Internet-Draft,"Framework for hybrid classical + PQ key exchange in TLS 1.3.",Protocol,"TLS; Enterprise IT","IETF TLS WG","FIPS 203; RFC 8446",International,"Lattice+ECDH",N/A,"TLS hybrid handshake design","OpenSSL hybrid patches",High,Validated
draft-ietf-ipsecme-ikev2-mlkem-03,Post-quantum Hybrid Key Exchange with ML-KEM in IKEv2,https://datatracker.ietf.org/doc/draft-ietf-ipsecme-ikev2-mlkem/,2025-05-01,2025-09-29,Internet-Draft,"Adds ML-KEM to IKEv2 using RFC 9370 multiple key exchange framework.",Protocol,"VPN; Enterprise IT","IETF IPSECME","FIPS 203; RFC 7296; RFC 9370",International,Lattice-based,"L1,L3,L5","IKEv2 PQ hybrid mode","StrongSwan prototypes",High,Validated
draft-ietf-sshm-mlkem-hybrid-kex-04,Hybrid ML-KEM Key Exchange for SSH,https://datatracker.ietf.org/doc/draft-ietf-sshm-mlkem-hybrid-kex/,2025-01-29,2025-11-11,Internet-Draft,"Adds ML-KEM hybrid key exchange methods to SSH protocol.",Protocol,"SSH; DevOps; Server Admin","IETF SSHM WG","FIPS 203; RFC 4253",International,"Lattice+ECDH",N/A,"SSH hybrid handshake","OpenSSH 9.9+ (experimental)",Medium,Validated
draft-ietf-lamps-kyber-certificates-11,Algorithm Identifiers for ML-KEM in X.509 PKI,https://datatracker.ietf.org/doc/draft-ietf-lamps-kyber-certificates/,2022-06-03,2025-07-22,Internet-Draft,"Defines X.509 OIDs and structures for ML-KEM public keys in certificates.",PKI/Certificate,"Web PKI; IoT; Enterprise","IETF LAMPS","FIPS 203; RFC 5280",International,Lattice-based,"L1,L3,L5","Certificates with ML-KEM keys","OpenSSL provider",High,Validated
draft-ietf-lamps-dilithium-certificates-13,Algorithm Identifiers for ML-DSA in X.509 PKI,https://datatracker.ietf.org/doc/draft-ietf-lamps-dilithium-certificates/,2022-06-03,2025-09-30,Internet-Draft,"Defines X.509 OIDs and structures for ML-DSA signatures. Being superseded by RFC 9881.",PKI/Certificate,"Gov; Finance; Web PKI","IETF LAMPS","FIPS 204; RFC 5280",International,Lattice-based,"L2,L3,L5","PQ signatures in certificates","OpenSSL provider",High,Updated
draft-ietf-lamps-pq-composite-kem-10,Composite ML-KEM for Use in X.509 PKI and CMS,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-kem/,2023-03-02,2025-11-24,Internet-Draft,"Composite (classical+PQC) KEM combining RSA/ECDH with ML-KEM for X.509 and CMS.",PKI/Certificate,"Gov; Regulated industries; Finance","IETF LAMPS","FIPS 203; RFC 8017; RFC 5280",International,"RSA/ECDH + ML-KEM","L1,L3,L5","Hybrid certificates and CMS",Limited,Medium,Updated
draft-ietf-lamps-pq-composite-sigs-13,Composite ML-DSA for Use in X.509 PKI and CMS,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-sigs/,2023-03-02,2025-10-29,Internet-Draft,"Composite signatures combining RSA/ECDSA/Ed25519 with ML-DSA for hybrid PKI.",PKI/Certificate,"Gov; Regulated industries; Finance","IETF LAMPS","FIPS 204; FIPS 186-5; RFC 5280",International,"RSA/ECDSA + ML-DSA","L2,L3,L5","Hybrid certificate signatures",Limited,Medium,Validated
draft-ietf-lamps-cms-kyber-13,Use of ML-KEM in the Cryptographic Message Syntax (CMS),https://datatracker.ietf.org/doc/draft-ietf-lamps-cms-kyber/,2023-01-10,2025-09-23,Internet-Draft,"ML-KEM in CMS using KEMRecipientInfo from RFC 9629.",Protocol,"Secure Messaging; Document Encryption; Email","IETF LAMPS","RFC 9629; FIPS 203",International,Lattice-based,"L1,L3,L5","CMS PQ KEM encryption","OpenSSL CMS",High,Validated
draft-ietf-openpgp-pqc-14,Post-Quantum Cryptography in OpenPGP,https://datatracker.ietf.org/doc/draft-ietf-openpgp-pqc/,2023-07-01,2025-11-13,Internet-Draft,"PQC for OpenPGP: composite ML-KEM+X25519 encryption and ML-DSA+Ed25519 signatures.",Protocol,"Email; File Encryption; Code Signing","IETF OpenPGP WG","FIPS 203; FIPS 204; RFC 9580",International,"Lattice+ECDH/EdDSA","L3,L5","OpenPGP/GPG with PQC","GnuPG (experimental)",Medium,New
draft-ietf-pquip-pqc-engineers-14,Post-Quantum Cryptography for Engineers,https://datatracker.ietf.org/doc/draft-ietf-pquip-pqc-engineers/,2023-07-06,2025-08-26,Internet-Draft,"Practical guidance for engineers implementing PQC algorithms and protocols.",Guidance,"All IT sectors","IETF PQUIP","FIPS 203/204/205; TLS/SSH/IKE",International,N/A,N/A,"Migration preparation guidance",N/A,Medium,Validated
ETSI TS 103 744,Quantum-Safe Hybrid Key Exchanges,https://www.etsi.org/deliver/etsi_ts/103700_103799/103744/01.02.01_60/ts_103744v010201p.pdf,2023-02-01,2025-03-01,Published Technical Specification,"Framework for hybrid ECDH + ML-KEM with standard key combiners (concatenation, HKDF).",Protocol,"Telecom; Gov; Enterprise; IoT","ETSI QSC","FIPS 203; HKDF",Europe; International,"Lattice+ECDH","L1,L3,L5","Hybrid KEM in TLS/SSH/VPN","Reference test vectors",High,Validated
ETSI TR 103 619,Migration Strategies and Recommendations for Quantum-Safe Schemes,https://www.etsi.org/deliver/etsi_tr/103600_103699/103619/01.01.01_60/tr_103619v010101p.pdf,2020-07-01,2020-07-01,Published Technical Report,"Strategic guidance for transitioning to quantum-safe cryptography.",Guidance,"Enterprise; Gov; Telecom","ETSI QSC","NIST PQC",Europe; International,N/A,N/A,"Migration planning",N/A,Medium,New
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,2022-09-01,2025-05-30,Policy/Advisory,"US government adoption requirements for ML-KEM-1024, ML-DSA-87, SLH-DSA, LMS/XMSS. Level 5 recommended.",Compliance/Policy,"Government; Defense; NSS",NSA,"FIPS 203/204/205; SP 800-208",USA,Various,"Level 5 recommended","All federal/NSS systems",Vendor-specific,High,Validated
NSA CNSA 2.0 FAQ,CNSA 2.0 Frequently Asked Questions,https://media.defense.gov/2022/Sep/07/2003071836/-1/-1/0/CSI_CNSA_2.0_FAQ_.PDF,2022-09-01,2024-12-01,Policy/Advisory,"FAQ document with implementation timelines: 2025-2030 prefer, 2030-2033 exclusive, 2035 complete.",Compliance/Policy,"Government; Defense",NSA,"CNSA 2.0 CSA",USA,N/A,N/A,"Implementation timeline guidance",N/A,High,New
BSI TR-02102-1,Cryptographic Mechanisms: Recommendations and Key Lengths,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-1.pdf,2025-01-31,2025-01-31,Technical Guideline,"German federal recommendations including ML-KEM, ML-DSA, SLH-DSA, XMSS, LMS. Version 2025-01.",Compliance/Guidance,"Gov; Finance; Critical Infrastructure; IT",BSI Germany,"FIPS 203/204/205",Germany; EU,"Lattice; Hash-based","L3,L5 recommended","German federal systems and beyond",N/A,High,New
BSI TR-02102-2,Cryptographic Mechanisms: Recommendations for TLS,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-2.pdf,2025-01-31,2025-01-31,Technical Guideline,"TLS-specific PQC recommendations including hybrid key exchange. Version 2025-01.",Compliance/Guidance,"Web; Cloud; Enterprise","BSI Germany","TR-02102-1; RFC 8446",Germany; EU,"Lattice+ECDH",N/A,"TLS configuration",N/A,High,New
BSI TR-02102-3,Cryptographic Mechanisms: Recommendations for IPsec,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-3.pdf,2025-01-31,2025-01-31,Technical Guideline,"IPsec/IKEv2-specific PQC recommendations. Version 2025-01.",Compliance/Guidance,"VPN; Enterprise; Gov","BSI Germany","TR-02102-1; RFC 7296",Germany; EU,"Lattice+ECDH",N/A,"IPsec/VPN configuration",N/A,High,New
ANSSI PQC Position Paper,ANSSI Views on Post-Quantum Cryptography Transition,https://cyber.gouv.fr/sites/default/files/document/avis_anssi_sur_la_migration_vers_la_cryptographie_post_quantique_2022.pdf,2022-01-01,2022-01-01,Position Paper,"French national guidance mandating hybrid approach for products requiring security beyond 2030.",Compliance/Guidance,"Gov; Critical Infrastructure; Defense",ANSSI France,"NIST PQC",France; EU,N/A,"L5 recommended","French systems requiring long-term security",N/A,High,New
ANSSI PQC Follow-up Paper,ANSSI Views on Post-Quantum Cryptography Transition (2023 Follow-up),https://cyber.gouv.fr/sites/default/files/document/follow_up_position_paper_on_post_quantum_cryptography.pdf,2023-12-01,2023-12-01,Position Paper,"Updated guidance on hybridization requirements and timeline phases through 2030+.",Compliance/Guidance,"Gov; Critical Infrastructure",ANSSI France,"NIST PQC; ANSSI 2022",France; EU,"Lattice; Hash-based","L5 recommended","French national security systems",N/A,High,New
EU PQC Recommendation,Recommendation on Coordinated Implementation Roadmap for PQC Transition,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,2024-04-11,2024-04-11,Policy Recommendation,"EU-wide coordination framework for member state PQC transitions. Target 2030 for critical systems.",Compliance/Policy,"Gov; Critical Infrastructure; Finance",European Commission,"NIST PQC",EU,N/A,N/A,"EU member state coordination",N/A,High,New
NIST NCCoE SP 1800-38C,Migration to Post-Quantum Cryptography (Preliminary Draft),https://www.nccoe.nist.gov/sites/default/files/2023-12/pqc-migration-nist-sp-1800-38c-preliminary-draft.pdf,2023-12-01,2023-12-01,Preliminary Draft Practice Guide,"Practical guidance for enterprise PQC migration with use cases and reference architectures.",Guidance,"Enterprise IT; Gov; Finance","NIST NCCoE","FIPS 203/204/205",USA,N/A,N/A,"Enterprise migration planning","Reference implementations",High,New
