href,resolves_to,capability_claim,verified_on,verified_by,status,deprecated_at,deprecated_reason,notes
/playground/tls-simulator,TLSSimulatorTab,"Runs a real TLS 1.3 handshake in-browser, including the hybrid key-exchange groups X25519MLKEM768, SecP256r1MLKEM768 and SecP384r1MLKEM1024, and pure ML-DSA certificates.",2026-08-09,claude,active,,,"Developer + curious primary. Hybrid-group support confirmed against the OpenSSL algorithm list, not just the marketing copy on the tab."
/business/tools/breach-simulator,BusinessToolRoute,"Compares classical against quantum-enabled breach cost, per event and as annual expected loss.",2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/report?example=1,ReportView,"Renders a complete worked example report under the example's own authored persona, without requiring an assessment first.",2026-08-09,claude,active,,,"Executive secondary. Was bare /report until 2026-08-02, whose empty state offered the example to the curious persona ONLY — an executive following ""See a finished example"" landed on ""No Report Yet""."
/business/tools/risk-register,BusinessToolRoute,"Builds a PQC risk register with impact, likelihood, owners and mitigations per risk.",2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/business/tools/roadmap-builder,BusinessToolRoute,Builds a two-track migration roadmap (key-exchange/HNDL alongside signatures/PKI) across the framework's 8 phases.,2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/compliance,ComplianceView,"Lists standardization, certification and compliance frameworks and what each one already requires. Does not assess your own compliance.",2026-08-09,claude,active,,,"Verified 2026-08-02: renders 'Standardization, Certification & Compliance'."
/playground/openssl-studio,OpenSSLStudio,"A full OpenSSL 3.6.2 environment compiled to WASM — keygen, certificates, CSR, KEM, signing, KDF and encryption — with 11 guided lessons from first keypair to capstone.",2026-08-09,claude,active,,,Verified 2026-08-02: registry description plus the live L1-L11 lesson list. Note: the page is WASM-heavy and never reaches networkidle; it does render.
/business/tools/crypto-cbom-builder,BusinessToolRoute,"Builds a CBOM slice from an SBOM, library posture or HSM inventory; feeds the Assets pipeline.",2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/playground/api-security-jwt,ApiSecurityJwtWorkshop,"Signs JWTs with ML-DSA-44/65/87, SLH-DSA and composite ML-DSA-65+Ed25519 using real post-quantum implementations in the browser.",2026-08-09,claude,active,,,Claim from workshopRegistry.tsx's own description.
/playground/cert-capacity,CertCapacityCalculator,"Models the storage, bandwidth and CPU impact of migrating a PKI to ML-DSA, with adjustable certificate counts and renewal cadence.",2026-08-09,claude,active,,,Claim from workshopRegistry.tsx's own description.
/business/tools/crypto-architecture-diagram,BusinessToolRoute,"Documents apps, libraries, HSMs, protocols, key stores and CAs with their dependencies.",2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/playground/pki-workshop,PkiWorkshop,"Builds a full certificate chain hands-on: CSR, root CA, issuance, parsing and CRL.",2026-08-09,claude,active,,,Claim from workshopRegistry.tsx's own description.
/playground/envelope-encrypt,EnvelopeEncryptWorkshop,Runs ML-KEM plus AES key wrap in the KMS envelope-encryption pattern.,2026-08-09,claude,active,,,Claim from workshopRegistry.tsx's own description.
/business/tools/infra-modernization-planner,BusinessToolRoute,Phase 6 deliverable consolidating the PKI modernization plan and the HSM/KMS upgrade schedule.,2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/playground/vpn-sim,VpnSimulator,"Runs a full IKEv2 handshake in WASM with PKCS#11 crypto routed through SoftHSMv3, with the live C_* calls inspectable.",2026-08-09,claude,active,,,Claim from workshopRegistry.tsx's own description.
/business/tools/deployment-playbook,BusinessToolRoute,Generates deployment playbooks with rollback procedures and validation steps.,2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/migrate?tab=roadmaps,MigrationWorkbench,Shows published vendor PQC roadmaps so you can check whether a vendor has committed to ML-DSA and by when.,2026-08-09,claude,active,,,"IT Ops secondary. Replaced ""Import my cert inventory"", which promised a capability that exists nowhere in the product."
/business/tools/vendor-scorecard,BusinessToolRoute,Creates vendor assessment scorecards for PQC readiness evaluation.,2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/playground/slh-dsa,SlhDsaWorkshop,"Signs and verifies with all 12 FIPS 205 SLH-DSA parameter sets, including pre-hash variants.",2026-08-09,claude,active,,,Claim from workshopRegistry.tsx's own description.
/playground/entropy-test,EntropyTestWorkshop,"Runs the NIST SP 800-90B entropy test suite — monobit, frequency and min-entropy — against live output.",2026-08-09,claude,active,,,Claim from workshopRegistry.tsx's own description.
/business/tools/crqc-scenario,BusinessToolRoute,Plans for cryptographically relevant quantum computer threat scenarios.,2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/threats,ThreatsView,"Shows the quantum threat landscape: Threat Economics, the CRQC Capability Watch and the Z-estimate, with the sources behind each figure.",2026-08-09,claude,active,,,Verified 2026-08-02: renders Quantum Threats / Threat Economics / CRQC Capability Watch / CTI Z-ESTIMATE.
/learn,LearnView,"One guided learning path through post-quantum cryptography, ordered for your role.",2026-08-09,claude,active,,,Verified 2026-08-02: page's own subtitle.
/business/tools/cost-of-inaction,BusinessToolRoute,Models the discounted cost of delaying PQC migration — breach exposure and HNDL residual included.,2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/playground/digital-id,DigitalIdWorkshop,"Walks the full EUDI wallet lifecycle: wallet, PID issuance, attestation, relying-party verification and QES provider.",2026-08-09,claude,active,,,Claim from workshopRegistry.tsx's own description.
/playground/bitcoin-flow,BitcoinFlowWorkshop,"Builds a Bitcoin transaction end to end: secp256k1 ECDSA keypair, SHA-256 + RIPEMD-160 hashing and transaction signing. Classical crypto, shown as the thing being migrated away from.",2026-08-09,claude,active,,,Claim from workshopRegistry.tsx's own description.
/playground/hybrid-certs,HybridCertsWorkshop,Generates and compares six X.509 hybrid certificate formats via SoftHSM PKCS#11 with real DER encoding.,2026-08-02,claude,deprecated,2026-08-02,"Not pointed at after the 2026-08-02 priority ruling (curious first on shared tools, developer first on dev resources).",Claim from workshopRegistry.tsx's own description.
/business/tools/crypto-vulnerability-watch,BusinessToolRoute,"NIST NVD CVE digest for the products on your /migrate selection, joined via CPE.",2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool. Reactivated 2026-08-09. This row was deprecated on 2026-08-02 for non-use ('no board points here'), not for any problem with the destination — the six-use-case expansion points at it again. Claim re-read against the live page on 2026-08-09."
/business/tools/cost-model-explorer,BusinessToolRoute,Compares six PQC costing-model families on one scenario with a live Monte Carlo run.,2026-08-02,claude,deprecated,2026-08-02,Not pointed at after the 2026-08-02 best-fit pairing pass. Kept so the verified claim history survives.,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool."
/business/tools/migration-verification,BusinessToolRoute,Proves migration against the framework's 5-point evidence standard and logs classical-key decommissioning.,2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool. Reactivated 2026-08-09. This row was deprecated on 2026-08-02 for non-use ('no board points here'), not for any problem with the destination — the six-use-case expansion points at it again. Claim re-read against the live page on 2026-08-09."
/playground/rng-demo,RngDemoWorkshop,"Generates randomness via Web Crypto and the OpenSSL DRBG, with statistical analysis of the output.",2026-08-02,claude,deprecated,2026-08-02,Not pointed at after the 2026-08-02 best-fit pairing pass. Kept so the verified claim history survives.,Claim from workshopRegistry.tsx's own description.
/business/tools/data-at-rest-strategy,BusinessToolRoute,"Phase 5 Activity 5.6 — per-store data-at-rest decision (re-encrypt under PQC keys, or not).",2026-08-09,claude,active,,,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Claim quoted from businessToolsRegistry.tsx's own description for this tool. Reactivated 2026-08-09. This row was deprecated on 2026-08-02 for non-use ('no board points here'), not for any problem with the destination — the six-use-case expansion points at it again. Claim re-read against the live page on 2026-08-09."
/migrate,MigrationWorkbench,Lists PQC-readiness for catalogued products so you can compare them against what you run. Does NOT import or ingest an inventory of your own.,2026-08-09,claude,active,,,"Developer secondary. The ""does not import"" clause is load-bearing — a CTA promising inventory import shipped against this route until 2026-08-02. Reactivated 2026-08-09. This row was deprecated on 2026-08-02 for non-use ('no board points here'), not for any problem with the destination — the six-use-case expansion points at it again. Claim re-read against the live page on 2026-08-09."
/playground/hsm,HsmPlayground,A PKCS#11 engine workbench. Its ACVP tab runs published known-answer vectors in-browser with an exportable log. Ungated for the researcher persona.,2026-08-02,claude,deprecated,2026-08-02,No board points here after the 2026-08-02 pass that gave every board its own business tool as secondary CTA. Kept so the claim history survives.,"Researcher secondary (""Run the ACVP vectors"") — the ACVP tab is gated for curious and executive, so this claim is persona-specific."
/timeline,TimelineView,A chronological view of government and regulator PQC milestones and deadlines.,2026-08-09,claude,active,,,"Curious secondary (""I have 30 seconds — the short version""). Reactivated 2026-08-09. This row was deprecated on 2026-08-02 for non-use ('no board points here'), not for any problem with the destination — the six-use-case expansion points at it again. Claim re-read against the live page on 2026-08-09."
/business,BusinessCenter,"Opens the Command Center — a PQC artifact workspace organised by CSWP.39 zone, with the artifacts featured for your role. Does not generate an assessment.",2026-08-09,claude,active,,,"Verified 2026-08-02: renders 'Welcome to your PQC Command Center'. Reactivated 2026-08-09. This row was deprecated on 2026-08-02 for non-use ('no board points here'), not for any problem with the destination — the six-use-case expansion points at it again. Claim re-read against the live page on 2026-08-09."
/algorithms,AlgorithmsView,Compares post-quantum algorithms and tracks their support across IETF protocols.,2026-08-02,claude,deprecated,2026-08-02,No board points here after the 2026-08-02 pass that gave every board its own business tool as secondary CTA. Kept so the claim history survives.,"Verified 2026-08-02: page's own subtitle, quoted."
/migrate/workbench,MigrationWorkbench,"Sequences a migration plan from what you already run, aligned to NIST IR 8547 (Initial Public Draft) and CNSA 2.0. Does NOT import an inventory of your own.",2026-08-02,claude,deprecated,2026-08-02,No board points here after the 2026-08-02 pass that gave every board its own business tool as secondary CTA. Kept so the claim history survives.,"Verified 2026-08-02: page's own subtitle. The 'does not import' clause is load-bearing, same as /migrate."
/explore,ExploreView,Topic-first entry point into the site for readers with no background — pick a topic rather than a role.,2026-08-09,claude,active,,,"Verified 2026-08-02: renders 'Explore PQC Today ... no background required'. Reactivated 2026-08-09. This row was deprecated on 2026-08-02 for non-use ('no board points here'), not for any problem with the destination — the six-use-case expansion points at it again. Claim re-read against the live page on 2026-08-09."
/patents,PatentsView,"Cryptographic patents relevant to PQC migration, enriched across 25 technical dimensions. For research only — explicitly not legal or IP advice.",2026-08-09,claude,active,,,"Verified 2026-08-02: page's own subtitle, including its own disclaimer. Reactivated 2026-08-09. This row was deprecated on 2026-08-02 for non-use ('no board points here'), not for any problem with the destination — the six-use-case expansion points at it again. Claim re-read against the live page on 2026-08-09."
/leaders,LeadersView,"Lists people contributing to post-quantum cryptography, each entry proof-gated against a published source.",2026-08-09,claude,active,,,"Verified 2026-08-02: renders 'Community — People contributing to the advances of post-quantum cryptography.' Reactivated 2026-08-09. This row was deprecated on 2026-08-02 for non-use ('no board points here'), not for any problem with the destination — the six-use-case expansion points at it again. Claim re-read against the live page on 2026-08-09."
/faq,FAQView,"118 answers on PQC fundamentals, NIST standards, migration timelines and compliance.",2026-08-02,claude,deprecated,2026-08-02,No board points here after the 2026-08-02 pass that gave every board its own business tool as secondary CTA. Kept so the claim history survives.,Verified 2026-08-02: count and topic list read off the page.
/playground/hybrid-sigs,HybridSigsWorkshop,"Compares hybrid signature constructions live — concatenation, nesting and Silithium (fused Fiat-Shamir) — across the non-separability spectrum.",2026-08-02,claude,deprecated,2026-08-02,No board points here after the 2026-08-02 pass that gave every board its own business tool as secondary CTA. Kept so the claim history survives.,Claim from workshopRegistry.tsx's own description.
/playground/pqc-ssh-sim,PqcSshSimulator,Runs a full OpenSSH 10.x handshake in WASM: mlkem768x25519-sha256 key exchange with ssh-mldsa-65 host authentication.,2026-08-02,claude,deprecated,2026-08-02,No board points here after the 2026-08-02 pass that gave every board its own business tool as secondary CTA. Kept so the claim history survives.,Claim from workshopRegistry.tsx's own description.
/playground/pki-enrollment,PkiEnrollmentWorkshop,"Runs RFC 7030 EST and RFC 4210/9810 CMP enrollment against an in-WASM mock CA, issuing a real ML-DSA-65 key.",2026-08-02,claude,deprecated,2026-08-02,No board points here after the 2026-08-02 pass that gave every board its own business tool as secondary CTA. Kept so the claim history survives.,Claim from workshopRegistry.tsx's own description.
/playground/qrng-demo,QrngDemoWorkshop,SIMULATES quantum random number generation patterns using CSPRNG statistical analysis — it runs in-browser and does NOT use quantum hardware.,2026-08-02,claude,deprecated,2026-08-02,No board points here after the 2026-08-02 pass that gave every board its own business tool as secondary CTA. Kept so the claim history survives.,Claim from workshopRegistry.tsx's own description. The simulation caveat is load-bearing: the tool's name invites the opposite reading.
/playground/cacp?plane=migration,KmipPlaygroundView,"Same control plane, opened directly on the migration plane. The `plane` query parameter is honoured.",2026-08-02,claude,deprecated,2026-08-02,No board points here after the 2026-08-02 de-duplication — architect/controlplane now uses /explore as its secondary so no destination is reused.,Architect secondary. Parameter handling confirmed in KmipPlaygroundView.
/algorithms?tab=detailed&mode=compare,AlgorithmsView,"Side-by-side comparison of PQC algorithms and parameter sets, with key and signature sizes taken from FIPS 203/204/205.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/algorithms?tab=landscape,AlgorithmsView,"The industry landscape — crypto mechanisms actually used per sector and use case, with market-size vintages from official statistics.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/algorithms?tab=support,AlgorithmsView,"The protocol support matrix — PQC readiness per protocol, each cell citing the spec behind it.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/algorithms?tab=support&matrixView=heatmap,AlgorithmsView,The same protocol support matrix opened in heatmap view. The matrixView parameter is honoured.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/algorithms?tab=transition,AlgorithmsView,"Opens the Transition Guide — what replaces each classical algorithm, with every status linked to the NIST publication that set it.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/algorithms?tab=transition&highlight=ML-KEM-768,AlgorithmsView,"The Transition Guide with ML-KEM-768 highlighted. The highlight parameter is also what lets the curious persona past the preview card, which otherwise hides the tab bar entirely — a bare ?tab= does not.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/algorithms?tab=validation,AlgorithmsView,"Algorithm and FIPS status with known-answer and ACVP validation evidence. Draft and final are labelled separately, never merged.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/assess?mode=comprehensive,AssessViewRedesign,"The full assessment instrument rather than the eight-question subset. Same scoring, more questions.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/assess?mode=quick,AssessViewRedesign,"The eight-question assessment, scored from your own answers. Does NOT scan or import anything about your estate.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business/tools/audit-checklist,BusinessToolRoute,"The audit-readiness checklist — what an assessor will ask for, in the order they ask.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business/tools/board-pitch,BusinessToolRoute,Builds the board-facing version of the PQC argument from your own numbers.,2026-08-09,claude,deprecated,2026-08-09,"Not pointed at after the 2026-08-09 passes over the boards. Two things happened the same day and both apply: the tile review moved links off the highlighted argument card, and the six-use-case expansion then spent the executive/verify board's five link slots (two CTAs + three grid cards) on section coverage, which is what that expansion exists to deliver -- restoring this link would cost one of the 18 sections that board reaches. The tool itself is live and still reachable from the /business/tools catalogue. Kept, not deleted, so the verified claim history survives if a board points here again.",Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business/tools/cloud-responsibility-matrix,BusinessToolRoute,"Splits PQC migration responsibilities between you and your cloud provider, per service.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business/tools/compliance-checklist,BusinessToolRoute,A working compliance checklist derived from the frameworks that apply to you.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business/tools/compliance-timeline,BusinessToolRoute,Builds a dated compliance calendar from the mandates that actually reach your industry and country.,2026-08-09,claude,deprecated,2026-08-09,"No board points here after the 2026-08-09 tile review moved links off the highlighted argument card. Each is a query-param view or a tool one click from a page the boards do link. Kept, not deleted, so the verified claim survives if a board points here again.",Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business/tools/initial-scoping,BusinessToolRoute,A light first-pass scoping of where a PQC migration would start for you.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business/tools/kpi-tracker,BusinessToolRoute,Tracks migration rollout against measurable KPIs over time.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business/tools/management-tools-audit,BusinessToolRoute,Audits whether your certificate and key management tooling can actually observe a PQC migration.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business/tools/mti-negotiator,BusinessToolRoute,"Works through which algorithm suite to make mandatory-to-implement, and what that commits you to.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business/tools/risk-treatment-plan,BusinessToolRoute,Turns a risk heatmap into a treatment plan with named owners.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business/tools/supply-chain-matrix,BusinessToolRoute,Maps supply-chain PQC exposure across your suppliers and their dependencies.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business?zone=assets,BusinessCenterView,The Command Center opened on its discovery and asset-inventory zone.,2026-08-09,claude,deprecated,2026-08-09,"No board points here after the 2026-08-09 tile review moved links off the highlighted argument card. Each is a query-param view or a tool one click from a page the boards do link. Kept, not deleted, so the verified claim survives if a board points here again.",Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business?zone=governance,BusinessCenterView,The Command Center opened on its governance zone. The zone parameter is honoured. Renders in full for every persona; curious sees a preview banner.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business?zone=management-tools,BusinessCenterView,The Command Center opened on its management-tooling zone.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business?zone=migration,BusinessCenterView,"The Command Center opened on its migration zone, with that phase's artifacts.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business?zone=mitigation,BusinessCenterView,The Command Center opened on its mitigation zone.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/business?zone=risk-management,BusinessCenterView,The Command Center opened on its risk-management zone.,2026-08-09,claude,deprecated,2026-08-09,"No board points here after the 2026-08-09 tile review moved links off the highlighted argument card. Each is a query-param view or a tool one click from a page the boards do link. Kept, not deleted, so the verified claim survives if a board points here again.",Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/compliance?tab=compliance,ComplianceView,"The regulatory-mandate pillar — obligations by country, industry and enforcement body.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/compliance?tab=cswp39,ComplianceView,The CSWP.39 agility explorer — obligations grouped the way NIST CSWP.39 groups them.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/compliance?tab=foryou,ComplianceView,"The persona-specific compliance view. For executive, architect, ops and researcher it asks for an industry and country first; the curious view needs neither.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/compliance?tab=records,ComplianceView,"Product compliance records, per framework and per certification.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/compliance?tab=standards,ComplianceView,"The standards pillar of the compliance landscape, by standards body and lifecycle stage.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/compliance?tab=technical,ComplianceView,The technical-guidance pillar of the compliance landscape — implementation guidance rather than binding mandates.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/library?purpose=education,LibraryViewRedesign,The library filtered to explanatory material — written to be read rather than cited.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/library?purpose=planning,LibraryViewRedesign,The library filtered to migration-planning material. Every entry carries a source tier and a verification date.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/library?purpose=reference,LibraryViewRedesign,"The library filtered to specifications and standards — the documents themselves, not summaries of them.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/migrate?tab=plan,MigrationWorkbench,Sequences a migration plan across the catalogued products this site holds evidence for. Does NOT import an inventory of your own.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/migrate?tab=replace,MigrationWorkbench,"PQC readiness for catalogued products, so you can compare them against what you run. Does NOT import or ingest an inventory of your own.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/migrate?tab=vendorrisk,MigrationWorkbench,Vendor risk scored from proof-gated roadmap evidence rather than vendor marketing claims.,2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/openssl,OpenSSLStudioView,"A real OpenSSL build compiled to WASM, running in your browser with an exportable transcript. No server executes your commands. Not in the left rail for any persona — reachable from the Playground grid, a link, or the command palette.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
/playground,PlaygroundWorkshop,"The workshop catalogue — every hands-on lab on the site, all running real cryptography in the browser.",2026-08-09,claude,active,,,Added 2026-08-09 for the six-use-case-per-role expansion. Claim read against the live destination.
