id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs,body_type
DISA-STIG,DISA STIGs,Defense Information Systems Agency Security Technical Implementation Guides,Government & Defense,United States,yes,Ongoing,Mandatory hardening guides for U.S. DoD systems. Crypto requirements updated regularly.,DISA,NSA CNSA 2.0,United States:NSA,compliance_framework
NATO-4774,NATO STANAG 4774,NATO confidentiality metadata labeling standard,Government & Defense,United States;European Union;Canada;Czech Republic;Australia,yes,Ongoing,Coalition partner interoperability requirements. PQC transition affects classified data exchange.,NATO,,NATO:NATO,compliance_framework
ISO-SAE-21434,ISO/SAE 21434,Road vehicle cybersecurity engineering standard,Automotive,Global,yes,Ongoing,Full vehicle lifecycle security including post-quantum readiness. Required for new type approvals.,ISO/SAE,,,standardization_body
UN-ECE-WP29,UN ECE WP.29 R155/R156,UN regulations for vehicle cybersecurity and software updates,Automotive,European Union,yes,Ongoing,Type approval requires cybersecurity management systems and secure OTA update processes.,UNECE,,,compliance_framework
NERC-CIP,NERC CIP,North American Electric Reliability Corporation Critical Infrastructure Protection,Energy & Utilities,United States;Canada,yes,Ongoing,Mandatory cybersecurity standards for bulk power systems. Crypto controls in CIP-005/007/011.,NERC,,,compliance_framework
IEC-62443,IEC 62443,Industrial cybersecurity standard for OT/ICS environments,Energy & Utilities;Aerospace,Global,yes,Ongoing,Defense-in-depth for industrial control systems. PQC relevant for long-lived OT deployments.,IEC,,,standardization_body
DO-326A,DO-326A / ED-202A,Airworthiness security process specification for aircraft systems,Aerospace,Global,yes,Ongoing,Aviation cybersecurity certification basis. PQC critical given 30-40 year aircraft lifespans.,RTCA/EUROCAE,,,standardization_body
RTCA-DO-355A,RTCA DO-355A,Information security guidance for continuing airworthiness,Aerospace,Global,yes,Ongoing,Supplement to DO-326A for operational phase. Covers cryptographic controls in service.,RTCA,,,standardization_body
FERPA,FERPA,Family Educational Rights and Privacy Act,Education,United States,no,Ongoing,Student record confidentiality. Long retention periods imply HNDL exposure for sensitive records.,US Dept of Education,,,compliance_framework
NIS2,NIS2 Directive,EU network and information security directive for essential and important entities,Technology;Finance & Banking;Healthcare;Energy & Utilities;Telecommunications,European Union,yes,October 2024 (transposition passed — enforcement underway),EU-wide cybersecurity baseline for essential and important entities. Member states were required to transpose NIS2 by October 2024; enforcement is now active across the EU.,ENISA/EU Member States,ENISA PQC Guidelines,European Union:EC,compliance_framework
COPPA,COPPA,US Children's Online Privacy Protection Act,Education;Technology,United States,no,Ongoing,Protects children under 13 online. PQC relevant for long-lived minor data and parental consent records.,FTC,,,compliance_framework
TISAX,TISAX,Trusted Information Security Assessment Exchange for automotive supply chain,Automotive,European Union,no,Ongoing,VDA-managed assessment for automotive suppliers. Covers information security including cryptographic controls.,VDA/ENX,,,compliance_framework
MICA,MiCA,EU Markets in Crypto-Assets Regulation,Finance & Banking,European Union,yes,2024 (phased; fully effective Dec 30 2024),"EU regulation for crypto-asset service providers (cryptocurrencies and digital tokens). MiCA itself is not a cryptography standard, but security requirements for digital wallets and custody systems are indirectly affected by PQC migration. Stablecoin titles applied from June 30 2024; full regulation from December 30 2024.",ESMA/EBA,,European Union:EC,compliance_framework
TSA-PIPELINE,TSA Pipeline Security Directive,US TSA cybersecurity requirements for pipeline operators,Energy & Utilities,United States,yes,Ongoing,Mandatory cybersecurity measures for critical pipeline infrastructure. Covers encryption for SCADA/OT.,TSA,,,compliance_framework
NIST-IR-8547,NIST IR 8547,NIST transition to post-quantum cryptography standards guidance,Government & Defense;Finance & Banking;Technology;Healthcare;Energy & Utilities,United States;Canada;Australia,yes,"2030 (deprecate), 2035 (disallow)",Transition guidance recommending deprecation of 112-bit classical asymmetric algorithms by 2030 and disallowance by 2035.,NIST,NIST IR 8547,United States:NIST,standardization_body
ASD-ISM,ASD ISM,Australian Signals Directorate Information Security Manual,Government & Defense,Australia,yes,2030 (ISM-1917 effective — traditional crypto prohibited),"ISM control ISM-1917 requiring ML-DSA-87, ML-KEM-1024, SHA-384/512, AES-256. Full PQC transition by 2030.",ASD,Australia ASD PQC Guidance,Australia:ASD,compliance_framework
CCCS-ITSM,CCCS ITSM.40.001,Canadian Centre for Cyber Security roadmap for PQC migration,Government & Defense,Canada,yes,2025 (effective June 23 2025),Roadmap for migration to PQC for Canadian government systems.,CCCS,Canada CSE PQC Guidance,Canada:CCCS,compliance_framework
EU-REC-2024-1101,EU Recommendation 2024/1101,European Commission coordinated PQC implementation roadmap,Government & Defense;Technology;Finance & Banking,European Union,yes,2030 (critical systems),Coordinated implementation roadmap for PQC transition across EU member states.,European Commission,EU PQC Recommendation;ENISA PQC Guidelines,European Union:EC,compliance_framework
BSI-TR-02102,BSI TR-02102,"German BSI technical guideline for cryptographic mechanisms, TLS, IPsec, SSH",Government & Defense;Technology,Germany,yes,Ongoing (v2025-01 update),BSI technical guideline series covering PQC recommendations including ML-KEM and ML-DSA.,BSI,BSI TR-02102-1;BSI TR-02102-2;BSI TR-02102-3;BSI TR-02102-4,Germany:BSI,standardization_body
UK-NCSC,UK NCSC PQC Guidance,UK National Cyber Security Centre quantum-safe cryptography guidance,Government & Defense;Technology;Finance & Banking,United Kingdom,yes,2035 (full transition),UK guidance with 2035 deadline for full quantum-safe cryptography transition.,NCSC,UK NCSC PQC Guidance,United Kingdom:NCSC,compliance_framework
CRYPTREC,CRYPTREC,Japan Cryptography Research and Evaluation Committees PQC guidelines,Government & Defense;Technology,Japan,yes,Ongoing (GL-2004-2022),Japanese government cryptographic evaluation body publishing PQC guidelines and preparing detailed transition guidance.,CRYPTREC,Japan CRYPTREC Report 2024,Japan:CRYPTREC,standardization_body
MAS-CIRCULAR,MAS Circular,Monetary Authority of Singapore financial services PQC advisory,Finance & Banking,Singapore,yes,Ongoing (February 2024),MAS/TCRS/2024/01 requiring Singapore financial services to prepare PQC transition plans.,MAS,Singapore-CSA-Quantum-Safe-Handbook,Singapore:MAS,compliance_framework
EUCC-V2,EUCC v2.0,EU Cybersecurity Certification Scheme Agreed Cryptographic Mechanisms v2.0,Government & Defense;Technology,European Union,yes,Ongoing (April 2025 update),EUCC Agreed Cryptographic Mechanisms v2.0 now includes PQC algorithms for EU cybersecurity certification.,ECCG/ENISA,EUCC v2.0 ACM,European Union:ECCG,certification_body
KPQC-STD,KpqC Standardization,Korea Post-Quantum Cryptography standardization program with national PQC transition roadmap,Government & Defense;Telecommunications;Finance & Banking;Technology,South Korea,yes,2035 (full migration),"KpqC Round 1 winners (Jan 2025): HAETAE, AIMer, SMAUG-T, NTRU+. MSIT pilot phase 2025-2028.",KISA/NIS/MSIT,,South Korea:NIS/KISA;South Korea:MSIT,standardization_body
KCMVP,KCMVP,Korean Cryptographic Module Validation Program for government systems,Government & Defense;Finance & Banking;Technology,South Korea,no,Ongoing,Mandatory module validation for Korean government. PQC algorithm integration expected after KpqC standardization completes (~2027-2028).,NIS,,South Korea:NIS/KISA,certification_body
NZISM,NZISM,New Zealand Information Security Manual with PQC preparation requirements,Government & Defense;Technology,New Zealand,yes,2026-2030 (phased transition),NZISM v3.9 (Nov 2025) Section 2.4 on PQC preparation. 19 agencies implementing. Aligned with Five Eyes.,GCSB/NCSC,,New Zealand:GCSB/NCSC,compliance_framework
INCD-PQC,INCD PQC Guidance,Israel National Cyber Directorate post-quantum readiness guidance,Government & Defense;Technology,Israel,yes,2025 (government assessments),PQC readiness guide published Jan 2022. Government ministries must complete quantum threat assessment and require PQC in new contracts by end 2025.,INCD,,Israel:INCD;Israel:INCD/BOI,compliance_framework
BOI-PQC,BOI Quantum Risk Directive,Bank of Israel directive requiring financial institutions to manage quantum risk,Finance & Banking,Israel,yes,2025 (effective January 7),Directive Letter 202501EN requiring quantum risk management including HNDL exposure assessment and PQC transition planning.,Bank of Israel,,Israel:BOI,compliance_framework
OSCCA-NGCC,OSCCA NGCC Program,China Next-Generation Commercial Cryptographic algorithms standardization program,Government & Defense;Finance & Banking;Technology;Telecommunications,China,yes,2027-2030 (estimated),NGCC call for proposals launched Feb 2025 by ICCS. China developing independent PQC algorithms to supplement SM-series. Financial sector migration estimated 2027-2030.,SCA/OSCCA,,China:ICCS,compliance_framework
NCSC-CH,Swiss NCSC PQC Guidance,Swiss National Cyber Security Centre post-quantum cryptography migration recommendations,Government & Defense;Finance & Banking;Technology,Switzerland,yes,Ongoing (2023 guidance),NCSC Switzerland published PQC migration recommendations for the federal government and critical infrastructure operators. Aligned with NIST FIPS 203/204/205 and European guidance from BSI/ANSSI. No mandatory hard deadline; migration is recommended to begin now.,Swiss NCSC,,,compliance_framework
NCSC-NL,NCSC-NL PQC Guidance,Dutch National Cyber Security Centre post-quantum cryptography migration guide,Government & Defense;Technology,Netherlands,yes,Ongoing (2023 guide),NCSC-NL published a comprehensive PQC factsheet and migration guide for Dutch government and organisations. Covers algorithm selection aligned with NIST PQC standards and transition planning. Guidance rather than mandatory regulation.,NCSC-NL,,,compliance_framework
