reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category
draft-ietf-tls-ecdhe-mlkem-03,Post-quantum hybrid ECDHE-MLKEM Key Agreement for TLSv1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-ecdhe-mlkem/,2024-03-01,2025-11-24,Internet-Draft,"Specifies X25519MLKEM768, SecP256r1MLKEM768, and SecP384r1MLKEM1024 hybrid groups for TLS 1.3.",Protocol,"Web; Cloud; Enterprise","IETF TLS WG","FIPS 203; RFC 8446; draft-ietf-tls-hybrid-design",International,"Lattice + ECDH","L1,L3,L5","TLS 1.3 hybrid ECDHE-MLKEM","OpenSSL; BoringSSL; Cloudflare",High,New,Protocols
draft-ietf-tls-mlkem-05,ML-KEM Post-Quantum Key Agreement for TLS 1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-mlkem/,2024-05-01,2025-11-20,Internet-Draft,"Defines ML-KEM-512, ML-KEM-768, and ML-KEM-1024 as NamedGroups for pure PQ key agreement in TLS 1.3.",Protocol,"Web; Cloud; Government","IETF TLS WG","FIPS 203; RFC 8446",International,Lattice-based,"L1,L3,L5","TLS 1.3 pure PQ key exchange","Reference implementations",High,New,Protocols
draft-ietf-ipsecme-ikev2-mlkem-03,Post-quantum Hybrid Key Exchange with ML-KEM in IKEv2,https://datatracker.ietf.org/doc/draft-ietf-ipsecme-ikev2-mlkem/,2023-11-01,2025-09-29,Internet-Draft,"Specifies ML-KEM in IKEv2 for quantum-resistant VPN and IPsec key establishment.",Protocol,"VPN; Enterprise; Government; Cloud","IETF IPSECME WG","FIPS 203; RFC 7296; RFC 9370",International,Lattice-based,"L1,L3,L5","IKEv2/IPsec with ML-KEM","StrongSwan; Cisco; Juniper",High,New,Protocols
draft-yang-tls-hybrid-sm2-mlkem-02,Hybrid Post-quantum Key Exchange SM2-MLKEM for TLSv1.3,https://datatracker.ietf.org/doc/draft-yang-tls-hybrid-sm2-mlkem/,2024-08-01,2025-02-12,Internet-Draft,"Defines curveSM2MLKEM768 hybrid for TLS 1.3 combining Chinese SM2 curve with ML-KEM.",Protocol,"China; Asia-Pacific; Government","IETF Individual Submission","FIPS 203; GM/T 0003.2; ISO/IEC 14888-3",China; Asia,SM2 + Lattice,"L3","TLS for Chinese standards compliance","Chinese TLS implementations",Medium,New,Protocols
draft-ietf-lamps-kyber-certificates-11,Algorithm Identifiers for ML-KEM in X.509 PKI,https://datatracker.ietf.org/doc/draft-ietf-lamps-kyber-certificates/,2022-06-03,2025-07-22,Internet-Draft,"Defines X.509 OIDs and structures for ML-KEM public keys in certificates.",PKI/Certificate,"Web PKI; IoT; Enterprise","IETF LAMPS","FIPS 203; RFC 5280",International,Lattice-based,"L1,L3,L5","Certificates with ML-KEM keys","OpenSSL provider; PKI CAs",High,Updated,PKI Certificate Management
draft-ietf-lamps-dilithium-certificates-13,Algorithm Identifiers for ML-DSA in X.509 PKI,https://datatracker.ietf.org/doc/draft-ietf-lamps-dilithium-certificates/,2022-06-03,2025-09-30,Internet-Draft,"Defines X.509 OIDs and structures for ML-DSA signatures. Being superseded by RFC 9881.",PKI/Certificate,"Gov; Finance; Web PKI","IETF LAMPS","FIPS 204; RFC 5280",International,Lattice-based,"L2,L3,L5","PQ signatures in certificates","OpenSSL provider",High,Superseded,PKI Certificate Management
draft-ietf-lamps-pq-composite-kem-10,Composite ML-KEM for Use in X.509 PKI and CMS,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-kem/,2023-03-02,2025-11-24,Internet-Draft,"Composite (classical+PQC) KEM combining RSA/ECDH with ML-KEM for X.509 and CMS.",PKI/Certificate,"Gov; Regulated industries; Finance","IETF LAMPS","FIPS 203; RFC 8017; RFC 5280",International,"RSA/ECDH + ML-KEM","L1,L3,L5","Hybrid certificates and CMS","Limited PKI implementations",Medium,Updated,PKI Certificate Management
draft-ietf-lamps-pq-composite-sigs-13,Composite ML-DSA for Use in X.509 PKI and CMS,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-sigs/,2023-03-02,2025-10-29,Internet-Draft,"Composite signatures combining RSA/ECDSA/Ed25519 with ML-DSA for hybrid PKI.",PKI/Certificate,"Gov; Regulated industries; Finance","IETF LAMPS","FIPS 204; FIPS 186-5; RFC 5280",International,"RSA/ECDSA + ML-DSA","L2,L3,L5","Hybrid certificate signatures","Limited PKI implementations",Medium,Validated,PKI Certificate Management
draft-ietf-lamps-cms-kyber-13,Use of ML-KEM in the Cryptographic Message Syntax (CMS),https://datatracker.ietf.org/doc/draft-ietf-lamps-cms-kyber/,2023-01-10,2025-09-23,Internet-Draft,"ML-KEM in CMS using KEMRecipientInfo from RFC 9629.",Protocol,"Secure Messaging; Document Encryption; Email","IETF LAMPS","RFC 9629; FIPS 203",International,Lattice-based,"L1,L3,L5","CMS PQ KEM encryption","OpenSSL CMS",High,Validated,Protocols
draft-ietf-openpgp-pqc-14,Post-Quantum Cryptography in OpenPGP,https://datatracker.ietf.org/doc/draft-ietf-openpgp-pqc/,2023-07-01,2025-11-13,Internet-Draft,"PQC for OpenPGP: composite ML-KEM+X25519 encryption and ML-DSA+Ed25519 signatures.",Protocol,"Email; File Encryption; Code Signing","IETF OpenPGP WG","FIPS 203; FIPS 204; RFC 9580",International,"Lattice+ECDH/EdDSA","L3,L5","OpenPGP/GPG with PQC","GnuPG (experimental)",Medium,Updated,Protocols
draft-ietf-pquip-pqc-engineers-14,Post-Quantum Cryptography for Engineers,https://datatracker.ietf.org/doc/draft-ietf-pquip-pqc-engineers/,2023-07-06,2025-08-26,Internet-Draft,"Practical guidance for engineers implementing PQC algorithms and protocols.",Guidance,"All IT sectors","IETF PQUIP","FIPS 203/204/205; TLS/SSH/IKE",International,N/A,N/A,"Migration preparation guidance","Engineering teams",Medium,Validated,General PQC Migration
draft-ietf-pquip-hybrid-signature-spectrums-06,Hybrid signature spectrums,https://datatracker.ietf.org/doc/draft-ietf-pquip-hybrid-signature-spectrums/,2024-03-01,2025-01-15,Internet-Draft,"Alternative approach for composing classic and PQ signature algorithms with different security properties.",Guidance,"PKI; Government; High Security","IETF PQUIP","FIPS 204; FIPS 186-5",International,"PQ/T Hybrid Signatures",N/A,"Hybrid signature design patterns","Security architects",Medium,New,General PQC Migration
draft-ietf-uta-pqc-app-00,Post-Quantum Cryptography Recommendations for TLS-based Applications,https://datatracker.ietf.org/doc/draft-ietf-uta-pqc-app/,2025-09-18,2025-09-18,Internet-Draft,"Best practices for implementing quantum-ready usage profiles in TLS-based applications.",Guidance,"Web; Mobile; Cloud; DNS","IETF UTA","draft-ietf-tls-hybrid-design; FIPS 203",International,N/A,N/A,"Application-level PQC guidance for TLS","App developers",High,New,General PQC Migration
draft-kwiatkowski-pquip-pqc-migration-00,Guidance for migration to Post-Quantum Cryptography,https://datatracker.ietf.org/doc/draft-kwiatkowski-pquip-pqc-migration/,2025-07-20,2025-07-20,Internet-Draft,"Migration guidance covering challenges, anti-patterns, and best practices for PQC transition.",Guidance,"Enterprise IT; Standards Bodies","IETF Individual Submission","RFC 9794; FIPS 203/204/205",International,N/A,N/A,"Strategic migration guidance","CTOs; Security Architects",High,New,General PQC Migration
draft-wang-ipsecme-kem-auth-ikev2-01,KEM based Authentication for IKEv2 with Post-quantum Security,https://datatracker.ietf.org/doc/draft-wang-ipsecme-kem-auth-ikev2/,2025-03-03,2025-07-07,Internet-Draft,"Specifies KEM-based authentication for IKEv2 as more efficient alternative to ML-DSA.",Protocol,"VPN; Enterprise; Government","IETF Individual Submission","FIPS 203; RFC 7296; RFC 9593",International,Lattice-based KEM,"L1,L3,L5","IKEv2 authentication with KEMs","VPN implementations",Medium,New,Protocols
ETSI TS 103 744,Quantum-Safe Hybrid Key Exchanges,https://www.etsi.org/deliver/etsi_ts/103700_103799/103744/01.02.01_60/ts_103744v010201p.pdf,2023-02-01,2025-03-01,Published Technical Specification,"Framework for hybrid ECDH + ML-KEM with standard key combiners (concatenation, HKDF).",Protocol,"Telecom; Gov; Enterprise; IoT","ETSI QSC","FIPS 203; HKDF",Europe; International,"Lattice+ECDH","L1,L3,L5","Hybrid KEM in TLS/SSH/VPN","Reference test vectors",High,Validated,Protocols
ETSI TR 103 619,Migration Strategies and Recommendations for Quantum-Safe Schemes,https://www.etsi.org/deliver/etsi_tr/103600_103699/103619/01.01.01_60/tr_103619v010101p.pdf,2020-07-01,2020-07-01,Published Technical Report,"Strategic guidance for transitioning to quantum-safe cryptography.",Guidance,"Enterprise; Gov; Telecom","ETSI QSC","NIST PQC",Europe; International,N/A,N/A,"Migration planning","Migration teams",Medium,Validated,General PQC Migration
ETSI TS 103 744 v1.3.1,Quantum-Safe Hybrid Key Exchanges (Updated),https://www.etsi.org/deliver/etsi_ts/103700_103799/103744/01.03.01_60/ts_103744v010301p.pdf,2023-02-01,2025-11-01,Published Technical Specification,"Updated framework incorporating NIST finalized ML-KEM standards and additional hybrid patterns.",Protocol,"Telecom; 5G; Enterprise","ETSI QSC","FIPS 203; SP 800-227",Europe; International,"Lattice+ECDH","L1,L3,L5","5G/Telecom hybrid cryptography","Telecom equipment",High,New,Protocols
ETSI GR QSC 020,Quantum-safe Hybrid Multi-Factor Authentication,https://www.etsi.org/deliver/etsi_gr/QSC/001_099/020/01.01.01_60/gr_QSC020v010101p.pdf,2024-03-01,2024-03-01,Group Report,"Framework for quantum-safe multi-factor authentication using hybrid approaches.",Guidance,"Identity Management; Access Control; Enterprise","ETSI QSC","FIPS 203/204",Europe,Hybrid Auth,N/A,"MFA and identity systems","IAM solutions",Medium,New,General PQC Migration
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,2022-09-01,2025-05-30,Policy/Advisory,"US government adoption requirements for ML-KEM-1024, ML-DSA-87, SLH-DSA, LMS/XMSS. Level 5 recommended.",Compliance/Policy,"Government; Defense; NSS",NSA,"FIPS 203/204/205; SP 800-208",USA,Various,"Level 5 recommended","All federal/NSS systems","Government procurement",High,Validated,General PQC Migration
NSA CNSA 2.0 FAQ,CNSA 2.0 Frequently Asked Questions,https://media.defense.gov/2022/Sep/07/2003071836/-1/-1/0/CSI_CNSA_2.0_FAQ_.PDF,2022-09-01,2024-12-01,Policy/Advisory,"FAQ document with implementation timelines: 2025-2030 prefer, 2030-2033 exclusive, 2035 complete.",Compliance/Policy,"Government; Defense",NSA,"CNSA 2.0 CSA",USA,N/A,N/A,"Implementation timeline guidance","Government agencies",High,Updated,General PQC Migration
NSA CSfC PQC Guidance Addendum,CSfC Post Quantum Cryptography Guidance Addendum,https://www.nsa.gov/Portals/75/documents/resources/everyone/csfc/capability-packages/CSfC%20Post%20Quantum%20Cryptography%20Guidance%20Addendum%201_0.pdf,2025-06-01,2025-12-31,Policy/Advisory,"Guidance for implementing PQC in Commercial Solutions for Classified (CSfC) programs.",Compliance/Policy,"Defense; Intelligence; Critical Infrastructure",NSA,"CNSA 2.0; FIPS 203/204/205",USA,"ML-KEM, ML-DSA",Level 5,"CSfC certified products","CSfC vendors",High,New,General PQC Migration
BSI TR-02102-1,Cryptographic Mechanisms: Recommendations and Key Lengths,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-1.pdf,2025-01-31,2025-01-31,Technical Guideline,"German federal recommendations including ML-KEM, ML-DSA, SLH-DSA, XMSS, LMS. Version 2025-01.",Compliance/Guidance,"Gov; Finance; Critical Infrastructure; IT",BSI Germany,"FIPS 203/204/205",Germany; EU,"Lattice; Hash-based","L3,L5 recommended","German federal systems and beyond","Various implementations",High,Updated,General PQC Migration
BSI TR-02102-2,Cryptographic Mechanisms: Recommendations for TLS,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-2.pdf,2025-01-31,2025-01-31,Technical Guideline,"TLS-specific PQC recommendations including hybrid key exchange. Version 2025-01.",Compliance/Guidance,"Web; Cloud; Enterprise","BSI Germany","TR-02102-1; RFC 8446; FIPS 203",Germany; EU,"Lattice+ECDH",N/A,"TLS configuration","TLS implementations",High,Updated,Protocols
BSI TR-02102-3,Cryptographic Mechanisms: Recommendations for IPsec,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-3.pdf,2025-01-31,2025-01-31,Technical Guideline,"IPsec/IKEv2-specific PQC recommendations. Version 2025-01.",Compliance/Guidance,"VPN; Enterprise; Gov","BSI Germany","TR-02102-1; RFC 7296",Germany; EU,"Lattice+ECDH",N/A,"IPsec/VPN configuration","VPN implementations",High,Updated,Protocols
BSI TR-02102-4,Cryptographic Mechanisms: Recommendations for SSH,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-4.pdf,2025-01-31,2025-01-31,Technical Guideline,"SSH-specific PQC recommendations for secure remote access. Version 2025-01.",Compliance/Guidance,"Remote Access; Enterprise; Government","BSI Germany","TR-02102-1; FIPS 203",Germany; EU,"Lattice+ECDH",N/A,"SSH configuration","OpenSSH; commercial SSH",High,New,Protocols
ANSSI PQC Position Paper,ANSSI Views on Post-Quantum Cryptography Transition,https://cyber.gouv.fr/sites/default/files/document/avis_anssi_sur_la_migration_vers_la_cryptographie_post_quantique_2022.pdf,2022-01-01,2022-01-01,Position Paper,"French national guidance mandating hybrid approach for products requiring security beyond 2030.",Compliance/Guidance,"Gov; Critical Infrastructure; Defense",ANSSI France,"NIST PQC",France; EU,N/A,"L5 recommended","French systems requiring long-term security","French government",High,Validated,General PQC Migration
ANSSI PQC Follow-up Paper,ANSSI Views on Post-Quantum Cryptography Transition (2023 Follow-up),https://cyber.gouv.fr/sites/default/files/document/follow_up_position_paper_on_post_quantum_cryptography.pdf,2023-12-01,2023-12-01,Position Paper,"Updated guidance on hybridization requirements and timeline phases through 2030+.",Compliance/Guidance,"Gov; Critical Infrastructure",ANSSI France,"NIST PQC; ANSSI 2022",France; EU,"Lattice; Hash-based","L5 recommended","French national security systems","French agencies",High,Updated,General PQC Migration
EU PQC Recommendation,Recommendation on Coordinated Implementation Roadmap for PQC Transition,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,2024-04-11,2024-04-11,Policy Recommendation,"EU-wide coordination framework for member state PQC transitions. Target 2030 for critical systems.",Compliance/Policy,"Gov; Critical Infrastructure; Finance",European Commission,"NIST PQC; ETSI QSC",EU,N/A,N/A,"EU member state coordination","EU member states",High,Validated,General PQC Migration
ENISA PQC Guidelines,Post-Quantum Cryptography: Current State and Quantum Mitigation,https://www.enisa.europa.eu/publications/post-quantum-cryptography-current-state-and-quantum-mitigation,2021-07-01,2024-12-01,Position Paper,"ENISA recommendations on PQC adoption strategy for European organizations.",Guidance,"Enterprise; Government; Critical Infrastructure",ENISA,"NIST PQC; ETSI",EU,N/A,N/A,"European PQC strategy","EU organizations",High,Updated,General PQC Migration
EUCC v2.0 ACM,EU Cybersecurity Certification Agreed Cryptographic Mechanisms v2.0,https://www.enisa.europa.eu/publications/eucc-candidate-eucc-scheme-v1-2.0,2025-04-01,2025-04-01,Certification Framework,"Includes PQC algorithms in Agreed Cryptographic Mechanisms for EUCC certification.",Compliance/Guidance,"ICT Products; Services; EU Market",ECCG/ENISA,"FIPS 203/204/205; ISO 15408",EU,"Lattice; Hash-based","L1,L3,L5","EU product certification","EU vendors",High,New,General PQC Migration
UK NCSC PQC Guidance,Preparing for Quantum-Safe Cryptography,https://www.ncsc.gov.uk/whitepaper/preparing-for-quantum-safe-cryptography,2024-11-01,2025-01-01,White Paper,"UK guidance on PQC migration with 2035 deadline for full transition.",Guidance,"Government; Critical National Infrastructure; Enterprise",UK NCSC,"NIST PQC; ETSI",UK; International,N/A,N/A,"UK PQC migration strategy","UK organizations",High,New,General PQC Migration
NIST NCCoE SP 1800-38C,Migration to Post-Quantum Cryptography (Preliminary Draft),https://www.nccoe.nist.gov/sites/default/files/2023-12/pqc-migration-nist-sp-1800-38c-preliminary-draft.pdf,2023-12-01,2023-12-01,Preliminary Draft Practice Guide,"Practical guidance for enterprise PQC migration with use cases and reference architectures.",Guidance,"Enterprise IT; Gov; Finance","NIST NCCoE","FIPS 203/204/205",USA,N/A,N/A,"Enterprise migration planning","Reference implementations",High,Validated,General PQC Migration
ISO/IEC 14888-4:2024,Hash-based Digital Signatures,https://www.iso.org/standard/80966.html,2024-01-01,2024-01-01,International Standard,"Standardizes XMSS and LMS stateful hash-based signatures at ISO level.",Algorithm,"Global; All industries; Firmware",ISO/IEC JTC 1/SC 27,"SP 800-208; RFC 8554/8391",Global,"Hash-based (stateful)","L1-L5","ISO-certified hash-based signatures","Global implementations",Medium,New,Digital Signature
ISO/IEC 18033-2:2006/AMD1:2017,Asymmetric Encryption Algorithms,https://www.iso.org/standard/37971.html,2006-01-01,2017-12-01,International Standard,"ISO standard for asymmetric encryption. Updates planned for PQC KEMs.",Algorithm,"Global; All industries",ISO/IEC JTC 1/SC 27,"ISO standards",Global,Classical + planned PQC,Various,"Asymmetric encryption standards","Global",Medium,Updated,KEM
ISO/IEC NP 29192-8,Lightweight Cryptography - Part 8: Post-Quantum Algorithms,https://www.iso.org/standard/88299.html,2024-06-01,2024-06-01,New Project,"Standardization of lightweight PQC algorithms for constrained devices.",Algorithm,"IoT; Embedded Systems; Mobile",ISO/IEC JTC 1/SC 27,"NIST Lightweight PQC",Global,"Lattice; Hash-based","L1,L3","Lightweight PQC for IoT","IoT implementations",Medium,New,General PQC Migration
China OSCCA GM/T 0108-2021,Technical Specification for Quantum Key Distribution Products,https://www.gmbz.org.cn/,2021-01-01,2021-01-01,National Standard,"Chinese cryptographic industry standard for QKD products using deceptive state BB84.",Protocol,"Government; Critical Infrastructure; Finance",OSCCA China,"GB/T standards",China,QKD,N/A,"Quantum key distribution systems","Chinese QKD vendors",Medium,Validated,KEM
