Name,Country,Role,Organization,Type,Category,Contribution,ImageUrl,WebsiteUrl,LinkedinUrl,KeyResourceUrl
Vincent Strubel,France,Director General,ANSSI (France),Public,Government,"Led overall French PQC strategy; ANSSI to require PQC in all products for qualification from 2027; oversaw first PQC certifications (Thales MultiApp 5.2, Samsung S3SSE2A, 2025); IPsec DR PQC update planned 2026.",https://ui-avatars.com/api/?name=Vincent+Strubel&background=0b0d17&color=22d3ee&size=128&bold=true,https://cyber.gouv.fr/en/,https://www.linkedin.com/in/vincent-strubel-7b7056200/,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition
Claudia Plattner,Germany,President,BSI (Germany),Public,Government,"Since July 2023 led BSI's quantum-safe initiatives; initiated joint PQC statement with 17 EU member states (Nov 2024); oversaw world-first quantum-secure ID card with Bundesdruckerei, G+D, and Infineon (Nov 2025).",https://ui-avatars.com/api/?name=Claudia+Plattner&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.bsi.bund.de/,https://www.linkedin.com/in/claudiaplattner/,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Crypto/PQC-joint-statement.pdf
Dr. Stephan Ehlen,Germany,Expert Quantum Technologies and PQC,BSI (Germany),Public,Government,"Presented BSI's PQC policy at international conferences; developed recommendations for FrodoKEM, Classic McEliece, XMSS, LMS.",https://ui-avatars.com/api/?name=Stephan+Ehlen&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.bsi.bund.de/,https://www.linkedin.com/in/stephan-ehlen/,https://pkic.org/events/2023/pqc-conference-amsterdam-nl/pkic-pqcc_stephan-ehlen_bsi_post-quantum-policy-and-roadmap-of-the-bsi.pdf
Juhan Lepassaar,Estonia/EU,Executive Director,ENISA,Public,Government,Oversaw publication of key ENISA PQC reports (2021-2022); hosted Threathunt 2030 Conference; coordinated EU-wide PQC guidance.,https://ui-avatars.com/api/?name=Juhan+Lepassaar&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.enisa.europa.eu/,https://www.linkedin.com/in/juhan-lepassaar-961205340/,https://www.enisa.europa.eu/publications/post-quantum-cryptography-current-state-and-quantum-mitigation
Dr. Vadim Lyubashevsky,USA/Switzerland,Principal Research Scientist,IBM Research Europe Zurich,Academic,Algorithm Inventor,Principal designer of both Kyber (ML-KEM) and Dilithium (ML-DSA); authored foundational lattice cryptography tutorials.,https://ui-avatars.com/api/?name=Vadim+Lyubashevsky&background=0b0d17&color=f59e0b&size=128&bold=true,https://researcher.watson.ibm.com/researcher/view.php?person=zurich-VAD,https://www.linkedin.com/in/vadim-lyubashevsky-13b8142/,https://eprint.iacr.org/2024/1287
Prof. Dr. Léo Ducas,France/Netherlands,Senior Researcher; Professor,CWI Amsterdam; Leiden University,Academic,Algorithm Inventor,"Co-designer of Kyber, Dilithium, NewHope, Frodo; leading expert on lattice cryptanalysis; USENIX/Facebook Internet Defense Prize recipient.",https://ui-avatars.com/api/?name=Leo+Ducas&background=0b0d17&color=f59e0b&size=128&bold=true,https://homepages.cwi.nl/~ducas/,https://www.linkedin.com/in/leo-ducas-28b6a04a/,https://homepages.cwi.nl/~ducas/
Dr. Joppe Bos,Belgium,Cryptographic Researcher,NXP Semiconductors,Private,Algorithm Inventor,Co-author of Kyber and Frodo; expertise in efficient lattice implementations for embedded systems.,https://ui-avatars.com/api/?name=Joppe+Bos&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.joppebos.com/,https://www.linkedin.com/in/joppebos/,https://pq-crystals.org/kyber/
Prof. Dr. Eike Kiltz,Germany,Professor,Ruhr University Bochum,Academic,Algorithm Inventor,Co-designer of Kyber and Dilithium; developed security proofs for lattice-based schemes.,https://ui-avatars.com/api/?name=Eike+Kiltz&background=0b0d17&color=f59e0b&size=128&bold=true,https://informatik.rub.de/kiltz/,https://www.linkedin.com/in/eike-kiltz-24b167387/,https://pq-crystals.org/kyber/resources.shtml
Dr. Gregor Seiler,Switzerland,Research Scientist,IBM Research Europe Zurich,Private,Algorithm Inventor,Co-designer of Dilithium; led optimized implementations; contributor to FALCON signature scheme.,https://ui-avatars.com/api/?name=Gregor+Seiler&background=0b0d17&color=f59e0b&size=128&bold=true,https://research.ibm.com/,https://www.linkedin.com/in/gregor-seiler-118299231/,https://research.ibm.com/projects/quantum-safe-cryptography
Prof. Dr. Andreas Hülsing,Germany/Netherlands,Associate Professor,TU Eindhoven; SandboxAQ,Academic,Algorithm Inventor,Team leader and primary submitter for SPHINCS+; inventor of WOTS+ and XMSS; extensive publications on hash-based signatures.,https://ui-avatars.com/api/?name=Andreas+Hulsing&background=0b0d17&color=f59e0b&size=128&bold=true,https://huelsing.net/wordpress/?page_id=5,https://www.linkedin.com/in/andreas-huelsing-b7868874/,https://huelsing.net/wordpress/?page_id=5
Dr. Carlos Aguilar Melchor,France,Chief Cybersecurity Scientist,SandboxAQ,Private,Algorithm Inventor,Principal developer of HQC since 2000s; demonstrated HQC resolved 40-year-old open problem in code-based key exchanges.,https://ui-avatars.com/api/?name=Carlos+Aguilar+Melchor&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.sandboxaq.com/,https://www.linkedin.com/in/carlos-aguilar-melchor/,https://scholar.google.com/citations?user=jfSYshIAAAAJ
Prof. Dr. Gilles Zémor,France,Professor,Institut de Mathématiques de Bordeaux,Academic,Algorithm Inventor,Co-designer of HQC; expertise in coding theory and efficient error-correcting codes.,https://ui-avatars.com/api/?name=Gilles+Zemor&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.math.u-bordeaux.fr/,https://www.linkedin.com/in/gilles-zémor-a02292b/,https://link.springer.com/article/10.1007/s10623-024-01507-6
Mark Hughes,USA,Global Managing Partner Consulting Cybersecurity,IBM,Private,Industry Vendor,Leads IBM's quantum-safe consulting; IBM z17 mainframe launched with PQC Crypto Engine and NIST-standard APIs (Jun 2025); partnered with Palo Alto Networks (Nov 2025) for Quantum-Safe Readiness solution.,https://ui-avatars.com/api/?name=Mark+Hughes&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.ibm.com/quantum/quantum-safe,https://www.linkedin.com/in/markhughesibm/,https://www.prnewswire.com/news-releases/palo-alto-networks-and-ibm-plan-to-launch-joint-solution-to-accelerate-enterprise-wide-quantum-safe-readiness-302620093.html
Jack Hidary,USA,CEO,SandboxAQ,Private,Industry Vendor,"Founded quantum group at Alphabet (2016), led spinout (2022); author of 'Quantum Computing: An Applied Approach'; founding member of PQC Alliance (Feb 2024).",https://ui-avatars.com/api/?name=Jack+Hidary&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.sandboxaq.com/,https://www.linkedin.com/in/jackhidary/,https://www.sandboxaq.com/company/leadership/jack-hidary
Dr. Ali El Kaafarani,UK,CEO and Founder,PQShield,Private,Industry Vendor,Leading NIST PQC standardization contributor; contributed RISC-V crypto extensions; raised $65.3M including $37M Series B (Jul 2024).,https://ui-avatars.com/api/?name=Ali+El+Kaafarani&background=0b0d17&color=a78bfa&size=128&bold=true,https://pqshield.com/,https://www.linkedin.com/in/ali-el-kaafarani/,https://semiwiki.com/security/pqshield/312185-ceo-interviews-dr-ali-el-kaafarani-of-pqshield/
Dr. Amit Sinha,USA,CEO,DigiCert,Private,Industry Vendor,Named CEO Oct 2022; leading World Quantum Readiness Day initiative; launched DigiCert ONE platform supporting PQC.,https://ui-avatars.com/api/?name=Amit+Sinha&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.digicert.com/,https://www.linkedin.com/in/amitsinha/,https://www.digicert.com/about/leadership
Todd Moore,France/USA,Global VP Data Security Products,Thales,Private,Industry Vendor,Leads Luna HSMs and High Speed Encryptors; launched PQC Starter Kit with Quantinuum (Jan 2024); Thales co-authored FALCON algorithm.,https://ui-avatars.com/api/?name=Todd+Moore&background=0b0d17&color=a78bfa&size=128&bold=true,https://cpl.thalesgroup.com/,https://www.linkedin.com/in/todd-moore-a21a143/,https://cpl.thalesgroup.com/blog/encryption/post-quantum-cryptography-algorithms
Dr. Atsushi Yamada,Canada,CEO,ISARA Corporation,Private,Industry Vendor,Appointed CEO May 2023; pioneer of hybrid certificate approach with public patents; developed ISARA Catalyst Crypto Agile PKI platform.,https://ui-avatars.com/api/?name=Atsushi+Yamada&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.isara.com/,https://www.linkedin.com/in/atsushi-yamada-4a990167/,https://www.isara.com/blog-posts/a-q-and-a-with-atsushi-yamada-pqc-addressing-risk-management-needs-whats-ahead.html
Dr. Shahram Mossayebi,UK,CEO and Co-Founder,Crypto Quantique,Private,Industry Vendor,Founded company (2016) for IoT security using quantum technologies; created QDID—world's first quantum-driven secure silicon chip.,https://ui-avatars.com/api/?name=Shahram+Mossayebi&background=0b0d17&color=a78bfa&size=128&bold=true,https://crypto-quantique.com/,https://www.linkedin.com/in/mossayebi/,https://embeddedcomputing.com/technology/security/embedded-executive-shahram-mossayebi-ceo-and-co-founder-crypto-quantique
Rebecca Krauthamer,USA,CEO and Co-Founder,QuSecure,Private,Industry Vendor,Led $28M Series A; launched QuProtect—first end-to-end PQC software platform (May 2022); customers include U.S. Army and Air Force.,https://ui-avatars.com/api/?name=Rebecca+Krauthamer&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.qusecure.com/,https://www.linkedin.com/in/rkrauthamer/,https://www.qusecure.com/from-complex-to-simple/
Greg Wetmore,USA/Canada,VP of Software Development,Entrust,Private,Industry Vendor,Leads Entrust Strong Identities and Trusted Infrastructure; proposed only IETF draft for composite (hybrid) certificates; NIST NCCoE participant.,https://ui-avatars.com/api/?name=Greg+Wetmore&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.entrust.com/,https://www.linkedin.com/in/gregwetmore/,https://www.entrust.com/solutions/post-quantum-cryptography
Phil Venables,USA,VP Technical Infrastructure Security; CISO,Google Cloud,Private,Industry Adopter,"Led Google's multi-pronged PQC strategy: testing in Chrome since 2016, protecting internal comms since 2022, contributing to NIST standards.",https://ui-avatars.com/api/?name=Phil+Venables&background=0b0d17&color=10b981&size=128&bold=true,https://cloud.google.com/,https://www.linkedin.com/in/philvenables/,https://cloud.google.com/blog/products/identity-security/cloud-ciso-perspectives-why-we-need-to-get-ready-for-pqc
Sophie Schmieg,USA,Senior Cryptography Engineer,Google,Private,Industry Adopter,Enabled PQC on Google's ALTS protocol (2022) with hybrid NTRU-HRSS + X25519; co-authored SPHINCS+; maintains PQC in BoringCrypto and Tink.,https://ui-avatars.com/api/?name=Sophie+Schmieg&background=0b0d17&color=10b981&size=128&bold=true,https://www.google.com/,https://www.linkedin.com/in/sophie-schmieg-14367499/,https://cloud.google.com/blog/products/identity-security/why-google-now-uses-post-quantum-cryptography-for-internal-comms
Panos Kampanakis,USA,Principal Security Engineer AWS Cryptography,AWS,Private,Industry Adopter,"Key architect of AWS's PQC strategy; deployed ML-KEM PQC across KMS, Secrets Manager, Certificate Manager; AWS-LC FIPS 3.0 first library with ML-KEM in FIPS 140-3; CRYSTALS-Kyber retirement planned 2026.",https://ui-avatars.com/api/?name=Panos+Kampanakis&background=0b0d17&color=10b981&size=128&bold=true,https://aws.amazon.com/security/post-quantum-cryptography/,https://www.linkedin.com/in/panoskampanakis/,https://aws.amazon.com/blogs/security/aws-post-quantum-cryptography-migration-plan/
Matthew Campagna,USA,Lead Cryptographer; Chair ETSI TC CYBER WG QSC,AWS,Private,Standards,Leads AWS cryptography R&D; chairs ETSI QSC since ~2017; co-authored AWS's multi-phase migration strategy; team contributed to NIST FIPS.,https://ui-avatars.com/api/?name=Matthew+Campagna&background=0b0d17&color=10b981&size=128&bold=true,https://aws.amazon.com/,https://www.linkedin.com/in/matt-campagna/,https://csrc.nist.gov/csrc/media/Presentations/2025/etsi-qsc-update/images-media/etsi-qsc-update.pdf
Bas Westerbaan,Netherlands,Research Engineer,Cloudflare,Private,Industry Adopter,Primary architect of Cloudflare's PQC deployment; led X25519+ML-KEM hybrid; 38%+ HTTPS traffic PQC-protected (Mar 2025); working on Merkle Tree Certificates with Chrome; WARP PQC Phase 2 targeted summer 2026.,https://ui-avatars.com/api/?name=Bas+Westerbaan&background=0b0d17&color=10b981&size=128&bold=true,https://blog.cloudflare.com/,https://www.linkedin.com/in/baswesterbaan/,https://blog.cloudflare.com/pq-2025/
Ehren Kret,USA,Protocol Developer/Cryptographer,Signal,Private,Industry Adopter,Co-developed PQXDH protocol (Sep 2023) and Triple Ratchet with SPQR (Oct 2025); continuous PQC key agreement deployed in all Signal clients; collaborated with PQShield and NYU.,https://ui-avatars.com/api/?name=Ehren+Kret&background=0b0d17&color=10b981&size=128&bold=true,https://signal.org/,https://www.linkedin.com/in/ehrenkret/,https://signal.org/docs/specifications/pqxdh/
Rolfe Schmidt,USA,Engineer,Signal,Private,Industry Adopter,Co-author of PQXDH; led development of SPQR Triple Ratchet (Oct 2025) with formal ProVerif verification; transparent automatic PQC ratcheting for all Signal users.,https://ui-avatars.com/api/?name=Rolfe+Schmidt&background=0b0d17&color=10b981&size=128&bold=true,https://signal.org/,https://www.linkedin.com/in/rolfeschmidt/,https://signal.org/blog/spqr/
Luke Ibbetson,UK,Head of Group R&D,Vodafone,Private,Industry Adopter,Co-founded GSMA Post-Quantum Telco Network Taskforce with IBM (Sep 2022); Vodafone-IBM quantum-safe Secure Net smartphone security partnership (Mar 2025) protecting millions of mobile users; broader rollout planned 2026.,https://ui-avatars.com/api/?name=Luke+Ibbetson&background=0b0d17&color=10b981&size=128&bold=true,https://www.vodafone.com/,https://www.linkedin.com/in/luke-ibbetson-26170b23/,https://www.vodafone.com/news/technology/vodafone-tests-quantum-safe-business-network-upgraded-smartphones
Marco Pistoia,USA,Head of Global Technology Applied Research,JPMorgan Chase,Private,Industry Adopter,"Built one of first internal quantum teams at a financial institution; leads QKD research, PQC implementation; JPMorgan invested $100M in Quantinuum.",https://ui-avatars.com/api/?name=Marco+Pistoia&background=0b0d17&color=10b981&size=128&bold=true,https://www.jpmorganchase.com/,https://www.linkedin.com/in/pistoia/,https://www.jpmorganchase.com/about/technology/research/applied-research
Sofia Celi,Portugal,Cryptography Researcher; PQUIP WG Co-Chair,Brave Software,Private,Standards,Co-chairs IETF PQUIP working group; co-author of KEMTLS protocol; contributor to TLS AuthKEM draft.,https://ui-avatars.com/api/?name=Sofia+Celi&background=0b0d17&color=60a5fa&size=128&bold=true,https://brave.com/,https://www.linkedin.com/in/sofia-celi-27704743/,https://datatracker.ietf.org/wg/pquip/about/
Russ Housley,USA,LAMPS WG Co-Chair,Vigil Security,Private,Standards,Co-chairs LAMPS WG; extensive work on PQC for PKIX certificates and CMS; hybrid key establishment standards.,https://ui-avatars.com/api/?name=Russ+Housley&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.vigilsec.com/,https://www.linkedin.com/in/russ-housley-41969/,https://datatracker.ietf.org/wg/lamps/about/
Tim Hollebeek,USA,LAMPS WG Co-Chair,DigiCert,Private,Standards,Co-chairs LAMPS WG; co-author of 'PQC for Engineers' draft; active in composite signatures and PQC certificates.,https://ui-avatars.com/api/?name=Tim+Hollebeek&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.digicert.com/,https://www.linkedin.com/in/timothy-hollebeek-505b814/,https://datatracker.ietf.org/person/tim.hollebeek@digicert.com
Mike Ounsworth,Canada,Software Security Architect,Entrust,Private,Standards,Lead author of Composite ML-DSA signatures draft (adopted May 2024); Composite ML-KEM draft; pioneering hybrid/composite PKI since 2019.,https://ui-avatars.com/api/?name=Mike+Ounsworth&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.entrust.com/,,https://datatracker.ietf.org/doc/draft-ounsworth-pq-composite-sigs/
Dr. Douglas Stebila,Canada,Professor,University of Waterloo,Academic,Standards,Lead author of draft-ietf-tls-hybrid-design (TLS 1.3 hybrid key exchange); co-author of ECDHE-MLKEM drafts; foundational PQC TLS research.,https://ui-avatars.com/api/?name=Douglas+Stebila&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.douglas.stebila.ca/,https://www.linkedin.com/in/douglasstebila/,https://datatracker.ietf.org/doc/draft-ietf-tls-hybrid-design/
Kris Kwiatkowski,UK,Cryptography Researcher,PQShield,Private,Standards,Lead author of draft-ietf-tls-ecdhe-mlkem (Post-quantum hybrid key agreement); key contributor to TLS PQC integration.,https://ui-avatars.com/api/?name=Kris+Kwiatkowski&background=0b0d17&color=60a5fa&size=128&bold=true,https://pqshield.com/,https://www.linkedin.com/in/krzysiekkwiatkowski/,https://datatracker.ietf.org/doc/draft-ietf-tls-ecdhe-mlkem/
Dr. Thom Wiggers,Netherlands,Senior Cryptography Researcher,PQShield,Private,Standards,Co-author of KEMTLS/AuthKEM drafts; Ph.D. on post-quantum protocols; contributor to stateful hash-based signature deployment guidance.,https://ui-avatars.com/api/?name=Thom+Wiggers&background=0b0d17&color=60a5fa&size=128&bold=true,https://pqshield.com/,https://www.linkedin.com/in/thomwiggers/,https://thomwiggers.nl/
Scott Fluhrer,USA,Security Researcher,Cisco Systems,Private,Standards,Lead author of RFC 8784 (Mixing Preshared Keys in IKEv2 for PQ Security); pioneer in IKEv2 PQC since 2016.,https://ui-avatars.com/api/?name=Scott+Fluhrer&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.cisco.com/,https://www.linkedin.com/in/scott-fluhrer-a824a0265/,https://datatracker.ietf.org/doc/draft-ietf-ipsecme-qr-ikev2/
Dr. James Howe,UK,Vice-Chair ETSI QSC; Staff Research Scientist,SandboxAQ,Private,Standards,Vice-Chair of QSC WG; co-author of SDitH signature scheme (NIST on-ramp); research on PQC hardware/software implementation.,https://ui-avatars.com/api/?name=James+Howe&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.sandboxaq.com/,https://www.linkedin.com/in/jameshowe1729/,https://www.etsi.org/events/2450-etsi-iqc-quantum-safe-cryptography-conference-2025
Mark Pecen,Canada,Vice-Chair ETSI QSC,Beyond Affinity,Private,Standards,Founding Chair of ETSI ISG QSC (2015); holds 100+ patents in communications/computing; shaped early QSC direction.,https://ui-avatars.com/api/?name=Mark+Pecen&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.beyondaffinity.com/,https://www.linkedin.com/in/markpecen/,https://www.etsi.org/newsroom/news/947-2015-03-news-etsi-launches-quantum-safe-cryptography-specification-group
Prof. Dr. Heung Youl Youm,South Korea,Former Chair ITU-T SG17 (2017-2024),Soonchunhyang University,Academic,Standards,Led ITU-T SG17 security standardization including QKD and PQC work for 7 years.,https://ui-avatars.com/api/?name=Heung+Youl+Youm&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.sch.ac.kr/,https://www.linkedin.com/in/heung-youl-youm-77868412/,https://www.itu.int/en/ITU-T/academia/kaleidoscope/2024/Documents/1st_author_corner/ITU%20Kaleidoscope%202024%20-%20keynote%20-%20f.pdf
Prof. Dr. Michele Mosca,Canada,Founder Institute for Quantum Computing; Professor,University of Waterloo; evolutionQ,Academic,Standards,PC Chair of ETSI/IQC Quantum Safe events; founder of IQC; global PQC advocacy leader; developed Mosca's theorem for quantum risk assessment.,https://ui-avatars.com/api/?name=Michele+Mosca&background=0b0d17&color=60a5fa&size=128&bold=true,https://uwaterloo.ca/institute-for-quantum-computing/,https://www.linkedin.com/in/dr-mosca/,https://www.etsi.org/events/2117-2023-02-9th-etsi-iqc-quantum-safe-cryptography-workshop
Dr. Jean-Philippe Aumasson,Switzerland,Chief Security Officer,Taurus SA,Private,Algorithm Inventor,Co-designer of SPHINCS+; creator of BLAKE hash function series; author of 'Serious Cryptography' and numerous security tools.,https://ui-avatars.com/api/?name=Jean-Philippe+Aumasson&background=0b0d17&color=f59e0b&size=128&bold=true,https://aumasson.jp/,https://www.linkedin.com/in/aumasson/,https://sphincs.org/
Dr. Ward Beullens,Belgium,Research Scientist,IBM Research Europe Zurich,Private,Algorithm Inventor,Principal designer of SDitH (NIST on-ramp algorithm); cryptanalyst who broke RAINBOW; expert in multivariate and code-based cryptography.,https://ui-avatars.com/api/?name=Ward+Beullens&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.esat.kuleuven.be/cosic/people/ward-beullens/,https://www.linkedin.com/in/wardbeullens/,https://eprint.iacr.org/2023/588
Rob Joyce,USA,Venture Partner; Former NSA Cybersecurity Director,DataTribe / Joyce Cyber LLC,Private,Government,NSA Cybersecurity Director (2021-2024); led NSA's quantum computing and PQC strategy; advocate for early CNSA 2.0 adoption; retired Mar 2024; now venture partner at DataTribe and advisor to OpenAI and Microsoft.,https://ui-avatars.com/api/?name=Rob+Joyce&background=0b0d17&color=22d3ee&size=128&bold=true,https://datatribe.com/,https://www.linkedin.com/in/rob-joyce-b43445116/,https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF
Anne Neuberger,USA,Distinguished Lecturer; Senior Advisor,Stanford University / Andreessen Horowitz,Private,Government,Former Deputy National Security Advisor for Cyber (2021-2025); led National Security Memorandum on quantum security (May 2022); coordinated whole-of-government PQC transition; now at Stanford and Hoover Institution.,https://ui-avatars.com/api/?name=Anne+Neuberger&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.hoover.org/profiles/anne-neuberger,https://www.linkedin.com/in/anne-neuberger-13b4491b/,https://www.whitehouse.gov/briefing-room/statements-releases/2022/05/04/national-security-memorandum-on-promoting-united-states-leadership-in-quantum-computing-while-mitigating-risks-to-vulnerable-cryptographic-systems/
