role_id,variant_id,order,chip_label,chip_description,phase_id,cswp39_zone,module_ids,workshop_ids,business_tool_ids,status,deprecated_at,deprecated_reason,last_reviewed,notes
ops,cutover,5,Rehearse the cutover,Hybrid tunnels and certificates on a real renewal window.,p5,migration,vpn-ssh-pqc;tls-basics,vpn-sim,deployment-playbook,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
ops,suppliers,3,Check your suppliers,Vendor roadmaps against renewals you have already booked.,p7,governance,sbom;crypto-registry;verification-closure,,vendor-scorecard,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,provenance,1,Trace every claim,Source tiers and verification dates across the whole corpus.,p1,assets,standards-bodies;pqc-candidates,,,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,reproduce,3,Reproduce the claims,"ACVP vectors and KATs you run yourself, log exportable.",verify-close,risk-management,pqc-testing-validation;slh-dsa,slh-dsa;entropy-test,,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,threatmodel,4,Interrogate the threat model,CRQC scenarios and the strongest published counter-claims.,p3,risk-management,quantum-threats;data-asset-sensitivity,,crqc-scenario,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
curious,break,2,Watch it break,"See a real connection fall over, in this tab.",,,pqc-101;quantum-threats,tls-simulator,breach-simulator,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
curious,short,1,The 30-second version,"The one idea worth leaving with, and nothing else.",,,pqc-101,,cost-of-inaction,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
curious,mylife,4,Where this touches me,"Your payments, your ID, your medical records.",,,digital-assets;digital-id;healthcare-pqc,digital-id;bitcoin-flow,,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
executive,deadlines,2,Know your deadlines,"The mandates that already bind you, and the year that ends RSA.",p3,risk-management,compliance-strategy;pqc-risk-management,,compliance-timeline,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
executive,evidence,5,Check the evidence,"Where every number on this site came from, and who stands behind it.",verify-close,assets,standards-bodies;vendor-risk,,stakeholder-comms,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
executive,verify,6,Verify it yourself,"Everything here you can check with your own hands, before you sign anything.",p0,governance,pqc-governance;migration-program,,board-pitch,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
developer,algorithm,2,Choose the algorithm,"Which parameter set for which job, with the sizes and the literature attached.",p5,mitigation,pqc-candidates;hybrid-crypto,hybrid-sigs,mti-negotiator,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
developer,closure,5,"Prove it, then close it out","Known-answer tests, a closure record, and the audit trail behind what you inherited.",verify-close,risk-management,pqc-testing-validation;crypto-registry,,migration-verification,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
developer,binds,6,Know what binds your code,"The standards, mandates and dates that decide your sprint order.",p4,governance,crypto-mgmt-modernization;iam-pqc,,compliance-checklist,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
architect,protocols,3,Choose the protocols,"Which protocols are ready, which are drafts, and what that means for the design.",p5,migration,pqc-candidates;network-security-pqc,hybrid-certs,cloud-responsibility-matrix,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
architect,sequence,5,Sequence the estate,"What moves first, what waits, and what your vendors decide for you.",p4,migration,crypto-mgmt-modernization;crypto-registry,,data-at-rest-strategy,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
architect,defend,6,Defend the design,"The threat model, the evidence, and the review the design has to survive.",p3,risk-management,pqc-testing-validation;confidential-computing,tpm-playground,risk-treatment-plan,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
ops,standing,2,Find out where you stand,Ten minutes to a scored position and the checklist an auditor will ask for.,p1,assets,cbom;crypto-registry,,audit-checklist,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
ops,suites,4,Know which suite to turn on,"Named cipher suites and groups, per protocol, against what your stack supports.",p5,migration,standards-bodies;pki-enrollment-protocols,pki-enrollment,kpi-tracker,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
ops,closeout,6,Prove the change worked,"Evidence the cutover actually landed, and the report that says so.",verify-close,risk-management,verification-closure;pqc-testing-validation,pqc-ssh-sim,management-tools-audit,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,standards,2,Track the standards,"What is final, what is draft, and what changed since you last looked.",p1,assets,standards-bodies;pqc-candidates,lms-hss,crypto-vulnerability-watch,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,commandline,5,Take it to a command line,"The same primitives, on a real OpenSSL prompt, with the log exportable.",verify-close,risk-management,pqc-testing-validation;entropy-randomness,drbg-demo;source-combining,,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,field,6,Follow it into the field,"Where the algorithms actually show up: sectors, products, regulations.",p7,migration,emv-payment-pqc;energy-utilities-pqc,suci-flow,supply-chain-matrix,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
curious,howbad,3,How bad is it really?,"The honest version: what we know, what we don't, and what replaces it.",,,quantum-threats;pqc-candidates,rng-demo,,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
curious,anyone,5,Is anyone fixing it?,"Governments, companies, and the people actually doing the work.",,,compliance-strategy;standards-bodies,qrng-demo,,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
curious,whattake,6,What would fixing it take?,"Watch an organisation actually do it, start to finish.",,,migration-program;crypto-agility,,initial-scoping,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
