ref_id,source_name,category,source_type,pillar,maturity_level,asset_class,requirement,evidence_quote,evidence_location,source_url,confidence,extraction_model,extraction_date,status,deprecated_at,deprecated_reason
NIST-SP-800-140C,NIST SP 800-140C Rev. 2: CMVP-Approved Security Functions,Certification Schemes,Standard,assurance,3,all,Use only CMVP-approved security functions; preclude all others. Monitor the official CMVP web link for the current list of approved functions to ensure validation compliance.,"This document identifies CMVP-approved security functions. It precludes the use of all other security functions. For the current list of CMVP-approved security functions, see https://csrc.nist.gov/projects/cmvp/sp800-140c.",Section 6.1 Purpose and Section 6.2 Approved security functions,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Cr2.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NIST-SP-800-140C,NIST SP 800-140C Rev. 2: CMVP-Approved Security Functions,Certification Schemes,Standard,lifecycle,3,all,"Establish a process to continuously monitor the CMVP website for updates to the list of approved security functions, as the list is maintained online rather than in static documents.","Future modifications to the list will be made on that website, minimizing the need to revise this publication.","Appendix A. Document Revisions, Revision 2 (r2)",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Cr2.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NIST-SP-800-140C,NIST SP 800-140C Rev. 2: CMVP-Approved Security Functions,Certification Schemes,Standard,inventory,2,all,"Maintain an inventory of cryptographic modules that strictly utilizes only those security functions listed as CMVP-approved, excluding any non-approved functions.",This document identifies CMVP-approved security functions. It precludes the use of all other security functions.,Section 6.1 Purpose,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Cr2.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NIST IR 8547,Transition to Post-Quantum Cryptography Standards,Standardization Bodies,Compliance Framework,governance,2,all,"Develop a strategy to manage the transition to post-quantum cryptography, including the adoption of new algorithms and the deprecation of quantum-vulnerable ones.","This report serves as the initial step in a broader strategy to manage and guide the transition to post-quantum cryptography. This transition will involve the adoption of new PQC algorithms as well as the careful deprecation, controlled legacy use, and eventual removal of quantum-vulnerable algorithms","Section 1.1, Paragraphs 119-125",https://csrc.nist.gov/pubs/ir/8547/ipd,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NIST IR 8547,Transition to Post-Quantum Cryptography Standards,Standardization Bodies,Compliance Framework,inventory,2,all,Identify existing quantum-vulnerable cryptographic standards and the specific quantum-resistant standards required for transition across information technology products and services.,It identifies existing quantum-vulnerable cryptographic standards and the quantum-resistant standards to which information technology products and services will need to transition.,"Abstract, Paragraphs 2-7",https://csrc.nist.gov/pubs/ir/8547/ipd,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NIST IR 8547,Transition to Post-Quantum Cryptography Standards,Standardization Bodies,Compliance Framework,lifecycle,2,all,"Plan for the careful deprecation, controlled legacy use, and eventual removal of quantum-vulnerable algorithms as part of the transition strategy.","This transition will involve the adoption of new PQC algorithms as well as the careful deprecation, controlled legacy use, and eventual removal of quantum-vulnerable algorithms","Section 1.1, Paragraphs 119-125",https://csrc.nist.gov/pubs/ir/8547/ipd,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,Standardization Bodies,Compliance Framework,governance,3,all,"Prohibit use of unapproved cryptographic algorithms; require specific waivers for any algorithm, implementation, or use case not approved by the National Manager.","Using any cryptographic algorithms the National Manager did not approve is generally not allowed, and requires a waiver specific to the algorithm, implementation, and use case.",Executive summary,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,Standardization Bodies,Compliance Framework,assurance,3,software,"Require NIAP or NSA validation for all software and hardware providing cryptographic services, in addition to meeting CNSA requirements.","In accordance with CNSSP 11, software and hardware providing cryptographic services require National Information Assurance Partnership (NIAP) or NSA validation in addition to meeting the requirements of the appropriate version of CNSA.",Executive summary,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,Standardization Bodies,Compliance Framework,lifecycle,3,software,Transition all deployed software and firmware to CNSA 2.0-compliant signatures by 2030; new software must use CNSA 2.0 signing algorithms by 2025.,New software and firmware use CNSA 2.0 signing algorithms by 2025... Transitioning all deployed software and firmware to CNSA 2.0-compliant signatures by 2030.,Timing for software signing and firmware signing,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,Standardization Bodies,Compliance Framework,lifecycle,3,software,Update or replace custom applications and legacy equipment by 2033 to meet CNSA 2.0 requirements.,Custom applications and legacy equipment: update or replace by 2033.,Other requirements for NSS,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,Standardization Bodies,Compliance Framework,lifecycle,3,software,Prefer CNSA 2.0 algorithms when configuring systems during the transition period; exclusive use becomes mandatory by defined deadlines.,"Where feasible, NSS owners and operators will be required to prefer CNSA 2.0 algorithms when configuring systems during the transition period.",Timing,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,Standardization Bodies,Compliance Framework,governance,3,all,"Measure compliance with CNSA 1.0 and 2.0 as part of the Risk Management Framework process, specifically assessing Security Control 12.",Approving Officials (AOs) should measure compliance as part of the Risk Management Framework (RMF) process when assessing Security Control 12 (SC-12).,Enforcement,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,Standardization Bodies,Compliance Framework,assurance,3,all,"Verify compliance with CNSA 2.0 for software- and firmware-signing on systems; do not assess against FIPS-validated, but require NSA-approved solutions.","Furthermore, AOs will need to verify compliance with CNSA 2.0 for software- and firmware-signing on their systems. NSS should not be assessed against “FIPS-validated” in the RMF process; instead, solutions must be NSA-approved.",Enforcement,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,Standardization Bodies,Compliance Framework,lifecycle,3,software,Require waivers and compliance plans for legacy equipment and software not refreshed regularly to meet NIAP Protection Profile requirements.,"At that point, legacy equipment and software not refreshed regularly will require a waiver and a plan to bring it into compliance.",Timing,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
ANSSI-PG-083-v3-2026,Règles et Recommandations Concernant le Choix et le Dimensionnement des Mécanismes Cryptographiques (v3.00),Standardization Bodies,Compliance Framework,governance,2,all,Submit the relevance of ANSSI cryptographic implementations to prior validation by the system administrator or security officers.,"la pertinence de l’implémentation des éléments proposés par l’ANSSI doit être soumise, au préalable, à la validation de l’administrateur du système et/ou des personnes en charge de la sécurité des systèmes d’information.",Informations / Attention,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-mecanismes-crypto-3.00.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
ANSSI-PG-083-v3-2026,Règles et Recommandations Concernant le Choix et le Dimensionnement des Mécanismes Cryptographiques (v3.00),Standardization Bodies,Compliance Framework,governance,2,all,Adhere to defined rules as necessary conditions for recognizing the correct security level of cryptographic mechanisms.,L’observation de ces règles est une condition nécessaire à la reconnaissance du bon niveau de sécurité du mécanisme. Un mécanisme respectant ces règles est dit conforme au référentiel.,1.4 Définition des règles et recommandations,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-mecanismes-crypto-3.00.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
ANSSI-PG-083-v3-2026,Règles et Recommandations Concernant le Choix et le Dimensionnement des Mécanismes Cryptographiques (v3.00),Standardization Bodies,Compliance Framework,governance,2,all,Follow post-quantum rules as necessary conditions for protection against quantum adversaries.,"L’observation d’une règle, qu’elle soit post-quantique ou non, est une condition nécessaire à la reconnaissance qu’un mécanisme cryptographique offre des assurances de protection contre un adversaire doté d’un ordinateur quantique",1.4 Définition des règles et recommandations,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-mecanismes-crypto-3.00.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
ETSI TR 103 619,Migration Strategies and Recommendations for Quantum-Safe Schemes,Standardization Bodies,Government Guidance,inventory,2,all,"Compile a comprehensive inventory of cryptographic assets, including infrastructure and suppliers, to support migration planning.",Stage 1 - Inventory compilation... Infrastructure inventory... Supplier inventory,Section 5 / Annex A.1.4 / A.1.5,https://www.etsi.org/deliver/etsi_tr/103600_103699/103619/01.01.01_60/tr_103619v010101p.pdf,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
ETSI TR 103 619,Migration Strategies and Recommendations for Quantum-Safe Schemes,Standardization Bodies,Government Guidance,governance,2,all,Create a documented migration plan addressing orderly and disorderly transition scenarios for quantum-safe schemes.,Stage 2 - Preparation of the migration plan... Creation of the migration plan... Orderly transition planning... Disorderly transition planning,Section 6 / Annex A.2,https://www.etsi.org/deliver/etsi_tr/103600_103699/103619/01.01.01_60/tr_103619v010101p.pdf,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
ETSI TR 103 619,Migration Strategies and Recommendations for Quantum-Safe Schemes,Standardization Bodies,Government Guidance,lifecycle,2,keys,Define key management procedures specifically for the migration period to ensure continuity and security.,Key management during migration,Section 6.4,https://www.etsi.org/deliver/etsi_tr/103600_103699/103619/01.01.01_60/tr_103619v010101p.pdf,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
ETSI TR 103 619,Migration Strategies and Recommendations for Quantum-Safe Schemes,Standardization Bodies,Government Guidance,lifecycle,2,certificates,Establish trust management processes to handle certificate and trust anchor transitions during migration.,Trust management during migration,Section 6.5,https://www.etsi.org/deliver/etsi_tr/103600_103699/103619/01.01.01_60/tr_103619v010101p.pdf,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
ETSI TR 103 619,Migration Strategies and Recommendations for Quantum-Safe Schemes,Standardization Bodies,Government Guidance,lifecycle,2,software,Plan for isolation approaches and access controls for non-quantum-safe resources during the migration execution.,Isolation approaches during migration... Access to non-QSC protected resources after migration,Section 6.6 / 6.7,https://www.etsi.org/deliver/etsi_tr/103600_103699/103619/01.01.01_60/tr_103619v010101p.pdf,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
ETSI TR 103 619,Migration Strategies and Recommendations for Quantum-Safe Schemes,Standardization Bodies,Government Guidance,assurance,2,all,"Conduct risk, data, and cryptographic assessments to evaluate the impact of quantum threats on the estate.",Risk assessment... Data assessment... Cryptographic assessment,Annex A.1.1 / A.1.2 / A.1.3,https://www.etsi.org/deliver/etsi_tr/103600_103699/103619/01.01.01_60/tr_103619v010101p.pdf,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
RFC-9958,RFC 9958,Standardization Bodies,Government Guidance,governance,2,all,Establish long-term security planning and proactive assessment processes for cryptographic systems to address the threat of cryptographically relevant quantum computers.,"Engineers responsible for designing, maintaining, and securing cryptographic systems must prepare for the significant changes... It requires a combination of engineering efforts, proactive assessment and evaluation of available technologies, and a careful approach to product development and deployment.",Section 1,https://datatracker.ietf.org/doc/rfc9958/,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
RFC-9958,RFC 9958,Standardization Bodies,Government Guidance,governance,2,all,"Coordinate transitions across organizations and ecosystems, planning for staged migrations where upgraded and non-upgraded agents must coexist.","A significant amount of coordination between organizations, and within and between ecosystems, needs to be taken into account. Such transitions... will require staged migrations in which upgraded agents need to coexist and communicate with non-upgraded agents.",Section 1,https://datatracker.ietf.org/doc/rfc9958/,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
RFC-9958,RFC 9958,Standardization Bodies,Government Guidance,lifecycle,2,libraries,Design cryptographic libraries and protocols to accommodate significant differences in resource utilization and key sizes between traditional and post-quantum algorithms.,"In many cases, the shift to PQC will involve redesigning protocols and infrastructure to accommodate the significant differences in resource utilization and key sizes between traditional and PQC algorithms.",Section 1,https://datatracker.ietf.org/doc/rfc9958/,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
RFC-9958,RFC 9958,Standardization Bodies,Government Guidance,lifecycle,2,all,Implement cryptographic agility to allow for the transition to post-quantum algorithms and hybrid schemes as standards evolve.,15.2. Cryptographic Agility,Section 15.2,https://datatracker.ietf.org/doc/rfc9958/,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
RFC-9958,RFC 9958,Standardization Bodies,Government Guidance,assurance,2,all,"Evaluate trade-offs between security and performance when selecting post-quantum algorithms, considering constraints of devices and networks.",Engineers need to understand... how to evaluate the trade-offs between security and performance... 14. Impact on Constrained Devices and Networks,"Section 1, Section 14",https://datatracker.ietf.org/doc/rfc9958/,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
AU-ASD-ISM-Crypto-2024,ASD Information Security Manual — Guidelines for Cryptography (December 2024),Compliance Frameworks,Compliance Framework,governance,3,keys,"Develop, implement, and maintain documented cryptographic key management processes and procedures covering the full key lifecycle.","Cryptographic key management processes, and supporting cryptographic key management procedures, are developed, implemented and maintained.",Control: ISM-0507,https://www.cyber.gov.au/sites/default/files/2024-12/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20(December%202024).pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
AU-ASD-ISM-Crypto-2024,ASD Information Security Manual — Guidelines for Cryptography (December 2024),Compliance Frameworks,Compliance Framework,governance,3,software,Ensure cryptographic equipment and software use only ASD-Approved Cryptographic Algorithms or high assurance algorithms by disabling unapproved ones.,Only AACAs or high assurance cryptographic algorithms are used by cryptographic equipment and software.,Control: ISM-0471,https://www.cyber.gov.au/sites/default/files/2024-12/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20(December%202024).pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
AU-ASD-ISM-Crypto-2024,ASD Information Security Manual — Guidelines for Cryptography (December 2024),Compliance Frameworks,Compliance Framework,governance,3,software,Comply with ASD Communications Security Instructions for the management and operation of High Assurance Cryptographic Equipment.,Communications security doctrine produced by ASD for the management and operation of HACE is complied with.,Control: ISM-0499,https://www.cyber.gov.au/sites/default/files/2024-12/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20(December%202024).pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
AU-ASD-ISM-Crypto-2024,ASD Information Security Manual — Guidelines for Cryptography (December 2024),Compliance Frameworks,Compliance Framework,governance,3,software,Operate High Assurance Cryptographic Equipment only if issued an Approval for Use by ASD and in accordance with latest instructions.,HACE are issued an Approval for Use by ASD and operated in accordance with the latest version of their associated Australian Communications Security Instructions.,Control: ISM-1802,https://www.cyber.gov.au/sites/default/files/2024-12/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20(December%202024).pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
AU-ASD-ISM-Crypto-2024,ASD Information Security Manual — Guidelines for Cryptography (December 2024),Compliance Frameworks,Compliance Framework,governance,3,keys,Report compromise or suspected compromise of cryptographic equipment or keying material to the CISO or delegate immediately.,"The compromise or suspected compromise of cryptographic equipment or associated keying material is reported to the Chief Information Security Officer, or one of their delegates, as soon as possible after it occurs.",Control: ISM-0142,https://www.cyber.gov.au/sites/default/files/2024-12/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20(December%202024).pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
AU-ASD-ISM-Crypto-2024,ASD Information Security Manual — Guidelines for Cryptography (December 2024),Compliance Frameworks,Compliance Framework,governance,3,keys,Change keying material immediately when cryptographic equipment or keying material is compromised or suspected of being compromised.,Keying material is changed when compromised or suspected of being compromised.,Control: ISM-1091,https://www.cyber.gov.au/sites/default/files/2024-12/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20(December%202024).pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
AU-ASD-ISM-Crypto-2024,ASD Information Security Manual — Guidelines for Cryptography (December 2024),Compliance Frameworks,Compliance Framework,governance,3,software,Use ECDH in preference to Diffie-Hellman for asymmetric cryptographic operations to promote interoperability and reduce data cost.,ECDH is used in preference to DH.,Control: ISM-0994,https://www.cyber.gov.au/sites/default/files/2024-12/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20(December%202024).pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-31,active,,
