kat_id,algorithm,local_kat_file,main_site_source,specific_kat_url,source_freshness_date,learning_module_id,use_case_validated,integration_status
KAT-ENCRYPTI-067,Generic-PQC,/kat/DatabaseEncryptionPQC/EncryptionLayerMapper/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,DatabaseEncryptionPQC,EncryptionLayerMapper Execution,Active
KAT-QUERYABL-068,Generic-PQC,/kat/DatabaseEncryptionPQC/QueryableEncryptionLab/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,DatabaseEncryptionPQC,QueryableEncryptionLab Execution,Active
KAT-TDEMIGRA-069,Generic-PQC,/kat/DatabaseEncryptionPQC/TDEMigrationPlanner/step_1_algorithm_selection.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,DatabaseEncryptionPQC,Migration Assessment Analysis,Active
KAT-CARDPROV-070,Generic-PQC,/kat/EMVPaymentPQC/CardProvisioningVisualizer/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EMVPaymentPQC,CardProvisioningVisualizer Execution,Active
KAT-MIGRATIO-071,Generic-PQC,/kat/EMVPaymentPQC/MigrationRiskMatrix/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EMVPaymentPQC,MigrationRiskMatrix Execution,Active
KAT-NETWORKC-072,Generic-PQC,/kat/EMVPaymentPQC/NetworkComparator/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EMVPaymentPQC,NetworkComparator Execution,Active
KAT-POSCRYPT-073,ML-DSA,/kat/EMVPaymentPQC/POSCryptoAnalyzer/step_1_load_asset.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EMVPaymentPQC,POSCryptoAnalyzer Execution,Active
KAT-POSCRYPT-074,ML-DSA,/kat/EMVPaymentPQC/POSCryptoAnalyzer/step_2_verify_signature.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EMVPaymentPQC,POSCryptoAnalyzer Execution,Active
KAT-TOKENIZA-075,Generic-PQC,/kat/EMVPaymentPQC/TokenizationExplorer/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EMVPaymentPQC,TokenizationExplorer Execution,Active
KAT-TRANSACT-076,Generic-PQC,/kat/EMVPaymentPQC/TransactionSimulator/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EMVPaymentPQC,TransactionSimulator Execution,Active
KAT-CMSENCRY-077,Generic-PQC,/kat/EmailSigning/CMSEncryptionDemo/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EmailSigning,CMSEncryptionDemo Execution,Active
KAT-CMSSIGNI-078,ML-DSA,/kat/EmailSigning/CMSSigningDemo/step_1_hash.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EmailSigning,CMSSigningDemo Execution,Active
KAT-CMSSIGNI-079,ML-DSA,/kat/EmailSigning/CMSSigningDemo/step_2_sign.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EmailSigning,CMSSigningDemo Execution,Active
KAT-SMIMECER-080,Generic-PQC,/kat/EmailSigning/SMIMECertViewer/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EmailSigning,SMIMECertViewer Execution,Active
KAT-GRIDMIGR-081,Generic-PQC,/kat/EnergyUtilities/GridMigrationRoadmap/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EnergyUtilities,GridMigrationRoadmap Execution,Active
KAT-PROTOCOL-082,ML-DSA,/kat/EnergyUtilities/ProtocolSecurityAnalyzer/step_1_load_asset.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EnergyUtilities,ProtocolSecurityAnalyzer Execution,Active
KAT-PROTOCOL-083,ML-DSA,/kat/EnergyUtilities/ProtocolSecurityAnalyzer/step_2_verify_signature.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EnergyUtilities,ProtocolSecurityAnalyzer Execution,Active
KAT-SAFETYRI-084,Generic-PQC,/kat/EnergyUtilities/SafetyRiskScorer/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EnergyUtilities,SafetyRiskScorer Execution,Active
KAT-SMARTMET-085,Generic-PQC,/kat/EnergyUtilities/SmartMeterKeyManager/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EnergyUtilities,SmartMeterKeyManager Execution,Active
KAT-SUBSTATI-086,Generic-PQC,/kat/EnergyUtilities/SubstationMigrationPlanner/step_1_algorithm_selection.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,EnergyUtilities,Migration Assessment Analysis,Active
KAT-ESVWALKT-087,Generic-PQC,/kat/Entropy/ESVWalkthroughDemo/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,Entropy,ESVWalkthroughDemo Execution,Active
KAT-ENTROPYT-088,Generic-PQC,/kat/Entropy/EntropyTestingDemo/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,Entropy,EntropyTestingDemo Execution,Active
KAT-QRNGDEMO-089,Generic-PQC,/kat/Entropy/QRNGDemo/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,Entropy,QRNGDemo Execution,Active
KAT-RANDOMGE-090,Generic-PQC,/kat/Entropy/RandomGenerationDemo/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,Entropy,RandomGenerationDemo Execution,Active
KAT-SOURCECO-091,Generic-PQC,/kat/Entropy/SourceCombiningDemo/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,Entropy,SourceCombiningDemo Execution,Active
KAT-BIOMETRI-092,Generic-PQC,/kat/HealthcarePQC/BiometricVaultAssessor/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,HealthcarePQC,BiometricVaultAssessor Execution,Active
KAT-DEVICESA-093,Generic-PQC,/kat/HealthcarePQC/DeviceSafetySimulator/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,HealthcarePQC,DeviceSafetySimulator Execution,Active
KAT-HOSPITAL-094,Generic-PQC,/kat/HealthcarePQC/HospitalMigrationPlanner/step_1_algorithm_selection.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,HealthcarePQC,Migration Assessment Analysis,Active
KAT-PATIENTP-095,Generic-PQC,/kat/HealthcarePQC/PatientPrivacyMapper/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,HealthcarePQC,PatientPrivacyMapper Execution,Active
KAT-PHARMAIP-096,Generic-PQC,/kat/HealthcarePQC/PharmaIPCalculator/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,HealthcarePQC,PharmaIPCalculator Execution,Active
KAT-FIPSVALI-097,Generic-PQC,/kat/HsmPqc/FipsValidationTracker/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,HsmPqc,FipsValidationTracker Execution,Active
KAT-HSMMIGRA-098,Generic-PQC,/kat/HsmPqc/HsmMigrationPlanner/step_1_algorithm_selection.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,HsmPqc,Migration Assessment Analysis,Active
KAT-PKCS11SI-099,Generic-PQC,/kat/HsmPqc/Pkcs11Simulator/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,HsmPqc,Pkcs11Simulator Execution,Active
KAT-VENDORCO-100,Generic-PQC,/kat/HsmPqc/VendorComparison/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,HsmPqc,VendorComparison Execution,Active
KAT-DIRECTOR-107,ML-DSA,/kat/IAMPQC/DirectoryServicesAnalyzer/step_1_load_asset.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IAMPQC,DirectoryServicesAnalyzer Execution,Active
KAT-DIRECTOR-108,ML-DSA,/kat/IAMPQC/DirectoryServicesAnalyzer/step_2_verify_signature.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IAMPQC,DirectoryServicesAnalyzer Execution,Active
KAT-IAMCRYPT-109,Generic-PQC,/kat/IAMPQC/IAMCryptoInventory/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IAMPQC,IAMCryptoInventory Execution,Active
KAT-TOKENMIG-110,Generic-PQC,/kat/IAMPQC/TokenMigrationLab/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IAMPQC,TokenMigrationLab Execution,Active
KAT-VENDORRE-111,Generic-PQC,/kat/IAMPQC/VendorReadinessScorer/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IAMPQC,VendorReadinessScorer Execution,Active
KAT-ZEROTRUS-112,Generic-PQC,/kat/IAMPQC/ZeroTrustIdentityArchitect/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IAMPQC,ZeroTrustIdentityArchitect Execution,Active
KAT-CERTCHAI-113,ML-DSA,/kat/IoTOT/CertChainBloatAnalyzer/step_1_load_asset.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IoTOT,CertChainBloatAnalyzer Execution,Active
KAT-CERTCHAI-114,ML-DSA,/kat/IoTOT/CertChainBloatAnalyzer/step_2_verify_signature.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IoTOT,CertChainBloatAnalyzer Execution,Active
KAT-CONSTRAI-115,Generic-PQC,/kat/IoTOT/ConstrainedAlgorithmExplorer/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IoTOT,ConstrainedAlgorithmExplorer Execution,Active
KAT-DTLSHAND-116,Generic-PQC,/kat/IoTOT/DTLSHandshakeVisualizer/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IoTOT,DTLSHandshakeVisualizer Execution,Active
KAT-FIRMWARE-117,ML-DSA,/kat/IoTOT/FirmwareSigningSimulator/step_1_hash.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IoTOT,FirmwareSigningSimulator Execution,Active
KAT-FIRMWARE-118,ML-DSA,/kat/IoTOT/FirmwareSigningSimulator/step_2_sign.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IoTOT,FirmwareSigningSimulator Execution,Active
KAT-SCADAMIG-119,Generic-PQC,/kat/IoTOT/SCADAMigrationPlanner/step_1_algorithm_selection.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,IoTOT,Migration Assessment Analysis,Active
