code,name,flag_code,region,compliance_bloc,show_in_picker,eu_member,authority,hybrid,end_state,sim_archetype,note,status,deprecated_at,deprecated_reason,instrument_url,applies_to,force,scope_basis,review_date
GR,Greece,gr,eu,European Union,no,yes,National Cybersecurity Authority (NCSA),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
HR,Croatia,hr,eu,European Union,no,yes,ZSIS (Information Systems Security Bureau),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
HU,Hungary,hu,eu,European Union,no,yes,NKI (National Cyber Security Center),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
LT,Lithuania,lt,eu,European Union,no,yes,NKSC (National Cyber Security Centre),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
LU,Luxembourg,lu,eu,European Union,no,yes,ANSSI Luxembourg (HCPN),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
LV,Latvia,lv,eu,European Union,no,yes,CERT.LV,,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
MT,Malta,mt,eu,European Union,no,yes,MDIA (Malta Digital Innovation Authority),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
PT,Portugal,pt,eu,European Union,no,yes,CNCS (Centro Nacional de Cibersegurança),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
RO,Romania,ro,eu,European Union,no,yes,DNSC (Directoratul National de Securitate Cibernetica),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
SI,Slovenia,si,eu,European Union,no,yes,URSIV (Government Office for Information Security),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
SK,Slovakia,sk,eu,European Union,no,yes,NBU (Narodny bezpecnostny urad),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
QA,Qatar,qa,mena,Middle East,no,no,"NCSA (National Cyber Security Agency), National Cyber Governance and Assurance Affairs",,,US,"Added 2026-07-31 (Phase 5 B4 follow-up) -- Qatar had no jurisdictions row at all, surfaced by adding its Common Criteria certification scheme (NCSA-QATAR-COMMON-CRITERIA-SCH) in B1. Authority verified directly from the scheme's own page (user-provided evidence, since automated fetch was blocked on this domain).",active,,,,,,unknown,
