patent_number,title,inventors,assignee,priority_date,issue_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status,pqc_migration_score,pqc_migration_reason
20260089014,PKI SMART-CARD THREAT DETECTION AND ENDPOINT USE VISIBILITY,JOSHI; Pankaj,"THALES DIS CPL USA, INC.",2023-08-16,2026-03-26,G06F21/552;H04L9/3268;G06F21/77;H04L9/006;H04L9/3234;H04L63/1425,,,unclear,none,,,,,,,,,,,,,,,,,,,,,,,
20260088983,METHOD AND APPARATUS FOR PROTECTING CRYPTOGRAPHIC KEYS IN THE PROCESS OF MIGRATION TO POST-QUANTUM CRYPTOGRAPHY,,ARRIS Enterprises LLC,2025-09-22,2026-03-26,H04L9/0858;H04L9/14;G06F21/575;H04L9/0822;H04L9/0861;H04L9/0894;H04L9/3268,"A method for securing devices during post-quantum migration by using pre-provisioned symmetric keys for secure boot, generating PQC key pairs, and encrypting private keys in secure memory.","The invention provides a three-stage migration framework that establishes a symmetric root of trust via secure boot to safely generate and store post-quantum cryptography key pairs. It avoids asymmetric algorithms during the transition to mitigate harvest-now-decrypt-later attacks, using symmetric encryption to protect PQC private keys at rest.",hybrid,in_place_upgrade,core_invention,"Quantum computing is central to the invention's purpose (migration to PQC). Independent claims 1, 8, and 15 explicitly require generating 'post quantum cryptography (PQC) key pairs'. The invention is designed to protect these PQC keys using symmetric cryptography to mitigate quantum threats.",PKI,AES; RSA; Diffie-Hellman; ECC; MD5; SHA; DES; MAC,PQC,quantum_computing,generation; distribution; storage; provisioning,HSM; IoT; embedded system; secure memory; processor,,FIPS,quantum-attack; harvest now decrypt later,TRNG,symmetric-cipher; KEM; signature; MAC,IoT; embedded system,method of securing a device; device for performing post quantum cryptography safe operations; system securing a device,,root-keys; PQC private keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method of securing a device""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""certificate signing request""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""PQC software authentication""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""symmetric unique device key provisioning""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""data request decryption""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""key-sharing infrastructure interaction""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""multi-party key ceremony""}, {""claim"": 8, ""depends_on"": [], ""subject"": ""device for performing PQC operations""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""certificate signing request""}, {""claim"": 10, ""depends_on"": [8], ""subject"": ""PQC software authentication""}, {""claim"": 11, ""depends_on"": [8], ""subject"": ""symmetric unique device key provisioning""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""data request decryption""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""key-sharing infrastructure interaction""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""multi-party key ceremony""}, {""claim"": 15, ""depends_on"": [], ""subject"": ""system securing a device""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""certificate signing request""}, {""claim"": 17, ""depends_on"": [15], ""subject"": ""PQC software authentication""}, {""claim"": 18, ""depends_on"": [15], ""subject"": ""symmetric unique device key provisioning""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""data request decryption""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""key-sharing infrastructure interaction""}]",[],10,"Title explicitly addresses PQC migration and key protection, directly matching high-relevance signals."
20260088980,A QUANTUM PUBLIC KEY INFRASTRUCTURE (QPKI) SYSTEM,,"QuSecure, Inc",2023-01-13,2026-03-26,H04L9/0852;H04L9/40;H04L9/14;H04L9/3247;H04L9/3263,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Directly addresses quantum-resistant PKI infrastructure, a critical component for PQC migration and HNDL mitigation."
12585832,Lattice based cryptographic rejection bounded sampling,,"Microsoft Technology Licensing, LLC",2024-05-07,2026-03-24,G06F21/72;G06F21/602,,,,,,,,,,,,,,,,,,,,,,,,,,9,Core lattice sampling technique essential for NIST PQC standards like ML-KEM and ML-DSA.
20260081777,Binomial Sampling in Lattice-Based Cryptography,,Infineon Technologies AG,2025-09-15,2026-03-19,H04L9/3093;H04L9/002;H04L9/085,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Lattice-based sampling is core to NIST PQC standards like Kyber/Dilithium, directly enabling PQC migration."
20260081778,"LATTICE-BASED PUBLIC KEY CRYPTOSYSTEM SHARING A PART OF PUBLIC KEYS IN COMMON, AND SERVER INCLUDED THEREIN",,INSTITUTE FOR BASIC SCIENCE,2025-11-25,2026-03-19,H04L9/0825;H04L9/3093;H04L9/3263,,,,,,,,,,,,,,,,,,,,,,,,,,8,Lattice-based PQC aligns with NIST standards; key sharing mechanism aids migration efficiency.
20260081767,POST-QUANTUM SECURE MEDIA ACCESS CONTROL SECURITY (MACSEC) PRE-SHARED KEY AUTO-REFRESH,,"Cisco Technoiogy, Inc.",2025-02-20,2026-03-19,H04L9/0852;H04L9/0838;H04L9/3242,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Addresses PQC key management for MACSEC, a critical protocol for HNDL mitigation and crypto agility."
12580751,Fast post-quantum cryptographic sortition,,NEC CORPORATION,2021-08-20,2026-03-17,H04L9/0852;H04L9/3239;H04L9/50,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Title implies PQC use, but 'sortition' suggests consensus protocols rather than direct migration or key management."
20260074898,BROADCAST-FREE THRESHOLD POST-QUANTUM KEY GENERATION AND VERIFICATION OVER UNENCRYPTED CHANNELS FROM HARDWARE-BASED CORRELATED RANDOMNESS,,"CIRCLE INTERNET GROUP, INC.",2025-11-14,2026-03-12,H04L9/0825;H04L9/0866;H04L9/0869;H04L9/3278,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Directly addresses PQC key generation and verification, critical for migration infrastructure."
12567962,Method for post-quantum secure in-the-field trust provisioning,,NXP B.V.,2023-03-14,2026-03-03,H04L9/0894;H04L63/062;H04L9/0891;H04L9/0897;H04L9/3263;H04L9/50;H04W12/35,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Title explicitly targets post-quantum trust provisioning, aligning with PKI migration and HNDL mitigation."
20260058797,SERIAL NUMBER GENERATION FOR STATELESS CLOUD CERTIFICATE AUTHORITY,RAHN; Marc et al.,SAP SE,2024-08-21,2026-02-26,H04L9/0825;H04L9/006;H04L9/3268;H04L9/3297,,,classical_only,none,,,,,,,,,,,,,,,,,,,,,,,
20260050672,CUSTOM SOFTWARE INSTALLATION BUNDLES FOR A HYPERVISOR,Ramamurthy; Arjun et al.,VMware LLC,2024-08-14,2026-02-19,G06F21/57;G06F21/572;G06F8/61;G06F8/63;G06F9/45558;H04L9/006;H04L9/3247;H04L9/3263,"A method for installing custom software bundles in a hypervisor by first installing a vendor-signed bundle containing a user certificate to establish trust, then installing the user-signed custom bundle.","The invention enables the installation of user-created software bundles in a secure hypervisor by using a two-step process. First, a vendor-signed bundle containing a user's self-signed certificate is installed to add the user's certificate to the hypervisor's trusted key store. Second, the user's custom software bundle, signed with the user's key, is installed by verifying the signature against the now-trusted certificate.",classical_only,none,none,none,PKI; X.509,,,none,generation; storage,,possession,,tampering; unauthorized_execution,,signature; hash,cloud; virtualization,method of installing a first software installation bundle in a hypervisor; non-transitory computer readable medium comprising instructions to install a first software installation bundle; computer comprising hardware platform and software to install a first software installation bundle,,software_binaries; scripts,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method of installing a first software installation bundle in a hypervisor""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""key pair generation by user and vendor""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""vendor creating second SIB with user certificate""}, {""claim"": 4, ""depends_on"": [2], ""subject"": ""vendor creating first SIB with third key pair""}, {""claim"": 5, ""depends_on"": [2], ""subject"": ""user creating first SIB using vendor tool""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""receiving SIBs from disk image""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""user creating disk image using vendor tool""}, {""claim"": 8, ""depends_on"": [], ""subject"": ""non-transitory computer readable medium for installing SIB""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""key pair generation by user and vendor""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""vendor creating second SIB with user certificate""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""vendor creating first SIB with third key pair""}, {""claim"": 12, ""depends_on"": [10], ""subject"": ""user creating first SIB using vendor tool""}, {""claim"": 13, ""depends_on"": [8], ""subject"": ""receiving SIBs from disk image""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""user creating disk image using vendor tool""}, {""claim"": 15, ""depends_on"": [], ""subject"": ""computer comprising hardware and software to install SIB""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""key pair generation by user and vendor""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""vendor creating second SIB with user certificate""}, {""claim"": 18, ""depends_on"": [16], ""subject"": ""vendor creating first SIB with third key pair""}, {""claim"": 19, ""depends_on"": [16], ""subject"": ""user creating first SIB using vendor tool""}, {""claim"": 20, ""depends_on"": [15], ""subject"": ""receiving SIBs from disk image""}]",[],2,Focuses on hypervisor software installation bundles with no explicit PQC algorithm or migration signals.
20260052009,HYBRID POST-QUANTUM TLS MIGRATION WITH BINDER-ENFORCED RESUMPTION,,von Liechtenstein; Maximilian Ralph Peter,2025-08-25,2026-02-19,H04L9/0838;H04L9/0631;H04L9/088;H04L9/0891;H04L9/0897;H04L9/3247;H04L9/3268;H04L9/3297,A system for hybrid post-quantum TLS migration that binds session resumption tickets to key-exchange classes using scope metadata and binders to prevent downgrade attacks during staged deployment.,"The invention introduces a mechanism where TLS session resumption tickets encapsulate scope metadata identifying the negotiated key-exchange class (hybrid or classical). The server verifies a resumption binder using a pre-shared key derived specifically for that class, thereby preventing cross-class replay and downgrade attacks while enabling incremental post-quantum migration.",hybrid,hybrid,core_invention,"Post-quantum cryptography is central to the invention, appearing in independent claims 1 and 19 via the concept of 'key-exchange class' which includes 'HYBRID' (combining classical and post-quantum KEMs). The system is designed specifically for post-quantum migration, binding resumption tickets to post-quantum negotiation contexts to prevent downgrade attacks. The primary invention requires the ability to handle post-quantum key exchange classes.",TLS; PKI; PKCS#11,ECDHE; AES; ChaCha20; Poly1305; ECDSA; HMAC; SHA-256,ML-KEM; ML-DSA,none,derivation; storage; rotation,HSM; TPM; SmartNIC; FPGA,possession,FIPS 140-3; RFC 8446; PKCS#11,replay; downgrade; insider,OS,symmetric-cipher; KEM; signature; MAC; hash; KDF,cloud; PKI; telecom,method for secure transport resumption; system for secure transport resumption; non-transitory computer-readable medium,latency,session-keys,FIPS 140-3,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for secure transport resumption""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""key-exchange class comprises HYBRID or CLASSICAL""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""scope metadata contents""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""scope metadata encoding and encryption""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""selecting expected binder class""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""verifying resumption binder""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""refusing resumption on class mismatch""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""certificate-transparency enforcement""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""rollout epoch comparison""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""site identifier constraint""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""service identity scope""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""ticket payload sealing algorithms""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""disjoint labels for PSK derivation""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""telemetry recording""}, {""claim"": 15, ""depends_on"": [1], ""subject"": ""certificate chain compatibility""}, {""claim"": 16, ""depends_on"": [1], ""subject"": ""HSM-gated key activation""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""rollback on attestation failure""}, {""claim"": 18, ""depends_on"": [1], ""subject"": ""mapping PSK identity to class""}, {""claim"": 19, ""depends_on"": [], ""subject"": ""system for secure transport resumption""}, {""claim"": 20, ""depends_on"": [1], ""subject"": ""non-transitory computer-readable medium""}]","[{""algorithm"": ""ML-KEM"", ""status"": ""fips_203""}, {""algorithm"": ""ML-DSA"", ""status"": ""fips_204""}, {""algorithm"": ""ECDHE"", ""status"": ""classical""}, {""algorithm"": ""ECDSA"", ""status"": ""classical""}, {""algorithm"": ""AES"", ""status"": ""classical""}, {""algorithm"": ""ChaCha20"", ""status"": ""classical""}]",10,"Directly addresses hybrid PQC TLS migration, a critical high-priority use case for crypto agility and HNDL mitigation."
20260052010,OPTIMIZED BIT FLIPPING KEY ENCAPSULATION POST-QUANTUM CRYPTOGRAPHIC METHOD,,Commissariat à l’énergie atomique et aux énergies alternatives,2025-06-26,2026-02-19,H04L9/002;H04L9/0858;H04L9/0861,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Explicitly covers PQC key encapsulation, a core NIST standard component for migration."
20260052014,OPTIMIZED HAMMING QUASI-CYCLIC POST-QUANTUM CRYPTOGRAPHIC METHOD,,Commissariat à l’énergie atomique et aux énergies alternatives,2025-06-26,2026-02-19,H04L9/002;H04L9/3026;H04L9/0861,,,,,,,,,,,,,,,,,,,,,,,,,,6,Relevant PQC method but lacks explicit NIST standard or migration protocol signals.
20260046108,Agile Machine Cryptography Based On Real-Time Computer Function Transformation,Lablans; Peter,Lablans; Peter,2025-10-21,2026-02-12,H04L9/006;H04L9/0631;H04L9/0637;H04L9/0891;H04L9/3242,,,classical_only,crypto_agility,,,,,,,,,,,,,,,,,,,,,,,
20260046147,COMMUNICATION METHOD AND APPARATUS,Guo; Yanfei et al.,"HUAWEI TECHNOLOGIES CO., LTD.",2025-10-17,2026-02-12,H04L9/3268;H04L63/0823;H04L9/0825;H04L9/32;H04L9/40,,,unclear,none,,,,,,,,,,,,,,,,,,,,,,,
20260046148,LIGHTWEIGHT POST-QUANTUM AUTHENTICATION,,UNIVERSITY OF SOUTH FLORIDA,2025-10-20,2026-02-12,H04L9/3252;H04L9/3268;H04L9/003;H04L9/0869;H04L9/321;H04L9/3236;H04L9/50,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Title explicitly claims post-quantum authentication, indicating direct relevance to PQC migration strategies."
20260046116,Distributed Seed Storage for Quantum-Safe Private Key Generation on Constrained Devices,,"DigiCert, Inc.",2025-10-16,2026-02-12,H04L9/0825;H04L9/0852,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Addresses PQC key management on constrained devices, a critical migration challenge for IoT and edge infrastructure."
12547676,Method and apparatus for creating and using quantum resistant keys,,Amera IoT Inc.,2024-07-02,2026-02-10,G06F21/10;H04W12/0471;G06F21/602;H04L9/0863;H04L9/0866;H04L9/0869;H04L9/0894;H04L9/3228;H04L9/3278;H04L63/0428;H04W12/041,,,,,,,,,,,,,,,,,,,,,,,,,,6,Title claims quantum resistance but CPCs suggest classical crypto; lacks explicit NIST PQC algorithm references.
20260039458,LATTICE-BASED THRESHOLD SIGNATURE METHOD AND THRESHOLD DECRYPTION METHOD,,PQShield Ltd,2025-10-14,2026-02-05,H04L9/085;H04L9/3093;H04L9/3247;H04L9/3255,"Lattice-based threshold signature and decryption methods using secret shares, blinders to shield key information, and Module Learning with Errors assumptions for post-quantum security.","The invention provides a method for calculating linear functions in threshold schemes by generating masked shares using secret shares, noise, and blinders that cancel out during aggregation. It specifically applies this to lattice-based threshold signatures and decryption, utilizing Module Learning with Errors and Module Short Integer Solution assumptions to ensure security against quantum attacks.",pqc_only,none,background_only,"The patent describes post-quantum cryptography schemes (lattice-based) designed to be secure against quantum computers. It mentions quantum computers in the background to motivate the need for post-quantum solutions. No quantum technology (QKD, QRNG, etc.) is claimed or used in the invention itself.",,,ML-KEM; ML-DSA,none,generation; distribution,information processing apparatus,,,quantum-attack,deterministic-PRNG,signature; commitment; hash,,method for calculating a linear function; threshold signature method; information processing apparatus,,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for calculating a linear function""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""linear function is signature or decryption""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""generating blinder from partial blinders""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""partial blinder generation using seeds""}, {""claim"": 5, ""depends_on"": [], ""subject"": ""threshold signature method""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""three-round signature method""}, {""claim"": 7, ""depends_on"": [5], ""subject"": ""vector of learning with errors samples""}, {""claim"": 8, ""depends_on"": [5], ""subject"": ""using blinders in signature response""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""generating blinder from partial blinders""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""partial blinder generation using seeds""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""blinder based on pseudorandom function""}, {""claim"": 12, ""depends_on"": [5], ""subject"": ""dropping bits from aggregate commitment""}, {""claim"": 13, ""depends_on"": [5], ""subject"": ""Shamir secret sharing""}, {""claim"": 14, ""depends_on"": [5], ""subject"": ""verifying the signature""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""comparing length of response and hint""}, {""claim"": 16, ""depends_on"": [5], ""subject"": ""generating learning with errors sample""}, {""claim"": 17, ""depends_on"": [6], ""subject"": ""commitment including message and identifier""}, {""claim"": 18, ""depends_on"": [5], ""subject"": ""distributed multi-party computation""}, {""claim"": 19, ""depends_on"": [], ""subject"": ""information processing apparatus""}, {""claim"": 20, ""depends_on"": [], ""subject"": ""non-transitory computer-readable storage medium""}]",[],10,Assignee PQShield is a PQC leader; lattice-based threshold schemes directly address NIST PQC migration and key managemen
20260039487,ENABLING EFFICIENT HASH-BASED SIGNATURE VERIFICATION IN PROCESSOR-BASED DEVICES,,"Microsoft Technology Licensing, LLC",2024-07-30,2026-02-05,H04L9/3247;H04L9/50;H04L9/3242,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Hash-based signatures align with NIST PQC standards (SLH-DSA), directly supporting migration to quantum-resistant crypto"
12543040,Continuous authentication of peers in networks using post-quantum pre-shared keys,,"Cisco Technology, Inc.",2023-11-28,2026-02-03,H04W12/065;H04W12/069;H04L9/0852;H04L9/0891,,,,,,,,,,,,,,,,,,,,,,,,,,9,Explicitly addresses PQC migration via post-quantum pre-shared keys for continuous network authentication.
20260031987,POST-QUANTUM CONSTANT-TIME KEY ROTATION VERIFICATION,,"Circle Internet Group, Inc.",2025-09-29,2026-01-29,H04L9/0891;H04L9/008,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Directly addresses PQC key rotation and verification, critical for migration and HNDL mitigation."
20260032108,TELEMETRY DRIVEN ENCRYPTION FOR QUANTUM-RESISTANT SECURITY,,BANK OF AMERICA CORPORATION,2024-07-25,2026-01-29,H04L63/0435,,,,,,,,,,,,,,,,,,,,,,,,,,6,Title claims quantum resistance but lacks explicit NIST PQC algorithm references or hybrid scheme details.
20260032144,HYBRID CLASSICAL-QUANTUM ADVERSARIAL ENGINE FOR ENHANCING SECURITY OF ARTIFICIAL INTELLIGENCE MODELS,,Cuenca; Angel,2025-07-23,2026-01-29,H04L63/1433,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Focuses on AI model security via adversarial training, lacking any PQC algorithm or migration relevance."
