"category","id","label","description","industries","hndl_relevance","migration_priority","retention_years","compliance_deadline","compliance_notes","countries","compliance_id","threat_id"
"use_case","SIM-ESIM","SIM/eSIM provisioning","Cryptographic provisioning of cellular subscriber identities","Telecommunications","8","9","","2028","GSMA NG.116 + ETSI TS 103 744 specify PQ-ready provisioning. SIM/eSIM lifecycle 5-7 yr; carriers adopting hybrid in 2026 cohorts.","","GSMA-NG116;ETSI-TS103744","IT-001;IOT-001"
"use_case","5G-SLICING","5G network slicing security","PQC for network slice authentication and isolation in 5G","Telecommunications","7","8","","2028","GSMA + 3GPP Release 19/20 PQ-ready slice authentication. Carrier deadlines align with national PQC mandates (2028-2030).","","GSMA-NG116;ETSI-TS103744","IT-001"
"use_case","SS7","SS7/Diameter protocol security","Signaling protocol integrity for telecom core networks","Telecommunications","6","8","","2030","Legacy protocol; security largely depends on diameter encapsulation. Not directly PQ-affected but signaling firewalls migrating to PQ TLS by 2030.","","GSMA-NG116","IT-001"
"use_case","SWIFT-MSG","SWIFT messaging integrity","Cryptographic signing and verification of SWIFT interbank messages","Finance & Banking","9","9","","2028","SWIFT CSP roadmap targets quantum-safe messaging integrity by 2028. DORA (EU) ICT risk requires PQ-readiness assessment by 2026.","","SWIFT-CSP;DORA","CRYPTO-001"
"use_case","TRADING","Trading system code signing","Digital signatures for high-frequency trading software","Finance & Banking","5","8","","2027","SOX + DORA require demonstrated PQ-readiness for code-signed trading binaries. Most major exchanges piloting in 2026.","","SOC-2;DORA","CRYPTO-001"
"use_case","CARD-ENC","Card payment encryption","POS terminal and card-not-present transaction encryption","Finance & Banking;Retail & E-Commerce","6","7","","2030","PCI DSS 4.0 PQC roadmap: assessment by 2027, full migration by 2030. EMV co. plans PQ-ready chip cards by 2028.","","PCI-DSS;FIPS-140-3","CRYPTO-001"
"use_case","MEDICAL-DEVICE","Medical device communication","Encrypted telemetry for connected medical devices","Healthcare","8","9","","2032","FDA cybersecurity guidance + HIPAA. Long device lifecycle (10-20 yr); 2032 target reflects field-replacement cycles. New devices PQ-ready by 2028.","","HIPAA;FDA-21CFR11","IOT-001"
"use_case","EHR","EHR/FHIR data exchange","Secure exchange of electronic health records via HL7/FHIR","Healthcare","9","8","","2030","HIPAA + HITECH require strong key management. FHIR + EHR exchange transitions follow the broader TLS/auth migration to ML-KEM hybrid by 2030.","","HIPAA;HITECH;GDPR","CROSS-013"
"use_case","V2X","V2X communication","Vehicle-to-everything communication security (DSRC/C-V2X)","Automotive","7","9","","2030","IEEE 1609.2 PQ amendment in flight; ISO/SAE 21434 + UN ECE WP.29 R155/R156 push automotive OEMs to PQ-ready by 2030. 15+ yr vehicle lifecycle dominates planning.","","ISO-SAE-21434;UN-ECE-WP29","AUTO-001"
"use_case","OTA","OTA firmware updates","Signed over-the-air vehicle and device software updates","Automotive;Energy & Utilities","5","9","","2028","Auto OTA must support PQ-signed firmware before 2030 for fleets in service through 2040+. ML-DSA / SLH-DSA signing pilots starting 2026.","","ISO-SAE-21434;UN-ECE-WP29","AUTO-001"
"use_case","ECU-BOOT","ECU secure boot","Root-of-trust for automotive electronic control units","Automotive","4","8","","2028","Secure boot signing must transition before vehicles leave assembly. ISO/SAE 21434 + UN R155: PQ secure boot for 2028 model-year onward.","","ISO-SAE-21434;UN-ECE-WP29","AUTO-001"
"use_case","SCADA","SCADA/OT system security","Cryptographic controls for industrial control systems","Energy & Utilities;Aerospace","8","9","","2032","NERC CIP + IEC 62443. Industrial control systems have 20-30 yr operating life and air-gapped designs that complicate patching. Field replacement cycle drives 2032 deadline.","","NIST","ENERGY-001;IOT-001"
"use_case","SMART-METER","Smart meter communication","Encrypted AMI/AMR infrastructure for utility metering","Energy & Utilities","7","7","","2032","Field-deployed meters (1B globally) often lack OTA capability. Replacement cycles drive 2032 target. New deployments PQ-ready by 2028.","","NIST","ENERGY-001;IOT-001"
"use_case","AVIONICS","Avionics communication","Encrypted and authenticated flight-critical avionics comms","Aerospace","8","10","","2032","RTCA DO-326A + DoD CNSA 2.0. Aircraft 30-40 yr service life requires PQ retrofit path. Hybrid certificates standard by 2028, full PQC certificates by 2032.","","NIST;DISA-STIG","AERO-001"
"use_case","SATELLITE","Satellite link encryption","Long-lived key protection for satellite command and telemetry","Aerospace","10","9","","2030","NATO STANAG 4774 + CNSA 2.0. Satellites can rarely be patched; ground-segment crypto migrates first, on-orbit replacements follow with new launch cohorts.","","NATO-4774;CNSA-2","AERO-001;GOV-001"
"use_case","PKI-HSPD12","PKI / HSPD-12","Federal identity credentialing and PIV card cryptography","Government & Defense","6","9","","2030","CNSA 2.0 + FIPS 201 / HSPD-12. Federal smart cards transitioning to ML-DSA hybrid by 2028, required by 2030.","","CNSA-2;FEDRAMP;DISA-STIG","GOV-001"
"use_case","CLASSIFIED","Classified data exchange","Cryptographic protection of classified communications","Government & Defense","10","10","","2030","CNSA 2.0 strict timeline: 2025 preferred, 2030 required, 2035 disallow non-PQC for U.S. classified communications. NATO STANAG 4774 aligns.","","CNSA-2;NATO-4774;DISA-STIG","GOV-001"
"use_case","DNS-DNSSEC","DNS/DNSSEC","DNS resolution integrity and DNSSEC zone signing","Technology;Telecommunications","3","8","","2030","DNSSEC ML-DSA in IETF draft; root and TLD operators piloting hybrid signing in 2026-2027. Full PQ DNSSEC by 2030.","","CNSA-2;IETF","CROSS-001"
"use_case","TIMESTAMPING","Timestamping services","Long-lived cryptographic timestamps for legal and financial evidence","Finance & Banking;Government & Defense","9","7","","2030","eIDAS 2.0 qualified timestamps require PQ-ready signing by 2026 for new tokens. CNSA 2.0 timestamps follow code-signing timeline.","","CNSA-2;EIDAS","CROSS-001"
"use_case","BACKUP-ENC","Backup/archive encryption","Encryption of backup tapes and cloud archives and disaster recovery stores","Healthcare;Finance & Banking;Government & Defense","9","6","","2030","Long retention drives high HNDL risk. Migrate KEK / KMS to ML-KEM hybrid by 2028; symmetric DEK (AES-256) remains quantum-safe.","","CNSA-2;FIPS-140-3","CROSS-013"
"use_case","API-GATEWAY","API gateway / microservices","mTLS and JWT signing for service-to-service communication","Technology;Finance & Banking","5","8","","2028","TLS + JWT/JWS auth chains. Hybrid TLS at the gateway by 2026, ML-DSA JWS by 2028 (IETF JOSE PQC drafts).","","CNSA-2;FIPS-140-3","CROSS-001"
"use_case","SECURE-BOOT","Secure boot (non-automotive)","Root-of-trust and firmware verification for servers and devices","Technology;Government & Defense","4","8","","2030","UEFI + Microsoft / Apple secure-boot keys must validate PQ signatures by 2030 to support PQ-signed firmware deployed earlier. TCG TPM PQC spec in draft.","","CNSA-2;FIPS-140-3","CROSS-001"
"retention","under-1y","Less than 1 year","Data that needs to stay confidential for under a year","","","","1","2032","Retention <3 years — lower urgency; refresh on the next regulatory cycle (2032).","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","1-5y","1-5 years","Data with a short to medium confidentiality window","","","","5","2030","Retention 3-7 years — align with CNSA 2.0 general timeline (2030).","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","5-10y","5-10 years","Data requiring a medium to long-term confidentiality window","","","","10","2028","Retention 7-15 years — HNDL risk is real for sensitive workloads. Migrate KEK by 2028.","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","10-25y","10-25 years","Data requiring long-term confidentiality protection","","","","25","2027","Retention ≥15 years — data encrypted today must remain confidential into the post-quantum era. Migrate KEK by 2027.","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","25-plus","25+ years","Data with very long or archival confidentiality requirements","","","","30","2027","Retention ≥15 years — data encrypted today must remain confidential into the post-quantum era. Migrate KEK by 2027.","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","indefinite","Indefinite","Data with no defined expiration of confidentiality","","","","50","2027","Retention ≥15 years — data encrypted today must remain confidential into the post-quantum era. Migrate KEK by 2027.","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","auto-1-3y","1-3 years (telematics)","Vehicle telemetry and OBD diagnostic records","Automotive","","","3","2030","Retention 3-7 years — align with CNSA 2.0 general timeline (2030).","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","auto-vehicle-lifetime","10-15 years (vehicle lifetime)","ECU firmware, V2X certificates and vehicle safety-critical software","Automotive","","","15","2027","Retention ≥15 years — data encrypted today must remain confidential into the post-quantum era. Migrate KEK by 2027.","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","2y","2 years (CDR / telecom)","Call detail records typical retention for mobile operators","Telecommunications","","","2","2032","Retention <3 years — lower urgency; refresh on the next regulatory cycle (2032).","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","6y","6 years (HIPAA minimum)","Minimum retention under HIPAA for protected health information","Healthcare","","","6","2030","Retention 3-7 years — align with CNSA 2.0 general timeline (2030).","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","7y","7 years (financial records)","Standard regulatory records retention for financial institutions","Finance & Banking","","","7","2028","Retention 7-15 years — HNDL risk is real for sensitive workloads. Migrate KEK by 2028.","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","75y-plus","75+ years (government archival)","Long-lived government and national security archival records","Government & Defense","","","75","2027","Retention ≥15 years — data encrypted today must remain confidential into the post-quantum era. Migrate KEK by 2027.","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","3y-soc2","3 years (SOC 2 / audit logs)","Security audit logs and access records under SOC 2 Trust Service Criteria","Technology","","","3","2030","Retention 3-7 years — align with CNSA 2.0 general timeline (2030).","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","3y-nerc","3 years (NERC CIP-007)","Security event logs and cyber compliance records under NERC CIP-007-6 R5","Energy & Utilities","","","3","2030","Retention 3-7 years — align with CNSA 2.0 general timeline (2030).","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","7y-ferc","7 years (FERC / billing)","Operational and billing records under FERC and IRS retention requirements","Energy & Utilities","","","7","2028","Retention 7-15 years — HNDL risk is real for sensitive workloads. Migrate KEK by 2028.","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","aircraft-lifetime","Aircraft lifetime (20-40 years)","DO-178C software lifecycle data and FAA airworthiness records per 14 CFR §91.417, maintained for the service life of the aircraft","Aerospace","","","40","2027","Retention ≥15 years — data encrypted today must remain confidential into the post-quantum era. Migrate KEK by 2027.","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","1y-pci-logs","1 year (PCI DSS audit logs)","Payment transaction audit logs with 90 days immediately accessible per PCI DSS v4 Req. 10.7","Retail & E-Commerce","","","1","2032","Retention <3 years — lower urgency; refresh on the next regulatory cycle (2032).","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","2y-pci","2 years (PCI DSS cardholder data)","Maximum cardholder data storage period under PCI DSS requirements","Retail & E-Commerce","","","2","2032","Retention <3 years — lower urgency; refresh on the next regulatory cycle (2032).","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","6y-ferpa","6 years (FERPA / financial aid)","Student financial aid records under FERPA and 34 CFR §668.24","Education","","","6","2030","Retention 3-7 years — align with CNSA 2.0 general timeline (2030).","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","permanent-transcripts","Permanent (academic transcripts)","Academic transcripts and degrees maintained indefinitely per institutional policy and most state laws","Education","","","100","2027","Retention ≥15 years — data encrypted today must remain confidential into the post-quantum era. Migrate KEK by 2027.","","CNSA-2;HIPAA;GDPR","CROSS-013"
"retention","permanent","Permanent (state secrets)","Records with no defined expiration date","Government & Defense","","","100","2027","Retention ≥15 years — data encrypted today must remain confidential into the post-quantum era. Migrate KEK by 2027.","","CNSA-2;HIPAA;GDPR","CROSS-013"
"sensitivity","phi","Protected Health Information (PHI)","Patient records, diagnoses, prescriptions, lab results","Healthcare","15","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","genomic-data","Genomic / clinical trial data","DNA sequencing, biobank records, longitudinal research","Healthcare","25","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","admin-health","Administrative health records","Scheduling, billing codes, facility operations","Healthcare","5","","","2030","Medium HNDL relevance — align with CNSA 2.0 / national PQ deadlines (2030).","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","customer-financial","Customer financial records","Account balances, transactions, credit scores, PII","Finance & Banking","15","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","trading-algos","Trading algorithms / proprietary models","HFT strategies, risk models, pricing engines","Finance & Banking","25","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","transaction-logs","Transaction logs","Audit trails, reconciliation records, batch processing data","Finance & Banking","5","","","2030","Medium HNDL relevance — align with CNSA 2.0 / national PQ deadlines (2030).","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","classified-info","Classified information (TS/SCI)","National security data, intelligence products","Government & Defense","25","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","cui","Controlled Unclassified Information (CUI)","Export-controlled data, law enforcement sensitive","Government & Defense","15","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","fouo","Internal government data (FOUO)","Pre-decisional documents, internal correspondence","Government & Defense","5","","","2030","Medium HNDL relevance — align with CNSA 2.0 / national PQ deadlines (2030).","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","network-topology","Network topology / configurations","Core network architecture, routing tables, SS7 configs","Telecommunications","25","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","cdr","Call detail records (CDR)","Subscriber communications metadata, location data","Telecommunications","15","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","subscriber-meta","Subscriber metadata","Account info, service plans, billing data","Telecommunications","5","","","2030","Medium HNDL relevance — align with CNSA 2.0 / national PQ deadlines (2030).","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","crypto-keys","Cryptographic keys / secrets","Private keys, API secrets, HSM contents","Technology","25","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","source-code","Source code / intellectual property","Proprietary algorithms, trade secrets","Technology","15","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","user-analytics","User analytics / telemetry","Usage patterns, A/B test data, anonymized metrics","Technology","5","","","2030","Medium HNDL relevance — align with CNSA 2.0 / national PQ deadlines (2030).","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","scada-ot","SCADA/OT operational data","Industrial control commands, safety system configs","Energy & Utilities","25","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","grid-topology","Grid topology / infrastructure maps","Distribution network, substation configurations","Energy & Utilities","15","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","meter-readings","Meter readings / consumption data","AMI data, billing usage, demand forecasts","Energy & Utilities","5","","","2030","Medium HNDL relevance — align with CNSA 2.0 / national PQ deadlines (2030).","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","ad-algorithms","Autonomous driving algorithms","ML models, sensor fusion logic, safety-critical code","Automotive","25","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","v2x-data","V2X communication data","Vehicle-to-infrastructure messages, location data","Automotive","15","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","vehicle-telemetry","Vehicle telemetry","Engine diagnostics, performance metrics, OBD data","Automotive","5","","","2030","Medium HNDL relevance — align with CNSA 2.0 / national PQ deadlines (2030).","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","flight-control","Flight control software / avionics","Safety-critical algorithms, weapons systems","Aerospace","25","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","passenger-pii","Passenger manifests / crew PII","Travel records, passport data, security clearances","Aerospace","15","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","maintenance-logs","Maintenance logs","Service records, parts inventory, compliance documentation","Aerospace","5","","","2030","Medium HNDL relevance — align with CNSA 2.0 / national PQ deadlines (2030).","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","pci-data","Payment card data (PCI scope)","Card numbers, CVVs, transaction auth data","Retail & E-Commerce;Finance & Banking","15","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","customer-purchase","Customer purchase history / PII","Order history, addresses, preferences","Retail & E-Commerce","5","","","2030","Medium HNDL relevance — align with CNSA 2.0 / national PQ deadlines (2030).","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","product-catalog","Product catalog","Public listings, pricing, inventory counts","Retail & E-Commerce","0","","","2032","Lower HNDL relevance — migrate alongside general technology refresh cycles by 2032.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","student-records","Student records (FERPA)","Grades, disciplinary records, financial aid","Education","15","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","research-ip","Research data / IP","Unpublished research, grant proposals, patent-pending work","Education","15","","","2028","High HNDL relevance — adversaries likely already harvesting. Prioritise migration of all asymmetric primitives within 2-3 years.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"sensitivity","course-catalog","Course catalogs / schedules","Public curriculum, class listings, academic calendar","Education","0","","","2032","Lower HNDL relevance — migrate alongside general technology refresh cycles by 2032.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
