role_id,variant_id,order,chip_label,chip_description,phase_id,cswp39_zone,module_ids,workshop_ids,business_tool_ids,status,deprecated_at,deprecated_reason,last_reviewed,notes
ops,cutover,5,Rehearse the cutover,A hybrid IKEv2 tunnel and an ML-DSA certificate on a real renewal window.,p5,migration,vpn-ssh-pqc;tls-basics,vpn-sim,deployment-playbook,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards. Updated 2026-09-03: was ""Hybrid tunnels and certificates"" -- vpn-sim issues RSA-3072 or pure ML-DSA certificates, not hybrid/composite ones (VpnSimulationPanel.tsx)."
ops,suppliers,3,Check your suppliers,Vendor roadmaps against renewals you have already booked.,p7,governance,sbom;crypto-registry;verification-closure,,vendor-scorecard,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,provenance,1,Trace every claim,Source tiers and verification dates across the whole corpus.,p1,assets,standards-bodies;pqc-candidates,,,active,,,2026-08-02,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,reproduce,3,Reproduce the claims,"ACVP vectors and KATs you run yourself, log exportable.",verify-close,risk-management,pqc-testing-validation;slh-dsa,slh-dsa;entropy-test,,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,threatmodel,4,Interrogate the threat model,CRQC scenarios and the strongest published counter-claims.,p3,risk-management,quantum-threats;data-asset-sensitivity,,crqc-scenario,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
curious,break,2,Watch it break,"See a real connection fall over, in this tab.",,,pqc-101;quantum-threats,tls-simulator,breach-simulator,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
curious,short,1,The 30-second version,"The one idea worth leaving with, and nothing else.",,,pqc-101,,cost-of-inaction,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
curious,mylife,4,Where this touches me,"Your payments, your ID, your medical records.",,,digital-assets;digital-id;healthcare-pqc,digital-id;bitcoin-flow,,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
executive,deadlines,2,Know your deadlines,"The mandates that already bind you, and the year that ends RSA.",p3,risk-management,compliance-strategy;pqc-risk-management,,compliance-timeline,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
executive,evidence,5,Check the evidence,"Where every number on this site came from, and who stands behind it.",verify-close,assets,standards-bodies;vendor-risk,,stakeholder-comms,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
executive,verify,6,Verify it yourself,"Everything here you can check with your own hands, before you sign anything.",p0,governance,pqc-governance;migration-program,,board-pitch,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
developer,algorithm,2,Choose the algorithm,"Which parameter set for which job, with the sizes and the literature attached.",p5,mitigation,pqc-candidates;hybrid-crypto,hybrid-sigs,mti-negotiator,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
developer,closure,5,"Prove it, then close it out","Known-answer tests, a closure record, and the audit trail behind what you inherited.",verify-close,risk-management,pqc-testing-validation;crypto-registry,,migration-verification,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
developer,binds,6,Know what binds your code,"The standards, mandates and dates that decide your sprint order.",p4,governance,crypto-mgmt-modernization;iam-pqc,,compliance-checklist,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
architect,protocols,3,Choose the protocols,"Which protocols are ready, which are drafts, and what that means for the design.",p5,migration,pqc-candidates;network-security-pqc,hybrid-certs,cloud-responsibility-matrix,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
architect,sequence,5,Sequence the estate,"What moves first, what waits, and what your vendors decide for you.",p4,migration,crypto-mgmt-modernization;crypto-registry,,data-at-rest-strategy,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
architect,defend,6,Defend the design,"The threat model, the evidence, and the review the design has to survive.",p3,risk-management,pqc-testing-validation;confidential-computing,tpm-playground,risk-treatment-plan,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
ops,standing,2,Find out where you stand,About three minutes to a scored position and the checklist an auditor will ask for.,p1,assets,cbom;crypto-registry,,audit-checklist,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards. Updated 2026-09-03: was ""Ten minutes"" -- the board itself says ""about 3 minutes"" (assess_quick_minutes token, ASSESS_QUICK_MINUTES=3) since the 2026-08-23 D-3 fix, which this tooltip never picked up."
ops,suites,4,Know which suite to turn on,"Named cipher suites and groups, per protocol, against what your stack supports.",p5,migration,standards-bodies;pki-enrollment-protocols,pki-enrollment,kpi-tracker,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
ops,closeout,6,Prove the change worked,"Evidence the cutover actually landed, and the report that says so.",verify-close,risk-management,verification-closure;pqc-testing-validation,pqc-ssh-sim,management-tools-audit,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,standards,2,Track the standards,"What is final, what is draft, and what changed since you last looked.",p1,assets,standards-bodies;pqc-candidates,lms-hss,crypto-vulnerability-watch,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,commandline,5,Take it to a command line,"The same primitives, on a real OpenSSL prompt, with the log exportable.",verify-close,risk-management,pqc-testing-validation;entropy-randomness,drbg-demo;source-combining,,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
researcher,field,6,Follow it into the field,"Where the algorithms actually show up: sectors, products, regulations.",p7,migration,emv-payment-pqc;energy-utilities-pqc,suci-flow,supply-chain-matrix,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
curious,howbad,3,How bad is it really?,"The honest version: what we know, what we don't, and what replaces it.",,,quantum-threats;pqc-candidates,,,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards. Cleared 2026-09-03 (CU-B3): rng-demo's own recommendedPersonas (workshopRegistry.tsx) excludes curious; nothing else in the entropy/random category is curious-appropriate for a 'how bad is it really' board, and since WS7.1 this metadata now renders as a real, clickable chip -- leaving a not-recommended-for-this-persona workshop in place would have surfaced it, not just documented it."
curious,anyone,5,Is anyone fixing it?,"Governments, companies, and the people actually doing the work.",,,compliance-strategy;standards-bodies,qrng-demo,,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
curious,whattake,6,What would fixing it take?,"Watch an organisation actually do it, start to finish.",,,migration-program;crypto-agility,,initial-scoping,active,,,2026-08-09,"Each board rests on ONE business tool and, where one genuinely fits, ONE playground workshop. Neither is reused across the 18. Allocation priority (2026-08-02): developer-specific resources go to developer; otherwise curious > developer > ops > architect > researcher > executive. No tool serves two boards."
grc,applicability,1,Establish what applies,Scope the obligations register before you build anything on top of it.,p0,governance,pqc-grc;compliance-strategy,,,active,,,2026-09-07,"Added 2026-09-07 for the Executive/GRC split (executive-grc-split-plan.md). This is GRC's order-1/base board — its track_chip and capstone_chip_label rows are what the other five variants inherit. No business tool: this board's job is the obligations register itself (/compliance?tab=obligations), not a Command Center tool."
grc,risk-register,2,Record exposure and treatment,"Turn a risk into an owner, an impact and a documented decision.",p3,risk-management,pqc-risk-management;data-asset-sensitivity,,risk-register,active,,,2026-09-07,"Added 2026-09-07 for the Executive/GRC split. Mirrors executive/risk's phase and module mapping — same underlying risk-management content, GRC-specific framing and destination."
grc,controls,3,Build a control checklist,Scope what applies into a checklist with an owner and an evidence link on every row.,p4,governance,compliance-strategy;pqc-governance,,compliance-checklist,active,,,2026-09-07,"Added 2026-09-07 for the Executive/GRC split. compliance-checklist is also developer/binds' tool — the ""no tool serves two boards"" rule was scoped to the original 18-board (6-role) set; a 7th persona reusing an existing, genuinely-fitting tool is expected, not a violation."
grc,vendor-assurance,4,Check vendor evidence,A supplier's PQC claims scored against what they can actually prove.,p7,governance,vendor-risk,,vendor-scorecard,active,,,2026-09-07,Added 2026-09-07 for the Executive/GRC split. vendor-scorecard is also ops/suppliers' tool — see controls' note on tool reuse across the 7th persona.
grc,evidence,5,Check evidence completeness,"What your crypto inventory can already prove, and what still needs a source.",p1,assets,crypto-registry;cbom,,audit-checklist,active,,,2026-09-07,Added 2026-09-07 for the Executive/GRC split.
grc,closure,6,Define exit criteria,"What ""done"" means for this migration, and how you check it before you say so.",verify-close,risk-management,verification-closure,,migration-verification,active,,,2026-09-07,Added 2026-09-07 for the Executive/GRC split. migration-verification is also developer/closure's tool — see controls' note on tool reuse across the 7th persona.
