"id","label","description","industries","countries","requires_pqc","deadline","notes","enforcement_body","library_refs","timeline_refs","body_type","website","trusted_source_id","peer_reviewed","vetting_body"
"ISO-SAE-21434","ISO/SAE 21434","Road vehicle cybersecurity engineering standard","Automotive;Manufacturing","Global","yes","Ongoing","Full vehicle lifecycle security including post-quantum readiness. Required for new type approvals.","ISO/SAE","IEEE 1609.2 Amendment","","technical_standard","https://www.iso.org/standard/70918.html","","yes","ISO/SAE"
"UN-ECE-WP29","UN ECE WP.29 R155/R156","UN regulations for vehicle cybersecurity and software updates","Automotive;Manufacturing","European Union","yes","Ongoing","Type approval requires cybersecurity management systems and secure OTA update processes.","UNECE","IEEE 1609.2 Amendment","","compliance_framework","https://unece.org/transport/vehicle-regulations","","yes","UNECE"
"NERC-CIP","NERC CIP","North American Electric Reliability Corporation Critical Infrastructure Protection","Energy & Utilities;Manufacturing;Critical Infrastructure","United States;Canada","yes","Ongoing","Mandatory cybersecurity standards for bulk power systems. Crypto controls in CIP-005/007/011.","NERC","NIST SP 800-82 Rev. 3;IEC 62443","","compliance_framework","https://www.nerc.com/pa/Stand/Pages/ReliabilityStandards.aspx","","yes","NERC"
"IEC-62443","IEC 62443","Industrial cybersecurity standard for OT/ICS environments","Energy & Utilities;Aerospace;Automotive;Manufacturing;Critical Infrastructure","Global","yes","Ongoing","Defense-in-depth for industrial control systems. PQC relevant for long-lived OT deployments.","IEC","IEC 62443;NIST SP 800-82 Rev. 3","","technical_standard","https://www.iec.ch/iecnorex/","","yes","IEC"
"DO-326A","DO-326A / ED-202A","Airworthiness security process specification for aircraft systems","Aerospace;Manufacturing","Global","yes","Ongoing","Aviation cybersecurity certification basis. PQC critical given 30-40 year aircraft lifespans.","RTCA/EUROCAE","FISMA-NIST-SP-800-53r5;NIST SP 800-82 Rev. 3","","technical_standard","https://www.rtca.org","","yes","RTCA/EUROCAE"
"RTCA-DO-355A","RTCA DO-355A","Information security guidance for continuing airworthiness","Aerospace;Manufacturing","Global","yes","Ongoing","Supplement to DO-326A for operational phase. Covers cryptographic controls in service.","RTCA","FISMA-NIST-SP-800-53r5","","technical_standard","https://www.rtca.org","","yes","RTCA"
"FERPA","FERPA","Family Educational Rights and Privacy Act","Education","United States","no","Ongoing","Student record confidentiality. Long retention periods imply HNDL exposure for sensitive records.","US Dept of Education","NIST-SP-800-131A-Rev3","","compliance_framework","https://studentprivacy.ed.gov/ferpa","","yes","US Dept of Education"
"NIS2","NIS2 Directive","EU network and information security directive for essential and important entities","Technology;Finance & Banking;Healthcare;Energy & Utilities;Telecommunications;Automotive;Government & Defense","European Union","yes","October 2024 (transposition passed — enforcement underway)","EU-wide cybersecurity baseline for essential and important entities. Member states were required to transpose NIS2 by October 2024; enforcement is now active across the EU.","ENISA/EU Member States","ENISA PQC Guidelines","European Union:EC","compliance_framework","https://www.enisa.europa.eu/topics/cybersecurity-policy/nis2-directive","","yes","ENISA/EU Member States"
"COPPA","COPPA","US Children's Online Privacy Protection Act","Education;Technology","United States","no","Ongoing","Protects children under 13 online. PQC relevant for long-lived minor data and parental consent records.","FTC","NIST-SP-800-131A-Rev3","","compliance_framework","https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa","","yes","FTC"
"TISAX","TISAX","Trusted Information Security Assessment Exchange for automotive supply chain","Automotive;Manufacturing","European Union","no","Ongoing","VDA-managed assessment for automotive suppliers. Covers information security including cryptographic controls.","VDA/ENX","ISO/IEC 14888-4:2024;IEEE 1609.2 Amendment","","compliance_framework","https://portal.enx.com/en-US/TISAX/","","yes","VDA/ENX"
"MICA","MiCA","EU Markets in Crypto-Assets Regulation","Finance & Banking","European Union","no","2024 (phased; fully effective Dec 30 2024)","EU regulation for crypto-asset service providers (cryptocurrencies and digital tokens). MiCA itself is not a cryptography standard, but security requirements for digital wallets and custody systems are indirectly affected by PQC migration. Stablecoin titles applied from June 30 2024; full regulation from December 30 2024.","ESMA/EBA","eIDAS-2-Regulation;EUDI-Wallet-ARF","European Union:EC;European Union:ECCG","compliance_framework","https://www.esma.europa.eu/esmas-activities/digital-finance-and-innovation/markets-crypto-assets-regulation-mica","","yes","ESMA/EBA"
"TSA-PIPELINE","TSA Pipeline Security Directive","US TSA cybersecurity requirements for pipeline operators","Energy & Utilities;Manufacturing","United States","yes","Ongoing","Mandatory cybersecurity measures for critical pipeline infrastructure. Covers encryption for SCADA/OT.","TSA","NIST SP 800-82 Rev. 3;US-CISA-PQC-OT-2024;CISA-PQC-CATEGORY-LIST-2026;TSA-SD-PIPELINE-2021-02F","","compliance_framework","https://www.tsa.gov/pipeline","","yes","TSA"
"NIST-IR-8547","NIST IR 8547","NIST transition to post-quantum cryptography standards guidance","Government & Defense;Finance & Banking;Technology;Healthcare;Energy & Utilities;Telecommunications;Aerospace","United States;Canada;Australia","yes","2030 (deprecate), 2035 (disallow)","Transition guidance recommending deprecation of 112-bit classical asymmetric algorithms by 2030 and disallowance by 2035.","NIST","NIST IR 8547","United States:NIST","technical_standard","https://csrc.nist.gov/pubs/ir/8547/ipd","nist-csrc","yes","NIST"
"ASD-ISM","ASD ISM","Australian Signals Directorate Information Security Manual","Government & Defense","Australia","yes","2030 (ISM-1917 effective — traditional crypto prohibited)","ISM control ISM-1917 requiring ML-DSA-87, ML-KEM-1024, SHA-384/512, AES-256. Full PQC transition by 2030.","ASD","Australia ASD PQC Guidance","Australia:ASD","compliance_framework","https://www.cyber.gov.au/resources-business-and-government/essential-cyber-security/ism","","yes","ASD"
"CCCS-ITSM","CCCS ITSM.40.001","Canadian Centre for Cyber Security roadmap for PQC migration","Government & Defense","Canada","yes","2025 (effective June 23 2025)","Roadmap for migration to PQC for Canadian government systems.","CCCS","Canada CSE PQC Guidance","Canada:CCCS","compliance_framework","https://www.cyber.gc.ca/en/guidance/itsm400001-guidance-quantum-cryptography","cccs","yes","CCCS"
"EU-REC-2024-1101","EU Recommendation 2024/1101","European Commission coordinated PQC implementation roadmap","Government & Defense;Technology;Finance & Banking","European Union","yes","2030 (critical systems)","Coordinated implementation roadmap for PQC transition across EU member states. NIS Cooperation Group Roadmap v1.1 (June 2025) provides harmonized timelines and cross-border coordination.","European Commission","EU PQC Recommendation;ENISA PQC Guidelines;EU-NIS-CG-Roadmap-v1.1;EC-Recommendation-2024-1101","European Union:EC","compliance_framework","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32024H1101","","yes","European Commission"
"BSI-TR-02102","BSI TR-02102","German BSI technical guideline for cryptographic mechanisms, TLS, IPsec, SSH","Government & Defense;Technology","Germany","yes","Ongoing (v2026-01 update)","BSI technical guideline series covering PQC recommendations including ML-KEM and ML-DSA. v2026-01 recommends hybrid PQC now; classical-only Diffie-Hellman key agreement recommended only until end of 2031.","BSI","BSI TR-02102-1;BSI TR-02102-2;BSI TR-02102-3;BSI TR-02102-4","Germany:BSI","technical_standard","https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/Technische-Richtlinien/TR-nach-Thema-sortiert/tr02102/tr02102_node.html","bsi","yes","BSI"
"UK-NCSC","UK NCSC PQC Guidance","UK National Cyber Security Centre quantum-safe cryptography guidance","Government & Defense;Technology;Finance & Banking","United Kingdom","yes","2028 (plans); 2031 (high-priority); 2035 (full)","Three-phase roadmap: Phase 1 (now-2028) identify crypto services and build migration plans; Phase 2 (2028-2031) execute high-priority upgrades; Phase 3 (2031-2035) complete full migration to PQC across all systems.","NCSC","UK NCSC PQC Guidance","United Kingdom:NCSC","compliance_framework","https://www.ncsc.gov.uk/guidance/pqc-migration-timelines","","yes","NCSC"
"CRYPTREC","CRYPTREC","Japan Cryptography Research and Evaluation Committees PQC guidelines","Government & Defense;Technology","Japan","yes","Ongoing (GL-2004-2022)","Japanese government cryptographic evaluation body publishing PQC guidelines and preparing detailed transition guidance.","CRYPTREC","Japan CRYPTREC Report 2024","Japan:CRYPTREC","compliance_framework","https://www.cryptrec.go.jp/en/","cryptrec","yes","CRYPTREC"
"MAS-CIRCULAR","MAS Circular","Monetary Authority of Singapore financial services PQC advisory","Finance & Banking","Singapore","yes","Ongoing (February 2024)","MAS/TCRS/2024/01 requiring Singapore financial services to prepare PQC transition plans.","MAS","Singapore-CSA-Quantum-Safe-Handbook","Singapore:MAS","compliance_framework","https://www.mas.gov.sg/regulation/circulars","csa-singapore","yes","MAS"
"KPQC-STD","KpqC Standardization","Korea Post-Quantum Cryptography standardization program with national PQC transition roadmap","Government & Defense;Telecommunications;Finance & Banking;Technology","South Korea","yes","2035 (full migration)","KpqC Round 1 winners (Jan 2025): HAETAE, AIMer, SMAUG-T, NTRU+. MSIT pilot phase 2025-2028.","KISA/NIS/MSIT","KpqC-Competition-Results;KpqC-NTRU-Plus;KpqC-SMAUG-T;KpqC-AIMer;KpqC-HAETAE","South Korea:NIS/KISA;South Korea:MSIT","standardization_body","https://kpqc.or.kr","","yes","KISA/NIS/MSIT"
"KCMVP","KCMVP","Korean Cryptographic Module Validation Program for government systems","Government & Defense;Finance & Banking;Technology","South Korea","no","Ongoing","Mandatory module validation for Korean government. PQC algorithm integration expected after KpqC standardization completes (~2027-2028).","NIS","KpqC-Competition-Results;FIPS 203;FIPS 204","South Korea:NIS/KISA","certification_body","https://www.nis.go.kr","","yes","NIS"
"NZISM","NZISM","New Zealand Information Security Manual with PQC preparation requirements","Government & Defense;Technology","New Zealand","yes","2026-2030 (phased transition)","NZISM v3.9 (Nov 2025) Section 2.4 on PQC preparation. 19 agencies implementing. Aligned with Five Eyes.","GCSB/NCSC","AU-ASD-ISM-Crypto-2024","New Zealand:GCSB/NCSC","compliance_framework","https://www.gcsb.govt.nz/our-work/ncsc/nzism/","","yes","GCSB/NCSC"
"INCD-PQC","INCD PQC Guidance","Israel National Cyber Directorate post-quantum readiness guidance","Government & Defense;Technology","Israel","yes","2025 (government assessments)","PQC readiness guide published Jan 2022. Government ministries must complete quantum threat assessment and require PQC in new contracts by end 2025.","INCD","IL-INCD-Cybersecurity-Strategy-2025","Israel:INCD;Israel:INCD/BOI","compliance_framework","https://www.gov.il/en/departments/incd","","yes","INCD"
"BOI-PQC","BOI Quantum Risk Directive","Bank of Israel directive requiring financial institutions to manage quantum risk","Finance & Banking","Israel","yes","2025 (effective January 7)","Directive Letter 202501EN requiring quantum risk management including HNDL exposure assessment and PQC transition planning.","Bank of Israel","IL-INCD-Cybersecurity-Strategy-2025","Israel:BOI","compliance_framework","","","yes","Bank of Israel"
"OSCCA-NGCC","OSCCA NGCC Program","China Next-Generation Commercial Cryptographic algorithms standardization program","Government & Defense;Finance & Banking;Technology;Telecommunications;Manufacturing","China","yes","2027-2030 (estimated)","NGCC call for proposals launched Feb 2025 by ICCS. China developing independent PQC algorithms to supplement SM-series. Financial sector migration estimated 2027-2030.","SCA/OSCCA","China OSCCA GM/T 0108-2021;China GB/T 42829-2023;China GB/T 43692-2024;China CACR PQC Competition Results;China ICCS PQC Call for Proposals","China:ICCS","standardization_body","https://www.sca.gov.cn","","yes","SCA/OSCCA"
"NCSC-CH","Swiss NCSC PQC Guidance","Swiss National Cyber Security Centre post-quantum cryptography migration recommendations","Government & Defense;Finance & Banking;Technology","Switzerland","yes","Ongoing (2023 guidance)","NCSC Switzerland published PQC migration recommendations for the federal government and critical infrastructure operators. Aligned with NIST FIPS 203/204/205 and European guidance from BSI/ANSSI. No mandatory hard deadline; migration is recommended to begin now.","Swiss NCSC","ENISA PQC Guidelines","","compliance_framework","https://www.ncsc.admin.ch","","yes","Swiss NCSC"
"NCSC-NL","NCSC-NL PQC Guidance","Dutch National Cyber Security Centre post-quantum cryptography migration guide","Government & Defense;Technology","Netherlands","yes","Ongoing (2023 guide)","NCSC-NL published a comprehensive PQC factsheet and migration guide for Dutch government and organisations. Covers algorithm selection aligned with NIST PQC standards and transition planning. Guidance rather than mandatory regulation.","NCSC-NL","ENISA PQC Guidelines;ENISA-PQC-Integration-Study-2022","","compliance_framework","https://www.ncsc.nl/en","ncsc-nl","yes","NCSC-NL"
"EUCC","EUCC","EU Cybersecurity Certification Scheme for ICT products based on Common Criteria","Government & Defense;Technology","European Union","yes","Ongoing (applicable from February 27 2025)","Commission Implementing Regulation (EU) 2024/482 establishes EUCC as the EU-wide ICT product security certification scheme, replacing fragmented national Common Criteria schemes. Three assurance levels: basic (AVA_VAN.1/2), substantial (AVA_VAN.3), high (AVA_VAN.4/5). Cryptographic requirements are defined in the Agreed Cryptographic Mechanisms (ACM) — v2.0 (April 2025) added PQC algorithms including ML-KEM and ML-DSA. National certification authorities (NCAs) in each EU member state issue EUCC certificates.","ECCG/ENISA","EUCC v2.0 ACM;ECCG-ACM-v2","European Union:ECCG","certification_body","https://certification.enisa.europa.eu","","yes","ECCG/ENISA"
"ANSSI-BODY","ANSSI","Agence nationale de la sécurité des systèmes d'information — France's national cybersecurity authority","Government & Defense;Technology","France","yes","Ongoing","ANSSI is France's primary cybersecurity authority, publishing PQC guidance since 2022. Key publications include the 2022 PQC Position Paper and 2024 Follow-Up Paper recommending hybrid PQC for new systems. ANSSI coordinates with ENISA and BSI on European PQC harmonization.","ANSSI","ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper","France:ANSSI","standardization_body","https://www.ssi.gouv.fr","anssi","yes","ANSSI"
"CRYPTREC-BODY","CRYPTREC","Cryptography Research and Evaluation Committees — Japan's government body evaluating cryptographic techniques for public and government use","Government & Defense;Technology","Japan","yes","Ongoing","CRYPTREC is a joint committee of Japan's Ministry of Internal Affairs (MIC) and METI. Publishes the CRYPTREC Ciphers List (approved algorithms for e-Government systems). Active PQC evaluation programme aligned with NIST outcomes. Annual technical reports cover PQC migration readiness.","CRYPTREC","Japan CRYPTREC Report 2024","Japan:CRYPTREC","standardization_body","https://www.cryptrec.go.jp/en/","cryptrec","yes","CRYPTREC"
"KISA-BODY","KISA / NIS","Korea Internet & Security Agency and National Intelligence Service — South Korea's cybersecurity and cryptography standardization authorities","Government & Defense;Technology;Telecommunications","South Korea","yes","Ongoing","KISA (under MSIT) leads Korean internet security and runs the KpqC competition for domestic PQC algorithms. NIS oversees KCMVP (Korean Cryptographic Module Validation Program). Together they define cryptographic requirements for government systems and are driving Korea's PQC transition roadmap targeting 2035.","KISA/NIS","KpqC-Competition-Results","South Korea:NIS/KISA","standardization_body","https://www.kisa.or.kr/eng/","","yes","KISA/NIS"
"OSCCA-BODY","OSCCA / SCA","Office of State Commercial Cryptography Administration (国家密码管理局) — China's regulatory authority for commercial cryptography","Government & Defense;Finance & Banking;Technology","China","yes","Ongoing","OSCCA (now operating as SCA — State Cryptography Administration) regulates all commercial cryptography in China. Administers the SM-series algorithms (SM2/SM3/SM4) as national standards. Launched the NGCC (Next-Generation Commercial Cryptographic) call for proposals in Feb 2025 to develop China-indigenous PQC algorithms alongside NIST-aligned ones.","SCA/OSCCA","China OSCCA GM/T 0108-2021;China GB/T 42829-2023","China:ICCS","standardization_body","https://www.sca.gov.cn","","yes","SCA/OSCCA"
"ETSI","ETSI","European Telecommunications Standards Institute — global standards body for telecoms PQC including quantum-safe algorithm suites for 5G/6G","Telecommunications;Technology;Government & Defense","Global","yes","Ongoing","ETSI's Quantum Safe Cryptography (QSC) working group (TC CYBER WG QSC) publishes technical reports and specifications for PQC in telecoms. Key outputs: ETSI TS 103 744 (QSC for telecoms), ETSI TR 103 619 (migration guidance), ETSI GR QSC 001 (quantum threats survey). Works in liaison with NIST, ISO/IEC and 3GPP SA3.","ETSI","ETSI TR 103 619;ETSI TS 103 744","International:ETSI/IQC","standardization_body","https://www.etsi.org/technologies/quantum-safe-cryptography","etsi-cyber","yes","ETSI"
