software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link
AWS s2n-tls,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,Active,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709
AWS s2n-tls,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146
AWS-LC,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997
AWS-LC,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,Active,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709
AWS-LC,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146
Android 16,ACVP,A7700,"Google, Inc.",BoringCrypto,"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-11-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20486
Android 16,FIPS 140-3,4156,"Google, LLC.",BoringCrypto Android,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-02-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4156
Android 16,FIPS 140-3,4444,"Google, LLC.",BoringCrypto SoC,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-02-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4444
Android 16,FIPS 140-3,5104,"Google, LLC",BoringCrypto,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-12-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5104
Apple PQ3 / CoreCrypto,ACVP,A7637,Apple Inc.,"Apple corecrypto Module [Apple silicon, Kernel, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20368
Apple PQ3 / CoreCrypto,ACVP,A7649,Apple Inc.,"Apple corecrypto Module [Apple silicon, Secure Key Store, Hardware, SL2] (c_ltc)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20372
Apple PQ3 / CoreCrypto,ACVP,A7645,Apple Inc.,"Apple corecrypto Module [Apple silicon, User, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20361
Apple PQ3 / CoreCrypto,FIPS 140-3,3855,Apple Inc.,Apple corecrypto Kernel Space Module for ARM (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2021-03-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3855
Apple PQ3 / CoreCrypto,FIPS 140-3,3858,Apple Inc.,Apple corecrypto Kernel Space Module for Intel (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2021-03-24,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3858
Apple PQ3 / CoreCrypto,FIPS 140-3,4392,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Kernel, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4392
Apple PQ3 / CoreCrypto,FIPS 140-3,4391,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, User, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4391
Apple PQ3 / CoreCrypto,FIPS 140-3,4390,Apple Inc.,"Apple corecrypto Module v11.1 [Intel, Kernel, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4390
Apple PQ3 / CoreCrypto,FIPS 140-3,4389,Apple Inc.,"Apple corecrypto Module v11.1 [Intel, User, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4389
Apple PQ3 / CoreCrypto,FIPS 140-3,4460,Apple Inc.,Apple corecrypto User Space Module for Intel (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-03-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4460
Apple PQ3 / CoreCrypto,FIPS 140-3,4570,Apple Inc.,Apple corecrypto User Space Module for ARM (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-08-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4570
Apple PQ3 / CoreCrypto,FIPS 140-3,4757,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-08-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4757
Apple PQ3 / CoreCrypto,FIPS 140-3,4756,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Secure Key Store, Hardware] (SL2)",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-08-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4756
Apple PQ3 / CoreCrypto,FIPS 140-3,4817,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-01,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4817
Apple PQ3 / CoreCrypto,FIPS 140-3,4854,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4854
Apple PQ3 / CoreCrypto,FIPS 140-3,4919,Apple Inc.,"Apple corecrypto Module v13.0 [Intel, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-12-17,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4919
Apple PQ3 / CoreCrypto,FIPS 140-3,4948,Apple Inc.,"Apple corecrypto Module v13.0 [Intel, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-01-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4948
Apple PQ3 / CoreCrypto,FIPS 140-3,4951,"Apple, Inc.","Apple corecrypto Module v12 [Intel, User, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-01-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4951
Apple PQ3 / CoreCrypto,FIPS 140-3,4956,"Apple, Inc.","Apple corecrypto Module v12 [Intel, Kernel, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-01-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4956
Apple PQ3 / CoreCrypto,FIPS 140-3,5025,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Secure Key Store, Hardware, SL2]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-06-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5025
Apple PQ3 / CoreCrypto,FIPS 140-3,5030,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-06-25,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5030
Apple PQ3 / CoreCrypto,FIPS 140-3,5050,Apple Inc.,"Apple corecrypto Module v13.0 [Apple silicon, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-07-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5050
Apple PQ3 / CoreCrypto,FIPS 140-3,5065,Apple Inc.,"Apple corecrypto Module v13.0 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-09-22,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5065
Apple PQ3 / CoreCrypto,FIPS 140-3,5101,Apple Inc.,"Apple corecrypto Module v14.1 [Apple silicon, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-12-02,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5101
Apple PQ3 / CoreCrypto,FIPS 140-3,5108,Apple Inc.,"Apple corecrypto Module v14.1 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-12-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5108
Apple Safari,ACVP,A7637,Apple Inc.,"Apple corecrypto Module [Apple silicon, Kernel, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20368
Apple Safari,ACVP,A7649,Apple Inc.,"Apple corecrypto Module [Apple silicon, Secure Key Store, Hardware, SL2] (c_ltc)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20372
Apple Safari,ACVP,A7645,Apple Inc.,"Apple corecrypto Module [Apple silicon, User, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20361
Apple Safari,FIPS 140-3,3855,Apple Inc.,Apple corecrypto Kernel Space Module for ARM (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2021-03-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3855
Apple Safari,FIPS 140-3,3858,Apple Inc.,Apple corecrypto Kernel Space Module for Intel (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2021-03-24,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3858
Apple Safari,FIPS 140-3,4392,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Kernel, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4392
Apple Safari,FIPS 140-3,4391,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, User, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4391
Apple Safari,FIPS 140-3,4390,Apple Inc.,"Apple corecrypto Module v11.1 [Intel, Kernel, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4390
Apple Safari,FIPS 140-3,4389,Apple Inc.,"Apple corecrypto Module v11.1 [Intel, User, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4389
Apple Safari,FIPS 140-3,4460,Apple Inc.,Apple corecrypto User Space Module for Intel (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-03-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4460
Apple Safari,FIPS 140-3,4570,Apple Inc.,Apple corecrypto User Space Module for ARM (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-08-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4570
Apple Safari,FIPS 140-3,4757,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-08-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4757
Apple Safari,FIPS 140-3,4756,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Secure Key Store, Hardware] (SL2)",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-08-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4756
Apple Safari,FIPS 140-3,4817,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-01,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4817
Apple Safari,FIPS 140-3,4854,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4854
Apple Safari,FIPS 140-3,4919,Apple Inc.,"Apple corecrypto Module v13.0 [Intel, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-12-17,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4919
Apple Safari,FIPS 140-3,4948,Apple Inc.,"Apple corecrypto Module v13.0 [Intel, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-01-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4948
Apple Safari,FIPS 140-3,4951,"Apple, Inc.","Apple corecrypto Module v12 [Intel, User, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-01-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4951
Apple Safari,FIPS 140-3,4956,"Apple, Inc.","Apple corecrypto Module v12 [Intel, Kernel, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-01-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4956
Apple Safari,FIPS 140-3,5025,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Secure Key Store, Hardware, SL2]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-06-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5025
Apple Safari,FIPS 140-3,5030,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-06-25,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5030
Apple Safari,FIPS 140-3,5050,Apple Inc.,"Apple corecrypto Module v13.0 [Apple silicon, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-07-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5050
Apple Safari,FIPS 140-3,5065,Apple Inc.,"Apple corecrypto Module v13.0 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-09-22,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5065
Apple Safari,FIPS 140-3,5101,Apple Inc.,"Apple corecrypto Module v14.1 [Apple silicon, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-12-02,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5101
Apple Safari,FIPS 140-3,5108,Apple Inc.,"Apple corecrypto Module v14.1 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-12-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5108
Apple codesign,ACVP,A7637,Apple Inc.,"Apple corecrypto Module [Apple silicon, Kernel, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20368
Apple codesign,ACVP,A7649,Apple Inc.,"Apple corecrypto Module [Apple silicon, Secure Key Store, Hardware, SL2] (c_ltc)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20372
Apple codesign,ACVP,A7645,Apple Inc.,"Apple corecrypto Module [Apple silicon, User, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20361
Apple codesign,FIPS 140-3,3855,Apple Inc.,Apple corecrypto Kernel Space Module for ARM (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2021-03-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3855
Apple codesign,FIPS 140-3,3858,Apple Inc.,Apple corecrypto Kernel Space Module for Intel (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2021-03-24,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3858
Apple codesign,FIPS 140-3,4392,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Kernel, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4392
Apple codesign,FIPS 140-3,4391,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, User, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4391
Apple codesign,FIPS 140-3,4390,Apple Inc.,"Apple corecrypto Module v11.1 [Intel, Kernel, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4390
Apple codesign,FIPS 140-3,4389,Apple Inc.,"Apple corecrypto Module v11.1 [Intel, User, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4389
Apple codesign,FIPS 140-3,4460,Apple Inc.,Apple corecrypto User Space Module for Intel (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-03-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4460
Apple codesign,FIPS 140-3,4570,Apple Inc.,Apple corecrypto User Space Module for ARM (ccv10),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-08-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4570
Apple codesign,FIPS 140-3,4757,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-08-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4757
Apple codesign,FIPS 140-3,4756,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Secure Key Store, Hardware] (SL2)",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-08-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4756
Apple codesign,FIPS 140-3,4817,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-01,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4817
Apple codesign,FIPS 140-3,4854,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4854
Apple codesign,FIPS 140-3,4919,Apple Inc.,"Apple corecrypto Module v13.0 [Intel, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-12-17,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4919
Apple codesign,FIPS 140-3,4948,Apple Inc.,"Apple corecrypto Module v13.0 [Intel, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-01-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4948
Apple codesign,FIPS 140-3,4951,"Apple, Inc.","Apple corecrypto Module v12 [Intel, User, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-01-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4951
Apple codesign,FIPS 140-3,4956,"Apple, Inc.","Apple corecrypto Module v12 [Intel, Kernel, Software]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-01-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4956
Apple codesign,FIPS 140-3,5025,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Secure Key Store, Hardware, SL2]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-06-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5025
Apple codesign,FIPS 140-3,5030,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-06-25,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5030
Apple codesign,FIPS 140-3,5050,Apple Inc.,"Apple corecrypto Module v13.0 [Apple silicon, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-07-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5050
Apple codesign,FIPS 140-3,5065,Apple Inc.,"Apple corecrypto Module v13.0 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-09-22,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5065
Apple codesign,FIPS 140-3,5101,Apple Inc.,"Apple corecrypto Module v14.1 [Apple silicon, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-12-02,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5101
Apple codesign,FIPS 140-3,5108,Apple Inc.,"Apple corecrypto Module v14.1 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-12-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5108
Arista EOS (Extensible Operating System),FIPS 140-3,4592,"Arista Networks, Inc.",Arista EOS Crypto Module,Falcon,FIPS 140-3 L3,Active,2023-09-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4592
Arista EOS (Extensible Operating System),FIPS 140-3,4791,"Arista Networks, Inc.","Arista Crypto Module v3.0 [Software, Software IPsec, Web Portal]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-09-06,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4791
Arista EOS (Extensible Operating System),FIPS 140-3,4790,"Arista Networks, Inc.","Arista Crypto Module v3.0 [Software, Software IPsec]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-09-06,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4790
Arista EOS (Extensible Operating System),FIPS 140-3,5001,"Arista Networks, Inc.",Arista Crypto Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-04-17,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5001
Arista EOS (Extensible Operating System),FIPS 140-3,5162,"Arista Networks, Inc.","Arista Crypto Module Lvl2 [Software, Software IPsec]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-02-17,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5162
Azure Dedicated HSM (Marvell LiquidSecurity),ACVP,A6877,"Marvell Semiconductor, Inc.",LS2-OQS-Crypto,"ML-DSA, ML-KEM",,Active,2025-05-01,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19612
