industry,use_case_id,use_case_label,use_case_icon,protocols_current,protocols_target,pqc_claim_basis,classical_mechanisms,pqc_mechanisms,migration_status,summary,related_standards,main_source,source_url,trusted_source_id,local_file,peer_reviewed,vetting_body,confidence_score,last_verified,status,deprecated_at,deprecated_reason,learn_module_id,playground_tools,mechanism_refs,no_protocol_reason,source_library_ref,source_citation_type,migrate_product_refs,fips_140,fips_140_level,common_criteria,common_criteria_profile,common_criteria_scheme,pci_certification,pci_certification_program,national_certification,national_certification_scheme,hsm_certification_logic,hsm_certification_refs,certification_future,certification_future_date,certification_future_refs
Cloud Computing / Data Centers,cloud-backup,Backup & disaster-recovery encryption,Database,tls-1-2,tls-1-3,standardised,RSA;ECDH,ML-KEM,none,"Backup key wrapping, archival storage TLS, and cross-region replication carry harvest-now-decrypt-later exposure because archived ciphertext outlives the classical keys protecting it.",,Cloud Security Alliance — A Practitioner's Guide to Post-Quantum Cryptography,https://cloudsecurityalliance.org/artifacts/a-practitioners-guide-to-post-quantum-cryptography,csa-cloud,threats/CLOUD-001.html,no,Cloud Security Alliance,0.85,2026-08-13,active,,,kms-pqc,envelope-encrypt;sbx-sops,RFC 9151;FIPS 203,,CSA-PQC-Guide-2025,technical,,mandated,not-specified,none,,,none,,none,,all-of,DoD-Cloud-Service-Provider-SRG-V1R7,,,
Critical Infrastructure / Energy,energy-scada,SCADA & substation automation (IEC 61850/62351),Factory,tls-1-2,tls-1-3,none,RSA;ECDSA;ECDH,,none,"Power-system communications secured per IEC 62351 (RSA-based SCADA authentication, ECDSA in IEC 61850 GOOSE/MMS, DNP3 Secure Authentication) have no standardized PQC profile yet.",,IEC 62351-3/-5/-9 (Power Systems Security),https://webstore.iec.ch/publication/6912,iec,threats/ENERGY-001.html,no,,0.85,2026-08-13,active,,,energy-utilities-pqc,tls-simulator;openssl-studio,RFC 9151,,,,,de-facto,140-3 L1,none,,,none,,mandated,China SCA/OSCCA commercial cryptography product certification (Cryptography Law Art.26 -- China-market modules only),all-of,NERC-CIP-005-7;China-Cryptography-Law-2019-NPC,,,
Critical Infrastructure / Energy,energy-nuclear,Nuclear I&C and safeguards data,ShieldAlert,,,none,RSA;ECDSA,,none,Nuclear safety-system digital I&C and safeguards data encryption fall under NRC 10 CFR 73.54 cybersecurity requirements; the cryptography is classical and long-lived.,,NRC Cybersecurity Requirements (10 CFR 73.54),https://www.ecfr.gov/current/title-10/chapter-I/part-73/section-73.54,nrc,threats/ENERGY-002.html,no,,0.85,2026-08-13,active,,,energy-utilities-pqc,,arXiv-2602-21524-Quantum-Attacks-Nuclear,"Nuclear safety-system digital I&C runs on air-gapped, vendor-proprietary buses; no standardised network protocol in the matrix applies.",10-CFR-73-54-Protection-of-Digital-Computer-and-Communicatio,driver,,de-facto,not-specified,none,,,none,,mandated,China SCA/OSCCA commercial cryptography product certification (Cryptography Law Art.26 -- China-market modules only),all-of,China-Cryptography-Law-2019-NPC,,,
Critical Infrastructure / Energy,energy-ami,Smart metering / AMI PKI,Gauge,x509,x509,none,RSA;ECDSA;ECDH,,none,"Advanced metering infrastructure meshes, smart-meter PKI, and PMU authentication use device certificates that must survive multi-decade field deployments.",,University of Toronto Smart Grid Security Research,https://www.utoronto.ca/news/u-t-researcher-leads-effort-protect-power-utilities-quantum-attacks,gri,threats/ENERGY-003.html,no,,0.85,2026-08-17,active,,,energy-utilities-pqc,pki-workshop;pki-enrollment;cert-capacity,RFC 5280;RFC 9881;draft-ietf-lamps-pq-composite-kem-19,,University-of-Toronto-Researcher-Leads-Effort-to-Protect-Pow,driver,,de-facto,140-3 L2,none,,,none,,mandated,China SCA/OSCCA commercial cryptography product certification (Cryptography Law Art.26 -- China-market modules only),all-of,University-of-Toronto-Researcher-Leads-Effort-to-Protect-Pow;China-Cryptography-Law-2019-NPC,,,
Critical Infrastructure / Energy,energy-pipeline,Pipeline & OT remote-access VPNs,Cable,ike-ipsec,ike-ipsec,in-progress,RSA;ECDH,ML-KEM,pilot,Pipeline monitoring and OT remote access ride IPsec/IKEv2 VPNs where post-quantum key mixing (RFC 8784) and multiple key exchanges (RFC 9370) are already standardized.,,IEC 62443 Industrial Automation Security,https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series-of-standards,iec,threats/ENERGY-004.html,no,,0.85,2026-07-29,active,,,energy-utilities-pqc,vpn-sim;sbx-vpn,IETF RFC 7296;RFC 8784;draft-wang-ipsecme-kem-auth-ikev2-03,,IEC 62443,driver,,none,,none,,,none,,mandated,China SCA/OSCCA commercial cryptography product certification (Cryptography Law Art.26 -- China-market modules only),all-of,China-Cryptography-Law-2019-NPC,,,
Cross-Industry,cross-web-tls,Web & API TLS everywhere,Globe,tls-1-3;tls-1-2,tls-1-3,adopted,RSA;ECDSA;ECDH;X25519,ML-KEM,production,"TLS is the universal transport protection for web and API traffic in every sector; hybrid X25519+ML-KEM key establishment is deployed at internet scale, and NIST IR 8547 sets the classical deprecation trajectory.",RFC-8446;FIPS-203;NIST-IR-8547,"NIST IR 8547 (IPD, Nov 2024)",https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,nist-csrc,threats/CROSS-002.pdf,yes,NIST,0.85,2026-07-29,active,,,,tls-simulator;sbx-tls;sbx-browser-tls;sbx-ab-handshake-bench,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05,,NIST IR 8547,driver,,none,,none,,,none,,none,,all-of,CABF-TLS-BR-v2-2-9;PCI-DSS-v4-0-1-Requirements-and-Testing-Procedures,,,
Cross-Industry,cross-pki,Enterprise PKI & X.509 certificates,KeyRound,x509;est-cmp,x509;est-cmp,standardised,RSA;ECDSA,ML-DSA;SLH-DSA,draft,"X.509 certificate hierarchies (roots, intermediates, issuance protocols) run on RSA/ECDSA; ML-DSA and SLH-DSA certificate profiles are advancing through IETF LAMPS.",RFC-5280;FIPS-204;FIPS-205,"NIST IR 8547 (IPD, Nov 2024)",https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,nist-csrc,threats/CROSS-002.pdf,yes,NIST,0.85,2026-07-29,active,,,,pki-workshop;pki-enrollment;hybrid-certs;sbx-pki,RFC 5280;RFC 9881;RFC-9909,,NIST IR 8547,driver,,mandated,140-3 L3,mandated,"not specified (""an appropriate Common Criteria Protection Profile or Security Target"")",not specified,none,,none,,any-of,CABF-TLS-BR-v2-2-9;CABF-SMIME-BR-v1-0-15;CABF-Code-Signing-BR-v3-11,,,
Cross-Industry,cross-email,Email security (S/MIME),Mail,smime,smime,standardised,RSA;ECDSA;ECDH,ML-KEM;ML-DSA,draft,S/MIME signing and encryption use RSA/ECC via CMS; KEM-based CMS (RFC 9629) and composite ML-KEM/ML-DSA drafts define the migration path.,RFC-8551,"NIST IR 8547 (IPD, Nov 2024)",https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,nist-csrc,threats/CROSS-002.pdf,yes,NIST,0.85,2026-07-29,active,,,,email-signing;sbx-smime,RFC 8551;RFC-9936;RFC 9882,,NIST IR 8547,driver,,mandated,140-3 L3,mandated,"not specified (""an appropriate Common Criteria Protection Profile or Security Target"")",not specified,none,,none,,any-of,CABF-SMIME-BR-v1-0-15,,,
Cross-Industry,cross-code-signing,Software & code signing,FileSignature,sigstore,sigstore,proposed,RSA;ECDSA,ML-DSA;SLH-DSA;LMS,pilot,"Code-signing roots, transparency logs, and firmware signing use RSA/ECDSA; hash-based signatures (LMS/SLH-DSA) and ML-DSA are the standardized replacements, with supply-chain frameworks (SLSA) raising the integrity bar.",FIPS-204;FIPS-205,SLSA Supply Chain Security Framework (OpenSSF),https://slsa.dev/spec/v1.0/levels,openssf,threats/IT-004.html,no,,0.85,2026-07-29,active,,,,firmware-signing;slh-dsa;lms-hss;sbx-osslsigncode,RFC 9882;NIST SP 800-208,,SLSA-Specification-v1.1,driver,,mandated,140-3 L3,mandated,"not specified (""an appropriate Common Criteria Protection Profile or Security Target"")",not specified,none,,none,,any-of,CABF-Code-Signing-BR-v3-11,,,
Cross-Industry,cross-vpn,Remote-access & site-to-site VPN,Shield,ike-ipsec;wireguard,ike-ipsec;wireguard,in-progress,RSA;ECDH;X25519,ML-KEM,pilot,"Enterprise VPNs (IPsec/IKEv2, WireGuard) depend on classical key exchange; NIST SP 800-227 sets KEM usage recommendations and IKEv2 already has standardized post-quantum extensions.",NIST-SP-800-227;RFC-9370,NIST SP 800-227 Recommendations for KEMs,https://csrc.nist.gov/pubs/sp/800/227/final,nist-csrc,threats/CROSS-008.pdf,yes,NIST,0.85,2026-07-29,active,,,,vpn-sim;sbx-vpn,IETF RFC 7296;RFC 8784;RFC 9370;Rosenpass-Protocol,,NIST SP 800-227,technical,,none,,none,,,none,,none,,all-of,NIST SP 800-227;CNSSP-11-IA-Product-Acquisition-Policy,,,
Cryptocurrency / Blockchain,crypto-tx-signing,Transaction signing (secp256k1),Bitcoin,,,none,ECDSA,,none,Bitcoin and most chains sign transactions with secp256k1 ECDSA; P2PK outputs and any address whose public key is revealed on first spend are directly quantum-exposed.,,Federal Reserve HNDL Paper,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,federal-reserve,threats/CRYPTO-001.html,no,,0.85,2026-07-29,active,,,digital-assets,bitcoin-flow;hybrid-sigs,SEC2-v2,"Transaction signing is chain-specific (secp256k1 ECDSA in Bitcoin script), not a standardised network protocol.",FRB-FEDS-2025093-Blockchain-PQC,driver,,none,,none,,,none,,none,,,FRB-FEDS-2025093-Blockchain-PQC,,,
Cryptocurrency / Blockchain,crypto-custody,Exchange & custody key management,Wallet,pkcs11;kmip,pkcs11;kmip,standardised,ECDSA;RSA;ECDH,ML-KEM,none,Institutional custody stacks keep secp256k1 keys in HSMs with RSA/ECDH key wrapping; the Federal Reserve's HNDL analysis covers the RSA/ECDSA/ECDH exposure across blockchain infrastructure.,,Federal Reserve Board FEDS Paper September 2025,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,federal-reserve,threats/CRYPTO-003.html,no,,0.85,2026-07-29,active,,,digital-assets,hd-wallet;hsm-capacity;cacp-kmip,PKCS11-V32-OS-OASIS,,FRB-FEDS-2025093-Blockchain-PQC,driver,,none,,none,,,none,,de-facto,No named scheme -- HK SFC VATP Guidelines SS10.8(a) require an HSM 'with appropriate certification'; Dubai VARA T&I Rulebook; MAS TRM SS10.2.4,all-of,MICA-REG-2023-1114;DORA-REG-2022-2554;MAS-CIRCULAR-IT-RISK;NY-DFS-23-NYCRR-500-A2;SFC-VATP-Guidelines,,,
Cryptocurrency / Blockchain,crypto-consensus,Validator & consensus signatures,Network,,,proposed,ECDSA,ML-DSA,none,"Proof-of-stake consensus and account abstraction roadmaps (Ethereum) contemplate post-quantum signature migration, but BLS/ECDSA remain in production today.",,Ethereum Foundation roadmap (account abstraction track),https://ethereum.org/roadmap/account-abstraction/,eth-foundation,threats/CRYPTO-002.html,no,,0.85,2026-08-13,active,,,digital-assets,solana-flow;hybrid-sigs,BIP-340;FIPS 204,"Consensus and account-abstraction designs are chain-specific protocol layers, not standardised network protocols.",Ethereum-Foundation-Roadmap-Account-Abstraction,driver,,none,,none,,,none,,none,,,Ethereum-Foundation-Roadmap-Account-Abstraction,,,
Education / Research,edu-sis,Student information systems & LMS,BookOpen,tls-1-3,tls-1-3,adopted,RSA;ECDSA;ECDH,ML-KEM,production,Student records protected under FERPA ride TLS between SIS/LMS platforms and browsers; hybrid key establishment is available wherever the platform's TLS stack is current.,,FERPA / US Department of Education,https://studentprivacy.ed.gov/ferpa,us-doe-ed,threats/EDU-001.html,no,,0.85,2026-07-29,active,,,research-quantum-impact,tls-simulator;sbx-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05,,FERPA-34-CFR-99,driver,,none,,none,,,none,,none,,all-of,FERPA-34-CFR-99,,,
Education / Research,edu-federation,Identity federation (SAML/eduroam),Fingerprint,eap-radius;x509,eap-radius;x509,none,RSA;ECDSA,,none,Research-and-education federations sign SAML metadata with RSA-4096 and authenticate eduroam via certificate-based EAP; no PQC profile is deployed in the federation trust fabric yet.,,Internet2 InCommon Federation / Jisc Trust and Identity,https://incommon.org/about,internet2,threats/EDU-002.html,no,,0.85,2026-07-29,active,,,research-quantum-impact,cert-capacity;pki-workshop,RFC 5280;RFC 9881,,Internet2-InCommon-Federation,driver,,none,,none,,,none,,none,,all-of,Internet2-InCommon-Federation,,,
Education / Research,edu-credentials,Digital diplomas & verifiable credentials,Award,jose;cose,jose;cose,standardised,ECDSA;RSA,ML-DSA,draft,W3C Verifiable Credentials envelope academic credentials in JOSE/COSE signatures (ECDSA/EdDSA/RSA-PSS); PQ/T composite signature drafts for JOSE/COSE define the upgrade path.,OpenID4VCI,W3C Verifiable Credentials Data Model 2.0,https://www.w3.org/TR/vc-data-model-2.0/,w3c,threats/EDU-003.html,no,,0.85,2026-07-29,active,,,research-quantum-impact,api-security-jwt;digital-id,RFC 7515;draft-ietf-jose-pqc-kem,,W3C-Verifiable-Credentials-Data-Model-v2-0,technical,,none,,none,,,none,,none,,all-of,W3C-Verifiable-Credentials-Data-Model-v2-0,,,
Education / Research,edu-research-data,Research data protection (CUI),FlaskConical,tls-1-3;ssh,tls-1-3;ssh,standardised,RSA;ECDSA;ECDH,ML-KEM,pilot,"Controlled unclassified research data falls under NIST SP 800-171 Rev. 3; repositories and HPC access paths (TLS, SSH) already have hybrid PQC options.",,NIST SP 800-171 Rev. 3 — Protecting Controlled Unclassified Information,https://csrc.nist.gov/pubs/sp/800/171/r3/final,nist-csrc,threats/EDU-004.pdf,yes,NIST,0.85,2026-07-29,active,,,research-quantum-impact,pqc-ssh-sim;sbx-ssh;tls-simulator,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05,,NIST-SP-800-171-Rev-3-Protecting-Controlled-Unclassified-Inf,driver,,mandated,not-specified,none,,,none,,none,,all-of,CMMC-L2-Assessment-Guide;DFARS-252.204-7012;NIST-SP-800-171-Rev-3-Protecting-Controlled-Unclassified-Inf,,,
Finance & Banking,fin-interbank,Interbank payments & settlement (SWIFT/RTGS),Banknote,x509;tls-1-2,x509;tls-1-3,standardised,RSA;ECDSA,ML-DSA,pilot,"SWIFTNet PKI, Fedwire, and Eurosystem T2 settlement authenticate with RSA certificates; BIS Project Leap Phase 2 (with Swift, Bank of Italy, Banque de France, Deutsche Bundesbank, and Nexi-Colt as network partners) replaced the RSA-signed Business Application Header (BAH) in ISO 20022 payment messages with CRYSTALS-Dilithium (the tested predecessor of ML-DSA) at NIST security category 3, demonstrated end-to-end in the T2 real-time gross settlement system.",,Bank for International Settlements Project Leap Phase 2,https://www.bis.org/publ/othp107.htm,bis,threats/FIN-001.html,no,,0.85,2026-07-29,active,,,emv-payment-pqc,pki-workshop;tls-simulator;hybrid-certs,RFC 5280;RFC 9881,,BIS-OTHP107,technical,,de-facto,140-3 L3,none,,,none,,none,,all-of,Swift-Customer-Security-Controls-Framework-CSCF-v2026;SWIFT-Qualified-Certificates-Certificate-Policy,,,
Finance & Banking,fin-customer,Digital banking channels,Smartphone,tls-1-3,tls-1-3,adopted,RSA;ECDSA;ECDH;X25519,ML-KEM,production,Customer-facing banking apps and portals ride TLS where hybrid ML-KEM is production-ready; FS-ISAC urges coordinated migration timelines across the sector.,,FS-ISAC — The Timeline for Post Quantum Cryptographic Migration,https://www.fsisac.com/newsroom/fs-isac-urges-global-coordination-for-migration-to-post-quantum-cryptography-in-financial-services,fs-isac,threats/FIN-005.html,no,,0.85,2026-07-29,active,,,emv-payment-pqc,tls-simulator;sbx-tls;sbx-browser-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05,,FS-ISAC-PQC-Timeline-2026,driver,,none,,none,,,none,,none,,,,,,
Finance & Banking,fin-hsm,HSM key management & wrapping,KeyRound,pkcs11;kmip,pkcs11;kmip,standardised,RSA;ECDH,ML-KEM,draft,Payment and banking HSAM estates wrap working keys under RSA/ECDH; PCI DSS v4 key-management requirements meet PQC through PKCS#11 v3.2 mechanism support.,,PCI DSS v4.0.1,https://www.middlebury.edu/sites/default/files/2025-01/PCI-DSS-v4_0_1.pdf,pci-ssc,threats/FIN-004.pdf,yes,PCI Security Standards Council,0.85,2026-08-13,active,,,emv-payment-pqc,envelope-encrypt;hsm-capacity;cacp-kmip;sbx-hsm-perf-bench,PKCS11-V32-OS-OASIS;KMIP-V2-1-OASIS,,PCI-DSS-v4-0-1-Requirements-and-Testing-Procedures,technical,,de-facto,140-3 L3,none,,,de-facto,PCI PTS HSM (only where a PCI-scoped function applies),none,,any-of,PCI-PTS-HSM-Modular-Security-Requirements-v4-0,"PCI PTS HSM v5.0 was published 2026-05-18 and adds, per PCI SSC's own announcement, ""support for post-quantum cryptography considerations"" and new definitions covering PQC -- terminology and guidance, not a mandated PQC algorithm or parameter set. v4.0 (the version currently cited) remains usable for NEW device-security approvals until 2027-06-30 per PCI SSC's own bulletin; no v5.0-specific PQC deadline has been published.",2027-06-30,PCI-SSC-Blog-Publishes-PTS-HSM-v5-0;PCI-SSC-Bulletin-PTS-HSM-v4-Extension
