reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,local_file,module_ids,misc_info
NIST SP 800-208,Recommendation for Stateful Hash-Based Signature Schemes,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-208.pdf,2020-10-29,2020-10-29,Final,Specifies LMS and XMSS stateful hash-based signature schemes for firmware signing.,Algorithm,Firmware; Embedded Systems; IoT; Boot Security,NIST,IETF RFC 8391;IETF RFC 8554,USA; Global,Hash-based (stateful),L1-L5 equivalent,"Firmware signing, secure boot, archival",wolfSSL; Bouncy Castle,Medium,Validated,Digital Signature,yes,public/library/NIST_SP_800-208.pdf,stateful-signatures;kms-pqc;hsm-pqc;crypto-agility;pqc-governance;vendor-risk;iot-ot-pqc;code-signing,
NIST SP 800-227,Recommendations for Key-Encapsulation Mechanisms,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-227.pdf,2025-09-18,2025-09-18,Final,Guidance for implementing KEMs securely including hybrid KEMs and FIPS 140 validation requirements.,Compliance/Guidance,IT; Finance; Gov; Cloud; HSM Vendors,NIST,FIPS 203;NIST-SP-800-56C-R2,USA; Global,Lattice-based,"L1,L3,L5",KEM usage guidelines for TLS/VPN/SSH,Reference guidance,High,Updated,KEM,yes,public/library/NIST_SP_800-227.pdf,hybrid-crypto;tls-basics;kms-pqc;hsm-pqc;vendor-risk;crypto-agility,
NIST IR 8547,Transition to Post-Quantum Cryptography Standards,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,2024-11-12,2024-11-12,Initial Public Draft,Roadmap for transitioning to PQC. Proposes 2030 deprecation and 2035 disallowment of classical asymmetric crypto.,Compliance/Guidance,IT; Gov; Finance; Telecom; Cloud,NIST,FIPS 203;FIPS 204;FIPS 205,USA; Global,N/A,N/A,Enterprise-wide PQC migration planning,Migration tools,High,Validated,General PQC Migration,yes,public/library/NIST_IR_8547.pdf,pqc-101;quantum-threats;pki-workshop;crypto-agility;kms-pqc;hsm-pqc;compliance-strategy;pqc-business-case;pqc-governance;pqc-risk-management;migration-program;vendor-risk;data-asset-sensitivity,FIPS 203/204/205
NIST IR 8545,Status Report on the Fourth Round of the NIST PQC Standardization Process,https://nvlpubs.nist.gov/nistpubs/ir/2025/NIST.IR.8545.pdf,2025-03-11,2025-03-11,Final,Documents HQC selection as fourth PQC standard providing code-based cryptographic diversity.,Research/Report,IT; Cryptography Research,NIST,FIPS 203;HQC Specification,USA; Global,Code-based,"L1,L3,L5",Future FIPS standard (HQC),Reference,Medium,Updated,KEM,yes,public/library/NIST_IR_8545.pdf,quantum-threats;pqc-101,
HQC Specification,Hamming Quasi-Cyclic (HQC) Algorithm Specification,https://pqc-hqc.org/doc/hqc_specifications_2025_08_22.pdf,2024-02-23,2025-08-22,NIST Round 4 Selection,"Code-based KEM selected March 2025 as backup to ML-KEM. Draft FIPS expected 2026, final 2027.",Algorithm,IT; Gov; Critical Infrastructure,NIST/HQC Team,,USA; Global,Code-based,"L1,L3,L5",Future TLS/IPsec/SSH integration,Reference implementation,Medium,Updated,KEM,yes,public/library/HQC_Specification.pdf,quantum-threats,NIST PQC Round 4
RFC 9629,Using Key Encapsulation Mechanism (KEM) Algorithms in CMS,https://www.rfc-editor.org/rfc/rfc9629.html,2024-08-01,2024-08-01,Proposed Standard,Defines CMS KEMRecipientInfo structure for PQ KEMs including ML-KEM.,Protocol,IT; Email; Web PKI; Secure Messaging,IETF LAMPS,FIPS 203;RFC 5280;RFC 5652,International,Lattice-based,"L1,L3,L5","CMS encryption, S/MIME",OpenSSL CMS,High,Validated,Protocols,yes,public/library/RFC_9629.html,email-signing;crypto-agility,
RFC 9708,Use of the HSS/LMS Hash-Based Signature Algorithm in CMS,https://www.rfc-editor.org/rfc/rfc9708.html,2025-01-01,2025-01-01,Standards Track,Updated HSS/LMS usage in CMS. Obsoletes RFC 8708.,Protocol,Firmware; Critical Infrastructure,IETF LAMPS,IETF RFC 8554;NIST SP 800-208,International,Hash-based (stateful),L1-L5,CMS signatures for firmware,wolfSSL; Bouncy Castle,Medium,Updated,Protocols,yes,public/library/RFC_9708.html,email-signing;stateful-signatures;iot-ot-pqc;code-signing,
RFC 9794,Terminology for Post-Quantum Traditional Hybrid Schemes,https://www.rfc-editor.org/rfc/rfc9794.html,2025-06-01,2025-06-01,Informational,Defines terminology for PQ/T hybrid schemes including composite KEMs and signatures.,Guidance,IT; Standards Bodies; Protocol Developers,IETF PQUIP,,International,N/A,N/A,Hybrid terminology standardization,N/A,High,New,General PQC Migration,yes,public/library/RFC_9794.html,hybrid-crypto,
RFC 9802,Use of HSS and XMSS Hash-Based Signature Algorithms in X.509 PKI,https://www.rfc-editor.org/rfc/rfc9802.html,2025-06-01,2025-06-01,Proposed Standard,Defines OIDs and certificate structures for stateful hash-based signatures in X.509.,PKI/Certificate,PKI; Gov; Critical Infrastructure,IETF LAMPS,IETF RFC 8391;IETF RFC 8554;NIST SP 800-208,International,Hash-based (stateful),L1-L5,X.509 certificates with HBS,Bouncy Castle,Medium,Updated,PKI Certificate Management,yes,public/library/RFC_9802.html,stateful-signatures;pki-workshop;hybrid-crypto,
RFC 9810,Certificate Management Protocol (CMP) Updates for KEM,https://www.rfc-editor.org/rfc/rfc9810.html,2025-07-01,2025-07-01,Standards Track,Adds KEM key transport to CMP. Obsoletes RFC 4210.,Protocol,PKI; Enterprise CA; IoT,IETF LAMPS,FIPS 203;RFC 9629,International,Lattice-based,"L1,L3,L5",PKI certificate management with PQC,PKI implementations,Medium,Updated,PKI Certificate Management,yes,public/library/RFC_9810.html,pki-workshop;iot-ot-pqc,
RFC 9814,Use of SLH-DSA in CMS,https://www.rfc-editor.org/rfc/rfc9814.html,2025-07-19,2025-07-19,Proposed Standard,"Defines SPHINCS+ (SLH-DSA), the stateless hash-based signature standard, usage in Cryptographic Message Syntax. Included for comparison with stateful LMS/XMSS schemes.",Protocol,IT; Critical Infrastructure; Archival,IETF LAMPS,FIPS 205;RFC 5652,International,Hash-based (stateless),"L1,L3,L5","CMS signatures, S/MIME",liboqs,Medium,Validated,Protocols,yes,public/library/RFC_9814.html,email-signing;stateful-signatures;code-signing,
RFC 9858,Additional Parameter Sets for HSS/LMS Hash-Based Signatures,https://www.rfc-editor.org/rfc/rfc9858.html,2025-04-01,2025-04-01,Standards Track,"Adds SHA-256/192, SHAKE256/256, and SHAKE256/192 parameter sets for LMS/HSS, reducing signature sizes by 35-40% compared to the original RFC 8554 SHA-256 parameter sets.",Algorithm,Firmware; IoT,IETF CFRG,IETF RFC 8554,International,Hash-based (stateful),L1-L5,Extended LMS options,Firmware implementations,Low,Updated,Digital Signature,yes,public/library/RFC_9858.html,stateful-signatures;iot-ot-pqc;code-signing,
RFC 9882,Use of ML-DSA in CMS,https://www.rfc-editor.org/rfc/rfc9882.html,2025-10-29,2025-10-29,Standards Track,Defines ML-DSA (Dilithium) usage in CMS for document and message signing.,Protocol,Email; Messaging; JAR signing; Document Signing,IETF LAMPS,FIPS 204;RFC 5652,International,Lattice-based,"L2,L3,L5",CMS signatures,OpenSSL provider,High,Validated,Protocols,yes,public/library/RFC_9882.html,email-signing;pki-workshop;hybrid-crypto;iot-ot-pqc,
draft-ietf-tls-hybrid-design-16,Hybrid key exchange in TLS 1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-hybrid-design/,2020-08-01,2025-09-07,Internet-Draft,Framework for hybrid key exchange combining traditional and PQ algorithms in TLS 1.3.,Protocol,Web; Cloud; Enterprise; IoT,IETF TLS WG,FIPS 203;RFC 8446,International,PQ/T Hybrid,"L1,L3,L5",TLS 1.3 hybrid key exchange design,TLS implementations,High,Updated,Protocols,yes,public/library/draft-ietf-tls-hybrid-design-16.html,tls-basics;hybrid-crypto,
draft-ietf-tls-ecdhe-mlkem-04,Post-quantum hybrid ECDHE-MLKEM Key Agreement for TLSv1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-ecdhe-mlkem/,2024-03-01,2026-02-08,Internet-Draft (Standards Track),"Specifies X25519MLKEM768, SecP256r1MLKEM768, and SecP384r1MLKEM1024 hybrid groups for TLS 1.3. Normative hybrid framework: draft-ietf-tls-hybrid-design (also in RFC Ed Queue). Both drafts in final pre-publication stage as of Feb 2026.",Protocol,Web; Cloud; Enterprise,IETF TLS WG,FIPS 203;RFC 8446;RFC 9847;draft-ietf-tls-hybrid-design-16,International,Lattice + ECDH,"L1,L3,L5",TLS 1.3 hybrid ECDHE-MLKEM,OpenSSL; BoringSSL; Cloudflare,High,Updated,Protocols,yes,public/library/draft-ietf-tls-ecdhe-mlkem-04.html,tls-basics;hybrid-crypto,
draft-ietf-tls-mlkem-07,ML-KEM Post-Quantum Key Agreement for TLS 1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-mlkem/,2024-05-01,2026-02-12,Internet-Draft (Revised I-D Needed),Defines ML-KEM-512 ML-KEM-768 and ML-KEM-1024 as NamedGroups for pure PQ key agreement in TLS 1.3. WGLC issues identified requiring revision. Expires Aug 2026.,Protocol,Web; Cloud; Government,IETF TLS WG,FIPS 203;RFC 8446,International,Lattice-based,"L1,L3,L5",TLS 1.3 pure PQ key exchange,Reference implementations,High,Updated,Protocols,yes,public/library/draft-ietf-tls-mlkem-07.html,tls-basics,
draft-ietf-ipsecme-ikev2-mlkem,Post-quantum Hybrid Key Exchange with ML-KEM in IKEv2,https://datatracker.ietf.org/doc/draft-ietf-ipsecme-ikev2-mlkem/,2023-11-01,2025-09-29,Internet-Draft,Specifies ML-KEM in IKEv2 for quantum-resistant VPN and IPsec key establishment.,Protocol,VPN; Enterprise; Government; Cloud,IETF IPSECME WG,FIPS 203;IETF RFC 7296;IETF RFC 9370,International,Lattice-based,"L1,L3,L5",IKEv2/IPsec with ML-KEM,StrongSwan; Cisco; Juniper,High,Updated,Protocols,yes,public/library/draft-ietf-ipsecme-ikev2-mlkem-03.html,vpn-ssh-pqc,
draft-yang-tls-hybrid-sm2-mlkem-03,Hybrid Post-quantum Key Exchange SM2-MLKEM for TLSv1.3,https://datatracker.ietf.org/doc/draft-yang-tls-hybrid-sm2-mlkem/,2024-08-01,2025-11-15,Internet-Draft,Defines curveSM2MLKEM768 hybrid for TLS 1.3 combining Chinese SM2 curve with ML-KEM.,Protocol,China; Asia-Pacific; Government,IETF Individual Submission,FIPS 203,China; Asia,SM2 + Lattice,L3,TLS for Chinese standards compliance,Chinese TLS implementations,Medium,Updated,Protocols,yes,public/library/draft-yang-tls-hybrid-sm2-mlkem-02.html,hybrid-crypto;tls-basics,GM/T 0003.2;ISO/IEC 14888-3
draft-ietf-lamps-kyber-certificates-11,Internet X.509 PKI — Algorithm Identifiers for ML-KEM,https://datatracker.ietf.org/doc/draft-ietf-lamps-kyber-certificates/,2022-06-03,2025-07-22,"Internet-Draft (RFC Ed Queue, AUTH48)",Defines X.509 OIDs and structures for ML-KEM public keys in certificates.,PKI/Certificate,Web PKI; IoT; Enterprise,IETF LAMPS,FIPS 203;RFC 5280,International,Lattice-based,"L1,L3,L5",Certificates with ML-KEM keys,OpenSSL provider; PKI CAs,High,Updated,PKI Certificate Management,yes,public/library/draft-ietf-lamps-kyber-certificates-11.html,pki-workshop;hybrid-crypto,
RFC 9881,Algorithm Identifiers for ML-DSA in X.509 PKI,https://www.rfc-editor.org/rfc/rfc9881.html,2022-06-03,2025-10-29,Proposed Standard,Defines X.509 OIDs and certificate structures for ML-DSA (Dilithium) signatures. Supersedes draft-ietf-lamps-dilithium-certificates.,PKI/Certificate,Gov; Finance; Web PKI; Identity,IETF LAMPS,FIPS 204;RFC 5280,International,Lattice-based,"L2,L3,L5",PQ signatures in X.509 certificates,OpenSSL 3.5+; BoringSSL,High,Updated,PKI Certificate Management,yes,public/library/RFC_9881.html,pki-workshop;email-signing;hybrid-crypto;iot-ot-pqc,
draft-ietf-lamps-pq-composite-kem-12,Composite ML-KEM for Use in X.509 PKI and CMS,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-kem/,2023-03-02,2026-01-08,Internet-Draft (In WG Last Call),Composite (classical+PQC) KEM combining RSA-OAEP/ECDH/X25519/X448 with ML-KEM for X.509 and CMS. In WG Last Call. Expires July 2026.,PKI/Certificate,Gov; Regulated industries; Finance,IETF LAMPS,FIPS 203;RFC 5280;RFC 8017,International,RSA/ECDH + ML-KEM,"L1,L3,L5",Hybrid certificates and CMS,OpenSSL; BoringSSL,Medium,Updated,PKI Certificate Management,yes,public/library/draft-ietf-lamps-pq-composite-kem-12.html,hybrid-crypto;pki-workshop,
draft-ietf-lamps-pq-composite-sigs-15,Composite ML-DSA for Use in X.509 PKI and CMS,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-sigs/,2023-03-02,2026-02-24,Internet-Draft (In IETF Last Call),Composite ML-DSA signatures combining RSA/ECDSA/Ed25519 with ML-DSA for hybrid PKI. Version 15 published Feb 2026 (still in IETF Last Call). Local cached copy is v14; live spec at datatracker URL.,PKI/Certificate,Gov; Regulated industries; Finance,IETF LAMPS,FIPS 186-5;FIPS 204;RFC 5280,International,RSA/ECDSA + ML-DSA,"L2,L3,L5",Hybrid certificate signatures,OpenSSL; BoringSSL,Medium,Updated,PKI Certificate Management,yes,public/library/draft-ietf-lamps-pq-composite-sigs-14.html,hybrid-crypto;pki-workshop;code-signing,
draft-ietf-lamps-cms-kyber-13,Use of ML-KEM in the Cryptographic Message Syntax (CMS),https://datatracker.ietf.org/doc/draft-ietf-lamps-cms-kyber/,2023-01-10,2025-09-23,RFC 9936 Pending (AUTH48),ML-KEM in CMS using KEMRecipientInfo from RFC 9629. Submitted to IESG and in RFC Editor Queue as RFC 9936 (AUTH48 stage).,Protocol,Secure Messaging; Document Encryption; Email,IETF LAMPS,FIPS 203;RFC 9629,International,Lattice-based,"L1,L3,L5",CMS PQ KEM encryption,OpenSSL CMS,High,Updated,Protocols,yes,public/library/draft-ietf-lamps-cms-kyber-13.html,email-signing,
draft-ietf-openpgp-pqc-17,Post-Quantum Cryptography in OpenPGP,https://datatracker.ietf.org/doc/draft-ietf-openpgp-pqc/,2023-07-01,2026-01-13,Internet-Draft (Submitted to IESG),PQC for OpenPGP: composite ML-KEM+ECC encryption composite ML-DSA+ECC signatures and standalone SLH-DSA. Submitted to IESG for publication as Proposed Standard. Expires July 2026.,Protocol,Email; File Encryption; Code Signing,IETF OpenPGP WG,FIPS 203;FIPS 204;FIPS 205;RFC 9580,International,Lattice+ECDH/EdDSA; Hash-based,"L3,L5",OpenPGP/GPG with PQC,GnuPG; OpenPGP.js; GopenPGP; Thunderbird (experimental),Medium,Updated,Protocols,yes,public/library/draft-ietf-openpgp-pqc-17.html,email-signing;code-signing,
draft-ietf-pquip-pqc-engineers-14,Post-Quantum Cryptography for Engineers,https://datatracker.ietf.org/doc/draft-ietf-pquip-pqc-engineers/,2023-07-06,2025-08-26,Internet-Draft,Practical guidance for engineers implementing PQC algorithms and protocols.,Guidance,All IT sectors,IETF PQUIP,FIPS 203;FIPS 204;FIPS 205,International,N/A,N/A,Migration preparation guidance,Engineering teams,Medium,Validated,General PQC Migration,yes,public/library/draft-ietf-pquip-pqc-engineers-14.html,pqc-101;quantum-threats;crypto-agility,FIPS 203/204/205;TLS/SSH/IKE
draft-ietf-pquip-hybrid-signature-spectrums-06,Hybrid signature spectrums,https://datatracker.ietf.org/doc/draft-ietf-pquip-hybrid-signature-spectrums/,2024-03-01,2025-01-15,Internet-Draft,Alternative approach for composing classic and PQ signature algorithms with different security properties.,Guidance,PKI; Government; High Security,IETF PQUIP,FIPS 186-5;FIPS 204,International,PQ/T Hybrid Signatures,N/A,Hybrid signature design patterns,Security architects,Medium,New,General PQC Migration,yes,public/library/draft-ietf-pquip-hybrid-signature-spectrums-06.html,hybrid-crypto,
draft-ietf-uta-pqc-app-00,Post-Quantum Cryptography Recommendations for TLS-based Applications,https://datatracker.ietf.org/doc/draft-ietf-uta-pqc-app/,2025-09-18,2025-09-18,Internet-Draft,Best practices for implementing quantum-ready usage profiles in TLS-based applications.,Guidance,Web; Mobile; Cloud; DNS,IETF UTA,FIPS 203;draft-ietf-tls-hybrid-design-16,International,N/A,N/A,Application-level PQC guidance for TLS,App developers,High,New,General PQC Migration,yes,public/library/draft-ietf-uta-pqc-app-00.html,tls-basics,
draft-kwiatkowski-pquip-pqc-migration-00,Guidance for migration to Post-Quantum Cryptography,https://datatracker.ietf.org/doc/draft-kwiatkowski-pquip-pqc-migration/,2025-07-20,2025-07-20,Internet-Draft,"Migration guidance covering challenges, anti-patterns, and best practices for PQC transition.",Guidance,Enterprise IT; Standards Bodies,IETF Individual Submission,FIPS 203;FIPS 204;FIPS 205;RFC 9794,International,N/A,N/A,Strategic migration guidance,CTOs; Security Architects,High,New,General PQC Migration,yes,public/library/draft-kwiatkowski-pquip-pqc-migration-00.html,crypto-agility,FIPS 203/204/205
draft-wang-ipsecme-kem-auth-ikev2-01,KEM based Authentication for IKEv2 with Post-quantum Security,https://datatracker.ietf.org/doc/draft-wang-ipsecme-kem-auth-ikev2/,2025-03-03,2025-07-07,Internet-Draft,Specifies KEM-based authentication for IKEv2 as more efficient alternative to ML-DSA.,Protocol,VPN; Enterprise; Government,IETF Individual Submission,FIPS 203;IETF RFC 7296;RFC 9593,International,Lattice-based KEM,"L1,L3,L5",IKEv2 authentication with KEMs,VPN implementations,Medium,New,Protocols,yes,public/library/draft-wang-ipsecme-kem-auth-ikev2-01.html,vpn-ssh-pqc,
ETSI TS 103 744,Quantum-Safe Hybrid Key Exchanges,https://www.etsi.org/deliver/etsi_ts/103700_103799/103744/01.02.01_60/ts_103744v010201p.pdf,2023-02-01,2025-03-01,Published Technical Specification,"Framework for hybrid ECDH + ML-KEM with standard key combiners (concatenation, HKDF).",Protocol,Telecom; Gov; Enterprise; IoT,ETSI QSC,FIPS 203,Europe; International,Lattice+ECDH,"L1,L3,L5",Hybrid KEM in TLS/SSH/VPN,Reference test vectors,High,Validated,Protocols,yes,public/library/ETSI_TS_103_744.pdf,tls-basics;hybrid-crypto;vpn-ssh-pqc;compliance-strategy,HKDF
ETSI TR 103 619,Migration Strategies and Recommendations for Quantum-Safe Schemes,https://www.etsi.org/deliver/etsi_tr/103600_103699/103619/01.01.01_60/tr_103619v010101p.pdf,2020-07-01,2020-07-01,Published Technical Report,Strategic guidance for transitioning to quantum-safe cryptography.,Guidance,Enterprise; Gov; Telecom,ETSI QSC,NIST IR 8545;NIST IR 8547,Europe; International,N/A,N/A,Migration planning,Migration teams,Medium,Validated,General PQC Migration,yes,public/library/ETSI_TR_103_619.pdf,crypto-agility;compliance-strategy;migration-program,
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,2022-09-01,2025-05-30,Policy/Advisory,"US government adoption requirements for ML-KEM-1024, ML-DSA-87, SLH-DSA, LMS/XMSS. Level 5 recommended.",Compliance/Policy,Government; Defense; NSS,NSA,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-208,USA,Various,Level 5 recommended,All federal/NSS systems,Government procurement,High,Validated,General PQC Migration,no-forbidden,,quantum-threats;pki-workshop;kms-pqc;hsm-pqc;crypto-agility;compliance-strategy;pqc-business-case;pqc-governance;pqc-risk-management;vendor-risk;pqc-101;iot-ot-pqc;code-signing;data-asset-sensitivity,FIPS 203/204/205
NSA CNSA 2.0 FAQ,CNSA 2.0 Frequently Asked Questions,https://media.defense.gov/2022/Sep/07/2003071836/-1/-1/0/CSI_CNSA_2.0_FAQ_.PDF,2022-09-01,2024-12-01,Policy/Advisory,"FAQ document with implementation timelines: 2025-2030 prefer, 2030-2033 exclusive, 2035 complete.",Compliance/Policy,Government; Defense,NSA,NSA CNSA 2.0,USA,N/A,N/A,Implementation timeline guidance,Government agencies,High,Updated,General PQC Migration,no-forbidden,,quantum-threats;crypto-agility;compliance-strategy;pqc-governance;migration-program;data-asset-sensitivity,CNSA 2.0 CSA
