reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,local_file,module_ids,misc_info,trusted_source_id,peer_reviewed,vetting_body,github_contribution_url,unresolved_reason
IEC 62443,IEC 62443: Industrial Automation and Control Systems Security,https://www.iec.ch/homepage,2010-01-01,2024-01-01,International Standard,"Multi-part standard series for OT/ICS/SCADA cybersecurity covering security levels, zones, conduits, and lifecycle requirements. Foundation for SCADA PQC migration planning.",Algorithm,Industrial; Critical Infrastructure; OT/ICS,IEC,,International,,,OT/ICS/SCADA security,OT security implementations,High,New,Government & Policy,no-forbidden,,energy-utilities-pqc;iot-ot-pqc,,iec,no,,,paywall — IEC
Czech-NUKIB-Crypto-Rec-2023,NUKIB Minimum Requirements for Cryptographic Algorithms — Post-Quantum Readiness,https://nukib.gov.cz/en/information-security/publications-and-standards/,2023-01-01,2024-01-01,Published,Czech cybersecurity agency NUKIB publishes cryptographic algorithm requirements including PQC guidance. Sets 2027 deadline for key establishment migration and recommends hybrid PQC approaches.,Compliance/Policy,Government & Defense; Technology; Finance & Banking,NUKIB Czech Republic,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Czech Republic; European Union,N/A,N/A,Czech government PQC migration requirements,Czech government agencies and regulated entities,High,Updated,Government & Policy,no-http-404,,compliance-strategy;migration-program;crypto-agility,ETSI;URL dead as of 2026-03-25,,no,,,http-404
UAE-CSC-Encryption-Policy,UAE Cybersecurity Council — National Encryption Policy and Executive Regulation,https://www.uaecsc.gov.ae/,2025-11-01,2025-11-01,Published,UAE Cybersecurity Council approves National Encryption Policy requiring government entities to create cryptographic asset inventories and PQC migration plans. First Gulf state with formal PQC requirements.,Regulation,Government & Defense; Technology; Finance & Banking; Critical Infrastructure,UAE Cybersecurity Council,NIST IR 8545;NIST IR 8547;UAE-DESC-PQC-Guideline,UAE; Middle East,N/A,N/A,UAE government-wide PQC migration mandate,UAE government entities,Critical,New,Government & Policy,no-homepage,,compliance-strategy;pqc-governance;migration-program;pqc-risk-management,,uae-csc,no,,,no public PDF; portal only
FIPS-207-HQC,FIPS 207: HQC-Based Key-Encapsulation Mechanism Standard (Pre-Draft),,2025-03-11,2025-03-11,Pre-Draft (In Development),"NIST's 5th PQC standard based on Hamming Quasi-Cyclic (HQC) code-based KEM. Selected March 2025 as backup to the lattice-based ML-KEM (FIPS 203). Draft expected 2026, final publication expected 2027. Document not yet available for download.",Algorithm,IT; Cryptography Research; Government,NIST,FIPS 203;NIST IR 8545,USA; Global,Code-based,"L1,L3,L5",Future KEM backup to ML-KEM,In development,Medium,New,KEM,no-missing-data,,crypto-agility;pqc-101;quantum-threats;research-quantum-impact,HQC; NIST PQC Round 4,,yes,NIST,,no URL — standard not yet published (~2026-2027)
AU-ACSC-Quantum-Tech-Primer-Communications-2026,Quantum Technology Primer - Communications,https://www.cyber.gov.au/sites/default/files/2026-03/Quantum%20technology%20primer%20-%20Communications.pdf,2026-03-01,2026-03-01,Published,"Australian Cyber Security Centre primer on quantum technology for the communications sector. Covers quantum threats, PQC migration priorities, and guidance for Australian telecom operators.",Research/Report,Telecom; Government; Critical Infrastructure,Australian Cyber Security Centre (ACSC),FIPS 203;FIPS 204;FIPS 205,Australia; APAC,Hash-based; Lattice-based,"L1,L3,L5",Telecom network security,Telecom vendors; Australian government,High,New,Migration Guidance,no-timeout,,quantum-threats;standards-bodies;pqc-101,quantum primer; ACSC; Australia; communications sector; PQC migration; telecom,acsc,partial,ACSC,,not yet published
MDPI-2018-NTRU-SingleTrace-SCA,Single Trace Side-Channel Analysis on NTRU Implementation,https://doi.org/10.3390/app8112014,2018-10-29,2018-10-29,Published,"First single-trace side-channel attack on NTRU. Recovers the secret key from a single power trace, improving upon earlier differential power analysis attacks on NTRU implementations.",Research Paper,Government;Defense;Telecom,Applied Sciences (MDPI),,Global,Lattice-based,"L1,L3,L5",NTRU implementation security,Hardware and embedded systems,Low,New,Industry & Research,no-forbidden,,research-quantum-impact;pqc-testing-validation,NTRU;single trace;power analysis;differential power analysis;implementation attacks,,yes,MDPI,,MDPI paywall redirect
ref-joseph-transitioning,Transitioning organizations to post-quantum cryptography,https://www.nature.com/articles/s41586-022-04623-2.pdf,2022-01-01,2022-01-01,Published,,Research/Report,,D. Joseph et al.,,,,,,,,New,Industry & Research,no-blocked,,research-quantum-impact;migration-program,,,,,,Nature paywall; acquire separately
ref-costa-pqfif,Post-Quantum Financial Infrastructure Framework (PQFIF),https://www.sec.gov/comments/pqfif.pdf,2025-01-01,2025-01-01,Published,,Research/Report,,D. B. C. Costa,,,,,,,,New,Industry & Research,no-http-404,,research-quantum-impact;emv-payment-pqc,,,,,,SEC file link changed; http-404
CAB-Forum-SC-081v3,CA/B Forum Ballot SC-081v3: TLS Certificate Validity Reduction,https://cabforum.org/2025/03/13/ballot-sc-081v3-align-validity-and-data-reuse-schedules/,2025-03-13,2025-04-15,Adopted,"Adopted CA/B Forum Server Certificate ballot reducing maximum TLS certificate validity: 200 days (March 2026), 100 days (March 2027), 47 days (March 2029). Domain validation reuse capped at 10 days at final stage. The primary CLM forcing function for CPM programs.",Compliance/Guidance,All,CA/B Forum,,Global,,,TLS certificate lifecycle; CLM automation,ACME; EST; CMP; CLM platforms,High,New,Industry Governance,no-http-404,,crypto-mgmt-modernization;pki-workshop;hybrid-crypto,CA/B Forum SC-081v3,cabforum,yes,CA/B Forum,,http-404; ballot page removed
BIKE-Round4-Spec-2022,BIKE: Bit Flipping Key Encapsulation — Round 4 Specification,https://bikesuite.org/files/v5.1/BIKE_Spec.2022.10.10.1.pdf,2022-10-10,2022-10-10,NIST Round 4 Submission,"Specification of BIKE (Bit Flipping Key Encapsulation), a code-based KEM advanced to NIST Round 4 alongside Classic McEliece and HQC. Defines parameter sets BIKE-1, BIKE-3, BIKE-5 (NIST Levels 1/3/5).",Algorithm Specification,IT; Government; Telecommunications; Critical Infrastructure,"BIKE Team (Aragon, Barreto, Bettaieb, Bidoux, Blazy, Deneuville, Gaborit, Gueron, Guneysu, Misoczki, Persichetti, Sendrier, Tillich, Vasseur, Zemor)",,Global,BIKE; Code-based,"L1, L3, L5",TLS; Key encapsulation,Open Quantum Safe (liboqs),Medium,New,Algorithm Specifications,yes,,pqc-101;quantum-threats;research-quantum-impact,"Round 4 candidate (with Classic McEliece, HQC); not selected by NIST in March 2025 announcement (HQC chosen as 5th algorithm)",nist-csrc,yes,NIST,,bikesuite.org network error
ETSI-GS-QKD-014-V2.1.1,Quantum Key Distribution (QKD); Protocol and Data Format of REST-based Key Delivery API (ETSI GS QKD 014),https://www.etsi.org/deliver/etsi_gs/QKD/001_099/014/02.01.01_60/gs_QKD014v020101p.pdf,2024-02-01,2024-02-01,Published (ETSI Group Specification),ETSI GS QKD 014 v2.1.1 standardises the REST-based Key Delivery API for Quantum Key Distribution networks. QKD is a separate quantum-safe technology from PQC — it derives keys from quantum-physical principles rather than computational hardness — but is often discussed alongside PQC as a complementary key-establishment option for ultra-high-security and government use cases.,Industry Standard,Government; Defense; Telecommunications; Finance,ETSI Industry Specification Group on Quantum Key Distribution (ETSI ISG QKD),,ETSI; Global,Information-theoretic (non-PQC),Information-theoretic security (key establishment only — does not replace authentication or signatures),Key delivery REST API; KME-SAE interface,"Multiple QKD vendors (Toshiba, ID Quantique, Qubitekk, etc.)",Low (specialist deployment),New,Standards,yes,,qkd;research-quantum-impact;quantum-threats,"QKD complements PQC for high-assurance key exchange but does NOT replace PQC for signatures, authentication, or general-purpose deployment. PQC remains the broader migration target per NSA CNSA 2.0.",etsi,yes,ETSI,,version does not exist; use V1.1.1
