software_name,product_id,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link,deprecated_at,deprecated_reason,pqc_cert_flag,cert_link_quality,data_quality_notes,date_stamp
AMD Versal Adaptive SoC,amd-versal-adaptive-soc,FIPS 140-3,5230,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Strix Halo"")",No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-04-08,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5230,2026-06-06,not in regen,,,,2026-07-09
AMD Versal Adaptive SoC,amd-versal-adaptive-soc,FIPS 140-3,5237,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Strix 1"" and ""Krackan 1"")",No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-04-10,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5237,2026-06-06,not in regen,,,,2026-07-09
ASI-HSM AHX5 KNET Cryptographic Module,ASI-HSM-AHX5-KNET-Cryptographic-Module,ACVP,A6066,Kryptus Seguranca da Informacao S.A.,ASI-HSM AHX5 KNET Cryptographic Module,"ML-DSA, ML-KEM",,Active,2024-11-04,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18785,,,,,,
ASI-HSM AHX5 KNET Cryptographic Module,ASI-HSM-AHX5-KNET-Cryptographic-Module,FIPS 140-3,5282,Kryptus,ASI-HSM AHX5 kNET Cryptographic Module,"ML-DSA, ML-KEM",FIPS 140-3 L3,Active,2026-05-20,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5282,,,,,,
ASUS Post-Quantum Cryptography Module,asus-post-quantum-cryptography-module,ACVP,A6828,ASUSTeK Computer Inc.,Post-Quantum Cryptography Module,ML-DSA,,Active,2025-04-22,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19565,,,,,,
ASUS Post-Quantum Cryptography Module,asus-post-quantum-cryptography-module,ACVP,A8672,ASUSTeK Computer Inc.,Post-Quantum Cryptography Module,"ML-KEM, SLH-DSA",,deprecated,2026-06-26,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=21553,2026-07-13,not in regen,pqc_cert_present,url_authoritative,"Added 2026-07-12 (product-cert review): vendor 'ASUSTeK Computer Inc.' is ASUS's real corporate entity (independently confirmed, not just a name-similarity guess). Not caught by the automated fallback pass -- its own real cert product name is a bare generic descriptor ('Post-Quantum Cryptography Module') with no distinguishing content, which the fallback's relevance gate correctly declines to trust on vendor identity alone (see match_certifications.py's _has_real_content docstring).",2026-07-12
ASUSTOR Post-Quantum Cryptography Module,asustor-post-quantum-cryptography-module,ACVP,A6882,ASUSTOR Inc.,Post-Quantum Cryptography Module,ML-DSA,,Active,2025-05-05,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19625,,,,,,
AWS Application Load Balancer (ALB),aws-application-load-balancer-alb,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,deprecated,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997,2026-06-06,not in regen,,,,2026-07-09
AWS Application Load Balancer (ALB),aws-application-load-balancer-alb,ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,deprecated,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616,2026-06-06,not in regen,,,,2026-07-09
AWS Application Load Balancer (ALB),aws-application-load-balancer-alb,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,deprecated,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709,2026-06-06,not in regen,,,,2026-07-09
AWS Application Load Balancer (ALB),aws-application-load-balancer-alb,FIPS 140-3,4490,"Amazon Web Services, Inc.",AWS OpenSSL FIPS Provider,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2023-04-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4490,2026-06-04,not in regen,,,,2026-07-09
AWS Application Load Balancer (ALB),aws-application-load-balancer-alb,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146,2026-06-04,not in regen,,,,2026-07-09
AWS Application Load Balancer (ALB),aws-application-load-balancer-alb,FIPS 140-3,5256,"Amazon Web Services, Inc.",AWS Link Encryption Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-05-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5256,2026-06-06,not in regen,,,,2026-07-09
AWS Application Load Balancer (ALB),aws-application-load-balancer-alb,FIPS 140-3,5298,"Amazon Web Services, Inc",AWS-LC 3 Cryptographic Module (dynamic),ML-KEM,FIPS 140-3 L1,deprecated,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5298,2026-06-06,not in regen,,,,2026-07-09
AWS Application Load Balancer (ALB),aws-application-load-balancer-alb,FIPS 140-3,5310,Amazon Web Services,AWS Nitro Card Security Engine SSMAE,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5310,2026-06-06,not in regen,,,,2026-07-09
AWS CloudHSM,aws-cloudhsm,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,deprecated,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997,2026-06-06,not in regen,,,,2026-07-09
AWS CloudHSM,aws-cloudhsm,ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,deprecated,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616,2026-06-06,not in regen,,,,2026-07-09
AWS CloudHSM,aws-cloudhsm,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,deprecated,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709,2026-06-06,not in regen,,,,2026-07-09
AWS CloudHSM,aws-cloudhsm,FIPS 140-3,4490,"Amazon Web Services, Inc.",AWS OpenSSL FIPS Provider,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2023-04-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4490,2026-06-04,not in regen,,,,2026-07-09
AWS CloudHSM,aws-cloudhsm,FIPS 140-3,4884,"Amazon Web Services, Inc.",AWS Key Management Service HSM,No PQC Mechanisms Detected,FIPS 140-3 L3,deprecated,2024-11-18,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4884,2026-06-06,not in regen,,,,2026-07-09
AWS CloudHSM,aws-cloudhsm,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146,2026-06-06,not in regen,,,,2026-07-09
AWS CloudHSM,aws-cloudhsm,FIPS 140-3,5256,"Amazon Web Services, Inc.",AWS Link Encryption Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-05-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5256,2026-06-06,not in regen,,,,2026-07-09
AWS CloudHSM,aws-cloudhsm,FIPS 140-3,5298,"Amazon Web Services, Inc",AWS-LC 3 Cryptographic Module (dynamic),ML-KEM,FIPS 140-3 L1,deprecated,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5298,2026-06-06,not in regen,,,,2026-07-09
AWS CloudHSM,aws-cloudhsm,FIPS 140-3,5310,Amazon Web Services,AWS Nitro Card Security Engine SSMAE,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5310,2026-06-06,not in regen,,,,2026-07-09
AWS Identity and Access Management (IAM),aws-identity-and-access-management-iam,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,deprecated,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997,2026-06-06,not in regen,,,,2026-07-09
AWS Identity and Access Management (IAM),aws-identity-and-access-management-iam,ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,deprecated,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616,2026-08-09,not in regen,,,,
AWS Identity and Access Management (IAM),aws-identity-and-access-management-iam,ACVP,A7365,AWS,AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,Active,2025-09-08,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20140,,,,,,
AWS Identity and Access Management (IAM),aws-identity-and-access-management-iam,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,deprecated,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709,2026-06-06,not in regen,,,,2026-07-09
AWS Identity and Access Management (IAM),aws-identity-and-access-management-iam,ACVP,A8804,AWS,AWS Key Management Service Cryptographic Algorithm Library,"ML-DSA, ML-KEM",,Active,2026-07-24,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=21658,,,,,,
AWS Identity and Access Management (IAM),aws-identity-and-access-management-iam,FIPS 140-3,4490,"Amazon Web Services, Inc.",AWS OpenSSL FIPS Provider,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2023-04-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4490,2026-06-04,not in regen,,,,2026-07-09
AWS Identity and Access Management (IAM),aws-identity-and-access-management-iam,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146,2026-06-04,not in regen,,,,2026-07-09
AWS Identity and Access Management (IAM),aws-identity-and-access-management-iam,FIPS 140-3,5256,"Amazon Web Services, Inc.",AWS Link Encryption Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-05-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5256,2026-06-06,not in regen,,,,2026-07-09
AWS Identity and Access Management (IAM),aws-identity-and-access-management-iam,FIPS 140-3,5298,"Amazon Web Services, Inc",AWS-LC 3 Cryptographic Module (dynamic),ML-KEM,FIPS 140-3 L1,deprecated,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5298,2026-06-06,not in regen,,,,2026-07-09
AWS Identity and Access Management (IAM),aws-identity-and-access-management-iam,FIPS 140-3,5310,Amazon Web Services,AWS Nitro Card Security Engine SSMAE,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5310,2026-06-06,not in regen,,,,2026-07-09
AWS KMS,aws-kms,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,deprecated,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997,2026-06-06,not in regen,,,,2026-07-09
AWS KMS,aws-kms,ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,deprecated,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616,2026-06-06,not in regen,,,,2026-07-09
AWS KMS,aws-kms,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,deprecated,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709,2026-06-06,not in regen,,,,2026-07-09
AWS KMS,aws-kms,FIPS 140-3,4490,"Amazon Web Services, Inc.",AWS OpenSSL FIPS Provider,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2023-04-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4490,2026-06-04,not in regen,,,,2026-07-09
AWS KMS,aws-kms,FIPS 140-3,4884,"Amazon Web Services, Inc.",AWS Key Management Service HSM,No PQC Mechanisms Detected,FIPS 140-3 L3,deprecated,2024-11-18,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4884,2026-06-06,not in regen,,,,2026-07-09
AWS KMS,aws-kms,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146,2026-06-06,not in regen,,,,2026-07-09
AWS KMS,aws-kms,FIPS 140-3,5256,"Amazon Web Services, Inc.",AWS Link Encryption Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-05-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5256,2026-06-06,not in regen,,,,2026-07-09
AWS KMS,aws-kms,FIPS 140-3,5298,"Amazon Web Services, Inc",AWS-LC 3 Cryptographic Module (dynamic),ML-KEM,FIPS 140-3 L1,deprecated,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5298,2026-06-06,not in regen,,,,2026-07-09
AWS KMS,aws-kms,FIPS 140-3,5310,Amazon Web Services,AWS Nitro Card Security Engine SSMAE,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5310,2026-06-06,not in regen,,,,2026-07-09
AWS KMS (Cloud Gateway),aws-kms-cloud-gateway,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,deprecated,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997,2026-06-06,not in regen,,,,2026-07-09
AWS KMS (Cloud Gateway),aws-kms-cloud-gateway,ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,deprecated,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616,2026-06-06,not in regen,,,,2026-07-09
AWS KMS (Cloud Gateway),aws-kms-cloud-gateway,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,deprecated,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709,2026-06-06,not in regen,,,,2026-07-09
AWS KMS (Cloud Gateway),aws-kms-cloud-gateway,FIPS 140-3,4490,"Amazon Web Services, Inc.",AWS OpenSSL FIPS Provider,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2023-04-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4490,2026-06-04,not in regen,,,,2026-07-09
AWS KMS (Cloud Gateway),aws-kms-cloud-gateway,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146,2026-06-04,not in regen,,,,2026-07-09
AWS KMS (Cloud Gateway),aws-kms-cloud-gateway,FIPS 140-3,5256,"Amazon Web Services, Inc.",AWS Link Encryption Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-05-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5256,2026-06-06,not in regen,,,,2026-07-09
AWS KMS (Cloud Gateway),aws-kms-cloud-gateway,FIPS 140-3,5298,"Amazon Web Services, Inc",AWS-LC 3 Cryptographic Module (dynamic),ML-KEM,FIPS 140-3 L1,deprecated,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5298,2026-06-06,not in regen,,,,2026-07-09
AWS KMS (Cloud Gateway),aws-kms-cloud-gateway,FIPS 140-3,5310,Amazon Web Services,AWS Nitro Card Security Engine SSMAE,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5310,2026-06-06,not in regen,,,,2026-07-09
AWS Key Management Service Cryptographic Algorithm Library,AWS-Key-Management-Service-Cryptographic,ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,deprecated,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616,2026-07-30,not in regen,,,,
AWS Key Management Service Cryptographic Algorithm Library,AWS-Key-Management-Service-Cryptographic,ACVP,A7365,AWS,AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,Active,2025-09-08,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20140,,,,,,
AWS Key Management Service Cryptographic Algorithm Library,AWS-Key-Management-Service-Cryptographic,ACVP,A8804,AWS,AWS Key Management Service Cryptographic Algorithm Library,"ML-DSA, ML-KEM",,Active,2026-07-24,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=21658,,,,,,
AWS s2n-tls,aws-s2n-tls,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,deprecated,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997,2026-06-06,not in regen,,,,2026-07-09
AWS s2n-tls,aws-s2n-tls,ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,deprecated,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616,2026-06-06,not in regen,,,,2026-07-09
AWS s2n-tls,aws-s2n-tls,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,deprecated,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709,2026-07-13,not in regen,pqc_cert_present,url_authoritative,Re-activated 2026-07-12 (product-cert review): was deprecated 2026-06-06 'not in regen' along with a broader set of AWS-vendor matches later judged too imprecise by the matcher. This specific match re-verified independently — s2n-tls's own public documentation confirms AWS-LC as its crypto backend — and confirmed ML-DSA+ML-KEM coverage on the real NIST ACVP record (product=20709) before re-activating. The other deprecated AWS-vendor matches in this file were NOT re-activated (insufficient independent justification).,2026-07-12
AWS s2n-tls,aws-s2n-tls,FIPS 140-3,4490,"Amazon Web Services, Inc.",AWS OpenSSL FIPS Provider,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2023-04-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4490,2026-06-04,not in regen,,,,2026-07-09
AWS s2n-tls,aws-s2n-tls,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146,2026-06-04,not in regen,,,,2026-07-09
AWS s2n-tls,aws-s2n-tls,FIPS 140-3,5256,"Amazon Web Services, Inc.",AWS Link Encryption Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-05-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5256,2026-06-06,not in regen,,,,2026-07-09
AWS s2n-tls,aws-s2n-tls,FIPS 140-3,5298,"Amazon Web Services, Inc",AWS-LC 3 Cryptographic Module (dynamic),ML-KEM,FIPS 140-3 L1,deprecated,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5298,2026-06-06,not in regen,,,,2026-07-09
AWS s2n-tls,aws-s2n-tls,FIPS 140-3,5310,Amazon Web Services,AWS Nitro Card Security Engine SSMAE,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5310,2026-06-06,not in regen,,,,2026-07-09
AWS-LC,aws-lc,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997,,,,,,
AWS-LC,aws-lc,ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,deprecated,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616,2026-06-06,not in regen,,,,2026-07-09
AWS-LC,aws-lc,ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,Active,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709,,,,,,
AWS-LC,aws-lc,FIPS 140-3,4490,"Amazon Web Services, Inc.",AWS OpenSSL FIPS Provider,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2023-04-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4490,2026-06-04,not in regen,,,,2026-07-09
AWS-LC,aws-lc,FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146,2026-06-04,not in regen,,,,2026-07-09
AWS-LC,aws-lc,FIPS 140-3,5256,"Amazon Web Services, Inc.",AWS Link Encryption Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-05-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5256,2026-06-06,not in regen,,,,2026-07-09
AWS-LC,aws-lc,FIPS 140-3,5298,"Amazon Web Services, Inc",AWS-LC 3 Cryptographic Module (dynamic),ML-KEM,FIPS 140-3 L1,deprecated,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5298,2026-06-06,not in regen,,,,2026-07-09
AWS-LC,aws-lc,FIPS 140-3,5310,Amazon Web Services,AWS Nitro Card Security Engine SSMAE,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5310,2026-06-06,not in regen,,,,2026-07-09
AWS-LC,aws-lc,FIPS 140-3,5314,"Amazon Web Services, Inc",AWS-LC 3 Cryptographic Module (static),ML-KEM,FIPS 140-3 L1,Active,2026-06-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5314,,,,,,
AWS-LC,aws-lc,FIPS 140-3,5429,Amazon Web Services Inc.,AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L1,Active,2026-07-20,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5429,,,,,,
