software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id
AWS KMS (Cloud Gateway),CSC-028,Cloud Encryption Gateways,Cloud,Limited (Hybrid PQC TLS),KMS API endpoints support hybrid PQC TLS key exchange (ECDH + ML-KEM) for data in transit protection. Powered by AWS-LC with FIPS 140-3 validated ML-KEM. Native PQC key types on roadmap.,Commercial,Commercial (AWS),Current,2025,Yes (FIPS 140-3 L3 #4884),High,AWS Cloud,All industries,https://aws.amazon.com/kms/,,Managed key management with hybrid PQC TLS for API calls. Native PQC key types on roadmap.,Trusted Vendor,Verified,2026-03-25,"migrate,launch,rampup",crypto-dev-apis;kms-pqc;migration-program;secrets-management-pqc;web-gateway-pqc,VND-001
Google Cloud KMS (Cloud Gateway),CSC-028,Cloud Encryption Gateways,Cloud,Yes (ML-KEM Preview / ML-DSA Preview),Cloud encryption gateway with PQC key types. ML-KEM-768/1024 and X-Wing (Preview) for key encapsulation. ML-DSA-65 and SLH-DSA (Preview) for signing. Powered by BoringCrypto and Tink. Cloud HSM uses Marvell LiquidSecurity.,Commercial,Commercial (Google),Current,2025-10,Yes (FIPS 140-3 L1 BoringCrypto #5104; L3 Cloud HSM #4700),High,Google Cloud,All industries,https://cloud.google.com/kms,,Cloud encryption gateway with industry-leading PQC key type support for encapsulation and signing.,Trusted Vendor,Verified,2026-03-25,"migrate,launch,rampup",kms-pqc;secrets-management-pqc;web-gateway-pqc,VND-018
Fortanix Data Security Manager,CSC-028,Cloud Encryption Gateways,Cloud,Planned,Multicloud key management with Confidential Computing (Intel SGX). PQC algorithm support on product roadmap but not confirmed as shipped.,Commercial,Commercial,Current,2025,Yes (FIPS 140-2 L3 #4139; sunset 2026-09-21),High,Multicloud On-premises,"Finance, Healthcare, Government",https://www.fortanix.com/,,Multicloud encryption gateway with Confidential Computing. PQC on roadmap.,Trusted Vendor,Partially Verified,2026-03-25,"migrate,launch,rampup",confidential-computing;database-encryption-pqc;healthcare-pqc;hsm-pqc;kms-pqc;migration-program;secrets-management-pqc,VND-015
Thales CipherTrust Manager,CSC-028,Cloud Encryption Gateways,Cloud,Yes (ML-KEM ML-DSA via Luna HSM),Centralized key management and encryption gateway. ML-KEM TLS on Web UI (tech preview v2.20.0+) and SSH interface (tech preview v2.21.0+). Quantum-resilient ciphers for Google Workspace CSE connections (GA v2.22.0+). Integrates with Thales Luna HSMs (firmware 7.9+) for ML-KEM and ML-DSA. Transparent encryption and tokenization.,Commercial,Commercial,2.22.1,2026-02,Yes (FIPS 140-2 L2),High,Multicloud On-premises,"Finance, Healthcare, Government, Defense",https://cpl.thalesgroup.com/encryption/ciphertrust-manager,,Enterprise encryption gateway with PQC via Luna HSM. ML-KEM TLS (tech preview) and quantum-resilient Google Workspace CSE (GA). Centralized multicloud key management.,Trusted Vendor,Verified,2026-02-24,"migrate,launch,rampup",aerospace-pqc;database-encryption-pqc;healthcare-pqc;hsm-pqc;kms-pqc,VND-041
Futurex Cloud,CSC-028,Cloud Encryption Gateways,Cloud,Yes (ML-KEM ML-DSA PCI Validated),Cloud-hosted encryption backed by CryptoHub HSMs with PCI HSM validated PQC. Supports ML-DSA and ML-KEM. KMES Series 3 VirtuCrypt cloud HSM.,Commercial,Commercial,Current,2025,Yes (PCI HSM),High,Cloud,Finance Enterprise,https://www.futurex.com/,,Cloud encryption gateway backed by PCI HSM validated PQC hardware.,Trusted Vendor,Verified,2026-02-16,"migrate,launch,rampup",hsm-pqc;kms-pqc,VND-017
Nginx,CSC-038,Application Servers,Application,Yes (via OpenSSL/BoringSSL; ML-KEM),Supports quantum-safe TLS via underlying OpenSSL 3.2+ or BoringSSL with ML-KEM hybrid key exchange functionality.,Open Source,2-clause BSD,1.28.x (stable) / 1.29.x (mainline),2025-12,No,Critical,Linux Windows,All industries,https://nginx.org,https://github.com/nginx/nginx,High-performance web server and reverse proxy. Relies on OS-level crypto libraries for PQC.,Open Source Foundation,Verified,2026-02-21,"migrate,launch",tls-basics;web-gateway-pqc,VND-014
Apache HTTP Server,CSC-038,Application Servers,Application,Yes (via OpenSSL; ML-KEM),mod_ssl supports quantum-safe TLS 1.3 when compiled against OpenSSL version 3.2 or newer with ML-KEM support.,Open Source,Apache-2.0,2.4.60+,2025-11,No,High,Linux Windows macOS,All industries,https://httpd.apache.org,https://github.com/apache/httpd,Widely-used web server. PQC dependent on underlying mod_ssl and OpenSSL versions.,Open Source Foundation,Verified,2026-02-21,"migrate,launch",crypto-dev-apis;tls-basics,VND-046
Envoy Proxy,CSC-038,Application Servers,Application,Yes (via BoringSSL; ML-KEM),Native support for post-quantum TLS key exchanges (X25519MLKEM768 ML-KEM hybrid) via its BoringSSL dependency. Used extensively in service meshes.,Open Source,Apache-2.0,1.37+,2026-01,Yes (BoringCrypto),Critical,Linux Kubernetes,Cloud Native Enterprise,https://www.envoyproxy.io,https://github.com/envoyproxy/envoy,Cloud-native high-performance edge/middle/service proxy. Out-of-the-box PQC TLS support.,Open Source Foundation,Verified,2026-02-21,"migrate,launch",crypto-agility;tls-basics;web-gateway-pqc,VND-072
Node.js,CSC-038,Application Servers,Application,No (Awaiting OpenSSL upgrade),Current LTS versions use OpenSSL 3.3 which lacks native ML-KEM/ML-DSA. Future major releases will bundle OpenSSL 3.5+ to enable PQC support in the crypto module.,Open Source,MIT,22.x LTS,2024-10,No,High,Cross-platform,All industries,https://nodejs.org,https://github.com/nodejs/node,JavaScript runtime built on Chrome V8. PQC support blocked pending OpenSSL dependency update in core.,Open Source Foundation,Verified,2026-03-25,"migrate,launch",crypto-dev-apis;tls-basics,VND-199
F5 BIG-IP,CSC-033,Network Security Software,Network,Yes (ML-KEM TLS Hybrid),Enterprise TLS termination and load balancing. BIG-IP 17.5+ and BIG-IP Next 20.3+ support hybrid PQC (X25519MLKEM768) for client-side and server-side connections.,Commercial,Commercial,17.5.x,2025,Yes (FIPS 140-3 L1 #4895),Critical,Hardware Virtual Edition Cloud,Enterprise Government Finance,https://www.f5.com,,Enterprise application delivery controller. Production support for ML-KEM hybrid key exchange to protect data in transit.,Trusted Vendor,Verified,2026-03-25,"test,migrate",network-security-pqc;vpn-ssh-pqc;web-gateway-pqc,VND-014
HAProxy,CSC-038,Application Servers,Application,Yes (via OpenSSL/liboqs; ML-KEM),High-performance load balancer and reverse proxy. Can be compiled with OpenSSL 3.5+ or liboqs to support ML-KEM hybrid TLS connections (X25519MLKEM768). Critical for offloading PQC from legacy applications via proxy architectures.,Open Source,GPLv2/Commercial,3.1.x,2025,No,Critical,Linux Windows,All industries,https://www.haproxy.org,https://github.com/haproxy/haproxy,Open source load balancer and reverse proxy. PQC available via underlying crypto libraries.,Open Source Foundation,Verified,2026-02-21,"migrate,launch",crypto-dev-apis;tls-basics;web-gateway-pqc,VND-197
Okta Integration Network,CSC-015,API Security and JWT Libraries,Application,Planned,Enterprise identity provider using SAML and OIDC. PQC token signing is blocked awaiting IETF JOSE standards for PQC algorithms. TLS transport layer agility via cloud endpoints.,Commercial,Commercial (SaaS),Current,2026,Yes (FedRAMP),Critical,Cloud SaaS,All industries,https://www.okta.com,,Leading enterprise IAM. PQC token signatures awaiting IETF standard finalization.,Trusted Vendor,Verified,2026-02-21,"migrate,launch",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc,VND-060
Kong API Gateway,CSC-015,API Security and JWT Libraries,Application,Planned (via OpenSSL 3.5+),Microservice API gateway built on NGINX/OpenSSL. PQC TLS transport achievable via NGINX compiled with OpenSSL 3.5+ (ML-KEM hybrid support). Kong JWT plugin validates tokens using classical ECDSA/RSA. PQC JWT signing blocked pending IETF draft-ietf-jose-pqc-algorithms finalization.,Open Source,Apache-2.0/Commercial,3.9.x,2025-06,No,Critical,Linux Kubernetes Cloud,All industries,https://konghq.com,https://github.com/Kong/kong,API gateway built on NGINX. PQC mTLS available via underlying crypto library updates.,Open Source Foundation,Verified,2026-02-21,"migrate,launch",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc;web-gateway-pqc,VND-176
AWS Application Load Balancer (ALB),CSC-028,Cloud Encryption Gateways,Cloud,Yes (Hybrid ML-KEM TLS),Managed load balancing service. AWS rolled out hybrid ML-KEM TLS support to ALB and NLB endpoints enabling enterprises to achieve quantum-safe data-in-transit without modifying application code.,Commercial,Commercial (AWS),Current,2025,Yes (AWS-LC FIPS 140-3),Critical,AWS Cloud,All industries,https://aws.amazon.com/elasticloadbalancing/application-load-balancer,,Managed cloud load balancer providing instant PQC TLS transition for enterprise workflows.,Trusted Vendor,Verified,2026-02-21,"migrate,launch,rampup",tls-basics;web-gateway-pqc,VND-001
Cloudflare Edge Network,CSC-028,Cloud Encryption Gateways,Cloud,Yes (X25519MLKEM768 enabled by default; ML-KEM),Global content delivery and security network. Terminating PQC TLS (ML-KEM) by default for millions of web properties protecting against HNDL attacks. Powered by internal CIRCL and BoringSSL deployments.,Commercial,Commercial,Current,2025,Yes (Edge platform),Critical,Cloud Edge,All industries,https://www.cloudflare.com/,,Edge network pioneer deploying PQC TLS at internet scale. ML-KEM active by default.,Trusted Vendor,Verified,2026-02-21,"migrate,launch,rampup",tls-basics;web-gateway-pqc,VND-057
JFrog Artifactory,CSC-040,CI/CD & Artifact Management,Application,Planned,Universal artifact repository manager. Relies on external KMS and signing tools for artifact signatures. PQC support for artifact verification depends on ecosystem adoption of ML-DSA signatures.,Commercial,Commercial,Current,2026,Yes (FIPS mode),Critical,Cloud On-Premise,All industries,https://jfrog.com/artifactory/,,Artifact manager crucial for software supply chain security. PQC signing verification planned.,Trusted Vendor,Partially Verified,2026-03-25,migrate,code-signing;platform-eng-pqc,VND-174
Sonatype Nexus,CSC-040,CI/CD & Artifact Management,Application,Planned,Software component registry and repository manager. Requires PQC upgrades to underlying Java/OS environment for verifying ML-DSA signed SBOMs and artifacts.,Commercial,Commercial,Current,2026,No,High,Cloud On-Premise,All industries,https://www.sonatype.com/products/nexus-repository,,Component registry. PQC verification depends on broader ecosystem adoption.,Trusted Vendor,Partially Verified,2026-03-25,migrate,code-signing;platform-eng-pqc,VND-182
CyberArk Conjur,CSC-053,Secrets Management,Security Stack,Planned,Secrets management solution. Relies on standard cryptographic algorithms like AES and RSA. PQC integration into core secrets features is planned.,Commercial,Commercial,Current,2026,Yes (FIPS mode),High,Linux Cloud,Enterprise,https://www.cyberark.com/,,Enterprise secrets manager. PQC adoption awaits broader standardization.,Trusted Vendor,Partially Verified,2026-03-25,"migrate,launch,rampup",iam-pqc;kms-pqc;secrets-management-pqc,VND-162
Keyfactor Command,CSC-041,Certificate Lifecycle Management,Security Stack,Yes (ML-DSA; SLH-DSA),Full certificate lifecycle automation supporting hybrid PQC certificates (classical + ML-DSA or ML-KEM). Crypto-agility workflows enable bulk re-issuance of certificates with post-quantum algorithms. Integrates with Keyfactor EJBCA for PQC CA issuance.,Commercial,Commercial,25.x,2025,Yes (FIPS 140-2),Critical,Cloud On-premises Windows Linux,Finance Healthcare Government Enterprise,https://www.keyfactor.com/products/command/,,Enterprise CLM platform with native PQC hybrid certificate issuance and crypto-agility workflows for mass migration.,Trusted Vendor,Verified,2026-03-25,"assess,migrate",arch-quantum-impact;compliance-strategy;healthcare-pqc;kms-pqc;merkle-tree-certs;migration-program;ops-quantum-impact;pki-workshop;pqc-governance;vendor-risk,VND-024
Venafi TLS Protect,CSC-041,Certificate Lifecycle Management,Security Stack,Yes (Experimental ML-DSA SLH-DSA),"Machine Identity Management platform supporting experimental issuance and lifecycle management of PQC certificates (ML-DSA, SLH-DSA). Enables discovery and inventory of classical certificates for PQC migration planning. TLS Protect Cloud includes quantum-readiness dashboards.",Commercial,Commercial,25.x,2025,No,Critical,Cloud SaaS Windows Linux,Finance Healthcare Government Enterprise,https://venafi.com/solutions/post-quantum-cryptography/,,Machine identity management with PQC certificate lifecycle support. Provides quantum-readiness discovery and mass migration workflows.,Trusted Vendor,Verified,2026-03-25,"assess,migrate",arch-quantum-impact;compliance-strategy;healthcare-pqc;merkle-tree-certs;migration-program;ops-quantum-impact;pki-workshop;pqc-business-case;vendor-risk,VND-059
AppViewX CERT+,CSC-041,Certificate Lifecycle Management,Security Stack,Planned,"Automated certificate lifecycle management platform. PQC certificate issuance planned via integration with DigiCert, Entrust, and Sectigo CAs supporting ML-DSA. Crypto-agility engine targets automated bulk migration from RSA/ECDSA to PQC certificates.",Commercial,Commercial,Current,2025,No,High,Cloud SaaS On-premises,Finance Healthcare Telecom Enterprise,https://www.appviewx.com/post-quantum-readiness/,,Automated CLM with PQC roadmap through CA partner integrations. Targets bulk certificate migration workflows.,Trusted Vendor,Partially Verified,2026-03-25,"assess,migrate",5g-security;arch-quantum-impact;healthcare-pqc;merkle-tree-certs;migration-program;ops-quantum-impact;pki-workshop,VND-167
Okta Workforce Identity,CSC-042,Identity & Access Management (IAM),Security Stack,Planned,Enterprise IAM and SSO platform. PQC-protected TLS transport in progress via underlying cloud infrastructure. OIDC token signatures (JOSE/JWT) awaiting IETF PQC algorithm standardization (draft-ietf-cose-dilithium). Okta has published quantum-safe roadmap for authentication protocols.,Commercial,Commercial (SaaS),Current,2026,Yes (FedRAMP High),Critical,Cloud SaaS,All industries,https://www.okta.com/resources/whitepaper/okta-and-post-quantum-cryptography/,,Leading enterprise IAM. PQC TLS transport in progress; OIDC/SAML PQC token signatures awaiting IETF JOSE/COSE standard finalization.,Trusted Vendor,Verified,2026-02-21,"migrate,launch",digital-id;iam-pqc,VND-060
Keycloak,CSC-042,Identity & Access Management (IAM),Security Stack,Planned,Open source identity and access management. Community exploring hybrid PQC signature support (RSA + ML-DSA) for SAML assertions and OIDC tokens. Full PQC token signatures dependent on Java ecosystem (Bouncy Castle) and IETF JOSE/COSE standards. PQC TLS possible via JVM configuration.,Open Source,Apache-2.0,26.x,2026,No,Critical,Docker Kubernetes Java Linux,All industries,https://www.keycloak.org/,https://github.com/keycloak/keycloak,Open source IAM standard. PQC token signature support planned via Java/Bouncy Castle ecosystem and IETF JOSE PQC algorithm adoption.,Open Source Foundation,Verified,2026-02-21,"migrate,launch",api-security-jwt;crypto-dev-apis;digital-id;iam-pqc,VND-032
Ping Identity PingFederate,CSC-042,Identity & Access Management (IAM),Security Stack,Planned,Enterprise federation and SSO server. Ping Identity (merged with ForgeRock under Thales) has published PQC migration guidance. Hybrid authentication with PQC digital signatures planned for SAML and OIDC flows. TLS quantum safety addressable via JVM crypto providers.,Commercial,Commercial,12.x,2025,Yes (FIPS 140-2),High,Linux Windows Docker,Finance Healthcare Government Telecom,https://www.pingidentity.com/,,Enterprise federation server with PQC roadmap for hybrid authentication signatures across SAML and OIDC protocols.,Trusted Vendor,Partially Verified,2026-03-25,"migrate,launch",5g-security;crypto-dev-apis;digital-id;healthcare-pqc;iam-pqc;migration-program,VND-178
Thales CipherTrust Data Security Platform,CSC-043,Data Security & Protection,Security Stack,Yes (ML-KEM ML-DSA via Luna HSM),"Unified data security platform combining CipherTrust Manager, transparent encryption (CTE), tokenization, and key management. Integrates with Thales Luna HSMs (firmware 7.9+) supporting ML-KEM and ML-DSA. Provides quantum-safe encryption for structured and unstructured data at rest.",Commercial,Commercial,2.x,2025,Yes (FIPS 140-2 L2 via Luna),Critical,Linux Windows Cloud,Finance Healthcare Government Defense,https://cpl.thalesgroup.com/encryption/ciphertrust-platform,,Comprehensive data security platform with quantum-safe encryption via Luna HSM backends. Covers data-at-rest encryption tokenization and key lifecycle.,Trusted Vendor,Verified,2026-02-21,"launch,rampup",aerospace-pqc;data-asset-sensitivity;database-encryption-pqc;healthcare-pqc;hsm-pqc,VND-041
IBM Security Guardium Data Protection,CSC-043,Data Security & Protection,Security Stack,Planned,Enterprise data activity monitoring and protection platform. IBM has committed to quantum-safe cryptography migration across its security portfolio per NIST PQC standards. Guardium encryption and key management integration with IBM HPCS (Hyper Protect Crypto Services) targets ML-KEM for data-at-rest protection.,Commercial,Commercial,12.x,2025,Yes (FIPS 140-2),High,Linux Windows Cloud,Finance Healthcare Government,https://www.ibm.com/products/guardium-data-protection,,Enterprise data protection and monitoring. PQC via IBM HPCS integration for quantum-safe key management and data-at-rest encryption.,Trusted Vendor,Partially Verified,2026-03-25,"launch,rampup",data-asset-sensitivity;database-encryption-pqc;healthcare-pqc;kms-pqc,VND-019
Virtru Data Protection,CSC-043,Data Security & Protection,Security Stack,Planned,Zero-trust data protection using Trusted Data Format (TDF) for persistent file and email encryption. Virtru has announced plans to integrate ML-KEM for key encapsulation in TDF envelopes to protect against Harvest Now Decrypt Later attacks on sensitive documents.,Commercial,Commercial,Current,2025,No,High,Cloud Web Windows macOS,Government Defense Healthcare Finance,https://www.virtru.com/data-protection/,,Zero-trust data protection with TDF envelope encryption. PQC ML-KEM planned to counter HNDL attacks on persistent encrypted data.,Trusted Vendor,Partially Verified,2026-03-25,"launch,rampup",aerospace-pqc;data-asset-sensitivity;database-encryption-pqc;healthcare-pqc,VND-188
Auth0 (Okta Customer Identity),CSC-044,Customer Identity & Access Management (CIAM),Security Stack,Planned,Customer identity and access management platform. PQC TLS transport available via Okta cloud infrastructure. OIDC token signatures for customer-facing applications awaiting IETF PQC JOSE/COSE standard finalization. Auth0 Actions extensibility enables future hybrid PQC authentication flows.,Commercial,Commercial (SaaS),Current,2026,No,High,Cloud SaaS,Retail Finance Healthcare Technology,https://auth0.com/,https://github.com/auth0,Leading CIAM platform. PQC TLS via Okta infrastructure. OIDC/OAuth PQC token signatures planned post IETF standard finalization.,Trusted Vendor,Pending Verification,2026-02-21,"migrate,launch",digital-id;healthcare-pqc;iam-pqc,VND-060
ForgeRock Identity Cloud,CSC-044,Customer Identity & Access Management (CIAM),Security Stack,Planned,Enterprise CIAM platform (now part of Ping Identity / Thales group). PQC roadmap includes quantum-safe TLS for authentication endpoints and hybrid PQC signatures for OAuth/OIDC tokens. Merger with Ping Identity accelerates access to enterprise PQC cryptography resources.,Commercial,Commercial,Current,2025,Yes (FedRAMP),High,Cloud SaaS,Finance Retail Government Telecom,https://www.pingidentity.com/en/platform/forgerock.html,,Enterprise CIAM with PQC roadmap through Ping Identity / Thales integration. Covers quantum-safe authentication for large-scale customer identity.,Trusted Vendor,Pending Verification,2026-02-21,"migrate,launch",5g-security;ai-security-pqc;digital-id;iam-pqc;migration-program,VND-178
Intel TDX (Trust Domain Extensions),CSC-052,Confidential Computing,Hardware,Planned,Intel TDX provides hardware-isolated Trusted Execution Environments (TEEs) at the VM level using architectural extensions on 4th/5th Gen Xeon processors. TDX Trust Domains protect data-in-use from hypervisor and host OS. PQC attestation report signing planned; current remote attestation uses ECDSA P-256 via Intel PCS. Combines with ML-KEM encrypted memory sealing on roadmap.,Proprietary,Commercial (Intel),Xeon 5th Gen (Emerald Rapids),2024,No,High,Linux KVM VMware,Cloud Finance Healthcare Government,https://www.intel.com/content/www/us/en/developer/tools/trust-domain-extensions/overview.html,https://github.com/intel/tdx,Hardware VM-level confidential computing via Intel TEE. PQC attestation signing on roadmap for quantum-safe workload integrity guarantees.,Trusted Vendor,Verified,2026-02-21,"prepare,migrate,launch",confidential-computing;healthcare-pqc;migration-program,VND-022
AMD SEV-SNP (Secure Encrypted Virtualization),CSC-052,Confidential Computing,Hardware,Planned,AMD SEV-SNP provides hardware memory encryption per VM with strong integrity guarantees and attestation on EPYC processors. Each VM gets a unique AES-128 memory encryption key. SNP attestation reports currently signed with ECDSA P-384. AMD has indicated PQC attestation signing (ML-DSA) on roadmap for future EPYC generations to counter quantum threats to remote attestation.,Proprietary,Commercial (AMD),EPYC Turin (5th Gen),2024-10,No,High,Linux KVM Hyper-V,Cloud Finance Healthcare Government,https://www.amd.com/en/developer/sev.html,https://github.com/AMDESE/AMDSEV,Hardware VM memory encryption with integrity via AMD TEE. PQC attestation signing planned for future EPYC generations to ensure quantum-safe workload trust.,Trusted Vendor,Verified,2026-03-25,"prepare,migrate,launch",confidential-computing;healthcare-pqc,VND-148
ARM Confidential Compute Architecture (CCA),CSC-052,Confidential Computing,Hardware,Planned,ARM CCA introduces hardware Realms — isolated VMs protected from hypervisor and TrustZone via Realm Management Monitor (RMM). Built on ARMv9-A architecture. Realm attestation token (RAT) currently uses P-384. ARM has published PQC cryptography research and ML-DSA attestation signing is on the security architecture roadmap for future ARM cores.,Proprietary,Commercial (ARM),ARMv9-A (Cortex-A Series),2025,No,High,ARM Linux Android,Mobile Cloud IoT Defense,https://www.arm.com/architecture/security-features/arm-confidential-compute-architecture,https://github.com/ARM-software/cca-rmm-acs,ARM hardware confidential computing via Realms on ARMv9-A. PQC attestation (ML-DSA) planned for future cores ensuring quantum-safe workload isolation.,Trusted Vendor,Verified,2026-03-25,"prepare,migrate,launch",aerospace-pqc;confidential-computing,VND-149
Google Cloud KMS,CSC-045,Cloud Key Management Service (KMS),Cloud,Yes (ML-KEM GA / ML-DSA Preview),"Industry-leading cloud KMS with production PQC key types. ML-KEM-768, ML-KEM-1024, and X-Wing (hybrid ML-KEM + X25519) available as GA for key encapsulation. ML-DSA-65 and SLH-DSA-SHA2-128S in Preview for signing. Powered by BoringCrypto; Cloud HSM uses Marvell LiquidSecurity FIPS 140-2 L3.",Commercial,Commercial (Google),Current,2025-10,Yes (FIPS 140-2 L1 software / L3 Cloud HSM),Critical,Google Cloud,All industries,https://cloud.google.com/kms/docs/algorithms,,Leading cloud KMS with production-ready PQC key types. Google enables customers to create and use ML-KEM and ML-DSA keys directly for application-level quantum-safe operations.,Trusted Vendor,Verified,2026-02-21,"migrate,launch,rampup",database-encryption-pqc;kms-pqc;secrets-management-pqc,VND-018
AWS KMS,CSC-045,Cloud Key Management Service (KMS),Cloud,Yes (ML-DSA-44/65/87 GA),ML-DSA digital signatures (FIPS 204) GA since June 2025 with ML-DSA-44/65/87 key specs via CreateKey/Sign/Verify APIs in FIPS 140-3 L3 HSMs. ML-KEM hybrid TLS for API transit protection via AWS-LC. PQC key import (BYOK) not supported — ML-DSA keys must be generated in KMS. External Key Store (XKS) symmetric-only — no PQC HYOK. AWS Private CA supports ML-DSA certificate issuance for code signing workflows.,Commercial,Commercial (AWS),Current,2025,Yes (FIPS 140-3 L3),Critical,AWS Cloud,All industries,https://aws.amazon.com/kms/,,Managed cloud KMS with GA ML-DSA signing (FIPS 204) in FIPS 140-3 L3 HSMs. ML-KEM hybrid TLS for transit. No PQC BYOK/HYOK. AWS Private CA enables ML-DSA code signing.,Trusted Vendor,Verified,2026-02-24,"migrate,launch,rampup",database-encryption-pqc;hsm-pqc;kms-pqc;secrets-management-pqc,VND-001
Azure Key Vault,CSC-045,Cloud Key Management Service (KMS),Cloud,Planned,Microsoft cloud key management and secrets service. Underlying SymCrypt library supports ML-KEM and ML-DSA available via Windows CNG but not yet exposed as Azure Key Vault key types for customer operations. Managed HSM uses Marvell LiquidSecurity HSM. Microsoft targets quantum-safe key vault key types by 2029 per CNSA 2.0 compliance roadmap.,Commercial,Commercial (Microsoft),Current,2026,Yes (FIPS 140-2 L1 software / L3 Managed HSM),Critical,Azure Cloud,All industries,https://azure.microsoft.com/en-us/products/key-vault,,Cloud key management with HSM-backed storage. PQC in SymCrypt but not yet exposed as Key Vault key types; scheduled per Microsoft 2029 CNSA 2.0 quantum-safe roadmap.,Trusted Vendor,Verified,2026-02-21,"migrate,launch,rampup",database-encryption-pqc;hsm-pqc;kms-pqc;migration-program;pqc-business-case;secrets-management-pqc,VND-027
Thales Luna Cloud HSM (DPoD),CSC-046,Cloud Hardware Security Module (HSM),Cloud,Yes (ML-KEM ML-DSA LMS/HSS via Luna firmware),Luna HSM-as-a-Service via Thales Data Protection on Demand (DPoD). Luna Cloud HSM Services use same firmware as on-premises Luna HSMs — PQC available as firmware v7.9.x rolls out to cloud instances. ML-KEM (FIPS 203) ML-DSA (FIPS 204) and LMS/HSS (SP 800-208) supported. Available across AWS Azure and GCP marketplaces.,Commercial,Commercial,7.x,2026-02,Yes (FIPS 140-2 L3),Critical,AWS Azure GCP On-premises,Finance Healthcare Government Defense,https://cpl.thalesgroup.com/encryption/hardware-security-modules/luna-cloud-hsm,,Cloud HSM-as-a-Service via Thales DPoD with PQC via Luna firmware v7.9.x. ML-KEM ML-DSA and LMS/HSS. FIPS 140-2 L3 validated.,Trusted Vendor,Verified,2026-02-24,"prepare,migrate,launch",aerospace-pqc;healthcare-pqc;hsm-pqc;secure-boot-pqc,VND-041
AWS CloudHSM,CSC-046,Cloud Hardware Security Module (HSM),Cloud,Limited (ML-DSA-44/65/87 preview),Dedicated managed HSM service in AWS (FIPS 140-2 L3). ML-KEM-768 and ML-DSA-65 available through AWS Crypto Tools SDK integration. Native PKCS#11 PQC mechanisms not yet available in firmware. AWS KMS provides PQC TLS endpoints with ML-KEM hybrid. Managed service with multi-AZ redundancy.,Commercial,Commercial (AWS),Current,2025,Yes (FIPS 140-2 L3),Critical,AWS Cloud,Finance Healthcare Government,https://aws.amazon.com/cloudhsm/,,AWS dedicated cloud HSM. FIPS 140-2 L3 hardware. PQC firmware support on roadmap aligned with NIST standards.,Trusted Vendor,Partially Verified,2026-03-25,"prepare,migrate,launch",healthcare-pqc;hsm-pqc;migration-program;secure-boot-pqc;vendor-risk,VND-001
ID Quantique Quantis QRNG,CSC-047,Quantum Random Number Generator (QRNG),Hardware,Yes (Quantum entropy source for PQC; ML-KEM),"Hardware QRNG based on photon detection providing certified quantum entropy. Available as PCIe card, USB device, and OEM chip. Generates true random numbers from quantum vacuum fluctuations at speeds up to 1 Gbps. Certified to AIS 31 and FIPS 140-2 standards. Provides quantum-grade entropy for PQC key generation, ML-KEM key pairs, and HSM seeding. ID Quantique acquired by IonQ in 2024.",Commercial,Commercial,Quantis 2.0 (PCIe/USB),2024,Yes (FIPS 140-2 / AIS 31),High,Windows Linux PCIe USB OEM,Finance Government Defense Telecom,https://www.idquantique.com/random-number-generation/products/quantis-random-number-generator/,,Market-leading hardware QRNG. Quantum entropy from photon detection for PQC key seeding HSM integration and high-assurance randomness. Supports FIPS 140-2 entropy source qualification.,Trusted Vendor,Verified,2026-02-21,"prepare,launch",5g-security;aerospace-pqc;entropy-randomness;hsm-pqc;research-quantum-impact,VND-157
Quantinuum Quantum Origin,CSC-047,Quantum Random Number Generator (QRNG),Hardware,Yes (Quantum entropy for PQC keys; ML-KEM),Cloud-delivered quantum entropy service using a quantum computer as the entropy source. Generates cryptographic keys with quantum-certified randomness via Quantinuum H-Series trapped-ion quantum computers. Keys seeded with quantum entropy and delivered via API for PQC key generation (ML-KEM keypairs). Integrates with Thales Luna HSM via Quantum Origin Platform. Available on Azure Marketplace.,Commercial,Commercial (SaaS),Current,2025,No,High,Cloud API Azure AWS,Finance Government Defense Technology,https://www.quantinuum.com/cybersecurity/quantumorigin,,Quantum computer-sourced entropy service for PQC key generation. Integrates with HSMs and KMS for quantum-grade randomness seeding ML-KEM and classical key pairs.,Trusted Vendor,Verified,2026-02-21,"prepare,launch",aerospace-pqc;entropy-randomness;hsm-pqc;kms-pqc;research-quantum-impact,VND-179
