id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs
NIS2,NIS2 Directive,EU network and information security directive for essential and important entities,Technology;Finance & Banking;Healthcare;Energy & Utilities;Telecommunications,European Union;Czech Republic,yes,October 2024 (transposition passed — enforcement underway),"EU-wide cybersecurity baseline for essential and important entities. Member states were required to transpose NIS2 by October 2024; enforcement is now active across the EU.",ENISA/EU Member States,ENISA PQC Guidelines,European Union:EC
COPPA,COPPA,US Children's Online Privacy Protection Act,Education;Technology,United States,no,Ongoing,"Protects children under 13 online. PQC relevant for long-lived minor data and parental consent records.",FTC,,
TISAX,TISAX,Trusted Information Security Assessment Exchange for automotive supply chain,Automotive,European Union,no,Ongoing,"VDA-managed assessment for automotive suppliers. Covers information security including cryptographic controls.",VDA/ENX,,
MICA,MiCA,EU Markets in Crypto-Assets Regulation,Finance & Banking,European Union;Czech Republic,yes,2025 (phased),"EU regulation for crypto-asset service providers. Cryptographic custody and wallet security affected by PQC.",ESMA/EBA,,European Union:EC
TSA-PIPELINE,TSA Pipeline Security Directive,US TSA cybersecurity requirements for pipeline operators,Energy & Utilities,United States,yes,Ongoing,"Mandatory cybersecurity measures for critical pipeline infrastructure. Covers encryption for SCADA/OT.",TSA,,
NIST-IR-8547,NIST IR 8547,"NIST transition to post-quantum cryptography standards guidance",Government & Defense;Finance & Banking;Technology;Healthcare;Energy & Utilities,United States;Canada;Australia,yes,"2030 (deprecate), 2035 (disallow)","Transition guidance recommending deprecation of 112-bit classical asymmetric algorithms by 2030 and disallowance by 2035.",NIST,NIST IR 8547,United States:NIST
ASD-ISM,ASD ISM,Australian Signals Directorate Information Security Manual,Government & Defense,Australia,yes,Ongoing (ISM-1917 added December 2024),"ISM control ISM-1917 requiring PQC preparation for Australian government systems.",ASD,Australia ASD PQC Guidance,Australia:ASD
CCCS-ITSM,CCCS ITSM.40.001,Canadian Centre for Cyber Security roadmap for PQC migration,Government & Defense,Canada,yes,2025 (effective June 23 2025),"Roadmap for migration to PQC for Canadian government systems.",CCCS,Canada CSE PQC Guidance,Canada:CCCS
EU-REC-2024-1101,EU Recommendation 2024/1101,European Commission coordinated PQC implementation roadmap,Government & Defense;Technology;Finance & Banking,European Union;Czech Republic,yes,2030 (critical systems),"Coordinated implementation roadmap for PQC transition across EU member states.",European Commission,EU PQC Recommendation;ENISA PQC Guidelines,European Union:EC
BSI-TR-02102,BSI TR-02102,"German BSI technical guideline for cryptographic mechanisms, TLS, IPsec, SSH",Government & Defense;Technology,European Union,yes,Ongoing (v2025-01 update),"BSI technical guideline series covering PQC recommendations including ML-KEM and ML-DSA.",BSI,BSI TR-02102-1;BSI TR-02102-2;BSI TR-02102-3;BSI TR-02102-4,Germany:BSI
UK-NCSC,UK NCSC PQC Guidance,UK National Cyber Security Centre quantum-safe cryptography guidance,Government & Defense;Technology;Finance & Banking,United Kingdom,yes,2035 (full transition),"UK guidance with 2035 deadline for full quantum-safe cryptography transition.",NCSC,UK NCSC PQC Guidance,United Kingdom:NCSC
CRYPTREC,CRYPTREC,Japan Cryptography Research and Evaluation Committees PQC guidelines,Government & Defense;Technology,Japan,yes,Ongoing (GL-2004-2022),"Japanese government cryptographic evaluation body publishing PQC guidelines and preparing detailed transition guidance.",CRYPTREC,Japan CRYPTREC Report 2024,Japan:CRYPTREC
MAS-CIRCULAR,MAS Circular,"Monetary Authority of Singapore financial services PQC advisory",Finance & Banking,Singapore,yes,Ongoing (February 2024),"MAS/TCRS/2024/01 requiring Singapore financial services to prepare PQC transition plans.",MAS,Singapore IMDA Cyber Security Guide,Singapore:MAS
EUCC-V2,EUCC v2.0,EU Cybersecurity Certification Scheme Agreed Cryptographic Mechanisms v2.0,Government & Defense;Technology,European Union;Czech Republic,yes,Ongoing (April 2025 update),"EUCC Agreed Cryptographic Mechanisms v2.0 now includes PQC algorithms for EU cybersecurity certification.",ECCG/ENISA,EUCC v2.0 ACM,European Union:ECCG
