reference_id,document_title,download_url,initial_publication_date,last_update_date,last_verified,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,free_summary_url,access_type,local_file,module_ids,misc_info,trusted_source_id,peer_reviewed,vetting_body,github_contribution_url,download_url_quality,trusted_source_id_status,data_quality_notes,confidence_score,status,deprecated_at,deprecated_reason,pqc_heatmap_protocols,pqc_heatmap_protocols_evidence,math_family,pqc_round,lifecycle_state,superseded_by,purpose
FIPS 205,Stateless Hash-Based Digital Signature Standard (SLH-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.205.pdf,2024-08-13,2024-08-13,2026-08-11,Final Standard,"Specifies SLH-DSA (SPHINCS+) stateless hash-based signatures with 12 parameter sets. The stateless alternative to LMS/XMSS — no state management required, but larger signatures.",Reference,Firmware; Critical Infrastructure; Software Updates; Long-term Archival,NIST,NIST SP 800-208,US;PQC-REGION-GLOBAL,Hash-based (stateless),"L1,L3,L5","CMS signatures, software signing, long-term archival signing",liboqs; BoringSSL; Bouncy Castle,Medium,Validated,Digital Signature,yes,,,library/FIPS_205.pdf,aerospace-pqc; api-security-jwt; automotive-pqc; code-signing; crypto-agility; crypto-dev-apis; email-signing; hsm-pqc; iot-ot-pqc; kms-pqc; pki-workshop; platform-eng-pqc; pqc-101; quantum-threats; secure-boot-pqc; standards-bodies; iam-pqc; merkle-tree-certs; healthcare-pqc; research-quantum-impact; slh-dsa; pqc-candidates; digital-id; arch-quantum-impact; crypto-mgmt-modernization; data-asset-sensitivity; database-encryption-pqc; dev-quantum-impact; emv-payment-pqc; energy-utilities-pqc; pqc-governance; pqc-grc; qkd; skills-team-structure; soc-implementation-pqc; stateful-signatures; trust-services-pqc; vendor-risk; compliance-strategy; digital-assets; hybrid-crypto; migration-program; tls-basics,SPHINCS+,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,Hash-based,Standardised,,,
FIPS 206,FFT over NTRU-Lattice-Based Digital Signature Algorithm (FN-DSA),https://csrc.nist.gov/projects/post-quantum-cryptography,2024-08-13,2025-12-09,2026-08-16,Draft Standard (not yet published),"Specifies FN-DSA (FALCON) compact signature algorithm with two parameter sets (512, 1024). IPD submitted for internal NIST clearance August 2025; standard not yet publicly available. Expected final publication late 2026 or early 2027. Offers significantly smaller signatures than ML-DSA.",Reference,Constrained Devices; IoT; Embedded Systems; Mobile,NIST,FIPS 186-5,US;PQC-REGION-GLOBAL,Lattice-based (NTRU),"L1,L5",Compact signatures for resource-constrained environments,In development,High,Updated,Digital Signature,yes,,,,aerospace-pqc; automotive-pqc; code-signing; crypto-agility; crypto-dev-apis; email-signing; emv-payment-pqc; iot-ot-pqc; pqc-101; standards-bodies; pqc-candidates; digital-assets; pqc-governance; skills-team-structure; hybrid-crypto,"2026-08-31: reviewed per deprecated-citation cross-check (5 citers: compliance x2, leaders, trusted_source_xref). Decision: keep row and citations as-is (row remains deprecated, no successor to link -- there is nothing to supersede FIPS 206 with, it has not published yet) rather than redirect citers elsewhere. Caveat is already load-bearing in this row's own deprecated_reason/short_description, which every citer's click-through reaches; re-verify publication status directly against csrc.nist.gov before this note goes stale.",nist-csrc,yes,NIST,,url_authoritative,registered,"Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | local_file cleared 2026-08-22. It pointed at library/FIPS_206.html, which is NOT FIPS 206 — it is the NIST Post-Quantum Cryptography PROJECT PAGE (csrc.nist.gov/projects/post-quantum-cryptography), which is also what download_url is. FIPS 206 HAS STILL NOT BEEN PUBLISHED, so no document exists to cache and the row is an identity placeholder, not evidence. Serving the project page as evidence made accuracy_spotcheck grade pqc-governance's correct claim ""FIPS 206 (FN-DSA, in development)"" as CONTRADICTED, quoting the page's line that FIPS 203/204/205 were published August 13 2024. audit-capture-matches-title.py does not catch this: the project page contains the title words. The structural tell is the URL being a project index rather than a document.",85,deprecated,2026-08-30,"FIPS 206 (FN-DSA) is not yet published by NIST as of 2026-08-30 -- no standalone final document exists to fetch. The row's URL is NIST's general PQC project landing page, not a specific FIPS 206 document.",,,Lattice,Draft,deprecated,,
FIPS 186-5,Digital Signature Standard (DSS),https://csrc.nist.gov/pubs/fips/186-5/final,2023-02-03,2025-05-12,2026-08-11,Final Standard,"Specifies RSA, ECDSA, EdDSA. Removes DSA. Errata May 2025. Transition to PQC planned.",Reference,IT; Finance; Gov; Web PKI,NIST,,US;PQC-REGION-GLOBAL,Classical,Various,"TLS, CMS, PKI, code signing",Universal,Medium,Validated,Digital Signature,yes,,,library/FIPS_186-5.pdf,pki-workshop; code-signing; slh-dsa; emv-payment-pqc; pqc-testing-validation; crypto-agility; crypto-dev-apis; hybrid-crypto; platform-eng-pqc; pqc-101; pqc-governance; quantum-threats; secure-boot-pqc,PKCS#1;EdDSA RFCs,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,,,,,
NIST SP 800-208,Recommendation for Stateful Hash-Based Signature Schemes,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-208.pdf,2020-10-29,2020-10-29,2026-08-11,Final,Specifies LMS and XMSS stateful hash-based signature schemes for firmware signing.,Reference,Firmware; Embedded Systems; IoT; Boot Security,NIST,IETF RFC 8391;IETF RFC 8554,US;PQC-REGION-GLOBAL,Hash-based (stateful),L1-L5 equivalent,"Firmware signing, secure boot, archival",wolfSSL; Bouncy Castle,Medium,Validated,Digital Signature,yes,,,library/NIST_SP_800-208.pdf,aerospace-pqc; automotive-pqc; code-signing; confidential-computing; crypto-agility; emv-payment-pqc; energy-utilities-pqc; hsm-pqc; iot-ot-pqc; kms-pqc; secure-boot-pqc; stateful-signatures; vendor-risk; merkle-tree-certs; cbom; arch-quantum-impact; government-defense-pqc; research-quantum-impact; crypto-dev-apis; crypto-mgmt-modernization; email-signing; pqc-governance; pqc-grc; slh-dsa,,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,,,,,
NIST SP 800-227,Recommendations for Key-Encapsulation Mechanisms,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-227.pdf,2025-09-18,2025-09-18,2026-08-11,Final,Guidance for implementing KEMs securely including hybrid KEMs and FIPS 140 validation requirements.,Compliance Framework,IT; Finance; Gov; Cloud; HSM Vendors,NIST,FIPS 203;NIST-SP-800-56C-R2,US;PQC-REGION-GLOBAL,Lattice-based,"L1,L3,L5",KEM usage guidelines for TLS/VPN/SSH,Reference guidance,High,Updated,KEM,yes,,,library/NIST_SP_800-227.pdf,ai-security-pqc; arch-quantum-impact; crypto-agility; database-encryption-pqc; hsm-pqc; hybrid-crypto; kms-pqc; network-security-pqc; secrets-management-pqc; standards-bodies; vendor-risk; dev-quantum-impact; compliance-strategy; energy-utilities-pqc; ops-quantum-impact; os-pqc; platform-eng-pqc; soc-implementation-pqc; tls-basics; web-gateway-pqc; 5g-security; confidential-computing; pqc-101; research-quantum-impact,,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,,,,,
NIST IR 8547,Transition to Post-Quantum Cryptography Standards,https://csrc.nist.gov/pubs/ir/8547/ipd,2024-11-12,2024-11-12,2026-08-11,Initial Public Draft,Roadmap for transitioning from classical to post-quantum cryptography. The only published draft is the Initial Public Draft of 2024-11-12 (comment period closed 2025-01-10; final version pending). It retains the 2030 deprecation and 2035 disallowment targets.,Compliance Framework,IT; Gov; Finance; Telecom; Cloud,NIST,FIPS 203;FIPS 204;FIPS 205,US;PQC-REGION-GLOBAL,Module-Lattice-Based Key-Encapsulation Mechanism; Module-Lattice-Based Digital Signature Algorithm; Stateless Hash-Based Signature Algorithm,,Enterprise-wide PQC migration planning,Migration tools,High,Updated,NIST Standards,yes,,,library/NIST_IR_8547.pdf,aerospace-pqc; arch-quantum-impact; automotive-pqc; compliance-strategy; crypto-agility; crypto-dev-apis; data-asset-sensitivity; database-encryption-pqc; energy-utilities-pqc; exec-quantum-impact; healthcare-pqc; hsm-pqc; kms-pqc; migration-program; ops-quantum-impact; pki-workshop; pqc-101; pqc-business-case; pqc-governance; pqc-risk-management; quantum-threats; standards-bodies; vendor-risk; crypto-mgmt-modernization; research-quantum-impact; slh-dsa; pqc-candidates; verification-closure; network-security-pqc; pqc-grc; skills-team-structure; soc-implementation-pqc; cbom; iam-pqc; qkd;platform-eng-pqc,FIPS 203/204/205,nist-csrc,partial,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,Not Applicable,,,
NIST IR 8545,Status Report on the Fourth Round of the NIST PQC Standardization Process,https://nvlpubs.nist.gov/nistpubs/ir/2025/NIST.IR.8545.pdf,2025-03-11,2025-03-11,2026-08-11,Final,Documents HQC selection as fourth PQC standard providing code-based cryptographic diversity.,Industry Report,IT; Cryptography Research,NIST,FIPS 203;HQC Specification,US;PQC-REGION-GLOBAL,Code-based,"L1,L3,L5",Future FIPS standard (HQC),Reference,Medium,Updated,KEM,yes,,,library/NIST_IR_8545.pdf,pqc-101;quantum-threats;research-quantum-impact;slh-dsa;pqc-candidates,,nist-csrc,partial,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,Code-based,Round 4,,,
HQC Specification,Hamming Quasi-Cyclic (HQC) Algorithm Specification,https://pqc-hqc.org/doc/hqc_specifications_2025_08_22.pdf,2025-08-22,2025-08-22,2026-08-11,NIST Round 4 Selection,"Code-based KEM selected March 2025 as backup to ML-KEM. Draft FIPS expected 2026, final 2027.",Reference,IT; Gov; Critical Infrastructure,NIST/HQC Team,,US;PQC-REGION-GLOBAL,Code-based,"L1,L3,L5",Future TLS/IPsec/SSH integration,Reference implementation,Medium,Updated,KEM,yes,,,library/HQC_Specification.pdf,crypto-dev-apis;quantum-threats;research-quantum-impact;pqc-candidates,NIST PQC Round 4,nist-csrc,partial,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | Re-verified 2026-07-09: download_url confirmed reachable (HTTP 200) on fresh check.,60,active,,,,,,,,,
RFC 9629,Using Key Encapsulation Mechanism (KEM) Algorithms in CMS,https://www.rfc-editor.org/rfc/rfc9629.html,2024-08,2024-08-01,2026-08-11,Proposed Standard,Defines CMS KEMRecipientInfo structure for PQ KEMs including ML-KEM.,RFC,IT; Email; Web PKI; Secure Messaging,IETF LAMPS,FIPS 203;RFC 5280;RFC 5652,PQC-REGION-GLOBAL,Lattice-based,"L1,L3,L5","CMS encryption, S/MIME",OpenSSL CMS,High,Validated,Protocols,yes,,,library/RFC_9629.html,email-signing; crypto-agility; standards-bodies; database-encryption-pqc; pki-enrollment-protocols; crypto-mgmt-modernization,,ietf,partial,IETF,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,,,,
RFC 9708,Use of the HSS/LMS Hash-Based Signature Algorithm in CMS,https://www.rfc-editor.org/rfc/rfc9708.html,2025-01,2025-01-01,2026-08-11,Standards Track,Updated HSS/LMS usage in CMS. Obsoletes RFC 8708.,RFC,Firmware; Critical Infrastructure,IETF LAMPS,IETF RFC 8554;NIST SP 800-208,PQC-REGION-GLOBAL,Hash-based (stateful),L1-L5,CMS signatures for firmware,wolfSSL; Bouncy Castle,Medium,Updated,Protocols,yes,,,library/RFC_9708.html,email-signing;stateful-signatures;iot-ot-pqc;code-signing;aerospace-pqc;secure-boot-pqc,,ietf,partial,IETF,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,,,,
