software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id,trusted_source_id,evidence_flags
Bouncy Castle Java LTS,CSC-001,Cryptographic Libraries,"Application,Security Stack","Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)","Long-term support release with ML-DSA composite signatures, enabling hybrid quantum-classical signature schemes. Allows organizations to use both traditional (RSA/ECDSA) and post-quantum signatures simultaneously for defense-in-depth.",Mixed/Dual,Bouncy Castle License,2.73.10,2025-09-23,Yes,Critical,Java 8 11 17 21,All industries,https://www.bouncycastle.org/java.html,https://github.com/bcgit/bc-java,Long-term support release with enterprise stability. Includes PQC support and supply chain transparency features.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;tls-basics,VND-025,bouncy-castle,
OpenSSL,CSC-001,Cryptographic Libraries,"Application,Security Stack","Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)","Full support for NIST-standardized PQC algorithms including ML-KEM (Module-Lattice-Based Key-Encapsulation Mechanism) for key exchange, ML-DSA (Module-Lattice-Based Digital Signature Algorithm) for signatures, and SLH-DSA (Stateless Hash-Based Digital Signature Algorithm). Enables quantum-safe TLS 1.3 connections with hybrid mode support.",Open Source,Apache-2.0,3.6.1,2026-01-27,Yes (FIPS 140-3),Critical,Linux macOS Windows Android OpenVMS,All industries,https://www.openssl.org/,https://github.com/openssl/openssl,Robust commercial-grade TLS/SSL and crypto library. Implements TLS 1.3 DTLS 1.3 and QUIC protocols. Reference implementation for cryptographic operations used by majority of HTTPS websites.,Community/Commercial,Verified,2026-02-13,"prepare,test,migrate",code-signing;compliance-strategy;crypto-agility;crypto-dev-apis;dev-quantum-impact;email-signing;entropy-randomness;hybrid-crypto;os-pqc;pqc-101;quantum-threats;tls-basics,VND-049,openssl-project,
Google Tink,CSC-001,Cryptographic Libraries,"Application,Security Stack","Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)","Multi-language library (C++, Go, Java). Experimental PQC access available in C++. HPKE (Hybrid Public Key Encryption) support is shipping in stable releases. NIST PQC algorithm integration (ML-KEM, ML-DSA) in progress but not yet in stable releases. Used in Google infrastructure and Cloud KMS. Project restructured into language-specific repos (tink-java, tink-go, etc.).",Open Source,Apache-2.0,1.20.0,2025-12,Yes (via BoringCrypto),Critical,Cross-platform,All industries,https://developers.google.com/tink,https://github.com/tink-crypto/tink-java,Google's multi-language crypto library designed for safe and simple API usage. PQC suite integration in progress.,Community/Commercial,Verified,2026-03-30,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-018,google,
Botan,CSC-001,Cryptographic Libraries,Application,Yes (with details),"Supports hybrid post-quantum key exchange in TLS 1.3 using ML-KEM or FrodoKEM. Includes post-quantum signature schemes: ML-DSA (Dilithium), SLH-DSA (SPHINCS+), HSS/LMS, XMSS. Includes post-quantum key encapsulation schemes: ML-KEM (Kyber), FrodoKEM, Classic McEliece.",Open Source,BSD-2,3.11.0,2025-11-06,No,High,Linux Windows macOS BSD,All industries,https://botan.randombit.net/,https://github.com/randombit/botan,Feature-rich C++ crypto library. BSI project for PQC reference implementations.,Open Source Foundation,Verified,2026-03-30,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-069,oqs-project,
SafeLogic CryptoComply,CSC-001,Cryptographic Libraries,Application,Yes (ACVP: ML-KEM),FIPS 140-3 validated cryptographic modules. Supports hybrid mode (classical + PQC) and includes CryptoComply PQ TLS for quantum-safe data in transit. Drop-in OpenSSL compatibility. CryptoComply Go v4.0 adds all NIST PQC algorithms (ML-KEM FIPS 203 ML-DSA FIPS 204 SLH-DSA FIPS 205). PQC capabilities rolled out across Core v3.5 (OpenSSL-based) Mobile v3.5 Java v4 and Go v4.,Commercial,Commercial,Go v4.0,2026-01,Yes (FIPS 140-3),Critical,Linux Windows macOS Mobile,"Finance, Government, Healthcare, Defense",https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18289,,Enterprise cryptographic modules with immediate PQC support and FIPS validation.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",aerospace-pqc;dev-quantum-impact;healthcare-pqc;hybrid-crypto;tls-basics,VND-034,nist-csrc,
SAP Cryptographic Library,CSC-001,Cryptographic Libraries,Application,Yes (with details),"Version 8.6 enables quantum-safe TLS 1.3 handshake using hybrid ECDHE-MLKEM key agreement based on X25519MLKEM768. ML-KEM is a standardized FIPS-203 algorithm for key encapsulation, preventing session key decryption by quantum computers.",Commercial,Commercial,8.6,2025-12-12,Yes (CommonCryptoLib FIPS 140-3 L1 #5093),Critical,SAP Ecosystem,All industries,https://community.sap.com/t5/technology-blogs-by-sap/new-version-8-6-of-the-sap-cryptographic-library-with-quantum-safe/ba-p/14280039,,SAP's proprietary cryptographic library now enabling PQC for SAP applications and secure communications.,Trusted Vendor,Verified,2026-03-25,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-033,sap,
PQShield PQSDK,CSC-001,Cryptographic Libraries,Application,"Yes (ACVP: ML-DSA, ML-KEM)","Comprehensive SDK for PQC integration. Features PQCryptoLib-Core (FIPS 140-3 certified) and PQCryptoLib-Soft. Supports mobile, server, and embedded.",Commercial,Commercial,Current,2025,Yes (FIPS 140-3),Critical,Cross-platform Embedded,All industries,https://pqshield.com/products/pqc-sdk/,,PQShield PQCryptoLib-SDK development kit (also marketed as PQSDK). High-assurance post-quantum cryptography SDK for enterprise and embedded security. Note: product is formally named PQCryptoLib-SDK.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;tls-basics,VND-030,pqshield,
Go stdlib crypto/mlkem,CSC-001,Cryptographic Libraries,Application,"Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)",Native ML-KEM-768 and ML-KEM-1024 since Go 1.24 (Feb 2025). Hybrid post-quantum TLS enabled by default since Go 1.24 combining classical elliptic-curve cryptography with ML-KEM. Go 1.26 adds crypto/hpke and crypto/mlkem/mlkemtest packages with derandomized encapsulation for known-answer tests. FIPS 203 compliant.,Open Source,BSD-3-Clause,1.26,2026-02-10,Yes (Go FIPS Module),Critical,Cross-platform,All industries,https://pkg.go.dev/crypto/mlkem,https://github.com/golang/go/tree/master/src/crypto/mlkem,Standard library implementation of NIST FIPS 203 key encapsulation. Hybrid PQC TLS default since Go 1.24; Go 1.26 adds crypto/hpke and mlkemtest.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-018,nist-csrc,
RustCrypto ml-kem,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM/FIPS 203),"Implements ML-KEM (formerly Kyber), a post-quantum secure key encapsulation mechanism standardized by NIST in FIPS 203. Supports three security levels: MlKem512 (128-bit), MlKem768 (192-bit), and MlKem1024 (256-bit). Implementation is pure Rust, version 0.2.3. Security warning states it has never been independently audited.",Open Source,Apache-2.0/MIT,0.2.3,2025-10,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/ml-kem,https://github.com/RustCrypto/KEMs/tree/master/ml-kem,Pure Rust ML-KEM implementation standardizing on FIPS 203.,Open Source Community,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050,nist-csrc,no-cert-backing; v0.3.0 is RC only
RustCrypto ml-dsa,CSC-001,Cryptographic Libraries,Application,Yes (ML-DSA / CRYSTALS-Dilithium),"Implements ML-DSA (formerly CRYSTALS-Dilithium) per FIPS 204 final. Supports parameter sets MlDsa44 (Category 2), MlDsa65 (Category 3), and MlDsa87 (Category 5). Implementation is pure Rust, supports `no_std`, and includes key generation, signing, and verification. Warning: Never independently audited; use at own risk.",Open Source,Apache-2.0/MIT,0.0.4,2025,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/ml-dsa,https://github.com/RustCrypto/signatures/tree/master/ml-dsa,Pure Rust ML-DSA implementation compliant with FIPS 204.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050,nist-csrc,
RustCrypto slh-dsa,CSC-001,Cryptographic Libraries,Application,Yes (SLH-DSA/SPHINCS+ implemented per FIPS-205),"Implements Stateless Hash-based Digital Signature Algorithm (SLH-DSA) based on SPHINCS+, finalized in NIST FIPS-205. Supports 12 parameter sets (SHA2 and SHAKE variants at L1, L3, L5 security). Signatures range from 7KB to 50KB. Implementation is not independently audited; requires Rust 1.75+.",Open Source,Apache-2.0/MIT,0.1.0,2025,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/slh-dsa,https://github.com/RustCrypto/signatures/tree/master/slh-dsa,Pure Rust SLH-DSA implementation compliant with FIPS 205.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050,nist-csrc,
pqcrypto,CSC-001,Cryptographic Libraries,Application,Unknown,"Provides Rust bindings to C implementations of cryptographic algorithms from the NIST competition, generated from the PQClean project. Supports variants controlled by `implementations.yaml`. Maturity is indicated by repository activity and documentation on docs.rs.",Open Source,Apache-2.0/MIT,0.18.1,2024-12,No,Medium,Cross-platform,All industries,https://crates.io/crates/pqcrypto,https://github.com/rustpq/pqcrypto,Rust wrapper around PQClean providing FFI bindings to reference implementations.,Open Source Community,Verified,2026-03-31,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-080,oqs-project,pqc-no-positive-extraction
liboqs-rust (oqs crate),CSC-001,Cryptographic Libraries,Application,Yes (Supports KEMs and Signature schemes including NIST standardization candidates),"Provides Rust wrappers for liboqs, a C library for quantum-resistant cryptography. Supports KEMs (BIKE, Classic McEliece, FrodoKEM, HQC, Kyber, ML-KEM, NTRU Prime) and Signatures (Cross, Dilithium, Falcon, Mayo, ML-DSA, SPHINCS+, UOV). Designed for prototyping; recommends hybrid cryptography alongside traditional algorithms.",Open Source,Apache-2.0/MIT,0.11.0,2025-04,No,High,Cross-platform,All industries,https://crates.io/crates/oqs,https://github.com/open-quantum-safe/liboqs-rust,Official Rust bindings for the Open Quantum Safe library.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-048,oqs-project,
mlkem-native,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM / FIPS 203),"Implementation of ML-KEM (FIPS 203) with support for security levels 512, 768, and 1024. Includes formal verification (CBMC, HOL-Light) for memory safety, type safety, and constant-time execution on AArch64 and x86_64. Supports native backends for Arm, Intel/AMD, and RISC-V. Used as a default implementation in libOQS, AWS-LC, and rustls.",Open Source,Apache-2.0/MIT/ISC,1.0.0,2025-06-04,No (Formally Verified),Critical,Linux macOS (AArch64 optimized),All industries,https://github.com/pq-code-package/mlkem-native,https://github.com/pq-code-package/mlkem-native,High-assurance production-ready ML-KEM implementation formally verified for correctness.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-079,pqca,
leancrypto,CSC-001,Cryptographic Libraries,Application,Yes (with details),"The library exclusively contains PQC-resistant algorithms. It implements NIST-approved schemes: ML-DSA/Dilithium, ML-KEM/Kyber, SLH-DSA/Sphincs+, and BIKE. Accelerated implementations exist for x86_64, ARMv7/ARMv8, and RISCV64. Algorithms are tested with NIST ACVP and hold official CAVP certificates.",Open Source,GPL-2.0+/BSD/Leancrypto,Current,2025,Yes (CAVP for Hash),High,Embedded Bare-metal Linux,All industries,https://github.com/smuellerDD/leancrypto,https://github.com/wolfeidau/leancrypto,Lean crypto library optimized for small footprint embedded environments.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;iot-ot-pqc;tls-basics,VND-087,oqs-project,
Cosmian covercrypt,CSC-001,Cryptographic Libraries,Application,Yes (with details),Post-quantum secure with a 128-bit security level. Supports hybridization using INDCPA-KYBER (INDCPA version of NIST standard Kyber). Data encrypted with AES-GCM 256-bit. Uses Curve25519 for classic coordinates and INDCPA-Kyber for hybridized coordinates.,Open Source,Apache-2.0,Current,2025-02,No,High,Cross-platform,Finance Healthcare Defense,https://cosmian.com/data-protection-suite/cosmian-covercrypt/,https://github.com/Cosmian/cover_crypt,"Attribute-based encryption with quantum resistance, compliant with ETSI TS 104 015.",Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",aerospace-pqc;dev-quantum-impact;healthcare-pqc;hybrid-crypto;tls-basics,VND-085,microsoft,no-cert-backing
pqm4,CSC-001,Cryptographic Libraries,Application,Yes (with details),"Library contains implementations of post-quantum key-encapsulation mechanisms and signature schemes targeting ARM Cortex-M4. Includes schemes standardized by NIST (FIPS 203, 204, 205), selected for standardization, part of NIST Round 4, additional signatures Round 1, and KpqC Round 2. Integrates clean implementations from PQClean.",Open Source,Apache-2.0/MIT/CC0,Current,2025,No,Medium,ARM Cortex-M4,Embedded,https://github.com/mupq/pqm4,https://github.com/mupq/pqm4,Testing and benchmarking framework for PQC on embedded ARM Cortex-M4 devices.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;iot-ot-pqc;research-quantum-impact;tls-basics,VND-077,oqs-project,
HQC Algorithm,CSC-001,Cryptographic Libraries,Application,"Yes (Kyber, HQC, Classic McEliece, Dilithium, Falcon, SPHINCS+)","Provides standalone C implementations of NIST PQC finalists and alternate candidates including Kyber, HQC, Classic McEliece, Dilithium, Falcon, and SPHINCS+. Designed for integration into libraries like liboqs or protocols. Not a single integrated library; requires manual integration. Deprecation planned for July 2026.",Open Source,Apache-2.0 (PQClean),N/A,2025-03,No (NIST Selected),Critical,Cross-platform,All industries,https://www.nist.gov/news-events/news/2025/03/nist-selects-hqc-fifth-algorithm-post-quantum-encryption,https://github.com/PQClean/PQClean,Reference implementation of the Hamming Quasi-Cyclic (HQC) KEM.,Open Source Community,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;research-quantum-impact;tls-basics,VND-078,nist-csrc,
citadel_pqcrypto,CSC-001,Cryptographic Libraries,Application,Unknown,,Open Source,Apache-2.0/MIT,Current,2025,No,High,Cross-platform,All industries,https://crates.io/crates/citadel_pqcrypto,https://github.com/citadel-protocol/citadel_pqcrypto,PQC library for Citadel Protocol with built-in anti-replay and ratcheting.,Open Source Community,Needs Verification,2026-03-30,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-000,microsoft,ntru-plus-unverified; no-cert-backing
Microsoft SymCrypt,CSC-001,Cryptographic Libraries,Application,Unknown,,Commercial,Commercial,v103.9.1,2025-07-28,Yes (In Progress),Critical,Windows Linux Azure,All industries,https://github.com/microsoft/SymCrypt,https://github.com/microsoft/SymCrypt,Microsoft's core crypto library powering Windows Azure and O365. Optimized for performance and FIPS compliance.,Trusted Vendor,Needs Verification,2026-03-30,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;energy-utilities-pqc;hybrid-crypto;os-pqc;tls-basics,VND-027,microsoft,version-unconfirmed; v103.9.1 not found in public GitHub releases — verify exact version
AWS-LC,CSC-001,Cryptographic Libraries,"Application,Security Stack","Yes (ACVP: ML-DSA, ML-KEM)","AWS's open-source crypto library derived from BoringSSL. FIPS 140-3 validated with ML-KEM and ML-DSA support. Powers AWS KMS, Secrets Manager, and Certificate Manager. Hybrid PQ KeyShares enabled by default in v1.68.0.",Open Source,Apache-2.0/ISC,v1.69.0,2025-03-02,Yes (FIPS 140-3),Critical,Linux AWS Cloud,All industries,https://github.com/aws/aws-lc,https://github.com/aws/aws-lc,FIPS 140-3 validated crypto library for AWS services. Includes optimized ML-KEM and ML-DSA. Hybrid PQ KeyShares enabled by default.,Trusted Vendor,Verified,2026-02-20,"prepare,test,migrate",compliance-strategy;crypto-agility;crypto-dev-apis;dev-quantum-impact;hybrid-crypto;os-pqc;tls-basics,VND-001,amazon-aws,
Nvidia cuPQC,CSC-001,Cryptographic Libraries,Application,Yes (with details),GPU-accelerated PQC library for high-throughput workloads. Achieves 143x/99x/84x speedup over CPU for ML-KEM Keygen/Encapsulation/Decapsulation. Integrated with Open Quantum Safe (OQS) project via Linux Foundation PQCA. Essential for AI/ML security and high-performance computing.,Proprietary,Nvidia License,Current,2025,No,Critical,Linux Windows (Nvidia GPUs),AI Data Center,https://developer.nvidia.com/cupqc,,GPU-accelerated PQC SDK. Delivers massive throughput for ML-KEM and ML-DSA on Nvidia hardware. Now integrated with OQS.,Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",ai-security-pqc;dev-quantum-impact;hybrid-crypto;tls-basics,VND-125,cmvp,no-cert-backing
Cisco IOS XE PQC,CSC-032,Network Operating Systems,OS,"Yes (ACVP: ML-DSA, ML-KEM)",IOS XE 26 delivers industry-first full-stack post-quantum cryptography for enterprise routing and switching. ML-KEM hybrid IKEv2 key establishment available (not just planned). Protects networking devices data in transit and control plane traffic with NIST-approved algorithms. Supports 8000 Series Secure Routers and C9000 Series Smart Switches. Also supports RFC 8784 PQC PSK for IKEv2/IPsec VPN and ML-DSA API support for CSR generation.,Commercial,Commercial,IOS XE 26,2026-02-10,Yes (FIPS 140-3 L1 #4752 #5160) (classical algorithms only; PQC not in FIPS scope),Critical,Cisco 8000 C9000 ISR ASR CSR,Enterprise Government,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_conn_ikevpn/configuration/xe-17/sec-ike-xe-17-book.html,,Full-stack quantum-safe networking OS with NIST PQC algorithms for routing switching and VPN.,Trusted Vendor,Verified,2026-03-30,"test,migrate",network-security-pqc;vpn-ssh-pqc,VND-008,cisco-systems,fips-classical-only
Google ALTS,CSC-005,TLS/SSL Implementation Software,Application,"Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)",Application Layer Transport Security with hybrid post-quantum key exchange (NTRU-HRSS + X25519). Protections Google's internal infrastructure traffic against quantum decryption.,Open Source,Apache-2.0,Current,2025,No,Critical,Google Cloud Internal,All industries,https://cloud.google.com/security/encryption-in-transit,,Google's internal transport security protocol now hardened with hybrid PQC.,Trusted Vendor,Verified,2026-03-25,"test,migrate",dev-quantum-impact;tls-basics,VND-018,google,
