"industry","threat_id","threat_description","criticality","crypto_at_risk","pqc_replacement","main_source","source_url","accuracy_pct","related_modules","trusted_source_id","local_file","peer_reviewed","vetting_body"
"Cloud Computing / Data Centers","CLOUD-004","Cloud HSM and key management PQC gap: NIST SP 800-210 defines access control for cloud systems but cloud-hosted HSMs and KMS services currently lack full PQC support. FIPS 140-3 validation for PQC modules is ongoing with multi-year certification timelines. Organizations using cloud HSMs face vendor dependency for PQC migration.","Critical","Cloud HSM root keys, KMS key wrapping, tenant isolation keys, FIPS 140-3 modules","FIPS 140-3 validated PQC HSM modules, bring-your-own-key PQC, ML-KEM key wrapping","NIST SP 800-210 Cloud Access Control","https://csrc.nist.gov/pubs/sp/800/210/final","75","kms-pqc|hsm-pqc|pki-workshop|compliance-strategy","","public/threats/CLOUD-004.html","yes","NIST"
"Cross-Industry","CROSS-001","Quantum-safe readiness gap: Organizations score average 25/100 on IBM Quantum-Safe Readiness Index. 70% lack complete cryptographic inventory, creating massive vulnerability window. Estimated 5-6 year gap between CRQC arrival and organizational readiness completion.","Critical","All asymmetric cryptography, PKI infrastructure, key management systems","Comprehensive CBOM, automated discovery tools, ML-KEM/ML-DSA migration","IBM Institute for Business Value — Secure the Post-Quantum Future 2025","https://www.ibm.com/thought-leadership/institute-business-value/en-us/report/2025-quantum-safe-readiness","80","crypto-agility|pqc-risk-management|migration-program|quantum-threats|crypto-dev-apis|pqc-governance","","public/threats/CROSS-003.html","no",""
"Cross-Industry","CROSS-002","NIST IR 8547 proposed transition timeline: NIST Initial Public Draft (November 2024) establishes proposed timeline to deprecate RSA, ECDSA, ECDH, and EdDSA by 2030 and disallow them entirely after 2035. Sets 112-bit security minimum. Final version pending as of February 2026. Landmark publication making PQC migration a compliance requirement for federal systems.","Critical","RSA-2048/3072/4096, ECDSA P-256/P-384, ECDH, EdDSA","ML-KEM-768/1024 (FIPS 203), ML-DSA-44/65/87 (FIPS 204), SLH-DSA (FIPS 205)","NIST IR 8547 Transition to Post-Quantum Cryptography Standards","https://csrc.nist.gov/pubs/ir/8547/ipd","90","compliance-strategy|pqc-101|migration-program|quantum-threats|pqc-governance","","public/threats/CROSS-002.html","yes","NIST"
"Cross-Industry","CROSS-003","Vendor dependency crisis: 62% of organizations incorrectly assume vendors will manage quantum-safe transition automatically. Lack of contractual PQC requirements and service-level agreements for crypto-agility.","High","Third-party API keys, vendor-managed HSMs, cloud KMS","Vendor PQC roadmap requirements, contractual crypto-agility clauses","IBM Institute for Business Value — Secure the Post-Quantum Future 2025","https://www.ibm.com/thought-leadership/institute-business-value/en-us/report/2025-quantum-safe-readiness","75","vendor-risk|pqc-governance","","public/threats/CROSS-003.html","no",""
"Cross-Industry","CROSS-004","CRQC timeline uncertainty: Global Risk Institute 2025 survey of 26 quantum computing experts estimates 28-49% probability of a cryptographically relevant quantum computer (CRQC) within 10 years (up significantly from 19-34% in 2024) and 5-15% within 5 years. Majority of experts now consider a CRQC by 2035 quite likely. Harvest-now-decrypt-later attacks make immediate PQC migration urgent regardless of exact timeline.","Critical","RSA-2048/4096, ECC P-256/384, ECDSA, ECDH, EdDSA","Immediate hybrid PQC deployment, ML-KEM-1024, ML-DSA-87","Global Risk Institute Quantum Threat Timeline 2025","https://globalriskinstitute.org/publication/quantum-threat-timeline-report-2025b/","75","quantum-threats|pqc-risk-management|pqc-business-case|data-asset-sensitivity","","public/threats/CROSS-004.html","no",""
"Cross-Industry","CROSS-005","FIPS 206 FN-DSA (Falcon) standardization status: NIST published the Initial Public Draft of FIPS 206 (FN-DSA) in late 2025 with public comment period underway as of early 2026. Development has taken longer than initially projected due to the mathematical complexity of the algorithm. Once finalized, FN-DSA will provide a 4th PQC standard optimized for compact signatures.","High","RSA/ECDSA certificates requiring compact signatures, root CA keys, constrained device authentication","FN-DSA (FIPS 206) for compact signatures, ML-DSA for general-purpose signing","NIST FIPS 206 FN-DSA Status","https://csrc.nist.gov/pubs/fips/206/ipd","85","pqc-101|hybrid-crypto|stateful-signatures","","public/threats/CROSS-005.html","yes","NIST"
"Cross-Industry","CROSS-006","HQC selected as 5th PQC algorithm: NIST announced March 11 2025 the selection of HQC (Hamming Quasi-Cyclic) as a backup KEM to ML-KEM. HQC is based on error-correcting codes rather than lattices, providing algorithmic diversity in case a lattice-based vulnerability is discovered. Draft standard expected for public comment in early 2026 with final standard in 2027.","High","All systems relying solely on ML-KEM without backup KEM","HQC as backup KEM alongside ML-KEM-768/1024, algorithm diversity strategy","NIST Post-Quantum Cryptography Standardization","https://www.nist.gov/news-events/news/2025/03/nist-selects-hqc-fifth-algorithm-post-quantum-encryption","90","pqc-101|hybrid-crypto","","public/threats/CROSS-006.html","yes","NIST"
"Cross-Industry","CROSS-007","EU coordinated PQC transition roadmap: European Commission published coordinated PQC roadmap (June 2025) establishing EU-wide milestones. By December 2026: national transition roadmaps and initial identification steps. By December 2030: high-risk use cases transitioned and PQC-by-default for new systems. By December 2035: PQC transition completed for as many systems as feasible across all EU member states.","Critical","All quantum-vulnerable cryptography in EU member state systems and critical infrastructure","ML-KEM, ML-DSA, SLH-DSA, hybrid implementations per EU coordinated timeline","European Commission Digital Strategy — PQC Roadmap","https://digital-strategy.ec.europa.eu/en/news/eu-reinforces-its-cybersecurity-post-quantum-cryptography","85","compliance-strategy|migration-program|pqc-governance","","public/threats/CROSS-007.html","no",""
"Cross-Industry","CROSS-008","NIST SP 800-227 KEM recommendations: Published September 2025 as final guidance on key-encapsulation mechanisms. Provides definitions, security properties, and implementation recommendations for KEMs as companion guidance to FIPS 203 (ML-KEM). Establishes best practices for KEM usage in protocols, hybrid constructions, and key management — essential reference for correct PQC deployment.","High","Incorrect or insecure KEM implementations, legacy key exchange protocols","FIPS 203 ML-KEM per SP 800-227 guidance, proper KEM-TLS integration","NIST SP 800-227 Recommendations for KEMs","https://csrc.nist.gov/pubs/sp/800/227/final","90","hybrid-crypto|kms-pqc|hsm-pqc","","public/threats/FIN-004.html","yes","NIST"
"Cryptocurrency / Blockchain","CRYPTO-001","Bitcoin ECDSA transaction hijacking: Approximately $718B in quantum-vulnerable P2PK addresses with exposed public keys (price-dependent estimate). Early P2PK addresses including Satoshi's estimated 1.1M BTC are permanently vulnerable as public keys are exposed on-chain. P2PKH addresses are protected until first spend.","Critical","secp256k1 ECDSA","P2QRH (BIP-360) proposal with ML-DSA and SLH-DSA","Federal Reserve HNDL Paper","https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm","75","digital-assets","","public/threats/FIN-002.html","no",""
"Cryptocurrency / Blockchain","CRYPTO-002","Ethereum Foundation PQC initiative: Dedicated post-quantum security team established January 2026 with $2M across two research prizes (Poseidon Prize + Proximity Prize). Active development of account abstraction and Verkle tree migration paths. All Ethereum accounts that have transacted expose public keys making them quantum-vulnerable via secp256k1 ECDSA and BLS12-381.","Critical","secp256k1 ECDSA, BLS12-381, keccak256 address derivation","Account Abstraction (EIP-4337), Verkle Trees, quantum-resistant signature schemes","Ethereum Foundation PQC Program","https://ethereum.org/en/roadmap/future-proofing/","75","digital-assets","","public/threats/CRYPTO-002.html","no",""
"Cryptocurrency / Blockchain","CRYPTO-003","Blockchain HNDL permanence risk: Federal Reserve research confirms distributed ledger networks face permanent data privacy risks from harvest-now-decrypt-later attacks even with future PQC deployment. On-chain transaction data is immutable — encrypted data harvested today remains permanently exposed once CRQCs arrive.","Critical","RSA-2048, ECDSA, ECDH in blockchain protocols, BLS signatures","ML-KEM-1024, ML-DSA-87, SLH-DSA, validator PQC authentication","Federal Reserve Board FEDS Paper September 2025","https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm","85","digital-assets|quantum-threats|data-asset-sensitivity","","public/threats/FIN-002.html","no",""
"Cryptocurrency / Blockchain","CRYPTO-004","Cryptocurrency custody HSM quantum vulnerability: Institutional custody solutions managing billions in digital assets rely on secp256k1 ECDSA keys stored in HSMs. NIST PQC standardization identifies ECDSA as quantum-vulnerable. Custody HSM vendors face multi-year FIPS 140-3 recertification timelines for PQC-enabled modules, creating a gap between threat emergence and mitigation availability.","Critical","secp256k1 ECDSA custody keys, RSA/ECDH key wrapping, HSM root keys","ML-KEM-1024, ML-DSA-87, PQC-enabled custody HSMs","Cryptocurrency Security Standard (CCSS)","https://cryptoconsortium.org/standards-2/","75","digital-assets|kms-pqc|hsm-pqc","","public/threats/CRYPTO-004.html","no",""
"Energy / Critical Infrastructure","ENERGY-001","Power grid SCADA quantum vulnerability: IEC 62351 specifies security for power system communications (DNP3, IEC 61850, IEC 60870-5-104) using RSA/ECDSA for authentication. Critical infrastructure with 20-30 year equipment lifecycles and limited OTA update capability creates massive quantum exposure window.","Critical","RSA-2048 in SCADA authentication, ECDSA in IEC 61850, DNP3 Secure Authentication","IEC 62351 quantum update, ML-DSA for SCADA authentication, hybrid protocols","IEC 62351 Power Systems Security Standards","https://webstore.iec.ch/publication/6912","80","iot-ot-pqc|vpn-ssh-pqc|hybrid-crypto|energy-utilities-pqc|network-security-pqc","","public/threats/ENERGY-001.html","no",""
"Energy / Critical Infrastructure","ENERGY-002","Nuclear facility digital I&C quantum exposure: NRC 10 CFR 73.54 requires cybersecurity for nuclear power plant digital instrumentation and control systems. Nuclear plants operate under 40-year initial licenses with 20-year renewals (some seeking subsequent 20-year renewals to 80 years total). Digital safety systems deployed today will operate well into the CRQC era.","Critical","Safety system digital I&C cryptography, nuclear safeguards data encryption","Defense-in-depth with ML-KEM/ML-DSA, CNSA 2.0 compliance for nuclear systems","NRC Cybersecurity Requirements (10 CFR 73.54)","https://www.nrc.gov/security/cyber-security.html","80","iot-ot-pqc|compliance-strategy|energy-utilities-pqc","","","no",""
"Energy / Critical Infrastructure","ENERGY-003","Smart grid quantum security research: University of Toronto CA$1.45M research project identifies real-time quantum attack scenarios targeting grid controllers, smart meters, and energy routers. Over 1 billion smart meters globally will require PQC migration; many lack OTA update capability requiring physical replacement.","Critical","AMI mesh networking, smart meter PKI, PMU authentication, distribution automation","Quantum-safe AMI protocols, IEC 62351 PQC update, constrained device PQC","University of Toronto Smart Grid Security Research","https://www.utoronto.ca/news/u-t-researcher-leads-effort-protect-power-utilities-quantum-attacks","80","iot-ot-pqc|crypto-agility|energy-utilities-pqc","","","no",""
"Energy / Critical Infrastructure","ENERGY-004","Pipeline and oil/gas SCADA quantum vulnerability: IEC 62443 governs industrial automation security for natural gas, oil, and water pipeline control systems. Equipment lifecycles of 20-30 years and air-gapped or semi-air-gapped network architectures complicate PQC migration. Pipeline SCADA systems are classified as critical infrastructure by CISA.","High","ICS/SCADA protocols, VPN encryption for pipeline monitoring, RTU authentication","IEC 62443 PQC update, hybrid VPN protocols, ML-DSA for RTU authentication","IEC 62443 Industrial Automation Security","https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series-of-standards","75","iot-ot-pqc|vpn-ssh-pqc|kms-pqc|hsm-pqc|energy-utilities-pqc|network-security-pqc","","public/threats/IOT-002.html","no",""
"Financial Services / Banking","FIN-001","BIS Project Leap quantum-safe payment system cryptography: Phase 2 launched July 2025 with Bank of Italy, Bank of France, Deutsche Bundesbank, Nexi-Colt, and SWIFT testing hybrid PQC on TARGET2 real-time gross settlement system. Demonstrates quantum-safe cryptographic integration for cross-border payment infrastructure processing trillions daily.","Critical","Payment system infrastructure, cross-border settlement, RSA-2048, ECDSA, TLS legacy","ML-KEM-1024, ML-DSA-87, hybrid TLS 1.3, HQC","Bank for International Settlements Project Leap Phase 2","https://www.bis.org/publ/othp107.htm","75","tls-basics|kms-pqc|hsm-pqc|hybrid-crypto|emv-payment-pqc","","public/threats/FIN-001.html","no",""
"Financial Services / Banking","FIN-002","Harvest Now Decrypt Later (HNDL) attacks targeting long-lived financial data including transaction records and settlement logs. Federal Reserve research confirms cryptocurrency networks face permanent data privacy risks from HNDL even with future PQC deployment. Financial records retained for regulatory compliance spanning decades are prime targets.","Critical","RSA-2048, ECDSA, ECDH, ECC-256/384","ML-KEM-1024, ML-DSA-87, SLH-DSA, AES-256","Federal Reserve Board FEDS Paper September 2025","https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm","90","quantum-threats|pqc-risk-management|data-asset-sensitivity","","public/threats/FIN-002.html","no",""
"Financial Services / Banking","FIN-003","G7 Cyber Expert Group PQC roadmap: January 2026 statement coordinated by U.S. Treasury and Bank of England establishes G7-wide framework for financial sector quantum-safe migration. Calls for cryptographic inventory, vendor roadmap alignment, and coordinated transition planning across G7 financial systems.","High","G7 financial infrastructure, cross-border payment systems, correspondent banking TLS","ML-KEM, ML-DSA, hybrid implementations, coordinated G7 PQC standards","G7 Cyber Expert Group Statement (U.S. Treasury)","https://home.treasury.gov/news/press-releases/sb0355","75","compliance-strategy|migration-program|pqc-governance","","public/threats/FIN-003.html","no",""
"Financial Services / Banking","FIN-004","HSM backup key extraction vulnerability: Master encryption keys wrapped with RSA in HSM backup archives become recoverable with quantum computers, exposing entire key hierarchies protecting decades of financial data. NIST SP 800-227 (September 2025) provides formal KEM guidance for transitioning key wrapping to quantum-safe mechanisms.","Critical","RSA key wrapping in HSM backups, ECDH key agreement, archived master keys","ML-KEM-1024 per NIST SP 800-227, AES-256-GCM key wrapping","NIST SP 800-227 KEM Recommendations","https://csrc.nist.gov/pubs/sp/800/227/final","80","kms-pqc|hsm-pqc|hybrid-crypto","","public/threats/FIN-004.html","yes","NIST"
"Financial Services / Banking","FIN-005","FS-ISAC PQC migration urgency warning: Financial Services Information Sharing and Analysis Center (September 2025) warns that financial sector organizations have not defined or allocated resources for quantum-resistant migration, compressing transition into unrealistically short timeframes. Without immediate action, roadmap collapse by 2030 compliance deadlines is likely.","High","RSA, ECC, TLS 1.2/1.3 key exchange, PKI certificates across financial infrastructure","ML-KEM, ML-DSA, hybrid implementations, immediate cryptographic inventory","FS-ISAC — The Timeline for Post Quantum Cryptographic Migration","https://www.fsisac.com/newsroom/fs-isac-urges-global-coordination-for-migration-to-post-quantum-cryptography-in-financial-services","80","pqc-business-case|migration-program|pqc-risk-management|crypto-agility","","public/threats/FIN-005.html","no",""
"Government / Defense","GOV-001","HNDL on classified data: TOP SECRET information requiring 25-75+ year protection is actively harvested for future quantum decryption. Current encryption provides no protection against this threat.","Critical","RSA-2048/4096, ECDH P-384, ECDSA","ML-KEM-1024, ML-DSA-87, AES-256","NSA CNSA 2.0 Cybersecurity Advisory","https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF","95","quantum-threats|pqc-risk-management|data-asset-sensitivity","","","yes","ISO"
"Government / Defense","GOV-002","CNSA 2.0 compliance deadline pressure: NSA mandates CNSA 2.0 compliance with phased deadlines — software/firmware signing supported and preferred by 2025 (exclusively by 2030), networking equipment supported and preferred by 2026 (exclusively by 2030), NSS acquisitions by January 2027, web browsers/servers/cloud supported and preferred by 2025 (exclusively by 2033), full transition by 2035.","Critical","Federal PKI, NSS communications, classified systems, defense supply chain","FIPS 140-3 validated PQC modules, CMVP certification acceleration","NSA CNSA 2.0 Guidance","https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF","85","compliance-strategy|migration-program|pqc-governance","","","no","NSA"
"Government / Defense","GOV-003","Federal PQC procurement guidance: CISA January 2026 federal buying guidance pursuant to Executive Order 14306 (June 2025) recommends agencies procure quantum-resistant technology across designated product categories including cloud services, collaboration tools, web browsers/servers, and endpoint security. Note: EO 14306 removed the original procurement mandate but CISA's product categories list strongly encourages PQC-capable acquisitions.","High","COTS products, federal IT infrastructure, defense systems","NIST FIPS 203/204/205 compliance, ACVP testing, vendor PQC roadmaps","CISA Product Categories for PQC Technologies","https://www.cisa.gov/resources-tools/resources/product-categories-technologies-use-post-quantum-cryptography-standards","85","compliance-strategy|vendor-risk|pqc-governance","","public/threats/GOV-003.html","no","CISA"
"Government / Defense","GOV-004","Federal PKI signature forgery risk: Quantum-enabled impersonation of federal systems and fraudulent certificate issuance affecting government-wide trust infrastructure. The Federal PKI serves as the root of trust for digital identity across federal agencies, and quantum forgery of CA certificates would compromise the entire federal trust hierarchy.","High","RSA-2048/4096 in Federal PKI, ECDSA P-256/P-384 intermediate certificates","ML-DSA-87, SLH-DSA, hybrid X.509 certificates","Federal PKI Policy Authority","https://www.idmanagement.gov/fpki/","75","pki-workshop|hybrid-crypto|compliance-strategy","","public/threats/GOV-004.html","no",""
"Government / Defense","GOV-005","Nuclear command and control quantum exposure: NC3 (Nuclear Command, Control, and Communications) systems operate on 50+ year lifecycles and represent the highest-consequence quantum threat scenario. NSA CNSA 2.0 specifically identifies national security systems including strategic communications as priority for PQC transition.","Critical","All public-key cryptography in NC3 systems, strategic communications encryption","CNSA 2.0 full suite, AES-256, ML-KEM-1024, ML-DSA-87","NSA CNSA 2.0 Cybersecurity Advisory","https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF","80","pki-workshop|kms-pqc|hsm-pqc|iot-ot-pqc","","","yes","ISO"
"Healthcare / Pharmaceutical","HLTH-001","HNDL on patient records: Healthcare data has lifetime sensitivity; genomic data and mental health records remain sensitive indefinitely. HIPAA mandates 6+ year retention but records persist 25+ years.","Critical","RSA, ECDH, ECDSA, TLS","ML-KEM-768/1024, ML-DSA, AES-256","HHS HIPAA Security Rule","https://www.hhs.gov/hipaa/for-professionals/security/index.html","90","quantum-threats|pqc-risk-management|healthcare-pqc|data-asset-sensitivity","","","no",""
"Healthcare / Pharmaceutical","HLTH-002","Healthcare cloud encryption and breach crisis: Only 4% of healthcare operators encrypted 80%+ of sensitive cloud data. Thales 2025 report shows 59% prototyping or evaluating PQC but low actual deployment. 725 major breaches in 2023 (per HHS OCR) exposed 168M+ individuals (2024 figures pending final OCR reporting). Health records retain lifetime sensitivity making them prime HNDL targets.","Critical","EHR databases, medical imaging, patient portals, health information exchanges, cloud encryption","ML-KEM-768/1024, ML-DSA, AES-256-GCM, quantum-safe TLS","Thales 2025 Data Threat Report Healthcare Edition","https://cpl.thalesgroup.com/healthcare-lifesciences-data-threat-report","80","tls-basics|kms-pqc|hsm-pqc|compliance-strategy|healthcare-pqc|database-encryption-pqc|data-asset-sensitivity","","public/threats/HLTH-002.html","no",""
"Healthcare / Pharmaceutical","HLTH-003","FDA premarket cybersecurity guidance: FDA finalized guidance (September 2023) under Section 524B of FD&C Act (Consolidated Appropriations Act 2023). Requires cryptographic risk assessment and Software Bill of Materials for new device submissions. Medical devices with 10-20 year lifecycles deploying now will operate into the CRQC era.","High","RSA-2048, ECDSA in device firmware, TLS in medical devices, PKI for device authentication","ML-KEM-768, ML-DSA, crypto-agile firmware update mechanisms","FDA Premarket Cybersecurity Guidance 2023","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cybersecurity-medical-devices-quality-system-considerations-and-content-premarket-submissions","80","iot-ot-pqc|code-signing|crypto-agility|healthcare-pqc","","public/threats/HLTH-003.html","no",""
"Healthcare / Pharmaceutical","HLTH-004","Connected medical device lifecycle quantum exposure: FDA Section 524B of FD&C Act requires cybersecurity for medical devices. Implantable and connected devices (pacemakers, insulin pumps, remote monitoring) with 10-20 year lifecycles being deployed today will operate well into the CRQC era. Limited computational resources and power constraints in implantable devices restrict PQC options.","Critical","BLE cryptography, TLS in medical IoT, embedded ECC in implantable devices","Crypto-agile device design, hybrid firmware updates, ML-DSA for device authentication","FDA Cybersecurity for Medical Devices","https://www.fda.gov/medical-devices/digital-health-center-excellence/cybersecurity","80","iot-ot-pqc|code-signing|kms-pqc|hsm-pqc|healthcare-pqc","","public/threats/HLTH-004.html","no",""
"Healthcare / Pharmaceutical","HLTH-005","Drug supply chain authentication quantum risk: Drug Supply Chain Security Act (DSCSA) mandates product serialization and verification to prevent counterfeit drug infiltration. EPCIS (Electronic Product Code Information Services) and verification systems rely on digital signatures and TLS. Quantum forgery of verification responses enables counterfeit drug injection into the legitimate supply chain.","High","EPCIS digital signatures, TLS authentication for verification systems, manufacturer PKI","ML-DSA for supply chain signing, hybrid verification certificates, PQC-enabled EPCIS","FDA Drug Supply Chain Security Act (DSCSA)","https://www.fda.gov/drugs/drug-supply-chain-integrity/drug-supply-chain-security-act-dscsa","75","code-signing|pki-workshop|healthcare-pqc","","public/threats/HLTH-005.html","no",""
"Insurance","INS-001","NAIC Insurance Data Security Model Law (MDL-668) quantum exposure: Adopted 2017 and enacted in 22+ states (as of late 2025), requires encryption of nonpublic information in transit and at rest. Actuarial models, claims history spanning decades, and underwriting algorithms represent long-lived sensitive data prime for HNDL attacks.","High","RSA/ECDSA protecting policyholder data, TLS for claims processing, database encryption","ML-KEM for key exchange, AES-256-GCM, ML-DSA for document signing","NAIC Insurance Data Security Model Law (MDL-668)","https://content.naic.org/sites/default/files/model-law-668.pdf","75","pqc-risk-management|compliance-strategy|kms-pqc|hsm-pqc|data-asset-sensitivity|database-encryption-pqc","","public/threats/INS-001.pdf","no",""
