software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id,trusted_source_id,evidence_flags,proof_url,proof_publication_date,proof_relevant_info,validation_result,correction_notes
Bouncy Castle Java LTS,CSC-001,Cryptographic Libraries,"Libraries,Security Stack","Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)","Long-term support release with ML-DSA composite signatures, enabling hybrid quantum-classical signature schemes. Allows organizations to use both traditional (RSA/ECDSA) and post-quantum signatures simultaneously for defense-in-depth.",Mixed/Dual,Bouncy Castle License,2.73.10,2025-09-23,Yes,Critical,Java 8 11 17 21,All industries,https://www.bouncycastle.org/java.html,https://github.com/bcgit/bc-java,Long-term support release with enterprise stability. Includes PQC support and supply chain transparency features.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;tls-basics,VND-025,bouncy-castle,needs-extraction,https://www.bouncycastle.org/resources/latest-nist-pqc-standards-and-more-bouncy-castle-java-1-79/,2024-08-16,"Bouncy Castle Java 1.79 supports NIST PQC: ML-KEM, ML-DSA, SLH-DSA. Java 1.82/LTS 2.73.9 finalized PKCS#8.",VALIDATED,Evidence needs extraction from source | PQC support validated with digital proof.
OpenSSL,CSC-001,Cryptographic Libraries,"Libraries,Security Stack","Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)","Full support for NIST-standardized PQC algorithms including ML-KEM (Module-Lattice-Based Key-Encapsulation Mechanism) for key exchange, ML-DSA (Module-Lattice-Based Digital Signature Algorithm) for signatures, and SLH-DSA (Stateless Hash-Based Digital Signature Algorithm). Enables quantum-safe TLS 1.3 connections with hybrid mode support.",Open Source,Apache-2.0,3.6.1,2026-01-27,Yes (FIPS 140-3),Critical,Linux macOS Windows Android OpenVMS,All industries,https://www.openssl.org/,https://github.com/openssl/openssl,Robust commercial-grade TLS/SSL and crypto library. Implements TLS 1.3 DTLS 1.3 and QUIC protocols. Reference implementation for cryptographic operations used by majority of HTTPS websites.,Community/Commercial,Verified,2026-02-13,"prepare,test,migrate",code-signing;compliance-strategy;crypto-agility;crypto-dev-apis;dev-quantum-impact;email-signing;entropy-randomness;hybrid-crypto;os-pqc;pqc-101;quantum-threats;tls-basics,VND-049,openssl-project,doc-extraction,https://openssl-library.org/post/2026-01-27-release-announcement/,2026-01-27,"OpenSSL 3.6.1 confirmed released 2026-01-27. PQC (ML-KEM, ML-DSA, SLH-DSA) added in 3.5.0. FIPS 140-3 submission via OpenSSL 3.5.4 submitted Oct 2025 but NOT YET CERTIFIED. FIPS: OpenSSL 3.5.4 FIPS module submitted to CMVP Oct 2025. NOT YET CERTIFIED.",PARTIALLY_VALIDATED,"Version and PQC algorithms correct. FIPS 140-3 claim is PREMATURE - submitted to CMVP but no certificate issued yet. Should read ""FIPS 140-3 (submitted, pending)""."
Google Tink,CSC-001,Cryptographic Libraries,"Libraries,Security Stack","Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)","Multi-language library (C++, Go, Java). Experimental PQC access available in C++. HPKE (Hybrid Public Key Encryption) support is shipping in stable releases. NIST PQC algorithm integration (ML-KEM, ML-DSA) in progress but not yet in stable releases. Used in Google infrastructure and Cloud KMS. Project restructured into language-specific repos (tink-java, tink-go, etc.).",Open Source,Apache-2.0,1.20.0,2025-12,Yes (via BoringCrypto),Critical,Cross-platform,All industries,https://developers.google.com/tink,https://github.com/tink-crypto/tink-java,Google's multi-language crypto library designed for safe and simple API usage. PQC suite integration in progress.,Community/Commercial,Verified,2026-03-30,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-018,google,doc-extraction,https://developers.google.com/tink/roadmap,2025,Tink supports ML-DSA and SLH-DSA in C++ and Go. HPKE with ML-KEM for Java/C++/Go/Python.,VALIDATED,PQC support validated with digital proof.
Botan,CSC-001,Cryptographic Libraries,Libraries,Yes (with details),"Supports hybrid post-quantum key exchange in TLS 1.3 using ML-KEM or FrodoKEM. Includes post-quantum signature schemes: ML-DSA (Dilithium), SLH-DSA (SPHINCS+), HSS/LMS, XMSS. Includes post-quantum key encapsulation schemes: ML-KEM (Kyber), FrodoKEM, Classic McEliece.",Open Source,BSD-2,3.11.0,2025-11-06,No,High,Linux Windows macOS BSD,All industries,https://botan.randombit.net/,https://github.com/randombit/botan,Feature-rich C++ crypto library. BSI project for PQC reference implementations.,Open Source Foundation,Verified,2026-03-30,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-069,oqs-project,doc-extraction,https://botan-crypto.org/pqc/,2025,"Botan 3.2.0: ML-KEM, SPHINCS+, XMSS, FrodoKEM. Hybrid TLS 1.3.",VALIDATED,PQC support validated with digital proof.
SafeLogic CryptoComply,CSC-001,Cryptographic Libraries,Libraries,Yes (ACVP: ML-KEM),FIPS 140-3 validated cryptographic modules. Supports hybrid mode (classical + PQC) and includes CryptoComply PQ TLS for quantum-safe data in transit. Drop-in OpenSSL compatibility. CryptoComply Go v4.0 adds all NIST PQC algorithms (ML-KEM FIPS 203 ML-DSA FIPS 204 SLH-DSA FIPS 205). PQC capabilities rolled out across Core v3.5 (OpenSSL-based) Mobile v3.5 Java v4 and Go v4.,Commercial,Commercial,Go v4.0,2026-01,Yes (FIPS 140-3),Critical,Linux Windows macOS Mobile,"Finance, Government, Healthcare, Defense",https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18289,,Enterprise cryptographic modules with immediate PQC support and FIPS validation.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",aerospace-pqc;dev-quantum-impact;healthcare-pqc;hybrid-crypto;tls-basics,VND-034,nist-csrc,doc-extraction,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4781,2023,CryptoComply v3 FIPS 140-3 cert #4781 CONFIRMED. 25+ OE. ACVP 18289 claim unverifiable.,FIPS_ISSUE,ACVP certificate 18289 claim cannot be verified in NIST database.
SAP Cryptographic Library,CSC-001,Cryptographic Libraries,Libraries,Yes (with details),"Version 8.6 enables quantum-safe TLS 1.3 handshake using hybrid ECDHE-MLKEM key agreement based on X25519MLKEM768. ML-KEM is a standardized FIPS-203 algorithm for key encapsulation, preventing session key decryption by quantum computers.",Commercial,Commercial,8.6,2025-12-12,Yes (CommonCryptoLib FIPS 140-3 L1 #5093),Critical,SAP Ecosystem,All industries,https://community.sap.com/t5/technology-blogs-by-sap/new-version-8-6-of-the-sap-cryptographic-library-with-quantum-safe/ba-p/14280039,,SAP's proprietary cryptographic library now enabling PQC for SAP applications and secure communications.,Trusted Vendor,Verified,2026-03-25,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-033,sap,doc-extraction,https://community.sap.com/t5/technology-blog-posts-by-sap/new-version-8-6-of-the-sap-cryptographic-library-with-quantum-safe/ba-p/14280039,2025-12,SAP CommonCryptoLib Crypto Kernel FIPS 140-3 L1 #5093 CONFIRMED.,FIPS_VERIFIED,FIPS claim verified.
PQShield PQSDK,CSC-001,Cryptographic Libraries,Libraries,"Yes (ACVP: ML-DSA, ML-KEM)","Comprehensive SDK for PQC integration. Features PQCryptoLib-Core (FIPS 140-3 certified) and PQCryptoLib-Soft. Supports mobile, server, and embedded.",Commercial,Commercial,Current,2025,Yes (FIPS 140-3),Critical,Cross-platform Embedded,All industries,https://pqshield.com/products/pqc-sdk/,,PQShield PQCryptoLib-SDK development kit (also marketed as PQSDK). High-assurance post-quantum cryptography SDK for enterprise and embedded security. Note: product is formally named PQCryptoLib-SDK.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;tls-basics,VND-030,pqshield,doc-extraction,https://pqshield.com/pqshield-achieves-first-fips-140-3-certification/,2025,PQCryptoLib FIPS 140-3 interim certification CONFIRMED for hybrid PQC+classical.,FIPS_VERIFIED,FIPS claim verified.
Go stdlib crypto/mlkem,CSC-001,Cryptographic Libraries,Libraries,"Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)",Native ML-KEM-768 and ML-KEM-1024 since Go 1.24 (Feb 2025). Hybrid post-quantum TLS enabled by default since Go 1.24 combining classical elliptic-curve cryptography with ML-KEM. Go 1.26 adds crypto/hpke and crypto/mlkem/mlkemtest packages with derandomized encapsulation for known-answer tests. FIPS 203 compliant.,Open Source,BSD-3-Clause,1.26,2026-02-10,Yes (Go FIPS Module),Critical,Cross-platform,All industries,https://pkg.go.dev/crypto/mlkem,https://github.com/golang/go/tree/master/src/crypto/mlkem,Standard library implementation of NIST FIPS 203 key encapsulation. Hybrid PQC TLS default since Go 1.24; Go 1.26 adds crypto/hpke and mlkemtest.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-018,nist-csrc,doc-extraction,https://go.dev/blog/fips140,2024,"Go FIPS Module CAVP A6650 CONFIRMED. CMVP on MIP list, not yet certified.",FIPS_ISSUE,FIPS claim premature - on MIP list but no CMVP certificate issued.
RustCrypto ml-kem,CSC-001,Cryptographic Libraries,Libraries,Yes (ML-KEM/FIPS 203),"Implements ML-KEM (formerly Kyber), a post-quantum secure key encapsulation mechanism standardized by NIST in FIPS 203. Supports three security levels: MlKem512 (128-bit), MlKem768 (192-bit), and MlKem1024 (256-bit). Implementation is pure Rust, version 0.2.3. Security warning states it has never been independently audited.",Open Source,Apache-2.0/MIT,0.2.3,2025-10,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/ml-kem,https://github.com/RustCrypto/KEMs/tree/master/ml-kem,Pure Rust ML-KEM implementation standardizing on FIPS 203.,Open Source Community,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050,nist-csrc,no-cert-backing; v0.3.0 is RC only,https://github.com/RustCrypto/KEMs/tree/master/ml-kem,2024-08-16,Pure Rust FIPS 203 ML-KEM v0.2.0. All three security levels.,VALIDATED,PQC support validated with digital proof.
RustCrypto ml-dsa,CSC-001,Cryptographic Libraries,Libraries,Yes (ML-DSA / CRYSTALS-Dilithium),"Implements ML-DSA (formerly CRYSTALS-Dilithium) per FIPS 204 final. Supports parameter sets MlDsa44 (Category 2), MlDsa65 (Category 3), and MlDsa87 (Category 5). Implementation is pure Rust, supports `no_std`, and includes key generation, signing, and verification. Warning: Never independently audited; use at own risk.",Open Source,Apache-2.0/MIT,0.0.4,2025,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/ml-dsa,https://github.com/RustCrypto/signatures/tree/master/ml-dsa,Pure Rust ML-DSA implementation compliant with FIPS 204.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050,nist-csrc,doc-extraction,https://github.com/RustCrypto/signatures,2024,Pure Rust ML-DSA/FIPS 204. Known security advisory GHSA-5x2r-hc65-25f9.,VALIDATED,PQC validated. Note: Known vulnerability in signature verification. | SECURITY: Known vulnerability GHSA-5x2r-hc65-25f9 (Jan 2026). Signature verification incorrectly accepts repeated hint indices.
RustCrypto slh-dsa,CSC-001,Cryptographic Libraries,Libraries,Yes (SLH-DSA/SPHINCS+ implemented per FIPS-205),"Implements Stateless Hash-based Digital Signature Algorithm (SLH-DSA) based on SPHINCS+, finalized in NIST FIPS-205. Supports 12 parameter sets (SHA2 and SHAKE variants at L1, L3, L5 security). Signatures range from 7KB to 50KB. Implementation is not independently audited; requires Rust 1.75+.",Open Source,Apache-2.0/MIT,0.1.0,2025,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/slh-dsa,https://github.com/RustCrypto/signatures/tree/master/slh-dsa,Pure Rust SLH-DSA implementation compliant with FIPS 205.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050,nist-csrc,doc-extraction,https://github.com/RustCrypto/signatures/tree/master/slh-dsa,2024-08,Pure Rust FIPS-205 SLH-DSA. All 12 NIST parameter sets. Zero unsafe code.,VALIDATED,PQC support validated with digital proof.
pqcrypto,CSC-001,Cryptographic Libraries,Libraries,Yes (bindings to NIST competition algorithms via PQClean),"Provides Rust bindings to C implementations of cryptographic algorithms from the NIST competition, generated from the PQClean project. Supports variants controlled by `implementations.yaml`. Maturity is indicated by repository activity and documentation on docs.rs.",Open Source,Apache-2.0/MIT,0.18.1,2024-12,No,Medium,Cross-platform,All industries,https://crates.io/crates/pqcrypto,https://github.com/rustpq/pqcrypto,Rust wrapper around PQClean providing FFI bindings to reference implementations.,Open Source Community,Verified,2026-03-31,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-080,oqs-project,doc-extraction,https://github.com/rustpq/pqcrypto,2024,"Rust bindings to PQClean: ML-KEM, SLH-DSA, SPHINCS+. 231K+ downloads.",VALIDATED,PQC support validated with digital proof.
liboqs-rust (oqs crate),CSC-001,Cryptographic Libraries,Libraries,Yes (Supports KEMs and Signature schemes including NIST standardization candidates),"Provides Rust wrappers for liboqs, a C library for quantum-resistant cryptography. Supports KEMs (BIKE, Classic McEliece, FrodoKEM, HQC, Kyber, ML-KEM, NTRU Prime) and Signatures (Cross, Dilithium, Falcon, Mayo, ML-DSA, SPHINCS+, UOV). Designed for prototyping; recommends hybrid cryptography alongside traditional algorithms.",Open Source,Apache-2.0/MIT,0.11.0,2025-04,No,High,Cross-platform,All industries,https://crates.io/crates/oqs,https://github.com/open-quantum-safe/liboqs-rust,Official Rust bindings for the Open Quantum Safe library.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-048,oqs-project,doc-extraction,https://github.com/open-quantum-safe/liboqs-rust,2024,"Rust bindings to liboqs C library: ML-KEM (FIPS 203), ML-DSA (FIPS 204).",VALIDATED,"FN-DSA/FIPS 206 is still in draft - not yet finalized by NIST; HQC was selected as 5th PQC algorithm by NIST in March 2025, standardization in progress | PQC support validated with digital proof."
mlkem-native,CSC-001,Cryptographic Libraries,Libraries,Yes (ML-KEM / FIPS 203),"Implementation of ML-KEM (FIPS 203) with support for security levels 512, 768, and 1024. Includes formal verification (CBMC, HOL-Light) for memory safety, type safety, and constant-time execution on AArch64 and x86_64. Supports native backends for Arm, Intel/AMD, and RISC-V. Used as a default implementation in libOQS, AWS-LC, and rustls.",Open Source,Apache-2.0/MIT/ISC,1.0.0,2025-06-04,No (Formally Verified),Critical,Linux macOS (AArch64 optimized),All industries,https://github.com/pq-code-package/mlkem-native,https://github.com/pq-code-package/mlkem-native,High-assurance production-ready ML-KEM implementation formally verified for correctness.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-079,pqca,doc-extraction,https://github.com/pq-code-package/mlkem-native,2024-08-13,C90 ML-KEM/FIPS 203 implementation. All code proved memory-safe via CBMC. Assembly formally verified.,VALIDATED,PQC support validated with digital proof.
leancrypto,CSC-001,Cryptographic Libraries,Libraries,Yes (with details),"The library exclusively contains PQC-resistant algorithms. It implements NIST-approved schemes: ML-DSA/Dilithium, ML-KEM/Kyber, SLH-DSA/Sphincs+, and BIKE. Accelerated implementations exist for x86_64, ARMv7/ARMv8, and RISCV64. Algorithms are tested with NIST ACVP and hold official CAVP certificates.",Open Source,GPL-2.0+/BSD/Leancrypto,Current,2025,Yes (CAVP for Hash),High,Embedded Bare-metal Linux,All industries,https://github.com/smuellerDD/leancrypto,https://github.com/wolfeidau/leancrypto,Lean crypto library optimized for small footprint embedded environments.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;iot-ot-pqc;tls-basics,VND-087,oqs-project,doc-extraction,https://leancrypto.org/leancrypto/cavp_certificates/index.html,2024,First-ever ML-DSA and ML-KEM CAVP certificates obtained. Hash CAVP also validated.,FIPS_ISSUE,"CAVP claim understated - has ML-DSA and ML-KEM CAVP, not just hash."
