id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs,body_type,website
NERC-CIP,NERC CIP,North American Electric Reliability Corporation Critical Infrastructure Protection,Energy & Utilities,United States;Canada,yes,Ongoing,Mandatory cybersecurity standards for bulk power systems. Crypto controls in CIP-005/007/011.,NERC,,,compliance_framework,https://www.nerc.com/pa/Stand/Pages/CIPStandards.aspx
IEC-62443,IEC 62443,Industrial cybersecurity standard for OT/ICS environments,Energy & Utilities;Aerospace,Global,yes,Ongoing,Defense-in-depth for industrial control systems. PQC relevant for long-lived OT deployments.,IEC,,,technical_standard,https://www.iec.ch/iecnorex/
DO-326A,DO-326A / ED-202A,Airworthiness security process specification for aircraft systems,Aerospace,Global,yes,Ongoing,Aviation cybersecurity certification basis. PQC critical given 30-40 year aircraft lifespans.,RTCA/EUROCAE,,,technical_standard,https://www.rtca.org
RTCA-DO-355A,RTCA DO-355A,Information security guidance for continuing airworthiness,Aerospace,Global,yes,Ongoing,Supplement to DO-326A for operational phase. Covers cryptographic controls in service.,RTCA,,,technical_standard,https://www.rtca.org
FERPA,FERPA,Family Educational Rights and Privacy Act,Education,United States,no,Ongoing,Student record confidentiality. Long retention periods imply HNDL exposure for sensitive records.,US Dept of Education,,,compliance_framework,https://studentprivacy.ed.gov/ferpa
NIS2,NIS2 Directive,EU network and information security directive for essential and important entities,Technology;Finance & Banking;Healthcare;Energy & Utilities;Telecommunications,European Union,yes,October 2024 (transposition passed — enforcement underway),EU-wide cybersecurity baseline for essential and important entities. Member states were required to transpose NIS2 by October 2024; enforcement is now active across the EU.,ENISA/EU Member States,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://www.enisa.europa.eu/topics/cybersecurity-policy/nis2-directive
COPPA,COPPA,US Children's Online Privacy Protection Act,Education;Technology,United States,no,Ongoing,Protects children under 13 online. PQC relevant for long-lived minor data and parental consent records.,FTC,,,compliance_framework,https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa
TISAX,TISAX,Trusted Information Security Assessment Exchange for automotive supply chain,Automotive,European Union,no,Ongoing,VDA-managed assessment for automotive suppliers. Covers information security including cryptographic controls.,VDA/ENX,,,compliance_framework,https://portal.enx.com/en-US/TISAX/
MICA,MiCA,EU Markets in Crypto-Assets Regulation,Finance & Banking,European Union,no,2024 (phased; fully effective Dec 30 2024),"EU regulation for crypto-asset service providers (cryptocurrencies and digital tokens). MiCA itself is not a cryptography standard, but security requirements for digital wallets and custody systems are indirectly affected by PQC migration. Stablecoin titles applied from June 30 2024; full regulation from December 30 2024.",ESMA/EBA,,European Union:EC;European Union:ECCG,compliance_framework,https://www.esma.europa.eu/esmas-activities/digital-finance-and-innovation/markets-crypto-assets-regulation-mica
TSA-PIPELINE,TSA Pipeline Security Directive,US TSA cybersecurity requirements for pipeline operators,Energy & Utilities,United States,yes,Ongoing,Mandatory cybersecurity measures for critical pipeline infrastructure. Covers encryption for SCADA/OT.,TSA,,,compliance_framework,https://www.tsa.gov/pipeline
NIST-IR-8547,NIST IR 8547,NIST transition to post-quantum cryptography standards guidance,Government & Defense;Finance & Banking;Technology;Healthcare;Energy & Utilities,United States;Canada;Australia,yes,"2030 (deprecate), 2035 (disallow)",Transition guidance recommending deprecation of 112-bit classical asymmetric algorithms by 2030 and disallowance by 2035.,NIST,NIST IR 8547,United States:NIST,technical_standard,https://csrc.nist.gov/pubs/ir/8547/ipd
ASD-ISM,ASD ISM,Australian Signals Directorate Information Security Manual,Government & Defense,Australia,yes,2030 (ISM-1917 effective — traditional crypto prohibited),"ISM control ISM-1917 requiring ML-DSA-87, ML-KEM-1024, SHA-384/512, AES-256. Full PQC transition by 2030.",ASD,Australia ASD PQC Guidance,Australia:ASD,compliance_framework,https://www.cyber.gov.au/resources-business-and-government/essential-cyber-security/ism
CCCS-ITSM,CCCS ITSM.40.001,Canadian Centre for Cyber Security roadmap for PQC migration,Government & Defense,Canada,yes,2025 (effective June 23 2025),Roadmap for migration to PQC for Canadian government systems.,CCCS,Canada CSE PQC Guidance,Canada:CCCS,compliance_framework,https://www.cyber.gc.ca/en/guidance/itsm400001-guidance-quantum-cryptography
EU-REC-2024-1101,EU Recommendation 2024/1101,European Commission coordinated PQC implementation roadmap,Government & Defense;Technology;Finance & Banking,European Union,yes,2030 (critical systems),Coordinated implementation roadmap for PQC transition across EU member states. NIS Cooperation Group Roadmap v1.1 (June 2025) provides harmonized timelines and cross-border coordination.,European Commission,EU PQC Recommendation;ENISA PQC Guidelines;EU-NIS-CG-Roadmap-v1.1;EC-Recommendation-2024-1101,European Union:EC,compliance_framework,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32024H1101
BSI-TR-02102,BSI TR-02102,"German BSI technical guideline for cryptographic mechanisms, TLS, IPsec, SSH",Government & Defense;Technology,Germany,yes,Ongoing (v2026-01 update),BSI technical guideline series covering PQC recommendations including ML-KEM and ML-DSA. v2026-01 recommends hybrid PQC now; classical-only Diffie-Hellman key agreement recommended only until end of 2031.,BSI,BSI TR-02102-1;BSI TR-02102-2;BSI TR-02102-3;BSI TR-02102-4,Germany:BSI,technical_standard,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/Technische-Richtlinien/TR-nach-Thema-sortiert/tr02102/tr02102_node.html
UK-NCSC,UK NCSC PQC Guidance,UK National Cyber Security Centre quantum-safe cryptography guidance,Government & Defense;Technology;Finance & Banking,United Kingdom,yes,"2028 (plans); 2031 (high-priority); 2035 (full)","Three-phase roadmap: Phase 1 (now-2028) identify crypto services and build migration plans; Phase 2 (2028-2031) execute high-priority upgrades; Phase 3 (2031-2035) complete full migration to PQC across all systems.",NCSC,UK NCSC PQC Guidance,United Kingdom:NCSC,compliance_framework,https://www.ncsc.gov.uk/collection/pqc-migration-guidance
CRYPTREC,CRYPTREC,Japan Cryptography Research and Evaluation Committees PQC guidelines,Government & Defense;Technology,Japan,yes,Ongoing (GL-2004-2022),Japanese government cryptographic evaluation body publishing PQC guidelines and preparing detailed transition guidance.,CRYPTREC,Japan CRYPTREC Report 2024,Japan:CRYPTREC,compliance_framework,https://www.cryptrec.go.jp/en/
MAS-CIRCULAR,MAS Circular,Monetary Authority of Singapore financial services PQC advisory,Finance & Banking,Singapore,yes,Ongoing (February 2024),MAS/TCRS/2024/01 requiring Singapore financial services to prepare PQC transition plans.,MAS,Singapore-CSA-Quantum-Safe-Handbook,Singapore:MAS,compliance_framework,https://www.mas.gov.sg/regulation/circulars
KPQC-STD,KpqC Standardization,Korea Post-Quantum Cryptography standardization program with national PQC transition roadmap,Government & Defense;Telecommunications;Finance & Banking;Technology,South Korea,yes,2035 (full migration),"KpqC Round 1 winners (Jan 2025): HAETAE, AIMer, SMAUG-T, NTRU+. MSIT pilot phase 2025-2028.",KISA/NIS/MSIT,,South Korea:NIS/KISA;South Korea:MSIT,standardization_body,https://kpqc.or.kr
KCMVP,KCMVP,Korean Cryptographic Module Validation Program for government systems,Government & Defense;Finance & Banking;Technology,South Korea,no,Ongoing,Mandatory module validation for Korean government. PQC algorithm integration expected after KpqC standardization completes (~2027-2028).,NIS,,South Korea:NIS/KISA,certification_body,https://www.nis.go.kr
NZISM,NZISM,New Zealand Information Security Manual with PQC preparation requirements,Government & Defense;Technology,New Zealand,yes,2026-2030 (phased transition),NZISM v3.9 (Nov 2025) Section 2.4 on PQC preparation. 19 agencies implementing. Aligned with Five Eyes.,GCSB/NCSC,,New Zealand:GCSB,compliance_framework,https://www.gcsb.govt.nz/our-work/ncsc/nzism/
INCD-PQC,INCD PQC Guidance,Israel National Cyber Directorate post-quantum readiness guidance,Government & Defense;Technology,Israel,yes,2025 (government assessments),PQC readiness guide published Jan 2022. Government ministries must complete quantum threat assessment and require PQC in new contracts by end 2025.,INCD,,Israel:INCD;Israel:INCD/BOI,compliance_framework,https://www.gov.il/en/departments/incd
BOI-PQC,BOI Quantum Risk Directive,Bank of Israel directive requiring financial institutions to manage quantum risk,Finance & Banking,Israel,yes,2025 (effective January 7),Directive Letter 202501EN requiring quantum risk management including HNDL exposure assessment and PQC transition planning.,Bank of Israel,,Israel:BOI,compliance_framework,https://www.boi.org.il/en/markets/pages/default.aspx
OSCCA-NGCC,OSCCA NGCC Program,China Next-Generation Commercial Cryptographic algorithms standardization program,Government & Defense;Finance & Banking;Technology;Telecommunications,China,yes,2027-2030 (estimated),NGCC call for proposals launched Feb 2025 by ICCS. China developing independent PQC algorithms to supplement SM-series. Financial sector migration estimated 2027-2030.,SCA/OSCCA,,China:ICCS,standardization_body,https://www.sca.gov.cn
NCSC-CH,Swiss NCSC PQC Guidance,Swiss National Cyber Security Centre post-quantum cryptography migration recommendations,Government & Defense;Finance & Banking;Technology,Switzerland,yes,Ongoing (2023 guidance),NCSC Switzerland published PQC migration recommendations for the federal government and critical infrastructure operators. Aligned with NIST FIPS 203/204/205 and European guidance from BSI/ANSSI. No mandatory hard deadline; migration is recommended to begin now.,Swiss NCSC,,,compliance_framework,https://www.ncsc.admin.ch
NCSC-NL,NCSC-NL PQC Guidance,Dutch National Cyber Security Centre post-quantum cryptography migration guide,Government & Defense;Technology,Netherlands,yes,Ongoing (2023 guide),NCSC-NL published a comprehensive PQC factsheet and migration guide for Dutch government and organisations. Covers algorithm selection aligned with NIST PQC standards and transition planning. Guidance rather than mandatory regulation.,NCSC-NL,,,compliance_framework,https://www.ncsc.nl/en
EUCC,EUCC,EU Cybersecurity Certification Scheme for ICT products based on Common Criteria,Government & Defense;Technology,European Union,yes,Ongoing (applicable from January 27 2025),"Commission Implementing Regulation (EU) 2024/482 establishes EUCC as the EU-wide ICT product security certification scheme, replacing fragmented national Common Criteria schemes. Three assurance levels: basic (AVA_VAN.1/2), substantial (AVA_VAN.3), high (AVA_VAN.4/5). Cryptographic requirements are defined in the Agreed Cryptographic Mechanisms (ACM) — v2.0 (April 2025) added PQC algorithms including ML-KEM and ML-DSA. National certification authorities (NCAs) in each EU member state issue EUCC certificates.",ECCG/ENISA,EUCC v2.0 ACM,European Union:ECCG,certification_body,https://www.enisa.europa.eu/topics/certification/eucc
ANSSI-BODY,ANSSI,Agence nationale de la sécurité des systèmes d'information — France's national cybersecurity authority,Government & Defense;Technology,France,yes,Ongoing,"ANSSI is France's primary cybersecurity authority, publishing PQC guidance since 2022. Key publications include the 2022 PQC Position Paper and 2024 Follow-Up Paper recommending hybrid PQC for new systems. ANSSI coordinates with ENISA and BSI on European PQC harmonization.",ANSSI,ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper,France:ANSSI,standardization_body,https://www.ssi.gouv.fr
CRYPTREC-BODY,CRYPTREC,Cryptography Research and Evaluation Committees — Japan's government body evaluating cryptographic techniques for public and government use,Government & Defense;Technology,Japan,yes,Ongoing,CRYPTREC is a joint committee of Japan's Ministry of Internal Affairs (MIC) and METI. Publishes the CRYPTREC Ciphers List (approved algorithms for e-Government systems). Active PQC evaluation programme aligned with NIST outcomes. Annual technical reports cover PQC migration readiness.,CRYPTREC,Japan CRYPTREC Report 2024,Japan:CRYPTREC,standardization_body,https://www.cryptrec.go.jp/en/
KISA-BODY,KISA / NIS,Korea Internet & Security Agency and National Intelligence Service — South Korea's cybersecurity and cryptography standardization authorities,Government & Defense;Technology;Telecommunications,South Korea,yes,Ongoing,KISA (under MSIT) leads Korean internet security and runs the KpqC competition for domestic PQC algorithms. NIS oversees KCMVP (Korean Cryptographic Module Validation Program). Together they define cryptographic requirements for government systems and are driving Korea's PQC transition roadmap targeting 2035.,KISA/NIS,,South Korea:NIS/KISA,standardization_body,https://www.kisa.or.kr/eng/
OSCCA-BODY,OSCCA / SCA,Office of State Commercial Cryptography Administration (国家密码管理局) — China's regulatory authority for commercial cryptography,Government & Defense;Finance & Banking;Technology,China,yes,Ongoing,OSCCA (now operating as SCA — State Cryptography Administration) regulates all commercial cryptography in China. Administers the SM-series algorithms (SM2/SM3/SM4) as national standards. Launched the NGCC (Next-Generation Commercial Cryptographic) call for proposals in Feb 2025 to develop China-indigenous PQC algorithms alongside NIST-aligned ones.,SCA/OSCCA,,China:ICCS,standardization_body,https://www.sca.gov.cn
ETSI,ETSI,European Telecommunications Standards Institute — global standards body for telecoms PQC including quantum-safe algorithm suites for 5G/6G,Telecommunications;Technology;Government & Defense,Global,yes,Ongoing,"ETSI's Quantum Safe Cryptography (QSC) working group (TC CYBER WG QSC) publishes technical reports and specifications for PQC in telecoms. Key outputs: ETSI TS 103 744 (QSC for telecoms), ETSI TR 103 619 (migration guidance), ETSI GR QSC 001 (quantum threats survey). Works in liaison with NIST, ISO/IEC and 3GPP SA3.",ETSI,ETSI TR 103 619;ETSI TS 103 744,International:ETSI/IQC,standardization_body,https://www.etsi.org/technologies/quantum-safe-cryptography
BSI,BSI,German Federal Office for Information Security — Europe's most detailed national PQC technical guidance authority,Government & Defense;Technology,Germany,yes,Ongoing,BSI (Bundesamt für Sicherheit in der Informationstechnik) publishes the TR-02102 series — the most technically detailed national PQC cryptographic guidelines globally. Coordinates with ANSSI and ENISA on European PQC harmonization. BSI issues PQC product certifications under the national CC scheme and the EUCC scheme.,BSI,BSI TR-02102-1;BSI TR-02102-2;BSI TR-02102-3;BSI TR-02102-4,Germany:BSI,standardization_body,https://www.bsi.bund.de/EN/Topics/Cryptography/cryptography_node.html
NSA,NSA,US National Security Agency — mandates PQC for all national security systems via CNSA 2.0 with the most aggressive government timeline,Government & Defense,United States,yes,Ongoing,"NSA's CNSA 2.0 (Commercial National Security Algorithm Suite 2.0) mandates ML-KEM, ML-DSA, SLH-DSA, and LMS/XMSS for all US national security systems. Phased deadlines by category: software/firmware signing prefer 2025 exclusively 2030; web/cloud 2025/2033; networking 2026/2030; OS 2027/2033; legacy 2030-2033. NSA also issues CSfC (Commercial Solutions for Classified) addenda incorporating PQC guidance.",NSA,NSA CNSA 2.0;NSA CNSA 2.0 FAQ;NSA CSfC PQC Guidance Addendum,United States:NSA,standardization_body,https://www.nsa.gov/Cybersecurity/CNSA-2-0/
CMMC,CMMC,Cybersecurity Maturity Model Certification — US DoD supply chain cybersecurity certification requirement,Government & Defense;Technology,United States,no,No explicit PQC timeline yet,CMMC 2.0 (effective since Dec 2024) requires cybersecurity practices for DoD contractors. Cryptographic controls align with NIST SP 800-171 and FIPS 140-3. PQC requirements expected as NIST SP 800-171 is updated to align with NIST IR 8547 transition guidance.,DoD/OUSD(A&S),NIST IR 8547,,compliance_framework,https://dodcio.defense.gov/CMMC/
FISMA,FISMA,Federal Information Security Modernization Act — mandates information security programs for all US federal agencies,Government & Defense,United States,yes,2030 (aligned with NIST IR 8547),"FISMA requires federal agencies to follow NIST security standards including cryptographic controls. As NIST SP 800-53 and NIST IR 8547 transition guidance are updated, FISMA compliance will require PQC migration by 2030. OMB Memorandum M-23-02 already references quantum risk. FedRAMP (cloud) and DISA STIGs (DoD) both derive from FISMA.",OMB/CISA,NIST IR 8547;CISA-PQC-CATEGORY-LIST-2026,United States:NIST,compliance_framework,https://www.cisa.gov/topics/cyber-threats-and-advisories/federal-information-security-modernization-act
EU-CRA,EU Cyber Resilience Act,EU regulation establishing cybersecurity requirements for connected products throughout their lifecycle,Technology;Energy & Utilities;Automotive;Telecommunications,European Union,yes,2027 (enforcement begins),"Regulation (EU) 2024/2847 — the EU Cyber Resilience Act mandates security-by-design for products with digital elements sold in the EU. Cryptographic requirements apply to connected devices over their entire support lifecycle. PQC relevance: devices shipped before 2030 must remain secure through 2040+ — HNDL risk makes PQC-readiness a CRA requirement. Applies to manufacturers, importers, and distributors.",European Commission/ENISA,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://digital-strategy.ec.europa.eu/en/policies/cyber-resilience-act
INDIA-DST-PQC,India DST/NQM PQC Roadmap,India National Quantum Mission post-quantum cryptography migration roadmap for all sectors,Government & Defense;Finance & Banking;Telecommunications;Energy & Utilities;Technology,India,yes,2027 (CII foundations); 2033 (full nationwide),India DST/NQM published comprehensive national PQC roadmap (Feb 2026) with mandatory CBOM submissions starting FY 2027-28. Critical Information Infrastructure migration by 2029. Full nationwide PQC adoption by 2033. Hybrid PQC plus QKD recommended for high-assurance applications.,DST/NQM,,India:DST/NQM,compliance_framework,https://dst.gov.in/
HKMA-PQC,HKMA Fintech 2030 Quantum Preparedness,Hong Kong Monetary Authority quantum preparedness framework for financial institutions,Finance & Banking,Hong Kong,yes,2027 (readiness assessment); 2030 (full migration),"HKMA Fintech 2030 Quantum Preparedness Index requires all regulated banks to complete formal quantum preparedness assessment by 2027 covering cryptographic inventory, CBOM, and migration roadmap. Full PQC migration target by 2030 aligned with BIS and MAS timelines. Critical Infrastructure Cybersecurity Ordinance effective Jan 2026 covers 8 sectors.",HKMA,,Hong Kong:HKMA,compliance_framework,https://www.hkma.gov.hk/
