ref_id,source_name,category,source_type,pillar,maturity_level,asset_class,requirement,evidence_quote,evidence_location,source_url,confidence,extraction_model,extraction_date
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,assurance,3,all,Validate cryptographic modules against FIPS 140-3 via accredited laboratories to ensure conformance before deployment.,"The Cryptographic Module Validation Program (CMVP) validates cryptographic modules to Federal Information Processing Standard (FIPS) 140-3... In the CMVP, vendors of cryptographic modules use independent, accredited Cryptographic and Security Testing (CST) laboratories to have their modules tested.","Section 3, Paragraph 3",https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-23
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,assurance,2,all,Ensure cryptographic modules employ only approved security functions specified in FIPS or NIST Special Publications.,"Cryptographic modules that conform to this standard shall employ Approved security functions such as cryptographic algorithms, cryptographic key management techniques, and authentication techniques that have been approved for protecting Federal government sensitive information.",Section 10,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-23
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,lifecycle,2,all,Develop acquisition plans for FIPS 140-3 compliant products and avoid using historical validation lists for procurement.,"Agencies should develop plans for the acquisition of products that are compliant with FIPS 140-3; however, agencies may purchase any of the products on the CMVP validated modules list. (Note: the CMVP Historical list should not be used for procurement decisions.)",Section 12,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-23
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,governance,2,all,Assign responsibility to the operator and responsible authority for ensuring module security sufficiency and accepting residual risk.,The operator of a cryptographic module is responsible for ensuring that the security provided by a module is sufficient and acceptable to the owner of the information that is being protected and that any residual risk is acknowledged and accepted. The responsible authority in each agency shall ensure that the security of the system is sufficient and acceptable.,Section 13,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-23
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,governance,2,all,Establish a review cycle of at least every five years to consider necessary updates or replacement of the standard.,This standard will be reviewed at least every five years in order to consider necessary updates or replacement.,Section 13,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,qwen3.5:27b,2026-04-23
CC-2022-PART1,Common Criteria 2022 Part 1 — Introduction and General Model (R1),Certification Schemes,Standard,assurance,3,all,Define security assurance requirements (SARs) to establish grounds for confidence that the TOE meets security functional requirements.,assurance: grounds for confidence that a target of evaluation (TOE) meets the security functional requirements (SFRs),Section 3.6,https://www.commoncriteriaportal.org/files/ccfiles/CC2022PART1R1.pdf,high,qwen3.5:27b,2026-04-23
CC-2022-PART1,Common Criteria 2022 Part 1 — Introduction and General Model (R1),Certification Schemes,Standard,assurance,3,all,Utilize named sets of security assurance requirements (assurance packages) to standardize evaluation levels.,assurance package: named set of security assurance requirements,Section 3.7,https://www.commoncriteriaportal.org/files/ccfiles/CC2022PART1R1.pdf,high,qwen3.5:27b,2026-04-23
CC-2022-PART1,Common Criteria 2022 Part 1 — Introduction and General Model (R1),Certification Schemes,Standard,inventory,2,all,Identify and define the Target of Evaluation (TOE) boundaries to establish the scope of the security evaluation.,establishes the core concept of a Target of Evaluation (TOE); describes the evaluation context,Section 1,https://www.commoncriteriaportal.org/files/ccfiles/CC2022PART1R1.pdf,high,qwen3.5:27b,2026-04-23
CC-2022-PART1,Common Criteria 2022 Part 1 — Introduction and General Model (R1),Certification Schemes,Standard,inventory,2,all,Document the operational environment and different configurations of the TOE to ensure complete estate visibility.,Different configurations of the TOE; Operational environment of the TOE,"Section 5.3.4, 5.3.5",https://www.commoncriteriaportal.org/files/ccfiles/CC2022PART1R1.pdf,high,qwen3.5:27b,2026-04-23
CC-2022-PART1,Common Criteria 2022 Part 1 — Introduction and General Model (R1),Certification Schemes,Standard,lifecycle,2,all,Establish a Security Problem Definition (SPD) including threats and organizational security policies to guide the evaluation lifecycle.,Security problem definition (SPD): General; Threats; Organizational security policies (OSPs); Assumptions,Section 7.1,https://www.commoncriteriaportal.org/files/ccfiles/CC2022PART1R1.pdf,high,qwen3.5:27b,2026-04-23
CC-2022-PART1,Common Criteria 2022 Part 1 — Introduction and General Model (R1),Certification Schemes,Standard,governance,2,all,Define the role and trust level of administrators who implement policies within the TOE security functionality.,administrator: entity that has a level of trust with respect to all policies implemented by the TOE security functionality (TSF),Section 3.2,https://www.commoncriteriaportal.org/files/ccfiles/CC2022PART1R1.pdf,high,qwen3.5:27b,2026-04-23
CC-2022-PART1,Common Criteria 2022 Part 1 — Introduction and General Model (R1),Certification Schemes,Standard,governance,2,all,Ensure evaluation results are meaningful by verifying the context of security properties and methods used.,"Evaluation authorities are advised to carefully check the products, properties, and methods to determine that an evaluation provides meaningful results.",Introduction,https://www.commoncriteriaportal.org/files/ccfiles/CC2022PART1R1.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,assurance,3,software,"Identify embedded validated modules by name, certificate number, and version in the Security Policy and validation test report.","The FIPS 140-3 IUT submission (e.g., Security Policy and validation test report) shall precisely identify the EVM by name, CMVP certificate number and version(s).","Section 1.A, Resolution point 5",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,assurance,3,software,Mark all references to embedded module functionality with [EVM] in Security Policy tables to distinguish IUT from EVM services.,"This shall be done per below by marking '[EVM]' to the start of each applicable reference within the following WebCyptik tables... All other areas of the Security Policy where EVM information is needed that are not shown in the above tables, shall also be marked with [EVM].","Section 1.A, Resolution point 5",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,assurance,3,software,Ensure the embedded validated module (EVM) status is Active at the time of IUT submission to CMVP.,"The EVM status shall be Active (i.e., is not on the Historical or Revoked list) at the time of the IUT submission to the CMVP.","Section 1.A, Resolution point 4d",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,assurance,3,software,Inherit the Historical validation status if the embedded validated module moves to the historical list for any reason.,"The IUT shall inherit the Historical validation status if the EVM moves to the historical list for any reason (e.g., is sunset or an algorithm transition).","Section 1.A, Resolution point 4c",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,assurance,3,software,Only claim EVM services or algorithms as approved if they were approved at the time of IUT submission.,"To claim an EVM's implementation as an approved service / algorithm within the IUT documentation, the IUT shall only use EVM services / algorithms that are approved at the time of the IUT submission to the CMVP","Section 1.A, Resolution point 4e",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,assurance,3,software,Verify that the operational environment of the embedded algorithm implementation matches the module's tested environment.,"The operational environment under which the validated cryptographic algorithm implementation was tested by the CAVP must be identical to, or fully included in the operational environment that the cryptographic module is being tested under by the CST laboratory","Section 2.3.A, Resolution point 2",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,assurance,3,software,Ensure the embedded validated module is the same or higher security level as the IUT for all FIPS 140-3 sections except Mitigation of other attacks.,"For bound modules, the EVM shall be the same or higher security level as the IUT for all sections of the FIPS 140-3 standard, except for Mitigation of other attacks which can differ in security levels.","Section 1.A, Resolution point 4b",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,lifecycle,3,software,"Re-validate algorithm implementations if the operational environment changes, such as moving from a 32-bit to a 64-bit platform.","If an implementation has been tested on an X-bit processor (e.g. 32-bit, 64-bit), a claim cannot be made that the implementation also runs on different bit size processors... In this case the operational environments are not the same; therefore, the algorithm implementations must be re-tested","Section 2.3.A, Resolution point 2",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,lifecycle,3,software,Re-validate algorithm implementations if the operating system changes from the one tested during CAVP validation.,"If an algorithm implementation has been tested on one operating system, a claim cannot be made that the implementation also runs on another operating system when it is considered for module testing.","Section 2.3.A, Resolution point 2",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS140-3-IG-PQC,FIPS 140-3 Implementation Guidance for Post-Quantum Cryptography,Certification Schemes,Compliance/Guidance,inventory,3,software,Clearly distinguish IUT functionality from EVM functionality in the Security Policy and validation test report.,The FIPS 140-3 Security Policy and validation test report for the IUT shall represent the functionality within its boundary with clear distinctions between IUT information and information associated with the EVM,"Section 1.A, Resolution point 5",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,assurance,3,software,"Identify embedded validated modules by name, certificate number, and version in the Security Policy and validation test report.","The FIPS 140-3 IUT submission (e.g., Security Policy and validation test report) shall precisely identify the EVM by name, CMVP certificate number and version(s).","Section 1.A, Documentation Requirements, Item 5",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,assurance,3,software,Mark all references to embedded module functionality with [EVM] in Security Policy tables to distinguish IUT from EVM services.,"This shall be done per below by marking '[EVM]' to the start of each applicable reference within the following WebCyptik tables... All other areas of the Security Policy where EVM information is needed that are not shown in the above tables, shall also be marked with [EVM].","Section 1.A, Documentation Requirements, Item 5",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,assurance,3,software,Ensure the embedded validated module (EVM) status is Active at the time of IUT submission to CMVP.,"The EVM status shall be Active (i.e., is not on the Historical or Revoked list) at the time of the IUT submission to the CMVP.","Section 1.A, Embedding and Binding, Item 4d",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,assurance,3,software,Inherit the Historical validation status if the embedded validated module moves to the historical list for any reason.,"The IUT shall inherit the Historical validation status if the EVM moves to the historical list for any reason (e.g., is sunset or an algorithm transition).","Section 1.A, Embedding and Binding, Item 4c",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,assurance,3,software,Only claim EVM services or algorithms as approved if they were approved at the time of IUT submission.,"To claim an EVM's implementation as an approved service / algorithm within the IUT documentation, the IUT shall only use EVM services / algorithms that are approved at the time of the IUT submission to the CMVP","Section 1.A, Embedding and Binding, Item 4e",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,assurance,3,software,Prohibit binding or embedding a FIPS 140-3 IUT to a FIPS 140-2 EVM.,A FIPS 140-3 IUT cannot embed or bind to a FIPS 140-2 EVM.,"Section 1.A, Embedding and Binding, Item 4f",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,assurance,3,software,Verify that the operational environment of the embedded algorithm implementation is identical to or fully included in the module's tested environment.,"The operational environment under which the validated cryptographic algorithm implementation was tested by the CAVP must be identical to, or fully included in the operational environment that the cryptographic module is being tested under by the CST laboratory","Section 2.3.A, Resolution, Item 2",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,assurance,3,software,Ensure the embedded validated module is the same or higher security level as the IUT for all FIPS 140-3 sections except Mitigation of other attacks.,"For bound modules, the EVM shall be the same or higher security level as the IUT for all sections of the FIPS 140-3 standard, except for Mitigation of other attacks which can differ in security levels.","Section 1.A, Embedding and Binding, Item 4b",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,lifecycle,3,software,"Re-validate algorithm implementations if the operational environment changes, such as moving from a 32-bit to a 64-bit platform.","If an implementation has been tested on an X-bit processor (e.g. 32-bit, 64-bit), a claim cannot be made that the implementation also runs on different bit size processors... In this case the operational environments are not the same; therefore, the algorithm implementations must be re-tested","Section 2.3.A, Resolution, Item 2",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,lifecycle,3,software,Re-validate algorithm implementations if the operating system changes from the one tested during CAVP validation.,"If an algorithm implementation has been tested on one operating system, a claim cannot be made that the implementation also runs on another operating system when it is considered for module testing.","Section 2.3.A, Resolution, Item 2",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,lifecycle,3,software,Re-validate algorithm implementations when porting HDL from one FPGA device to another new hardware implementation.,"If this were done, the algorithm implementations would need to be validated on the new hardware because they would be considered as new hardware implementations.","Section 2.3.A, Resolution, Item 2",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,observability,3,software,Demonstrate in the Test Report how relied-upon FIPS requirements are met when an IUT depends on an EVM.,If the IUT relies on the EVM to meet one or more FIPS 140-3 requirement... then the IUT submission shall demonstrate in the Test Report how the relied upon FIPS requirement(s) is met without being non-compliant to any other FIPS 140-3 requirement,"Section 1.A, Binding, Item 3b",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,observability,3,software,Provide a mapping of HMI ports to physical I/O pins or internal test interfaces for sub-chip cryptographic subsystems.,"For operational testing purposes, access to the HMI ports shall be available and a mapping shall be provided. These may be mapped to physical I/O pins, internal test interfaces (e.g. Level Sensitive Scan Design (LSSD)) or the HMI data and control ports.","Section 2.3.B, Resolution, Item 1",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
NIST-FIPS-140-3-IG-Sep-2025-PQC,FIPS 140-3 Implementation Guidance — September 2025 PQC update,Certification Schemes,Compliance Guidance,observability,3,software,Verify and document vendor rationale for risks posed by intervening functional subsystems in single-chip embodiments.,The tester shall verify and provide the vendor's rationale in the validation report (TE02.13.01) explaining existing risks and mitigations.,"Section 2.3.B, Resolution, Item 1, Note 2",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,qwen3.5:27b,2026-04-23
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Scheme Documentation,governance,2,all,"Define and document distinct roles and responsibilities for vendors, laboratories, validation authorities, and users within the cryptographic module validation program.",Section 2.5 Roles and Responsibilities of Program Participants... This manual outlines the management activities and specific responsibilities which have been assigned to the various participating groups.,Section 2.5 / Page 15,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,qwen3.5:27b,2026-04-23
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Scheme Documentation,governance,3,all,"Establish formal Request for Guidance (RFG) procedures requiring written submission with specific elements including applicable standards, assertions, and a clear resolution statement.","An official response requires internal review by both NIST and CCCS... An RFG shall have the following items: 1. Clear indication of whether the RFG is PROPRIETARY or NON-PROPRIETARY... 9. A concise statement of the problem, followed by a clear and unambiguous question regarding the problem...",Section 2.4.2 / Page 13,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,qwen3.5:27b,2026-04-23
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Scheme Documentation,governance,3,all,Enforce a mandatory chain of communication where vendors under contract must route all test requirement questions through their contracted CST laboratory before contacting validation authorities.,"Once a vendor is under contract with a laboratory, NIST/CCCS will only provide official guidance and clarification for the vendor's module through the point of contact at the laboratory.",Section 2.4 / Page 13,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,qwen3.5:27b,2026-04-23
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Scheme Documentation,assurance,3,all,Maintain a publicly accessible list of validated cryptographic modules and modules in process to verify current validation status.,Validation Lists... contains the most current information about cryptographic modules validated to FIPS 140-1 and FIPS 140-2. Modules in Process... contains information provided by the CST laboratories about cryptographic modules undergoing testing...,Section 1.7.5 / Page 10,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,qwen3.5:27b,2026-04-23
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Scheme Documentation,assurance,3,all,Implement a formal process for handling flaw discovery and validation revocation to ensure only compliant modules remain on the validated list.,4.8 Flaw Discovery Handling Process... 4.9 Validation Revocation,"Section 4.8, 4.9 / Page 39",https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,qwen3.5:27b,2026-04-23
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Scheme Documentation,observability,3,all,Collect and report programmatic metrics regarding the CMVP and CAVP to monitor program performance and status.,Section 5 – CMVP and CAVP Programmatic Metrics Collection provides an overview of the CMVP and CAVP Programmatic Metrics Collection and a description of the collection and reporting processes...,Section 1.6 / Page 8,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,qwen3.5:27b,2026-04-23
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Scheme Documentation,observability,3,all,Retain collected metrics data and maintain audit trails for the CMVP and CAVP programmatic metrics.,5.8 Metrics Retention and Audit,Section 5.8 / Page 45,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,qwen3.5:27b,2026-04-23
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Scheme Documentation,lifecycle,3,all,Adhere to defined validation deadlines and re-validation processes for non-security relevant changes to maintain module status.,4.4.2 Non-security Relevant Re-validation... 4.4.4 Validation Deadline,Section 4.4 / Page 34-35,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,qwen3.5:27b,2026-04-23
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Scheme Documentation,lifecycle,2,all,Establish a formal process for requesting transition period extensions when cryptographic modules require additional time to meet new standards.,4.7 Request for Transition Period Extension,Section 4.7 / Page 38,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,qwen3.5:27b,2026-04-23
