id,label,description,industries,industries_source_text,countries,requires_pqc,deadline,deadline_kind,deadline_dates,notes,enforcement_body,library_refs,learn_modules,timeline_refs,body_type,website,local_file,trusted_source_id,peer_reviewed,vetting_body,website_url_quality,confidence_score,cswp39_tags,naics_codes,status,deprecated_at,deprecated_reason,related_standards,last_verified
HIPAA,HIPAA,US health data privacy and security rule,Healthcare & Life Sciences,62,US,no,No explicit PQC timeline yet,none,,Healthcare data has long sensitivity periods — HNDL risk is significant. | 2026-08-16: replaced generic HIPAA landing page with HHS's 'HIPAA for Professionals' hub covering the actual Privacy/Security/Enforcement/Breach rules.,HHS OCR,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,healthcare-pqc,,compliance_framework,https://www.hhs.gov/hipaa/for-professionals/index.html,compliance/HIPAA.pdf,hhs,yes,HHS OCR,url_authoritative,85,cswp39:governance,62,active,,,,2026-08-16
GSMA-NG116,GSMA PQ.03 (Post-Quantum Guidelines for Telecom Use Cases),GSMA PQC guidelines for mobile network operators,Information Technology,51,PQC-REGION-GLOBAL,guidance,2026-2028,phased,2026:start;2028:end,"Mobile network operator PQC guidance from GSMA. Covers 5G and beyond. | 2026-07-13: original website URL (guessed slug /ng116/) was a real 404 (Yoast SEO confirmed ""Page not found""); GSMA NG.116/FS.40 are internal doc numbers, not a URL path. Corrected to GSMA's live PQC-documents index page, which covers PQ.03 (the library_refs target) and related docs. | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->guidance AND LABEL CORRECTED. GSMA's own PQC document index lists exactly seven documents, PQ.01 through PQ.07; NG.116 and FS.40 are not among them and a site-wide search for both returns 'Nothing Found'. NG.116 is, in GSMA's numbering, a Networks Group document (Generic Network Slice Template) unrelated to PQC. The row's own notes already recorded that the /ng116/ URL 404'd; the URL was redirected to the PQC index but the false label was left in place. The real document, and what library_refs already cites, is PQ.03. GSMA is a trade association with no enforcement power over operators. | 2026-08-16: replaced the GSMA PQC-documents index page with the actual PQ.03 document it names (146pp, non-confidential, freely downloadable).",GSMA,GSMA PQ.03 PQC Guidelines,,International:GSMA,compliance_framework,https://www.gsma.com/newsroom/wp-content/uploads//PQ.03-Post-Quantum-Cryptography-Guidelines-for-Telecom-Use-Cases-v2.0-2.pdf,compliance/GSMA-NG116.pdf,gsma,yes,GSMA,url_authoritative,85,cswp39:governance,51,active,,,gsma-pq-01;gsma-pq-02;gsma-pq-03;NIST,2026-08-16
ETSI-TS103744,ETSI TS 103 744,ETSI quantum-safe cryptography for telecommunications,Information Technology,51,PQC-REGION-EU,guidance,Ongoing,ongoing,,"ETSI specification for quantum-safe algorithms in telecom protocols. | requires_pqc yes->guidance 2026-08-09 (R6 body_type rule, extended to technical_standard). A specification specifies; it does not oblige anyone to adopt it. The obligation to deploy PQC comes from CNSA 2.0, the OMB memoranda and the executive orders, which are their own rows. Left as 'yes' this row asserted that a standards document mandates compliance.",ETSI,ETSI TR 103 619;ETSI TS 103 744,,International:ETSI/IQC,technical_standard,https://www.etsi.org/committee/cyber,compliance/ETSI-TS103744.pdf,etsi-cyber,yes,ETSI,url_authoritative,85,cswp39:governance,51,active,,,,
DORA,DORA (EU Digital Operational Resilience),EU financial sector ICT risk and resilience regulation,Finance & Insurance,52,PQC-REGION-EU,expected,2025 (effective),fixed,2025:effective,Operational resilience requirements for EU financial entities (effective Jan 2025). DORA imposes no explicit PQC mandate; PQC is read into the Article 9 ICT-protection obligations (integrity/confidentiality) by interpretation.,EBA/ESMA/EIOPA,ENISA PQC Guidelines,pqc-grc,European Union:EC,compliance_framework,https://www.eiopa.europa.eu/digital-operational-resilience-act-dora_en,compliance/DORA.pdf,eiopa,yes,EBA/ESMA/EIOPA,url_authoritative,85,cswp39:governance,52,active,,,,2026-07-16
SWIFT-CSP,SWIFT CSP,SWIFT Customer Security Programme mandatory controls,Finance & Insurance,52,PQC-REGION-GLOBAL,no,Annual,ongoing,,Annual security attestation required for SWIFT network participants.,SWIFT,FIPS 203;FIPS 204;FIPS 205,,,compliance_framework,https://www.swift.com/myswift/customer-security-programme,compliance/SWIFT-CSP.html,swift,yes,SWIFT,url_authoritative,85,cswp39:assurance;cswp39:governance,52,active,,,,
ISO-27001,ISO 27001,International information security management standard,Finance & Insurance;Information Technology;Healthcare & Life Sciences;Energy & Utilities;Government & Defense,52;54;62;51;22;92,PQC-REGION-GLOBAL,no,Ongoing,ongoing,,Widely adopted ISMS standard. No explicit PQC deadline but requires crypto risk management.,ISO/IEC,FIPS 203;FIPS 204;FIPS 205,,International:ISO/IEC,technical_standard,https://www.iso.org/standard/27001,compliance/ISO-27001.html,iso-iec-sc27,yes,ISO/IEC,url_authoritative,85,cswp39:governance,52;54;62;51;22;92,active,,,,
SOC-2,SOC 2,Service Organization Control 2 trust services criteria,Information Technology;Finance & Insurance;Healthcare & Life Sciences,54;52;62,US;CA,no,Ongoing,ongoing,,Trust Services Criteria. Cryptographic controls reviewed in SOC 2 Type II audits.,AICPA,FIPS 203;FIPS 204;FIPS 205,,,compliance_framework,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,compliance/SOC-2.pdf,aicpa,yes,AICPA,url_authoritative,85,cswp39:assurance;cswp39:governance,54;52;62,active,,,,
GDPR,GDPR,EU General Data Protection Regulation,Healthcare & Life Sciences;Information Technology;Finance & Insurance;Retail Trade;Educational Services,62;54;52;44;61,PQC-REGION-EU,no,Ongoing,ongoing,,Art. 32 requires appropriate encryption. PQC becoming expected standard for long-lived personal data.,EU DPAs,ENISA PQC Guidelines,data-asset-sensitivity,European Union:EC,compliance_framework,https://eur-lex.europa.eu/eli/reg/2016/679/oj,compliance/GDPR.html,enisa,yes,EU DPAs,url_authoritative,85,cswp39:governance,62;54;52;44;61,active,,,,
HITECH,HITECH Act,Health Information Technology for Economic and Clinical Health Act,Healthcare & Life Sciences,62,US,no,Ongoing,ongoing,,Extends HIPAA enforcement. Mandates breach notification and strong encryption for ePHI.,HHS OCR,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,,compliance_framework,https://www.hhs.gov/hipaa/for-professionals/special-topics/hitech-act-enforcement-interim-final-rule/index.html,compliance/HITECH.pdf,hhs,yes,HHS OCR,url_authoritative,85,cswp39:governance,62,active,,,HIPAA,
FDA-21CFR11,FDA 21 CFR Part 11,Electronic records and signatures in FDA-regulated industries,Healthcare & Life Sciences,62,US,no,Ongoing,ongoing,,Signature integrity requirements applicable to PQC migration for regulated medical software.,FDA,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,,compliance_framework,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/part-11-electronic-records-electronic-signatures-scope-and-application,compliance/FDA-21CFR11.html,fda,yes,FDA,url_authoritative,85,cswp39:assurance;cswp39:governance,62,active,,,,
FEDRAMP,FedRAMP,Federal Risk and Authorization Management Program,Government & Defense,92,US,expected,Ongoing (Rev 5 — PQC guidance expected),ongoing,,No direct FedRAMP PQC mandate today. Dependency chain: FIPS 203/204/205 (Aug 2024) → CMVP must validate PQC modules under FIPS 140-3 (no earlier than 2026-2027) → SP 800-53 updated with PQC controls → FedRAMP baselines incorporate. OMB post-FIPS guidance (statutorily due Aug 2025) not yet published. Realistic enforcement: 2027+. Mandate mechanism: indirect via NIST FIPS 140-3 / SP 800-53 chain.,GSA/FedRAMP PMO,CISA-PQC-CATEGORY-LIST-2026;EO-14306;GSA-PQC-Buyers-Guide-2025;NIST CSWP 39,,United States:NIST,certification_body,https://www.whitehouse.gov/wp-content/uploads/2024/07/M-24-15-Modernizing-the-Federal-Risk-and-Authorization-Management-Program.pdf,compliance/FEDRAMP.pdf,cisa,yes,GSA/FedRAMP PMO,url_authoritative,85,cswp39:assurance,92,active,,,,2026-08-16
DISA-STIG,DISA STIGs,Defense Information Systems Agency Security Technical Implementation Guides,Government & Defense,92,US,no,Ongoing,ongoing,,"Mandatory hardening guides for U.S. DoD systems. Crypto requirements updated regularly. | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->no: the published STIG/SRG catalogue index contains ZERO occurrences of ""quantum"" - there is no PQC STIG. The framework IS mandatory for its population, but it imposes no PQC obligation - 'mandatory framework' had been conflated with 'PQC mandate'. The genuine federal PQC obligations live in QCCPA, EO 14412 and OMB M-23-02/M-26-15, which are their own rows. | 2026-08-16: replaced the bare STIGs landing page with the live STIGs Document Library listing page.",DISA,NSA CNSA 2.0;DoD-CIO-PQC-Memo-2025,,United States:NSA,compliance_framework,https://public.cyber.mil/stigs/downloads/,compliance/DISA-STIG.html,disa,yes,DISA,url_authoritative,85,cswp39:governance,92,active,,,,2026-08-16
NATO-4774,NATO STANAG 4774,NATO confidentiality metadata labeling standard,Public Administration,92,US;PQC-REGION-EU;CA;CZ;AU,no,Ongoing,ongoing,,"Coalition partner interoperability requirements. PQC transition affects classified data exchange. | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->no, AND THE ROW'S PREMISE IS WRONG. STANAG 4774 / ADatP-4774 is 'CONFIDENTIALITY METADATA LABEL SYNTAX' - it defines the XML syntax of a confidentiality label (4778 binds the label to data). It specifies no algorithms, no key sizes, no crypto suites, and the NATO Standardization Office record contains zero occurrences of 'quantum'. The row's website pointed at a general NATO cyber-defence topic page and its cached evidence is titled 'Cyber defence | NATO Topic' - the standard itself was never retrieved. library_refs FIPS 203/204/205 is unsupported. RECOMMEND DEPRECATION unless someone can state why a label-syntax standard belongs in a PQC compliance catalog.",NATO,FIPS 203;FIPS 204;FIPS 205,,NATO:NATO,compliance_framework,https://www.nato.int/cps/en/natohq/topics_78170.htm,compliance/NATO-4774.html,nato,yes,NATO,url_authoritative,85,cswp39:governance,92,deprecated,2026-08-09,Fabricated PQC claim. STANAG 4774 is 'Confidentiality Metadata Label Syntax' — an XML label format for marking classified information. It contains no cryptographic algorithm requirement of any kind and no reference to quantum computing. Verified 2026-08-09 against the NATO standard's own scope statement.,,
ISO-SAE-21434,ISO/SAE 21434,Road vehicle cybersecurity engineering standard,Transportation,48,PQC-REGION-GLOBAL,guidance,Ongoing,ongoing,,"Full vehicle lifecycle security including post-quantum readiness. Required for new type approvals. | requires_pqc yes->guidance 2026-08-09 (R6 body_type rule, extended to technical_standard). A specification specifies; it does not oblige anyone to adopt it. The obligation to deploy PQC comes from CNSA 2.0, the OMB memoranda and the executive orders, which are their own rows. Left as 'yes' this row asserted that a standards document mandates compliance.",ISO/SAE,,,,technical_standard,https://www.iso.org/standard/70918.html,compliance/ISO-SAE-21434.html,iso-iec-sc27,yes,ISO/SAE,url_authoritative,85,cswp39:governance;cswp39:lifecycle,48,active,,,UN-ECE-WP29;UNECE-WP29-R155;ISO-IEC-27001-2022,
UN-ECE-WP29,UN ECE WP.29 R155/R156,UN regulations for vehicle cybersecurity and software updates,Transportation,48,PQC-REGION-EU,no,Ongoing,ongoing,,"Type approval requires cybersecurity management systems and secure OTA update processes. | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->no. UN R155 and R156 ARE binding type-approval regulations, but full-text counts of the OJ republications give ZERO occurrences of 'quantum' in either (R155 66k chars, R156 31k chars). R155's only crypto requirement is algorithm-agnostic: 'Cryptographic modules used for the purpose of this Regulation shall be in line with consensus standards.' Same failure mode as FISMA/NERC-CIP/TSA: a genuine mandate that says nothing about PQC. library_refs FIPS 203/204/205 is unsupported - neither regulation references any NIST PQC standard.",UNECE,FIPS 203;FIPS 204;FIPS 205,,,compliance_framework,https://unece.org/transport/vehicle-regulations,,unece,yes,UNECE,url_authoritative,85,cswp39:governance;cswp39:lifecycle,48,active,,,,
NERC-CIP,NERC CIP,North American Electric Reliability Corporation Critical Infrastructure Protection,Energy & Utilities,22,US;CA,no,Ongoing,ongoing,,"Mandatory cybersecurity standards for bulk power systems. Crypto controls in CIP-005/007/011. | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->no: CIP-005-7 contains ZERO occurrences of ""quantum"" and is algorithm-agnostic; its only crypto line is ""utilize encryption that terminates at an Intermediate System"". The framework IS mandatory for its population, but it imposes no PQC obligation - 'mandatory framework' had been conflated with 'PQC mandate'. The genuine federal PQC obligations live in QCCPA, EO 14412 and OMB M-23-02/M-26-15, which are their own rows.",NERC,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,,compliance_framework,https://www.nerc.com/globalassets/standards/reliability-standards/cip/cip-005-7.pdf,compliance/NERC-CIP.pdf,nerc,yes,NERC,url_authoritative,85,cswp39:governance,22,active,,,,
IEC-62443,IEC 62443,Industrial cybersecurity standard for OT/ICS environments,22;48;48,,PQC-REGION-GLOBAL,yes,Ongoing,,,Defense-in-depth for industrial control systems. PQC relevant for long-lived OT deployments.,IEC,IEC 62443;FIPS 203;FIPS 204,,,technical_standard,https://www.iec.ch/iecnorex/,,iec,yes,IEC,url_authoritative,85,,22;48;48,deprecated,2026-07-16,"No valid evidence obtainable (iec.ch blocks automated fetching, HTTP 403) and no cswp39_tags — dropped per policy: keep only PQC-related rows with valid local_file evidence.",,
DO-326A,DO-326A / ED-202A,Airworthiness security process specification for aircraft systems,Transportation,48,PQC-REGION-GLOBAL,guidance,Ongoing,ongoing,,"Aviation cybersecurity certification basis. PQC critical given 30-40 year aircraft lifespans. | requires_pqc yes->guidance 2026-08-09 (R6 body_type rule, extended to technical_standard). A specification specifies; it does not oblige anyone to adopt it. The obligation to deploy PQC comes from CNSA 2.0, the OMB memoranda and the executive orders, which are their own rows. Left as 'yes' this row asserted that a standards document mandates compliance.",RTCA/EUROCAE,FIPS 203;FIPS 204;FIPS 205,,,technical_standard,https://www.rtca.org/products/do-326a-electronic/,compliance/DO-326A.html,rtca,yes,RTCA/EUROCAE,url_authoritative,85,cswp39:assurance,48,active,,,,2026-08-16
RTCA-DO-355A,RTCA DO-355A,Information security guidance for continuing airworthiness,Transportation,48,PQC-REGION-GLOBAL,guidance,Ongoing,ongoing,,"Supplement to DO-326A for operational phase. Covers cryptographic controls in service. | requires_pqc yes->guidance 2026-08-09 (R6 body_type rule, extended to technical_standard). A specification specifies; it does not oblige anyone to adopt it. The obligation to deploy PQC comes from CNSA 2.0, the OMB memoranda and the executive orders, which are their own rows. Left as 'yes' this row asserted that a standards document mandates compliance.",RTCA,FIPS 203;FIPS 204;FIPS 205,,,technical_standard,https://www.rtca.org/products/do-355a-electronic/,compliance/RTCA-DO-355A.html,rtca,yes,RTCA,url_authoritative,85,cswp39:assurance,48,active,,,,2026-08-16
FERPA,FERPA,Family Educational Rights and Privacy Act,Educational Services,61,US,no,Ongoing,ongoing,,Student record confidentiality. Long retention periods imply HNDL exposure for sensitive records.,US Dept of Education,FIPS 203;FIPS 204;FIPS 205,,,compliance_framework,https://studentprivacy.ed.gov/ferpa,compliance/FERPA.html,omb,yes,US Dept of Education,url_authoritative,85,cswp39:governance,61,active,,,,
NIS2,NIS2 Directive,EU network and information security directive for essential and important entities,Information Technology;Finance & Insurance;Healthcare & Life Sciences;Energy & Utilities;Transportation,54;52;62;22;51;48,PQC-REGION-EU,expected,October 2024 (transposition passed — enforcement underway),fixed,2024,"EU-wide cybersecurity baseline for essential and important entities; transposition due Oct 2024. NIS2 mandates 'state-of-the-art' cryptography but contains no explicit PQC mandate. The Commission's Jan 2026 proposal COM(2026) 13 would add an explicit PQC-transition policy requirement (not yet in force). Corrected 2026-07-22: an earlier deprecation-sweep pass flagged this row based on a bot-blocked fetch (HTTP 403 anti-bot page), not an actual dead resource -- NIS2 (EU Directive 2022/2555) is unambiguously still in force; reverted to active.",ENISA/EU Member States,ENISA PQC Guidelines,pqc-grc,European Union:EC,compliance_framework,https://www.enisa.europa.eu/topics/cybersecurity-policy/nis2-directive,compliance/NIS2.html,enisa,yes,ENISA/EU Member States,url_authoritative,85,cswp39:governance,54;52;62;22;51;48,active,,,,
COPPA,COPPA,US Children's Online Privacy Protection Act,Educational Services;Information Technology,61;54,US,no,Ongoing,ongoing,,Protects children under 13 online. PQC relevant for long-lived minor data and parental consent records.,FTC,FIPS 203;FIPS 204;FIPS 205,,,compliance_framework,https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa,compliance/COPPA.html,ftc,yes,FTC,url_authoritative,85,cswp39:governance,61;54,active,,,,
TISAX,TISAX,Trusted Information Security Assessment Exchange for automotive supply chain,Transportation,48,PQC-REGION-EU,no,Ongoing,ongoing,,VDA-managed assessment for automotive suppliers. Covers information security including cryptographic controls.,VDA/ENX,FIPS 203;FIPS 204;FIPS 205,,,compliance_framework,https://portal.enx.com/en-US/TISAX/,compliance/TISAX.pdf,iso-iec-sc27,yes,VDA/ENX,url_authoritative,85,cswp39:assurance,48,active,,,,
MICA,MiCA,EU Markets in Crypto-Assets Regulation,52,,PQC-REGION-EU,no,2024 (phased; fully effective Dec 30 2024),,,"EU regulation for crypto-asset service providers (cryptocurrencies and digital tokens). MiCA itself is not a cryptography standard, but security requirements for digital wallets and custody systems are indirectly affected by PQC migration. Stablecoin titles applied from June 30 2024; full regulation from December 30 2024.",ESMA/EBA,FIPS 203;FIPS 204;FIPS 205,,European Union:EC;European Union:ECCG,compliance_framework,https://www.esma.europa.eu/esmas-activities/digital-finance-and-innovation/markets-crypto-assets-regulation-mica,compliance/MICA.html,bis,yes,ESMA/EBA,url_authoritative,85,,52,deprecated,2026-07-16,"Own notes state ""MiCA itself is not a cryptography standard"" — PQC relevance is indirect/speculative (wallet/custody security), not a direct PQC framework.",,
TSA-PIPELINE,TSA Pipeline Security Directive,US TSA cybersecurity requirements for pipeline operators,Energy & Utilities,22,US,no,Ongoing,ongoing,,"Mandatory cybersecurity measures for critical pipeline infrastructure. Covers encryption for SCADA/OT. As of May 2025 the in-force directive is SD Pipeline-2021-02F (supersedes SD02C); see TSA SD index for the current version. | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->no: neither current directive (SD Pipeline-2021-01G/02G) contains any occurrence of ""quantum""; only a generic encrypt-in-transit control. The framework IS mandatory for its population, but it imposes no PQC obligation - 'mandatory framework' had been conflated with 'PQC mandate'. The genuine federal PQC obligations live in QCCPA, EO 14412 and OMB M-23-02/M-26-15, which are their own rows. Also stale: the row cited SD Pipeline-2021-02F as in force; 01G/02G (eff. 2026-01-15 / 2026-05-01) supersede it.",TSA,FIPS 203;FIPS 204;FIPS 205,,,compliance_framework,https://www.tsa.gov/sd-and-ea,compliance/TSA-PIPELINE.pdf,cisa,yes,TSA,url_authoritative,85,cswp39:governance,22,active,,,,
