category,id,label,description,industries,hndl_relevance,migration_priority,retention_years,compliance_deadline,compliance_notes,countries
retention,1-5y,1-5 years,Data with a short to medium confidentiality window,,,,5,,,
retention,5-10y,5-10 years,Data requiring a medium to long-term confidentiality window,,,,10,,,
retention,10-25y,10-25 years,Data requiring long-term confidentiality protection,,,,25,,,
retention,25-plus,25+ years,Data with very long or archival confidentiality requirements,,,,30,,,
retention,indefinite,Indefinite,Data with no defined expiration of confidentiality,,,,50,,,
retention,auto-1-3y,1-3 years (telematics),Vehicle telemetry and OBD diagnostic records,Automotive,,,3,,,
retention,auto-vehicle-lifetime,10-15 years (vehicle lifetime),"ECU firmware, V2X certificates and vehicle safety-critical software",Automotive,,,15,,,
retention,2y,2 years (CDR / telecom),Call detail records typical retention for mobile operators,Telecommunications,,,2,,,
retention,6y,6 years (HIPAA minimum),Minimum retention under HIPAA for protected health information,Healthcare,,,6,,,
retention,7y,7 years (financial records),Standard regulatory records retention for financial institutions,Finance & Banking,,,7,,,
retention,75y-plus,75+ years (government archival),Long-lived government and national security archival records,Government & Defense,,,75,,,
retention,3y-soc2,3 years (SOC 2 / audit logs),Security audit logs and access records under SOC 2 Trust Service Criteria,Technology,,,3,,,
retention,3y-nerc,3 years (NERC CIP-007),Security event logs and cyber compliance records under NERC CIP-007-6 R5,Energy & Utilities,,,3,,,
retention,7y-ferc,7 years (FERC / billing),Operational and billing records under FERC and IRS retention requirements,Energy & Utilities,,,7,,,
retention,aircraft-lifetime,Aircraft lifetime (20-40 years),"DO-178C software lifecycle data and FAA airworthiness records per 14 CFR §91.417, maintained for the service life of the aircraft",Aerospace,,,40,,,
retention,1y-pci-logs,1 year (PCI DSS audit logs),Payment transaction audit logs with 90 days immediately accessible per PCI DSS v4 Req. 10.7,Retail & E-Commerce,,,1,,,
retention,2y-pci,2 years (PCI DSS cardholder data),Maximum cardholder data storage period under PCI DSS requirements,Retail & E-Commerce,,,2,,,
retention,6y-ferpa,6 years (FERPA / financial aid),Student financial aid records under FERPA and 34 CFR §668.24,Education,,,6,,,
retention,permanent-transcripts,Permanent (academic transcripts),Academic transcripts and degrees maintained indefinitely per institutional policy and most state laws,Education,,,100,,,
retention,permanent,Permanent (state secrets),Records with no defined expiration date,Government & Defense,,,100,,,
sensitivity,phi,Protected Health Information (PHI),"Patient records, diagnoses, prescriptions, lab results",Healthcare,15,,,,,
sensitivity,genomic-data,Genomic / clinical trial data,"DNA sequencing, biobank records, longitudinal research",Healthcare,25,,,,,
sensitivity,admin-health,Administrative health records,"Scheduling, billing codes, facility operations",Healthcare,5,,,,,
sensitivity,customer-financial,Customer financial records,"Account balances, transactions, credit scores, PII",Finance & Banking,15,,,,,
sensitivity,trading-algos,Trading algorithms / proprietary models,"HFT strategies, risk models, pricing engines",Finance & Banking,25,,,,,
sensitivity,transaction-logs,Transaction logs,"Audit trails, reconciliation records, batch processing data",Finance & Banking,5,,,,,
sensitivity,classified-info,Classified information (TS/SCI),"National security data, intelligence products",Government & Defense,25,,,,,
sensitivity,cui,Controlled Unclassified Information (CUI),"Export-controlled data, law enforcement sensitive",Government & Defense,15,,,,,
sensitivity,fouo,Internal government data (FOUO),"Pre-decisional documents, internal correspondence",Government & Defense,5,,,,,
sensitivity,network-topology,Network topology / configurations,"Core network architecture, routing tables, SS7 configs",Telecommunications,25,,,,,
sensitivity,cdr,Call detail records (CDR),"Subscriber communications metadata, location data",Telecommunications,15,,,,,
sensitivity,subscriber-meta,Subscriber metadata,"Account info, service plans, billing data",Telecommunications,5,,,,,
sensitivity,crypto-keys,Cryptographic keys / secrets,"Private keys, API secrets, HSM contents",Technology,25,,,,,
sensitivity,source-code,Source code / intellectual property,"Proprietary algorithms, trade secrets",Technology,15,,,,,
sensitivity,user-analytics,User analytics / telemetry,"Usage patterns, A/B test data, anonymized metrics",Technology,5,,,,,
sensitivity,scada-ot,SCADA/OT operational data,"Industrial control commands, safety system configs",Energy & Utilities,25,,,,,
sensitivity,grid-topology,Grid topology / infrastructure maps,"Distribution network, substation configurations",Energy & Utilities,15,,,,,
sensitivity,meter-readings,Meter readings / consumption data,"AMI data, billing usage, demand forecasts",Energy & Utilities,5,,,,,
sensitivity,ad-algorithms,Autonomous driving algorithms,"ML models, sensor fusion logic, safety-critical code",Automotive,25,,,,,
sensitivity,v2x-data,V2X communication data,"Vehicle-to-infrastructure messages, location data",Automotive,15,,,,,
sensitivity,vehicle-telemetry,Vehicle telemetry,"Engine diagnostics, performance metrics, OBD data",Automotive,5,,,,,
sensitivity,flight-control,Flight control software / avionics,"Safety-critical algorithms, weapons systems",Aerospace,25,,,,,
sensitivity,passenger-pii,Passenger manifests / crew PII,"Travel records, passport data, security clearances",Aerospace,15,,,,,
sensitivity,maintenance-logs,Maintenance logs,"Service records, parts inventory, compliance documentation",Aerospace,5,,,,,
sensitivity,pci-data,Payment card data (PCI scope),"Card numbers, CVVs, transaction auth data","Retail & E-Commerce;Finance & Banking",15,,,,,
sensitivity,customer-purchase,Customer purchase history / PII,"Order history, addresses, preferences",Retail & E-Commerce,5,,,,,
sensitivity,product-catalog,Product catalog,"Public listings, pricing, inventory counts",Retail & E-Commerce,0,,,,,
sensitivity,student-records,Student records (FERPA),"Grades, disciplinary records, financial aid",Education,15,,,,,
sensitivity,research-ip,Research data / IP,"Unpublished research, grant proposals, patent-pending work",Education,15,,,,,
sensitivity,course-catalog,Course catalogs / schedules,"Public curriculum, class listings, academic calendar",Education,0,,,,,
