source_id,source_name,source_type,trust_tier,region,primary_url,description,verification_status,last_verified_date,leaders_csv,library_csv,algorithm_csv,threats_csv,timeline_csv,compliance_csv,migrate_csv,patents_csv,local_doc_count,last_download_date,download_status,doc_collection,notes,primary_url_quality,name,type,domain,date_stamp,status,deprecated_at,deprecated_reason
amazon-aws,Amazon Web Services,Industry_Workgroup,3_Supporting,Global,https://aws.amazon.com/,"AWS KMS, CloudHSM, IAM — FIPS 140-3 validated cloud key management and HSM services",Verified,2026-03-28,No,No,No,No,No,No,Yes,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
american-binary,American Binary,Vendor,3_Supporting,,https://www.americanbinary.com,"American Binary — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
amf-france,Autorité des marchés financiers (France),Government,1_Authoritative,EMEA,https://www.amf-france.org/en,"French financial markets regulator. Cybersecurity expectations for asset managers, broker-dealers, market infrastructure; cryptographic-control adequacy expected to track PQC migration as ESMA / EU harmonized standards land.",Verified,2026-05-16,No,No,No,No,No,Yes,No,No,0,,None,none,Added 2026-05-16 for P2 #19 trusted_source orphan resolution.,url_authoritative,,,,2026-05-16,active,,
analog-devices,"Analog Devices, Inc.",Vendor,3_Supporting,Americas,https://www.analog.com,US public semiconductor vendor; ACVP-validated ML-DSA/ML-KEM in Optical Security (HW) module,Verified,2026-07-14,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
anchorage-digital,Anchorage Digital,Vendor,3_Supporting,Americas,https://www.anchorage.com/,Federally chartered digital-asset bank providing regulated custody services,Verified,2026-07-12,No,Yes,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-07-09,active,,
anchorage-digital-bank,Anchorage Digital Bank,Vendor,3_Supporting,,https://anchorage.com,"Anchorage Digital Bank — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
anci-chile,Agencia Nacional de Ciberseguridad de Chile (ANCI),Government,1_Authoritative,Americas,https://www.anci.gob.cl/,Chile national cybersecurity authority established by Ley 21.663 (2023). Issues binding technical standards across critical-information sectors; strongest LATAM cyber-regulator authority today.,Verified,2026-05-16,No,No,No,No,No,Yes,No,No,0,,None,none,Added 2026-05-16 for geographic depth P1 #14.,url_authoritative,,,,2026-05-16,active,,
ancs-tunisia-national-cybersec,ANCS — Tunisia National Cybersecurity Agency,Government,3_Supporting,EMEA,https://www.ancs.tn/,Tunisia's national cybersecurity agency,Verified,2026-07-28,,,,,,,,No,,,,,"Confirmed live via WebFetch. General-purpose national authority, no PQC-specific content independently verified.",url_needs_review,,,,,active,,
angelatek-ltd,ANGELATEK LTD.,Vendor,3_Supporting,,https://angelatek.com/,"ANGELATEK LTD. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 2 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
animo-solutions-bv,Animo Solutions BV,Vendor,3_Supporting,,https://animo.id,"Animo Solutions BV — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
ansi,American National Standards Institute,Standards_Body,3_Supporting,Americas,https://www.ansi.org/,U.S. national standards body; coordinates INCITS and X9 PQC standardization,Verified,2026-03-28,No,No,No,No,No,Yes,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
anssi,ANSSI Cryptography Guidelines,Government,1_Authoritative,EMEA,https://cyber.gouv.fr/en/,French cybersecurity agency quantum transition recommendations,Verified,2026-07-27,No,Yes,No,No,Yes,Yes,No,No,14,2026-05-07,Active,library,"Fixed tagging: library_csv timeline_csv compliance_csv | 2026-07-27: primary_url updated ssi.gouv.fr -> cyber.gouv.fr (ANSSI domain migration, ssi.gouv.fr now 301-redirects) -- 4 review-queue items were false-flagged as ""domain not in trusted-sources"" because of this drift.",url_authoritative,,,,2026-05-06,active,,
anssi-cc-scheme,ANSSI Common Criteria Certification (France),Government,1_Authoritative,EMEA,https://cyber.gouv.fr/offre-de-service/solutions-certifiees-et-qualifiees/comprendre-levaluation-de-securite/certification-de-produits/comprendre-la-certification/,"France Common Criteria (and CSPN) product certification scheme, operated by ANSSI.",Verified,2026-07-31,No,No,No,No,No,Yes,No,No,0,,None,none,"Added 2026-07-31 (WP-3.3, remediation plan) -- cross-links the compliance-landscape certification-body row added in the same batch (Phase 5 B1). URL and description sourced from the same real document fetched for that row.",url_authoritative,,,,2026-07-31,active,,
anydesk-software-gmbh,AnyDesk Software GmbH,Vendor,3_Supporting,,https://anydesk.com,"AnyDesk Software GmbH — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
apache-software-foundation,Apache Software Foundation,Vendor,3_Supporting,,https://apache.org,"Apache Software Foundation — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
apnic,APNIC (Asia Pacific Network Information Centre),Standards_Body,2_Core,APAC,https://www.apnic.net/,Asia-Pacific regional internet registry; RPKI and routing-security operations affected by PQC,Verified,2026-07-12,No,No,No,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-07-09,active,,
apple,Apple Inc.,Industry_Workgroup,3_Supporting,Global,https://developer.apple.com/,Apple Security; iMessage PQ3 ML-KEM deployment; iOS/macOS cryptographic frameworks,Verified,2026-03-28,No,No,No,No,No,No,Yes,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
applied-quantum,Applied Quantum,Vendor,3_Supporting,Americas,https://www.appliedquantum.com,PQC tooling and consulting vendor. Source for applied PQC implementation guidance and toolchain evaluations.,Verified,2026-05-06,No,Yes,No,No,No,No,No,No,0,,None,none,Added 2026-05-06: orphaned ID found in library.,url_needs_review,,,,2026-05-06,active,,
applivery,Applivery,Vendor,3_Supporting,,https://www.applivery.com,"Applivery — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
appviewx,AppViewX,Industry_Workgroup,3_Supporting,Americas,https://www.appviewx.com/,Certificate lifecycle management and PKI automation vendor; publishes PQC migration guidance,Verified,2026-05-10,No,Yes,No,No,No,No,Yes,No,1,2026-05-10,Active,library,Added 2026-05-10: restored library records require valid trust path,url_needs_review,AppViewX,Industry_Workgroup,appviewx.com,2026-05-10,active,,
appviewx-inc,AppViewX Inc.,Vendor,3_Supporting,,https://appviewx.com,"AppViewX Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
apra,Australian Prudential Regulation Authority,Government,1_Authoritative,APAC,https://www.apra.gov.au/,"Australian prudential regulator for banks, insurers, and superannuation funds. CPS 234 mandates operational cyber resilience; PQC posture inherited from broader cryptographic-control expectations.",Verified,2026-05-16,No,No,No,No,No,Yes,No,No,0,,None,none,Added 2026-05-16 to resolve compliance.APRA-CPS-234 trusted_source_id orphan.,url_authoritative,,,,2026-05-16,active,,
aptos-foundation,Aptos Foundation,Vendor,3_Supporting,Global,https://aptosfoundation.org/,Foundation stewarding the Aptos blockchain ecosystem,Verified,2026-07-12,No,Yes,No,No,No,No,Yes,No,0,,None,none,"url responds 429 (rate-limited, site live)",url_needs_review,,,,2026-07-09,active,,
arch-linux-project,Arch Linux Project,Vendor,3_Supporting,,https://archlinux.org,"Arch Linux Project — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
archon-sec,Archon Security,Industry_Workgroup,4_Contextual,Global,https://www.archon.com/,Quantum-safe cryptographic solutions and consulting,Verified,2026-02-13,No,No,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
archtis-limited,archTIS Limited,Vendor,3_Supporting,,https://www.archtis.com,"archTIS Limited — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
arctera-us-llc,Arctera US LLC,Vendor,3_Supporting,,https://www.arctera.io/,"Arctera US LLC — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 2 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
arista-networks-inc,Arista Networks Inc.,Vendor,3_Supporting,,https://arista.com,"Arista Networks Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
arm-holdings-plc,ARM Holdings plc,Vendor,3_Supporting,,https://arm.com,"ARM Holdings plc — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
